rating,review
bad,"Not a good company to work for, they do not treat people with respect , the yearly raise is very low and they only care about the shareholders. They tell you at the last minute about overtime work and it’s mandatory, if you don’t come in for overtime without being approved, you get an unexcused absence."
bad,"If you are looking for a fast pace, fun environment, this is not a great choice.  It lacks leadership and this is not a company that truly cares about its workers.  They do not consider that you have a life outside of work and they will not help you if you have a conflict. Lots of gossip and backstabbing... exhausting and unprofessional."
bad,not and ideal job....touch and go.....favoritisium...very friendly people but if ur not up ur superiviors  butt u will get no where....they want u to kiss butt...
bad,Management is horrible and they do not know how to handle workers always overworked and always had favoritism to certain employees management is a joke never room to move up unless manager had you as a favorite
bad,"This was the worst job ever. The management is pathetic! Never worked at a place where the store manager calls out every week. The whole management team has no respect for their employees and its shows when they talk to them! Luckily I found a job and left can’t imagine working here anymore, worst job ever! To anyone who is considering working here do not, i repeat DO NOT!!! It is a complete waste of time!"
bad,this place wasn't what I expected at all to the description as I was applying online the back of the warehouse is unorganized and there are some possible safety hazards
bad,They treat you very disrespectful.Bad management.Blame you for things that are not true.No advancement.Terrible.Will never recommend this place to anyone.Worst job I ever had.
bad,The management is horrible and unfair.They treat you badly.I do not recommend working here.They blame things on you thats not true.Very sloppy and disorganized.
bad,Management wasn’t very good. Didn’t care if you had a family emergency. I had a very bad allergic reaction to some food I ate at work and my tongue and mouth swelled up to the point of unable to breathe. Wouldn’t call AMR or let me go home. Took an attendance point for leaving to go to the doctor. Talked down to me and made me feel worthless at my job.
bad,Extremely busy company with no regard to their associates.Very demanding job but no appreciation for the employees. Bonus incentives were taken away and company does not employ full-time employees.
bad,"Worst experience of my life I busted my butt and showed up early everyday to get two girls who were jealous of where I was at to say I wasn’t doing  appropriate things while I went to get my ecig. Seriously, they waited two hours into my day and didn’t give me a warning for something I wouldn’t ever do and just fired me. They state they are family but there not. I wasn’t even allowed to go get my stuff and they escorted me out of the building. Shame on you columbia family doesn’t treat family this way."
bad,"This place was a joke no job security at all, if your not running 100% they will fire you. No benefits at all or days off till your hire full time which they never will plus the pay is awful."
bad,Not enough hours low pay. Management was poor. They give you maybe 2 days a week then change schedules not letting you know they changed it. To much drama and no respect for employees.
bad,Columbia sportswear of ellenton  was horriable managers treat u horriably . you have no life working there . They cant seem to find reliable people. Managers are so unapperciative and u have no benefits.
bad,"Customers treat you like you are not a human being. Hardest part of the job is dealing with the manager when he's in or in one of his moods. I learned that managers play favorites with associates. Enjoyable part was working with assistant manager. Very inappropriate workplace as too many associates bring their problems into work and relationships. Offer no benefits much less full time even though there are promises of full time, which only apply to management. Hours get cut constantly and inconsistent schedule. Manager is NOT flexible with your schedule. Manager wants you to practically harass customers on a constant basis and encourage them to buy more. Uniforms are not provided and must buy your own Company Brand clothing in the store including shoes."
bad,hardest part is standing for long hours on cement floors. .associates had a hard time working with management
bad,"Very stressful, everything is timed and monitored. If you are young,strong,and fast, you may do well. Anyone middle age or older should give this company a pass. You could literally kill yourself trying to keep up. A company that values profits, at the expense of people"
bad,"My experience at Columbia Sportswear has been very stressful and demanding. This company and the temp agency doesn't care about it's employees! You're giving very minimal sick days during your contract of work as a temp (4 days) and if you call in sick during any of those four days you are lectured and the people in the temp office are constantly telling you that you're being written up and so on to stress you out more if being sick isn't enough. It's very confusing because the managers tell you to stay home if you're sick but when you call in sick to do them and everyone else a favor you get lectured and complained at about attendance and etc so it's very confusing. They say one thing and mean the other! When you start there the people in the temp office (kelly services) tell you that there is so much opportunity in the company and how it's highly rewarding and so on. Once you get working and talk to people around the company and figure out how things really are you realize that what the people in the temp office tell you couldn't be further from the truth. I've talked to all the coordinators and management and from what they've told me is that it takes forever (2-5) years to get hired on by the company from the temp agency where your expected to make a maximum of 9.80 in those couple of years which is hardly enough to cover gas and vehicle expenses if you have a decent drive ahead of you."
bad,"Not one thing is made in the U.S.A. When you enter the warehouse you see a gigantic american flag,it made me sick.Shipping and Recieving work their Temps like Dogs.The news treats Girt Boyle as a great employer,I call her Dirty Girty.This place is a revolving door to Warehouse Workers, BEWARE"
bad,Not a good place to work...management is always changing their minds...supervisors yell and blame everyone else. Making employees wipe mould off the boots that have come across seas on a boat and don't give them masks for the spores. They have a high turn over in employees and the ones that do work there for lots of years are just too lazy to look for a better job. Alot have been there since coming out of school. Husband and Wife teams DO NOT BELONG THERE.
bad,"No help from specific managers. These specific managers want everyone else to do their job. Major cuts in hours and than they get mad when you don't want to stay over your scheduled shift. No kind of direction to improve things that can get easily fixed. Attitude, eye rolling and gossip are being applied by specific managers. NO SENSE OF URGENCY TO FIX PROBLEMS IN THE STORE. MY OPINION THE STORE IS GOING DOWNHILL DUE TO FAVORITISM, LACK OF URGENCY FROM HIGHER MANAGERS, NO COMMUNICATION, EVERYDAY RULES CHANGE"
bad,This company does not work with my school schedule. I told them I cant work past 9 and they work me until 10. They also dont give me the one day I need off. Flexible scheduling is a joke.
bad,"The hours were good, but the environment of the job was horrible, the mangers like to gossip. It was super hard trying to get time off for school, and family events. The boss wasn't very nice. A lot of workers would come and go since they environment was so toxic. Would not recommend working there at all."
bad,Columbia sportswear was a very fun job! This was my first warehouse job and this is where i learned a majority of my skills from. A work day would be ten hours on swing shift an relaxing until the last hour came and everyone is ready to go home because it was slow. What made the job hard/difficult was those on the induction floor not following given directions which made the pack floors job harder because we would have to audit every shoot where the clothes came down and we had to pack them into boxes and label them with a sku barcode.
bad,"A woefully inept pool of managers, who haven't the skill to work at better companies, routinely dump all over good employees- that is my summation of the horror show I experienced at Columbia."
bad,"Horrible management, no advancement, no overtime and very underpaid for the responsibilities they actually have you perform. I worked at the Potomac mills mall location."
bad,This is a horrible place to work. Buddy culture. No room for advancement unless you are friends with management. I feel sorry for most of the staff there.
