rating,review
good,"I work mostly without direct supervision. I am given minimal requirements and goals and it is up to me to achieve them."
good,"My typical day consisted of answering incoming calls, assisting customers and technicians by scheduling appointments, time arrivals, go backs, correspondences via email and trouble shootings, while maintaining good customer service relations. Management was excellent/ quarterly reviews, co-workers were great team players. The hardest part is investigating fabricated stories from customer's to receive free services. And the most enjoyable is completing my task by providing excellent service, maintaining good customer service relations."
good,Good Culture and Fun place to work also company gives good training for current skills and productivity also for advancement and provides good benefits and retirement
good,"Goes to work 30 minutes early to prepare my tools (PC, software for troubleshooting equipment) and for pre-huddle sessions with our team supervisor. "
good,"Sales of cable service - internet, TV service and telephone service."
good,"A typical day at work was warm and cordial environment with team members and other colleagues. Day to day work was good with open door policy with Management. Great communication relationship with direct supervisor. The hardest part of the job was meeting deadlines because had to rely on external business partners to provide paperwork, which are not always received on time but always worked out a cordial solution to that problem."
good,"Great place to work, lots of benefits and employee engagement opportunities. Employees work hard together and for each other."
good,"I work with a dynamic group of people that assist in the install of all Xfinity Home Security products.  We ""set the table"" for all the technicians and resolve any problems they have at the job site.  We are a trial team in Chicago to determine if our team has impact on the install rate.  So far, we have boosted connection rate almost 10 points in the City of Chicago"
good,"Working as Account Executive at Comcast Xfinity with always have new challenge and mostly goals which I exceeded all my targets and over the years I have implemented a great management, organizational ability, sales and excellent interpersonal skills with the facility to connect with clients and coworkers. "
good,Casual dress code and flexible schedule. Can make your family first and lots of fun. Weekly game compitions within company.
good,My team could take up to a 180 calls a day per person. Management was always there to help. Sometimes the calls would get escalated but given the correct training we all succeeded.
good,Show up on time. The only company I know of that let's you do shift slides and point buy backs for having perfect attendance for 45 days. The medical benefits are great and affordable although member services are a nuisance. They should be there when you want to use them but we should have the right to call the insurance company directly without interference.i
good,"no work life balance for this specific position. Lots of risk, Wear and Tear on body. AWESOME pay. great work support. The company takes care of their people its just that position is the best i believe as far as pay and certain benefits like company phone, ipad, freedom and company truck. but unless you go to upper level management, any other position (in my opinion) would be a downgrade."
good,"I recommend Comcast to anyone, job security is there. Training is slightly inadequate but proper contacts for questions are readily available. I did learn alot outside of the training room, nonetheless. Customer Service may be a big focus for corportate currently - though in my opinion, unity within the offices and departments, as far as knowledge and processes definitely needs to be addressed."
good,Loved working for the company. Very knowledgeable company.If the opportunity came i would quickly go back.Will reapply.
good,I've learned a lot great things in Comcast. One of the most important lessons I've learned is Quality. It's vital to make each customer feel like their V.I.P status because without the customer we will be without a job.
