rating,review
bad,"Comerica discriminates Cancer patient employees and treats them so bad like reducing there work hours from full time to part time with no communication, and pushes them to quit there jobs."
bad,"very unorganized company and lack of knowledge throughout the branch, I would like to keep this to a minimum... I'm not sure why I have to provide this sort of information."
bad,"I have worked at comerica bank for six  month a d got laid off along with 50 other employees in the downtown detroit location. They paid me severance and when i looked at the break down i realized they are taking ""parking"" expenses out of my severance pay, which is ridiculous giving the fact that i should only pay for parking when im on the clock. Dirty company"
bad,Worked at the Plano location. Most racists managers. You hear them make rude comments about other employees. Women are old and jealous. This location has favorites. No moving up. Set in their old ways.
bad,"First and foremost, the systems are so out of date. Who uses a keyboard entirely to process transactions? You barely use your mouse at all. It’s only about the numbers at Comerica. Pay attention to how many positions are posted on indeed and other websites. The turnover rate is just horrible. When employees see that their not valued and not recognized , I’m pretty sure another "
bad,As a financial institution it is the worst. Terrible management and a horrible platform. I am so happy not to work there anymore. I would recommend to stay away from this company.
bad,Not a good place to work. Management is no good. The left hand don't know what the right hand is doing. We are just a number to upper management. Always short handed. One person has to do 3 person job and don't get paid for it.
bad,No answer because this place didn't care about their employees and sells was their main goals not making customers happy. There was no room for better opportunities.  The company dont give any good raises and can care less about employees just worried about making money off of customers.
bad,"I really would not recommend Comerica to anyone. HR doesn’t care that management is poor. Not really diverse, I felt uncomfortable everyday. The way the bankers and management basically taught customers how to structure was wild to me, I come from a background of banking and have never in my life dealt with such a company. If you want an easy job, apply but, be ready to do a bunch of things that is not in your job description, deal with incompetent managers, a very outdated system, and"
bad,"Don't waste your time on such a ""frugal"" company, they might offer you a soda but then turn around and recycle the aluminum can once you're done."
bad,"Knee-jerk reactionary.  Over hire, then mass fire.  "
bad,The pay was ok but the work that went with it was brutal ! Mandatory overtime. three people in a branch no lunches. Managers are so desperate for sales credit they steal your sales
bad,it was a very stressful job and management was very poor and management didn't support its employees.  No training opportunies provided to its employees
bad,"If you’re a contractor expect to receive a 10 year old laptop that runs SUPER slow. It will be about a month before basic things like your phone, webex, RSA Token are set up. There was no onboarding or knowledge transfer when I started working there. The people that I was told to sit with to get information about the projects I was assigned to blatantly said they didn’t have time which I came to learn was because the manager intentially and severely over allocated resources and committed to unrealistic dates to larger stakeholders. It is a high stress environment, highly disorganized with no project management standards or process in place. Employees either laugh about the disfunctional nature of things in the office or argue amongst each other and send strongly worded emails around trying to light a fire under someone to get work done. There is a high turnover rate which also gets joked about quite often by the “old timers” there. Comerica is “work from home” friendly which seemed cool but my experience is that this only added to the problem there."
bad,I worked at Garfield inside Kroger. My manager was Chaldean. She was hired in may of 2017. She was racist and she hated black people.She treated her staff as slaves.
bad,nothing. poor management leadership. will promote if not from their prior employer. too cheap to pay current compensation scale. people quit after finding out that there is no support to help sell the company in the financial industry.
bad,"Company does not train employees well. "
bad,"This is the worst company in the entire country.  If you want to see what computer systems were like in the 80's, work here.  They work you like a dog, retail bank sr. Management is horrible and unethical.  Unrealistic goals and subpar products. Market manager is a jerk.  Stay away if you value your health."
bad,"Busy most of the time, now management backbone.  Hardest part is coming in next day.  Too many ethical issues,"
bad,"making sales- sell bank products- was my favorite part of my job where you get to talk to your customers, listen to their needs and help them solve their finacial issues."
bad,"I started here with extensive experience in banking and I was shocked at how my banking centers were ran. Each place has its own way of interpreting the rules; there is no one cohesive unit, each place will do one task its own way. The turnover is high due to unrealistic sales goals, poor management, poor mergers, and general discontent. The first couple of years here were ok, but as management changed the company went downhill."
bad,"Bottom line...it doesn't matter how great you are at balancing and customer service, your job is all SALES! "
bad,Worked in the SF office. Very bad in terms of quality of opportunity and people. Lots of internal friction within political terms.
bad,"No room for growth, company should have a union. Employees are discriminated against and targeted for termination by management"
bad,"Management is incompetent.  They don't even know how to do the job of their employees, yet they are running the department.  The department is a revolving door.  In my first 8 weeks there; 4 people left the department in that time, as well as 4 hired after me. Extremely short staffed.  You'll be working overtime constantly and Saturdays.  Although, they don't tell you that when you interview.  Only one trainer for all the new hirees.  Trainer is demeaning, rude and horrible at teaching.   Software systems are severely outdated (1980's), which makes the job more complicated than it should be."
bad,You aren't there because you care you're there for the pitance of money and the fact you needed a job. Very boring with little reward and the customers can be crazy
