rating,review
bad,Place sucks they have their favs they do what they want camera on  you at all times no freedom micro managed horrible  routes loads I wouldn’t get my worst enemy a job here
bad,"was lied to from day one and didnt know till i got there on my first day . management is a joke and is always looking to slit someones throat to try"" and advance , keep away"
bad,Inconsistent. Been at this job for 15 years +it was a good learning experience. Supervisor was understanding but the company was changing everyday. Great benefits.
bad,discriminative against ladies on the floor I outdent recommend it to anyone unless you like being challenged because your good. and get paid lo pay. nothing is good about this job and no over time
bad,"Very unhealthy place to work dangerous also,accidents happen everyday .I honestly couldn't recommend anyone to this job.without telling the truth about them."
bad,its good at first but then everyone starts ignoring you and you have to figer out wat to do on your own not even the supervisor or manager helps you out
bad,"Bad place to work, bad place to work.  If you like grown men throwing fits like a toddler this is the place for you.  Or if you like management who micromanages everything than welcome home."
bad,"poor work environment, no job satisfaction"
bad,Disorganized.  Too many chiefs and not enough Indians.  Never gave anyone support.  It was a sink or swim scenario.  No one knew how to even train the software.  Company sold out to XPO and then now they are CFI again.
bad,"overworked the employees, never treated the employees fair. would not give employees proper breaks. was not a great place to work at all. company is now xpo."
bad,"Needs work. Leadership is the worst, too much unfair treatment. Lost of unethical behavior. Leadership is key to employee productivity. No effoert to work with employees"
bad,Everything has become about profit since XPO took over. There has been a rapid downward trend in customer care and employee appreciation. I would not recommend.
bad,"i had to go in a just sweep mop and clean. its nothing wrong with that, because i love to clean as well, but the manager was messy and my supervisor wasnt to fund of me. The over all work plce vibe was off. it killed me to go in there. i wondered what was wrong with me and why she gave me a hard time. i even let other co workers check my work but it was always something with her. When i first started working there i was organizing the cloths and then one day i came back they had me cleaning. i wondered why they changed my position. that job i had no enjoyable moments at all."
bad,"The people you work with for the most part are great, but the inability for the company to give you the proper tools to do your job is beyond annoying."
bad,I don't know what else there is to say other than this company wasnt a good fit for me so I quit. Do your research before signing on with any company.
bad,"XPO/Con-way Freights UNprofessional higher management have small (manhood) syndrome.  Act all tough behind the desk and think they are the cats meow when they have no idea what they are doing other than patting their own backs while sticking a fork in others backs. "
