rating,review
bad,"Bring you in... In two months took pension away, continually took benefits and perks away.  Constantly changes supervisors, managers and job duties.  They have no idea how to run a gas company.  After 2+ years they decided to cut 1800 jobs.  Cuts not based on performance, just last 1800 hired were first 1800 fired.  They kept dead beats and unskilled folks, while laying off some highly qualified and motivated workers."
bad,"They create a culture of fear by making everyone think their job is always at risk.  Management makes you feel that your best is never good enough.  Morale is low due to job security.  After laying off several crucial employees, people are left with too much work.  They have cut all benefits."
bad,"Started out as a great employer. Then things turned cut throat when asked to relocate from Va to Pa Operations. Found out they only like their kind, not minority friendly."
bad,He worked countless hours in unsafe conditions through the years . He worked on thaw shed heaters and pier before they were removed by asbestosis abatement. The Electrical maintenance manager was Incompetent man who wouldn't order correct supplies because he wouldn't leave his comfortable chair. My husband contacted Asbestosis and died 2 and one half short years after diagnosis. Boss never called him. Company let him go because he couldn't work due to lung fibroids. This company has treated me the widow terribly.
bad,"Stay clear.  There a lot of ideas but no tangible plans to make them a reality.  Very PC to a fault.  There is a lack of experience in exploration to take advantage of the market.  Take a long look in the mirror before you leave you're current location to work here.  There's a reason they call the headquarters the ""Death Star""."
bad,The double talk from the management combined with the good ol boy network made the place less than ideal for someone who was not connected with the establishment.
bad,Work 60-72 hours a week no family time and get treated poorly!
bad,"I've been working at enlow fork for 8 years as soon as the current CEO took over and started taking all the coal profits and dumping into his precious gas company, the mine has taken a nose dive.  They will not put any money into equipment.  Everything underground is falling apart.  Our average run time is about 3hrs a shift the rest of the time the equipment is broke down."
bad,"The company as a whole has undergone a massive restructuring, which is a difficult environment to thrive in. Lots of moving parts, and shifting jobs, in a few years it'll be great!"
bad,"Good pay, good employees, terrible upper management. The micromanaging is running this company in the ground. They are operating it for today, and not planning for the future. It’s a shame, it used to be an excellent place to work! Everyone in upper management has their own agenda, the days of working together as a team are long gone. As sad as it sounds, it’s the truth!"
bad,company would promote management to try to intimidate hourly workers. did not enjoy working for them. they would constantly berate employees.
bad,"7 day a week operation which requires rotating shifts weekly"
bad,"company once was a family oriented company,within the last few years,company went down hill fast,you are just a number at this company"
bad,"Known for lay offs throughout their history. Poor management decisions such as: hired way too many people prior to planning to ramp up drilling in 2015. Then had to fire all the people because of poor prices. Company may be going under or bought out soon. "
bad,ok place to work if all you like to do is work. don't know what else to say and this won't let me continue until i say more
bad,The company pays well but they are in a constant flux between hiring and lay-offs.  Upper Management is a mess.  They have people in roles that they are not qualified for.  Proceed at your own risk.
bad,"The only positive thing would be the money,and the frienship bonds you make. Your truly putting your health at risk with this job. The upper management does not listen to the employees and makes changes as the hours go by. They make your job very difficult changing policies so often. I will give them a tip of the hat trying to promote safety, however in the end getting coal out will always be # 1. You truly look forward to spending what little time you have with your family and you can just about bet on them drafting you on one of your days off leaving you with only one day off. that's not positive for home or work !"
bad,Management was poor. I was expected to work about 70-80 hours  per week with no overtime and I would go a few weeks before I had a day off.
good,"Has been a great company,  I have learned many skills that I will take with me in life. This company has changed greatly in the last few years that I don't agree with."
good,"work different shifts every week"
good,"Most enjoyable part of my job was working with the hourly employees. Upper management lacked the ability to relate to anyone  below their pay grade. Lots of policies, no praise for any job done well, but critizing was imediate if things did not go as plannned."
good,My department co-workers were great. My supervisor always took the time to explain something new to me. They were very accommodating to anything that came up in my personal life.  I learned a lot. Our group worked well as a team and I enjoyed my job.
good,a great place to earn a living great co-workers.some of the supervisors are great and will take your input as serious. the hardest part of this job is them wanting you to work fifteen hours in one day. best part is having a job at a great establishment
