rating,review
good,"My time spent with Concentrix taught me to better hone in my time management skills, taught me about the importance of understanding your employees, and the value of being able to adapt to new changes! Working for a company that changed line groups and clients alot was great, it provided a chance to learn new things and understand industries better, and more importantly, how one company can impact a community."
bad,"Where do I start in this absolute shambles of a company. EASILY THE WORST COMPANY I HAVE EVER WORKED FOR! There are a lot of bad points and if I had to write them all down it would be the length of the bible. The actual job itself seems okay at first but as soon as you hear the words academy run a mile, the mentors are not at all useful and are so cliquey. If you dare ask for help you get ignored and if you don’t get ignored then you get told to look for it yourself. Your not allowed too even though your sat down for most of the day. The break system is very dodgy too as you get in a typical 9 hour shift a 30 min lunch and 2 10 min breaks, however if your call goes over the end time then you have to stay, sounds fair? knowone is allowed a toilet break out of the designated breaks so if you need the toilet you have to wait and for the smokers, good luck as the smoking shelter is about half a mile away. The bonus scheme is CORRUPT, knowone gets paid it as you have to fight it. Why should people who work for the actual HSBC get paid more for the same job as Concentrix. They shove overtime on you as the turnover of people who leave is the highest I’ve ever been apart off. It’s amazing how people start off happy in there first few to a few weeks in being miserable. Some of the people are amazing and I had a amazing group of people in my team but by the third week half of them left and quite rightly. The cafeteria is small and ANGIN, the toilets smell like the sewers and for the people who are high up they don’t do anything other than talk in their groups and still get paid whilst"
bad,"Operations and HR departments have completely different vision. HR promises too many things but when you enter the floor, you find nothing but a biased bullies tagged as managers.  They'll never ever let you express your views if it's otherwise from their's and am saying this after working for almost nine long years."
bad,Employees are immature most of the time no respect for other privacy at all. Enough said go at your won risk.But if you just need to work til something comes in better  than your ok
bad,"Company is disorganized, not flexible with hours like said, the don't tell you the horrible hours they want you to work until you have completed training and on-boarding, everything is fasted paced in training. "
bad,I would not recommend anyone for this job unless you have a second job. The Mgt looses hours worked causing you to not be paid probably and over time pay varies without notice
bad,This place is completely fraud! They don’t treat their employees good at all and therefore their employees hate to be there. No one wants to work somewhere they hate going
bad,"It’s a bad place to work. The call center sucks!! No room for advancement. They need nurses on the floor for insulet to give the customers medical advice instead of telling them there’s nothing you can do for them. HR sucks. They pass the buck, they can’t get payroll straighten out for the life of them. Horrible place to work for and I will NEVER go back!!!"
bad,People are scummy.  No class at all.  Dirty bathrooms.  Expensive food.  Absurd security.  Filthy parking lots.  Dangerous parking lots.  Lousy management.
bad,"This is a call center with multiple programs.  This could be the easiest job you can have.  The interview process is also the easiest, because all you do is show up and you have a job offer."
bad,"They’re really big about bragging rights to the point that they just seem pretentious in a bad way. They brag about spending money on items and services that seem kind of useless at the cost of other more useful things. Like for instance they go on and on about this stupid slide they have and constantly remind us that they paid 56,000 USD on it like this is a good thing. Yet our benefits are not very good and could be much better. A great example of the problem at Concentrix is the fact that everything looks very pretty but everything is very uncomfortable."
bad,"High pressured sales, little breaks, and often angry customers. The most difficult challenge of all was always working late nights, holidays (Christmas included) and weekends. The company values sale proftits more than the employee. Yes, working at home is nice, but the company will fire you if sales are not kept up."
bad,"the management sucks, they don't care about your well being, they will tell you one thing then go back on their word, if you're not dead they expect you to be on the clock dog sick and all"
bad,"Training very stressfull, lack of structure. Pay structure non existant dont pay you right, no pay slips"
bad,They Fired me three weeks ago and I still haven't gotten my last check I hated there Concentrix Arnold location better don't waste your time not worth it
bad,"Concentrix is a ripoff place to work, u work and they dont wanna pay you, all they give you is excuses. Poor management and HR services. They dont care about anyone but themselves."
bad,"This company ate up my vacation accrual mentioned on the pay check. Not only mine but of everyone’s who leave the job."
bad,Well Lets be honest Management is horrible. If you are  not liked you will constantly be picked at about your work. Training is garbage. You don't learn until you are  actually on the floor. Good peers really help you learn the ropes if you sit near one who is professional. Rule change every single day. No written notification
bad,They don’t care about family or the need of the staff  the main and only focus is the business need scheduling is horrible  and favoritism is at an all time high
bad,"Poor working environment, management in it for themselves, very little support. Tools constantly changing, or not working, constantly set up for failure."
good,"My time spent with Concentrix taught me to better hone in my time management skills, taught me about the importance of understanding your employees, and the value of being able to adapt to new changes! Working for a company that changed line groups and clients alot was great, it provided a chance to learn new things and understand industries better, and more importantly, how one company can impact a community."
bad,"A good starting point to consider, because you will obtain a lot of training and challenging experience. Pantry offers usual dishes but a little bit pricey from the usual."
bad,"At the start Concentrix was a decent place to work with a decent wage. But then? Time progressed and the reality of management decisions regarding who or the type of individuals that they promote is highly questionable. After almost 2 years working there, going to work there daily is becoming increasingly more challenging. There are NO raises unless promoted. Being promoted means that you NOW have one foot out the door. I have watched person after person get promoted only to be then, fired. Management consistently changes  the rules of the game"" to keep from being found wrong. "
bad,Too many negatives to even begin listing them all. There's a lot of favoritism that goes on at concentrix. Most of the supervisors refuse to help you.
bad,"Location in St. Louis is very ghetto, unprofessional, and loud. Employees do whatever they want. It’s a very highschool work environment. You work with people from the ages 18-60+. Bathrooms was trifling, smelled horrible, sanitary napkins on floor, toilets are stopped up, and etc! Over all would not work there again! But they are good when it comes to their pregnant employees. They do suppose the womenz"
bad,"TL’s at Concentrix are awesome, it’s above those TL’s that the problems occur"
bad,"Concentrix is the WORST company I have ever worked for. Their clock in/out system has been broken for months. The employees have to stay after work filling out “exceptions” and then get shorted on our checks and have to wait til the next pay period to get paid. Shift bids are supposed to be based on seniority, metrics and attendance and they certainly ARE NOT. You get whatever they give you."
bad,"Very poor culture and knowledge for a multinational company. No basic understanding whatsoever of how different cultures minds and psihology works. Money, money and only money - no care for their clients or workers. Not recommended at all!"
bad,"Management is grossly under qualified, they will do whatever they can to accentuate your negatives which has basically ruined moral. They also now allow monetary bounties on coworkers if you turn them in for basically anything against policy (as small as ""sent me a text during work"") it is a toxic environment."
bad,They don't care if you are sick and 2 persons allowed to take leave per day. Most unit managers have no idea on their duties and responsibilities. They don't care about the health and condition of their agents. Lots of anomalies.
bad,"Terrible experience working here. I worked on the BT contact for 13 months and quite simply put, the company doesn't care about the employees one little bit. "
bad,"Good company to work for, now I am looking for part time closer to home in dunnville area, excellent training, excellent benefits, excellent hours, able to pick hours"
bad,"Absolute horrible place. They act like they care about their employees but they don’t.  You can only go so far in the company if you even want to stay that long. "
