rating,review
bad,"Starting pay 12.50 "
bad,I witnessed plant mgr tell temp April 2019 not to take test at home anymore . She told him mgmt will help him throughout exam to get into the company.
bad,"Environment  emotionally draining "
bad,"You will get fired for anything, even something someone arbitrarily says you did. The overtime is terrible, and the management will hunt reasons to fire."
bad,Good company and good culture place to work and learn more new technologies with improving skills and encouraging people around to learn more. This company has a good culture.
bad,"You can jump through hoops and solve major problems, but a contractor rarely makes the jump to permanent employee. It is extremely frustrating, especially if you are more than qualified for your position (i.e. education level, experience, etc.) and work hard every day. If this is the case, the problems you solve will be credited to your supervisor or another permanent employee in your department, instead of you."
bad,Have worked with Corning Inc. since 1979. Excellent people to work with. Projects are always unique and exciting. Some key features about my work is the ability to work at home.
bad,"unless someone took you under their wing, you didn't have a chance, very competitive, fast paced, you never knew from one day to the next if you had a job or not...business had slowed at the time, they laid a lot of us off at one time..they were bad for that.."
bad,I spent 15 years working for Corning and when I first started the company culture was all about taking care of its people. And over the course of my career Corning experienced a drastic downturn with its culture in that it no longer could afford to take care of its people. Generic job titles allow HR to underpay their employees is the game there.
bad,"Corning wants ""The Best"", but they are only willing to pay the average for your service. Merit increases are very poor (1-2%, lower than inflation) despite $1B+ annual corporate profit numbers and cash-on-hand of over $3B. Upper management is removed from day-to-day happenings on the floor and doesn't recognize a valuable employee from a problem employee. Cronyism is RAMPANT and blatant. If you are not someones favorite, expect to never get a good raise/promotion/review. Depite the poor raises, management expects 50-60 hrs/week plus ~1 weekend/month. Work/life balance is NOT good. If you live to work, this is your place. If you work to live, Corning will chew you up and spit you out. The ideal exempt employee is someone right out of school with no prior knowledge of how any other company goes about its business and treats employees. If you are mid-career, expect to be disappointed in how you are treated."
bad,"Worked for the company for a year. Worked in Microwave CNC area. Supervisor didnt care for you at all. Only cared for himself. Micromanage his employees, has favorites, and doesn't lead by example."
bad,Empresa com alta rotatividade de funcionários o que acaba acarretando instabilidade ao profissional que trabalha na empresa.
bad,"This company is the most disrespectful and unfeeling I have ever worked for."
bad,"not a stable job, they layoff a lot, no time for  family. Very numbers oriented, even over safety. Pay is good, but you cannot count on it being there for long."
bad,"My husband was let go, 5 days shy of being their 6 months. He wasnt given a good reason, except he wasnt available enough. He had just worked 4 days, for various employees needing off. They didnt fire him to his face either. They waited until he got off work, one morning to call him and tell him, he was fired. 2 months later, he found out that nearly every single person hired, around the same time was fired too. My husbands immediate supervisor was unaware, he was going to be fired. He was just notified that my husband would not be returning. My husband has ALWAYS had an exemplary performance record."
bad,"I've only seen and worked at one manufacturing plant that Corning owns, so my view is probably not indicative of the company culture at the headquarters. That said..."
bad,"I preferred not to answer this question.  I did not have a good experience as an intern, however I cannot say that my experience is a common one.  I have not spoke to enough people that have been in similar positions."
bad,"Corning is no place to work, I would definitely NOT recommend it. They tell you you will work 12 hours a day, wrong, sometimes 16 or more and you dont have a choice. If you miss anymore than 4 days per year they will fire you or if you make any tiny mistake they will fire you, no questions asked and your so called union will NOT fight for you."
bad,"Management is lacking skill set to deal with employees. Also, operations manager is way too young to be in his position.  Ribbon manager is a complete uneducated moron."
bad,"This is a terrible place to work. 60 hours every week, 12 hour days. Management only cares about lining their pockets. No work/life balance. Pay is excellent. Benefits are good. Not appreciated for your work and you're only a number."
bad,"The company is presented to you as a pristine work environment where everyone is happy, advances easily, and has everything they could ever want from a job. In the interview process, there is a continuous stress that Corning is the best possible place to work. As I new graduate, I believed it--they offer a flashy relocation assistance check and high salary."
bad,The Vineland branch is horrible. I would not wish the job on my worst enemy. They tell you you can choose 4 or 8 hours OT but the foreman always make you work 8 because “we don’t need you for 4 hours.” People constantly call out and it puts a strain on the new people because they get put in their positions. They say they’re hiring you for “service crew” but they give you 2 weeks of training and throw you right on a machine as a machine operator. They lie horribly in the interview and tell you you get paid holidays off but really you have to work them. You can’t even use a vacation day because it’s a “blackout” holiday. I could go on and on but this place is absolutely horrible to work at. You have no work/life balanave. All you do is work and they treat you like a dog.
bad,"Little training and large quotas to meet. Long hours, 12 hour work days with mandated overtime.  United Steelworker Union that was worthless and did not represent new employees."
bad,Worked on integrating multiple sites with central NA cluster
bad,"Only enjoyable thing were some of the people you'd work with. Management was awful, shifts were long, I was paid poorly, no good benefits, negative atmosphere."
bad,"The job was great at first, but they do not treat their employees well at all. I stayed a temp. For the 2 years I worked there. The full time employees treated the temps awful"
bad,"Do not recommend going there! New DON is not for the employee's! She is mean and miserable. Does not listen and will fire you for no reason! I was in management while I was there the co-workers loved me, as I would help out. The DON on the other hand did not and refused to!"
bad,This is the kind of job where you go to die. After a couple weeks of working here the overwhelming amount of sadness and depression across all floor workers becomes apart of you. The people working here have given up on their dreams and ambitions. They give you a decent paycheck for your soul it seems like. Management treats all floor workers like lesser people and has no respect for the work being done. Ill never support this company again.
bad,"Decent place to work and raise a family off the wages. The commute  to work was not that bad at all. The company has changed plant managers 4-5 times in eight years, so the culture is in an uproar, no consistency."
bad,Not an environment conducive to team work. Strong disconnect between the administrators and the production staff.
bad,Not family friendly.  Dont care about you just wants product out. Constantly pushing you till you have a break down. Wants you to learn all kinds of things but dont want to give you more pay. Management is very corrupt. Management has no clue how anything or how long something is done. Just not a happy place to work
bad,tuve una muy mala experiencia en el ámbito  laboral no pagan conforme lo acordado por ultimo la administración es muy mala solo contratan a personas que no tiene experiencia...
bad,There is no room for growth and there is no room for errors. They are very bias about who they hire and fire.They need to have a public relation department set up for temps as well as the employee they do choice to hire in this company.
bad,"if you are a 20 year old pretty female who works out everyday they will love you, otherwise you will be treated like a second class citizen and thrown out like yesterday's trash. This only applies to the customer service department. The other departments were much more friendly and welcoming but customer service is very outdated and do not involve the ""team"" in any decision making. I was called at 7pm and informed I could not come back to work the next day and the supervisor told my team that I had quit and left them hanging. This was after 2 years of working without asking for one day off since I did not get paid vacation time at all. I loved my coworkers but management needs to get with the times, this is 2015 after all."
bad,"They say they care about employees. But when they overspend and don’t keep up with current specifications so they don’t reach their goals. They lay off all the workers that met their goals for production. But keep the executives and management that made did not. Personally I had to deal with a couple of bullies, not surprising they keep bullies also"
bad,"Incredibly cliquey - if you're not one of the boys, there appears to be no chance of surviving at the job."
bad,"Management was poor, inept and played favorites. Office politics mean more than doing any actual work, and people are rarely held accountable for poor performance. If you can suffer in silence then this place is for you."
bad,unfortunately this was only a temporary position that lasted two months the hours were not suitable for me and my family never really got to know any one
bad,"A typical day consists of troubleshooting problems."
