rating,review
bad,Costco was a miserable place to work. too much work was expected to be completed in an unreasonably short amount of time. Everything you did was scrutinized with unrealistic expectations and the management would hound you about minute details. the management was never on the same page and would regularly give out contradictory orders and harsh criticism about job performance in failing to meet all contradictory orders. Any work related grievance was dismissed even thought the company claims to have zero tolerance policy for punishing whistle blowers. basically if you're willing to shut up paint a fake smile on your face and lie about how great it is to work there you'll do fine.
bad,"Great place to work, until you get a disability. They will make you hate your job to the point you either hav to quit, or they'll limit your hours so you need another job. DO NOT TELL THEM IF YOU HAVE A DISABILITY."
bad,"super stressful place to work, management plays favourites with their staff and there is little to no room for advancement if you are not part of the ""inner circle"". Most management is unprofessional."
bad,"Did not like working here at all, the managers take their job way too seriously and love to play the power role over less important employees. If someone saw you mess up or make a mistake they were sure to make it known to a manager or your boss."
bad,I really enjoyed working there and it was a safe environment. Everyone was treated equally and individuals were able to express themselves without a fear of penalization.
bad,"I left on L&I because they force you to push 360 lbs of carts around for 8 hours a day. I completely destroyed my shoulder, they waited until my physical therapy was done and I got cleared to go back to work than they fired me for no reason."
bad,"You are never appreciated for all the hard work you put in. The shifts you are given are all over the place. One of the supervisors had been a bully towards me and was absolutely nasty. Not one person is happy there, its a miserable place."
bad,They take members side all the time over employees even if they’re wrong. Environment is clique oriented and very hostile. Keep you away from your family
bad,"Done "
bad,Très mauvaise expérience chez costco ne recommanderais pas aucune ambiance travail stressant!!!
bad,"Hi,"
bad,"Costco is said to be one of the best companies to work for. The store I work at is corrupt, management is unfair and the store manager is incompetent. The store makes money by telling its vendors that items came in damaged that were not. People go out for food while on the clock. The store shows a clear example of favoritism in the workplace."
bad,"If you are different in any way or have any mental health issues, Costco is the worst."
bad,"Management will never fail to remind you that speaking with each other is forbidden, because it wastes company time, but will also never fail to spend 30+ minutes chatting away about their weekend to fellow managers. Everything is always your fault. Your hours (if part time) will be steadily reduced so they can save more money. When you are injured, they stick you in the office out of sight and forget about you. They ignore doctor's orders and yell at you to work harder despite your injury. They frequently ask you to perform tasks outside your job description. Training is non-existent."
bad,"While working there, they did not treat the temps fairly. It would have been more beneficial if they had treated us like real human beings, and not someone to be easily thrown away."
bad,N/a....not the greatest to work. Management sucked. Health and safety is non complaint. Waste too much food too. Never give staff any benefits and militant place.
bad,"Although this was a student program the company did not provide anytime for my studies and basically refused to lower my hours, whilst in school as well as not following my disponibilities, therefore causing me to quit."
bad,"At Costco, you never feel safe. Your job is constantly threatened if you get hurt, don’t increase speed constantly, fail to push yourself to the brink of exhaustion. They “time” the cashiers, causing them to throw items to across the register to the assistant ( I have huge  bruises and photos ). If the cashier doesn’t make the time requirement, they are suspended from the register for a number of days. You are hired at 24 hours per week, but they will schedule you for 40 without consulting you.. They pay better than average, but the one who pays, is you.  What they care about,  is production. I think the one thing Costco must invest in is a good P.R. Firm. The people who sing their praises, are employees who have nowhere else to go. They are often hostile to anyone who dares to disagree with Costco’s policies publicly, yet warn you in private, not to rock the boat. Be careful... It may be a bit more pay, but what you lose, may be more precious."
bad,"Kelowna store stay clear ...."
bad,"If you have a college degree at Costco it does not matter.  Experience in the various departments that you may work in does not affect the amount of pay per hour, starting wage is $13.25 or $13.50; after so many hours worked your raise kicks in automatically accordingly.  Most members are horrible customers because they know they will ninety-nine percent of the time get what they want from management.  You should have a very thick skin, the company has their very broad return policy and their old school ideological ""The Member is always right,"" credo, management will not back you up when you try to deny a return that is egregious or absurd in its essence.  Your degree from a university does not matter at all at this company; most of your superiors, General Managers... will not have a college education; this company prides itself on your loyalty to the company and getting rewarded accordingly; starting at maybe a cart person then over the hours and years worked, increasing your individual pay with time spent with the company.  But if you actually think that your college education will grant you an increase in pay at the outset, think again because at Costco: It ain't that type of party.  For real-for real."
bad,Management is a joke. They play favoritism and the only give them time off. You work your butt off only to get passed over by one of their favorite drinking friend that they hired on.
bad,"Pire experience, je me suis fait renvoyer sans explication pendant que je donner mon 101% pour eux a chaque quart de travail"
bad,"Managers and HR do not tell you about their policies during orientation most people don’t know the policies until they get written up or fired. Managers do not care about employees. Costco will fire you for calling out 2 days even with a valid doctors note. Training is half assed. Forced to work more than 40 hour weeks even if you’re part time. Part time members are basically full time with part time benefits(no health, no 401k, no pto)"
bad,Managers go around harassing and provoking employees based only on looks. They do not introduce themselves but instead state that you should know who they are.
bad,the management was beyond horrible from the immediate supervisor all the way up to the CEO. The way they handle serious allegations is degrading and disgusting. Would never recommend working there.
bad,At worked at Costco and asked Management to help me several times with issues at work instead they would just laugh in my face. Management is useless and they promote people not on hard work but those who react better with people. I think that’s why all the managers are unhelpful cause they are all brain dead. They also play favorites.
bad,Just don't waste your time with them. Its a nightmare. Their values are not up to the Australian standards and staff colleagues aren't up to the mark as well.
bad,"Not flexible and dishonest. Management needs training on Customer Service, Honesty, Loyalty and train the employees the same. Needs to be consistent with everybody."
bad,"Ajax Costco, is not a great place to work because of management. Management do not respect employees nor do they talk to them with any dignity. Everyone who works at Costco only cares about climbing the corporate ladder."
bad,Was told job security was a lie was told care for the employee was a lie. Bad experience unprofessional supervisors who need a lot more then experienc.
