rating,review
bad,This job was horrible. there was no room for error. they did not pay enough. they have a shortage of workers and make dem work five different people station. Then when layoff comes they lay off whomever that the boss is supervisor friends with.
bad,"If you plan to be applying for any Management or Manager position in any department, please re-consider.  Unless you really need a job badly to get by.  "
bad,Relaxed environment.  However the upper management is horrible.  And has personal relationships with regular crew members and allows them do decide what employees they keep or dont.  Very unethical place to work and it's an HR nightmare.
bad,started early with eyes on your production every day working for superiors that could not do the job you were doing. coworkers were best thing about job
bad,"Stress full culture.  Very low morale.  Management demoralizing, downgrading, always wants more and does not acknowledge employees for work well done."
bad,"Great mid management and execution teams."
good,"The work was great, I was hired on full time with promise of getting 40+ hours a week, hourly pay was good but didn't get enough hours to be able to keep up with living expenses"
good,Likely to get sent out on the road every day being a service tech and inspector. Learned something new everyday. Management was questionable at times. Small business so really only worked closely with 2 other guys and it went smoothly most of the time.
good,"4 Years of Professional Experience "
good,"Work schedule was relatively relaxed, but Management was challenged to provide resources to complete projects on time."
good,Worked here a long time ago for a very short period.It was a nice place to work with a decent set of lads. Very strict on timings and management reviews.
good,Good company to work for but need to make a change in several management positions with in the company. Good co-workers and really good working environment.
good,"Aggressive metrics, results driven but influenced by corporate. Heavy travel schedule (over 70%)."
good,Customers were generally very easy to work with as well as co-workers. Equipment was updated and taken care of. Work was up and down with the economy and construction.
good,I worked 10 to 14 hour days and during Christmas we worked non stop.  We only had about four months in the summer for all of the employees to take vacation time because during Christmas we could not take any time off.
good,"It was a great time working in crane, completely professional company, cash rich company, very old company, professional ethics are well maintained and monitored."
good,"We had a set number of liners we had to make for example 8-1.5, 22-2”, 6 3 and 4 inch pipe, the job was fairly easy, the pay was good but the management was all over the place."
good,Excellent workforce and vision. The company shows tremendous potential with a bright future for expansion and moving into new markets. My only concern is the absorption of other companies has cause strife and lack of continuity.
good,I worked on packing trucks with freight. Also put merchandise in boxes.Gathered the items that each truck was picking up. The truck drivers then signed for said merchandise before they drove off.
good,"Crane was an outstanding place to work, everyone was very friendly and like a family. Help was given when needed. Hours were flexiable and very understandable."
good,No bad comments. I think it was a nice place to work. Nice employees. Respect of others.
good,I work in a warehouse where we run reports to determine what product is selling well and what is not. We also run reports to see items on backorder and cross examine them with current orders to maximize out order output.  My co-workers are out going and fun to work with and that is a huge perk.  Hardest part of my job would be learning the ins and outs of the product.
good,"Work in a friendly work environment with helpful and considerate co-workers.  Management are easy to contact and discuss any potential issues as they arise.  It is a fast pace environment and requires a lot of standing and moving around, as well as using motorized equipment and machines.  "
good,Easy yet repetitive work. Small workplace so everyone got to know eachother. Sometimes we'd all get lunch together. Wonderful place if you're into holistics medicine.
good,"People are nice there and willing to help. Management supportive at some extend. You have goal and set of principles that you have to use. Aside from that, your work is on you and you are solely responsible for results. Extremely honesty oriented company"
good,"Like to work on cranes and pickers."
good,Plenty of travel. The company was fair and a good place to be. I enjoyed working a Crane Cartage Freight while I could. Risk of being laid off when business falls off.
good,"This company has the best training all around and the way to go. Advancement is a little slow, but the training is the best in the town"
good,The owner of the company is a wonderful person to work for. Daily paperwork and cleaning around the shop make the day fly by. The customers make the days even better.
good,My work involved research regarding selling technical papers into upstream processes for water filters and solar panels.  I learned an enormous amount manufacturing and how to conduct marketing and business development in that arena.  I also enjoyed the global traveling involved with the business.
good,"fun fast pace creative invirement. creating artwork for stationery products. managing art staff, learned new software programs like in design, photoshop, corel draw. co-workers were freindly and helpful."
good,Crane Herb Company provided me with the ability to be able to raise my children for the past 6 years and balance work/home life when they were younger.
good,"I worked at Crane, Henry & Dunn-Fox for about 2 years and they were very valuable to me in a variety of ways."
good,"One of the better companies I contracted with.  Focused on results and success, and give people the tools to get there.  Strong presence in Houston and the Philadelphia area, but locations across the country.  A very good option in an industry that has a lot of options, not not very many that are good."
good,"I was a supervisor for all depts. in the company in a union environment.  Job was stressful at times, management at the time made it hard on the floor supervisors."
good,Busy attorney firm in small town of Iowa where duties included transcription of legal documents for courts and clients. Attorneys were very easy to work for and with during this position.
good,"i work for crane for several years , first Through the agency , then direct hire, very secry , safe  place to work  for. they provide  good benefits , like sick days , payed vacation, over time ."
good,Inspection of Material for Railway & Non Railway Clients Before despatch as per customer specification & requirements
good,Loved learning new things everyday I worked with great employees and always had fun at work. Enjoyed the hours I worked and always had a smile on my face.
