rating,review
bad,"Don't work here, dishonest management and low pay, they steal from their employees. Very hot climate, no ventilation, management doesn't know what they are doing."
bad,Poisonous workplace culture where bullying and backstabbing occurs constantly. Management is well aware that it is happening and does nothing. Rampant favourtism by management. Low-skilled/lazy support personnel. Insufficient training for machine operators/maintainers. Employee committee that ignores legitimate concerns. IT infrastructure which is decades obsolete. The most dysfunctional team I have ever worked with. I wake up everyday thankful that I don't still work there.
bad,I would never work there again. Unprofessional and stressful. Promised training and never received any. No one was ever available to answer questions.
bad,The worst environment I have ever worked in. Politics are incredible. Butt kissing is the only way to stay in.upper management does not have a clue of what's going on. The quality of the product is questionable.  Bunch of amateurs across the board. Was involved with various plants and all are the same. Very poor management and politics
bad,"If you choose to stay, you will be rewarded. If you choose to leave you will never be rehired and treated like a traitor. Choose this company at your own peril."
bad,I worked 3000 plus hours a year and was forced to leave after 11 years in the job.  Very hard place to work. The management are all snakes waiting to get you. It's a miserable place to work.  Worse than being in high school.
bad,Long days every other weekend cover vacation mandatory ot no life people suck back stab nights are better no one there benafits good you get vacation good pay but they closed the plant one day notice thanks for your 30 plus years buy
bad,I notified them that I had confirmation of a 6.5 million dollar order from a customer on a Thursday morning.  This would have been a $250K commission check and then I got let go later that day.
bad,"They are the laziest people ive ever worked for. I was never properly trained because my first supervisor ""didn't feel like training anybody"", my second supervisor tried to find reasons to get people in trouble in fear of that employee taking his position. They worked me 8, 12 hour days in a row, my first week."
bad,work is always busy. I learned how to cook all of the food and what goes on each sandwhich. the management was as usual . the co-workers was nice and worked as a team. the hardest part of the job was not having the food cooked already . the most enjoyable part was not being busy .
bad,"The Weston Plant in Toronto is on strike. If you like crossing a picket line every day this might be the job for you.They have been on strike since Sept 6, 2013. Bad place to work."
bad,"This place sucks, dirty place. Staff and management suck. This had to be the worst job I ever had."
bad,I onloy worked here temporarily but in the time I did it was a decent job. The only thing I have to say is that they put me in a position and didn't instruct me properly as to what to do.
bad,"Terrible management and everyone is on drugs."
bad,Every day you go to work they are talking about closing the doors if you like living at work this is for you if you like second shift that is where you  will be working and dont ever make plans because you will be stuck with over time taht no one else wants they will teach you to do the job one way and don't feel out the paper work the way they train you it is the way they fire you if you dont do a check  leave it blank
bad,"I was trained in PDN by basically someone who never liked training me . She shows you ABC the next will be HXYZ. Never received proper training in both positions,CSR MGR has a communication problem as she never replies on time if she ever. Bigger issues are left unanswered and when you call you leave a message and not return. A girl who was training me left before my training"
bad,No air conditioning which makes working in the summer unbearable. You work HARD for the amount of money you get. People you work with totally suck. You basically go deaf working there even with earplugs. The guys are all creeps. Nobody is nice and they just care about themselves. It's nice because they give you free stuff sometimes and free special nice dinners but for how much they make they could just pay you more.
bad,"I have been with this company over 20 years. Management has always been questionable but never as bad as it is now! They aren't mean or harassing but they do not know anything about what happens on the floor, Some Examples:"
bad,Crown Cork And Seal pays great with free insurance for workers. the management staff are compete idiots. they don't understand that employees have lives outside of work. they expect you to find coverage for mandatory overtime they schedule and if  you ask someone outside your pay grade (who are more than willing to take a pay cut to cover your overtime) they will denied your transfer overtime form. they will wait til the last minute to tell you that its been denied. will switch your shift  your shift a few days in advance and tell you that we have a business to run. without the opportunity to find child care coverage.
bad,There is lots of buddy system and back stabbers don't trust anyone at all it's dirty nasty hot very dangerous and unsafe not clean house keeping is not done very well spills all the time into environment they have been fined for that cover a lot of stuff up I would not drink out of can's made by them there quality is not good at all company's have started to get away from them because they run bad products not safe and unclean
bad,Don't expect to stay in or move up if your not a butt kisser. The managers and team leads are clueless on want actually goes on the production with there employees.
bad,This is the worse company I ever worked in my life management and supervisors don't care about workers they don't understand people's have outside life families they just care about their union people that has been there for over 80 years most people there are over 65 years always talking about seniority and how many years they have working for the company the dosen't care about the new young people that's very sad not recommend this company to work never ever
bad,The place can't stick to the schedule people are always quiting due to the hours so you have to fill there spot resulting in 5 or 6 12 hr days in a row it's 110 degrees in there during the summer. I was written up for missing a day and still worked 50 hrs that wk. They let some people got over there point system and fire others who have the max. They hire old people that cause drama and can't keep up with there work load. Great pay off you don't want to have a life
bad,The hourly personnel earn their pay because leadership is busy covering up their mistakes and don't manage anything. The mission statement is in direct conflict with how they run the plant. The company does pay well and offers great benefits but they really need to work on providing better leadership.
bad,Crown pays good and the benefits are good but trying to advance is a challenge and almost unheard of . They are extremely prejudice and if you're not white your days there are numbered .
bad,Company doesn't care about their workers at all. Stressful work environment because nobody from the front office ever knows what they are doing on a day to day basis especially the plant manager!
bad,"I was promised 6 weeks of training, but received only 2 and was thrown on the job. Given 3rd shift after being told I would be on 2nd. Made time for a nightly coffee break to help me keep alert on the forklift, but then I was written up when I could not keep up with the production schedule. My probationary period was extended 30 days even though I still had a month of the original 60 day period left to go. I then accidentally damaged a palletizer with the forklift. When I questioned the floor manager  about the possible consequences of this, he told me bald faced lies, saying that he did not know what the results would be. I feel that he knew exactly what would be coming my way within the next week. 4 days after the accident, I was terminated from my employment, during the meeting, the accident was specifically mentioned. He is the worst excuse for a manager in the place, not that any of the other management is any better. High and mighty and above all of the lowly employees. In no way could I or would I recommend Crown Cork and Seal to anyone seeking employment. If I could give the company zero stars, I would."
bad,Management doesnt care about you. They will blame anything on workers and refuse to blame poor maintenance of machinery due to their need to run cans no matter what the quality of the machinery is.
bad,"Horrible management, they tell you one thing and turn around and do the opposite. 1 member of management actually got nose to nose with me cussing and screaming because i was helping a coworker. Pay is terrible for the type of work. It’s union, but the union only helps the workers that don’t deserve it, while they throw the good workers under the bus"
bad,"I worked at Crown Cork and Seal's Aurora, IL plant (#058) for fourteen (14) years and felt that it was the best job that I never had in my forty-five years of working for many different firms.  The pay and benefits were decent for my semi-skilled job as a Forklift Driver.  The people were decent also, better than at some of the places I have worked.  The Plant Management treated us fairly, for the most part.  In return, I came to work every day for (14) years and worked as hard as I could for Crown Cork and Seal, Inc."
bad,"I liked working there,but was only acknowledged as a TEMP. They like too keep you as such,which is NO GOOD.They need to make a position for what they need the most: Manual hand quality control."
bad,"15 years with company was very good place to work 10 years ago but since like all companies now cutting jobs and running lean as possible to make environment very stressful and very unorganized, pay is decent but not for a person looking to move up or get any improvement of pay, no pay sick time and definitely not a place for a person with kids or any out of work schedule"
bad,They are really petty about everything and management sucks unless your a man. I liked the job but not the people that work there.  The management is really contradicting like they said I was one of the best workers their but then want to fire me.  Doesn't make sense.  They didn't really give me a reason for firing me either.
bad,The press supervisor has no clue what is going on most of the time. 10-12hr shifts are the norm. Overtime on saturdays is scheduled when there is no need for it. Very short handed mechanics in press department due to high turnaround. New mechanics come in at last about two months and quit because of the exceasive overtime and lack of leadership in management. Pay is decent. Not a place to work if you have a family and enjoy spending time with them. Supervisors will sit in air conditioned office and you might not see them until the end of your shift.
bad,"Enjoyed my role as the Safety and HR role. However, training was very vague when starting in the position. At times, the office environment was very toxic and stressful."
bad,Great benefits but that is the ONLY good thing I am able to say for the plant where I worked.  Is run and controlled by clicks in the plant.  And management runs on cowardice and fear !
bad,"Wanting more out of the employees than they can give. If you want to work 6 days a week for weeks on end, then this is the place for you. And please don't have any accidents, they blame you for them and try to push you out the door."
bad,Job security is very low. You don't know if you'll be working all year or will there be an unplanned shutdown. Company policies are not well thought out.
bad,"Pay is above average, benefits are good. Work and life balance, there is none. Swing shift combined with 12 HR days leaves you tired allthe time after so long. Some cool managers but corporate has the final say. Production seema to be all they care about. Morale very low. I feel like I work in a communist factory."
bad,This was an old fashioned run company where people used to smoke right at their desks.  They ran things in an old fashioned manner and it was very cut throat.
bad,"Stressful environment"
bad,70 hour work weeks are common. The best part about working there is the group of hourly employees that have called that place home over the years. The hardest part is staying positive when the company doesn't show its appreciation or respect for the hard work that its employees preform daily.
bad,Crown Holdings is a stable company that focuses on employee development.
bad,load unload trucks do inventory and office work.how to become a team leader. really learned how to work safe and watch out for hidden hazards.
bad,laid me off three times in 3 years. Management micro menages.
bad,"I worked for Crown for 20 years including 10 1/2 months thru a temp service. They let you hang not knowing from week to week if you will be working there the following week. And they have gotten ride of people for asking about hiring. It's hot in the summer, and colder inside the building than it is outside in the wintertime, but the office area is very comfortable. It is an old building, but simple things to make it warmer in the winter are blantly ignored. Worked 21 turn for most of my time there, then we got a new plant manager and he sweet talked enough people into changing to 12 hour shifts. When people started complaining about the loss of money, he ignored them, them when production went down, he laid off 30 people and fired as many.These were the first lay offs in 16+ years. He installed cameras everywhere and punished people for the simplest things.New hires stood around and played on cell phones all shift and not a word was said. Corporate finally caught up with him and the plant manager ""quit to spend more time with family"" Job security has become a thing of the past. Good money and benefits are decent, but watch your back or you will get knifed."
bad,I would pack goods to be shipped off everyday. Friday monings we would have a meeting with the entire department. I learned to work hard and be on time. Also staying focused at the task at hand.
bad,"Terrible union, only protects bad employees, you can be forced six 14 hr shifts a week and if you don't want to work, then you get fired, okay money.."
bad,"Expect to never make plans. Overtime is frequently mandatory and surprise. Every time you have a meeting praising your dept. achievements, expect another the next day to tell you how poor your dept. is doing."
bad,"If you werent in the ""Good Old Boys"" club you were not able to advance.  Favoritism was rampant and if you needed help you were considered weak. Would never send anyone there."
bad,"I can only write of my own experience, and perhaps of what others have shared with me of their experiences. Overall, I have been unhappy working for Crown for the majority of my employment there, and I am not alone in that. "
bad,"I am not sure if it is all of the plants, but the one I work in is terrible.  I am part of the management team and it is still a joke.  The plant manager shows nobody any respect, but demands that everyone respect him.  Everyone is micromanaged and we are not allowed to make any decisions.  It is like we are high paid babysitters.  If you are looking for a boring job where you are put down constantly, but you get paid well, this is the one for you.  I would gladly work somewhere else for less money.  That is why I am looking after all."
bad,"Could be a good place to work if not for constant feeling of walking on eggshells fearing a write up or getting fired being a minute or 2 late from lunch/break, or running bad product from machines that are 60+ years old and dont get half the maintanace they need, and if they do get it its because you have to put in 60 hours a week to help get it done, not to mention the 60 hours you work all summer long anyway because of people getting fired and they dont replace them for a year or so.dont make plans for family time soon as you do youll be cancelling for even more overtime almost every saturday. Very high turn around rate for such a small company, so dont plan on retiring from there. There are some good people there to work with minus the few tattletells/brown nosers that secretly let upper management know when your doing something wrong. Does pay well and have good benefits however most of the time the stress and loss of family time isnt worth it."
bad,Crown cork and seal is alright by all means. Just poor management and not enough advancement. Union work so be prepared to deal with the union senority rule!
bad,It is your typical Factory job. I've learned how to run a production job and what bad management is like. There are great people there to work with but the hardest part of the job is having to deal with all the last min changes that you have to deal with that will effect your personal life.
bad,Okay job for older people who want alot of hours have medical bills and dont want time off. You only get 1 week vacation AFTER working a year. No personal or sick days. Call offs are a point system so you can use that if you want to get points. Over time is a must because you work 12 hour shifts. They wont tell you any of this in the interview or even after you are hired. The only good thing about crown is the people and company paid health insurance.  In a 12 hr shift you get 3 20 min breaks.
bad,Again.. Great place to earn a living and pay all your bills. Just don't get sick or hurt or they will outcast you. Their problems stem from within the office and leach to the work floor.
bad,"I enjoyed my job, but the senior managment couldnt see eye to eye.  This created a bad atmosphere and total chaos at times.  This job was also very demanding."
