rating,review
bad,Absolutely clueless and dangerous management . HR women makes rules up as she goes along. It’s a really dangerous environment. Someone will get killed. Just a matter of time.
bad,"verbal and physical abuse, and doing the job of 4 people to get criticized and harassed. like working at a prep school frat house except warehouse style. poor pay, no work life balance, just slavery and inept hostile mgmt. look somewhere else"
bad,Poor management.Unrespectfull.No training  time at all.No room for advancement.Management concentrates in whom to blame when a mistake happens.Stead of fixing the processes.
bad,"Please do not apply, or accept employment."
bad,"Starts ok then down hill from there. Comes across as a very open place but nobodys straight with you. "
bad,Management and HR are all for themselves. Getting to see HR is like pulling teeth. You are simply a number. Not valid. You here how much profit they made and your reward is a poxy voucher for the overpriced canteen . And a once a year profit bonus which amounts to around £15 a week before you are taxed on it. Christmas you get a 20 quid gift voucher. Spoken to like your a kid in school. No respect of its staff at all
bad,Prep and clean parts for grit blasting and thermal spraying . it sucked there i dint know why or how me telling you how it was working for those people
bad,"Don't recommend this company. Discrimination is allowed without anyone getting in trouble, with HR even being aware. All good engineers have left already. If you accept a job there, just remember they will use you and then get rid of you the minute they know you are smart and can handle the next level up."
bad,Jobs were outsourced for cheaper pay with no benefits - trained people with zero accounting or finance experience.  Managers left company before employee - they were smart.  Poor and uneducated managers were hired to fill in spots - that you had to train on the basic email system and excel.
bad,Working at C-W was like working at old failed and boring Westinghouse.  Mgmt took care of its own.  Period.  Nepotism & abuse of H1B visas is rampant.
bad,I interviewed there and staff seem terrified by management. I did not have a good feeling about the organization and maybe they did me the favor by overlooking me.
bad,"Never worked for a less professional group of managers than exists in the Idaho Falls location. Vindictive, hostile work environment!!! You need to record every interaction with management because of their lack of integrity."
bad,"HR are horrific and lost me my apprenticeship due to poor organisation and no clue what they are doing. "
bad,"Certain employees were great to work with. In comparison to other companies CW basically had there act together as far as computer programs etc. "
bad,"Poor Management from the Top down, incompetence at the top and no accountability for those who make poor decisions. The place is run like a dictatorship with limited resources and support to complete tasks. Projects are always falling behind and expect to have no work life balance. "
bad,"They will fire you at will, the management is a joke, work life balance is non existent. They can't retain any talent and no one there is happy. Glad i left while i could, they will work you to death for revenue and commit fraud and abuse while they are at it. They are lucky no one has called DoD ethics hotline on them."
bad,"Company used to be a great place to work, but they have ruined themselves over about 2 years."
bad,Mgmt. and culture from old failed Westinghouse has infected and diseased CW.  HR is lazy & mgmt goes above and beyond to take care of itself.  Period.
bad,"...dass ich nicht Lache... Sie suchten nur Jemanden zur Überbrückung von Personalengpässen, mehr nicht."
bad,i got laid off after 1 week for no reason at all they said my assembly work wasn't up to scratch but never assembled anything in the short time i was there.
bad,Corporate needs to go in there and clean house. The management of this facility is horrendous. The equipment belongs in a landfill. Stay away unless you need a paycheck.
bad,People are focused on individual results only; management lets certain unethical issues continue; work-life balance is nonexistent; do not care how you achieve your results - just the fact you get there.
bad,Many have come and many have run away screaming and yelling.  A high turnover rate in an accounting department tells a lot about a company. The End.
bad,"The majority of all departments work more than 40 hours and that is very much ""expected"". Many people are unhappy but have been there so long that they believe they cannot leave. The benefits seem great, until you begin using them."
