rating,review
bad,"Horrible job.  Do not work here.  The pay, culture and management were awful. I’ve since worked for smaller companies and made more money.  So glad I left."
bad,Not a great place to work. I had 30 home in various stage of construction plus the were all different models with different finishes. Most supers only had one build model. I had 4 build models
bad,Cheat you out of your money want you to work 60 hrs a week. They don't take care of there people. They do not pay for gas and no reimbursement program. They are the biggest home builders in the country
bad,"Everyone is pulling for themselves. Nobody is pulling for the company, nobody’s pulling for the customer. Total chaos. They make promises and don’t keep them.Management seemed clueless at times. The company direction and motivations were never clear."
bad,"Full of empty promises.  Everyone loves to play the blame game and management will curse you out and talk about the other sales agents. If you go here, you won't stay long."
bad,"no advancement or pay raise, worked sun up to sun down company looks at numbers not buyers. I enjoyed making customers happy and see a smile on there face"
bad,"Loaded me down with an impossible number of homes which could not be adequately carried by 1 superintendant.  Makes it almost impossible to make bonus.  Found out I was looking and fired me 2 weeks before Christmas.  If that is the corporate culture you want, then this is your employer."
bad,"Worked for Dr Horton for the past year in New Smyrna Beach FL. Cut throat company, low skill labor, and bottom of the barrel material. Company only cares about quantity, quality is not their concern. My recommendation is don't buy one of these!"
bad,"The reason HR rules exist is for companies like this. It is the model for toxic work environments. The new Construction Manager Assistant in Austin is on his way to becoming the head of construction and it is going to be even more toxic."
bad,"Take into acct people who uproot their whole lives accepting a job that was supposed to be permanent, on our own dime moving our whole home 5 hrs away and kiddo to a new school to work at your Camp Horton Ranch in West Texas busting our butts 14-16+hours 7days a week not giving us any corporate paperwork/benefits as promised when told we were hired after our probation period (2 weeks) and then your Camp Horton ends and we get notice and our last paycheck a week later (not even been there 3 months) that we are No longer needed nothing to do with our work it was great they said and corporate is telling the ranch manager to downsize and tell us we have a week to move out.... Yeah thanks a lot Mr. Horton & Corporation for destroying our lives now we are having to move back home thank God we didn't sell our house. Nice way to run your company and real slick to screw us out of recouping any moving expenses either way or probably unemployment too. Way to confirm to us all the stories on how your Company treats people is actually true."
bad,Awful place to work. No life balance. Expected to be on call 24/7. No support from management. Always had  to look over my shoulder to wonder who was next to be fired for no reason. Was a manager and never could make decisions on my own. Always had to run it by my manager and would take weeks to get a response from my manager. Overall a hostile environment.  Worst place ever to work at.
bad,"I worked for D.R. Horton in the Seattle Wa area in 07-09 so things may have changed a little but I doubt it. As a sales rep (their word for realtor) you are expected to pounce on customers the second the walk in the door (which is their floor model house.) They even asked us agents to follow customers out to their car to try to get them to view a home. Creepy, creepy creepy management style."
bad,"No worklife or career advancement. Management makes many promises but in the end they don't keep them. They expect you to work 24/7 literally...while others work whenever they feel like it. "
bad,Not a good company to work for. Did not learn anything. Some co-workers were ok.
bad,"This company is going to try to sell you on culture, be sure to get examples of this “culture” and know it’s a farce. This is a company where it’s not what you know but who you know. If you are not well liked, there’s no amount of knowledge or skill that’s going to be of aid to you. If you go in knowing you’re going to be over worked, underpaid and just a number to management then you can’t be disappointed."
bad,commissions are capped and you are expected to be constantly available to management. DP shows off multiple high dollar vehicles while employees struggle to make ends meet
bad,Margin driven company that doesn't care about their employees. Sales people are treated like children...they are talked down to while they bring in the majority of the revenue.
bad,"Originally this job was great.  Morale was high.  Management was stocked with talented people, the sales team was amazing and full of really high quality pros (most of which have left and are performing well on their own.)  Neighborhood locations were excellent, ranging from the southeast to Henderson to southwest.  The Division seemed to get all the good spots and its locations were the envy of other builders."
bad,Area manager in WCFL is lazy and don’t know anything. Rides around to only the sub division where the flirtation sales ladies are and the other ones he just call to see what’s the progress is. And if you challenge him he will write you up
bad,"Nepotism runs rampant in the Woodland Hills office, plus ..."
bad,Worst builder to work with.  Product is shoddy . No loyalty in the company . Seriously poor sales management . Sales continuously have dropped this year. Because their sakes manager can’t run or hold a good team. Can’t make their numbers and have not made numbers in 3 months due to poor agents/sales management . Huge lack of leadership in the nashville division .
bad,Nashville division has a Toxic environment full of people that don’t really know what they are doing . Management was VERY uneducated . Land acquisition is shifty at best. Constantly purchasing land on sink holes and telling agents not to disclose it (which is illegal.) sales manager is one of the worst in the industry that I know with all the builders in town this is the last one I would recommend working for . Company holds no loyalty towards employees. Everyone is replaceable . Their sales numbers have fallen since hiring their horrible sales manager .  Numbers have not been met for over 3 months straight and have consistently dropped .
bad,"When i first started their it was great, it was a little frustrating because my supervisor didn't know her job well enough to train me. The old supervisor left and the new supervisor didnt know anything as well....i felt under paid, with the most jobs to keep track of 807 homes. I Had the same amount of experience as one of the permit coordinator (20 years) and she made alot more then me ( with less jobs to track)...the new supervisor was very very rude to me ( only me!!!) I never worked for company that had clicks and groups to be apart of. Overall this Division need help from the corporate division because they have no structure AT ALL!!!!"
bad,"Chew you up and spit you out culture. Turnover rate is through the roof. Worked for them twice, once on East Coast once on West Coast and they bully their own people to the point of burn-out. Too wrapped up ""in being the number one builder"" and constantly over-extend their vendors' capacity. They pay as well as any other national builder, but if you are looking for some kind of pride and satisfaction from your career, stay far away from DR Horton."
bad,"I worked as a Marketing Coordinator in DHI's marketing department with the understanding that this was mostly a creative position (I'm a graphic designer by trade). Since this seemed like more of a copywriting/coordinating position than a creative one, I probably wasn't the best candidate, and was miserable the entire time I was there. Upon being hired, they knew I had no experience with designing for this industry, so to be fair, they gave me a little time to learn the jargon and the MULTITUDE of rules for creating marketing materials for a mortgage firm by giving me fewer, easier jobs to begin with."
bad,Was a Field superintendent they don't explain every thing about the job in the interview. Over load you with work and no support. Beware of the construction mgr. salary pay at 60 hrs a week.
bad,"I would never tell anyone to apply to this company, it would be better to starve than go to work for DR Horton!! Or at least under the current self absorbed management team. "
bad,Only interested in quantity over quality. The employee doesn’t matter and neither does the customer. They only care about profit margins and meeting sales goals. Lacks good management and leadership. They are constantly changing things to fix what they changed before and still can’t get it right. They’ve had 3 different sales managers in 3 years.  Turnover is high!  You are expected to achieve unrealistic quotas with little to no help. Not a family oriented company whatsoever.  The only positive attribute is being able to help the customer achieve their dream of homeownership.
bad,Its unfortunate. I had high hopes for it being a good job. I enjoy the field I work in but management is extremely lacking and a very high turn over rate. And they want the deadlines met but wont accept any overtime when they know its necessary.
bad,"Its a great environment if you want to change software and hardware every 2 years!"
bad,"I worked for a company that DRH bought out and the old ways were preserved. I was an newbie, an outsider and was eventually railroaded after a witch hunt. The compnay culture was awful and no changes were made to make it any better after the buyout."
bad,"Great co workers, fantastic division president, terrible reject dominion homes sales manager, and lack of land opportunities. I think if they could fix these two issues quickly it would be an amazing place to work!"
bad,"New management is a joke. No one knows what they’re doing. Morale is the lowest it has ever been, they stripped our commissions, capped our earnings and drove a Division into the ground. This used to be a great place to work. This Division used to be one of the top producing Divisions year after year. It’s now an embarrassment! Bring back the former management please!! Management needs to stop intimidating and demeaning its people!"
bad,They would load you down with a lot of houses (45-60 houses) some in other communities. You would have to train your Assist Superintendent because he had no experience. It was about  getting the houses out and not caring about the quality and warranty on homes D R Horton also favors people if you not in the click you don't get promoted.
bad,"Corporate political politics exist in this industry. No avenue to address grievances. Women is traditional roles, i.e., administrative and clerical. Tokenism in diversity and female management positions."
bad,"Just don't do yourself the disservice of seeking a position with the Houston South division if you are looking for an employer whose culture fosters the growth and development of its employees."
bad,"When initially hired as an assistant superintendent, I was assured that after a year's worth of gaining experience, assistants are promoted to ""lead superintendents"". This could not have been further from the truth. It seems management likes to promote their ""favorites"" even though these individuals do less than quality work. "
bad,"Treat their employees like machines,  not people. Corporate culture was just horrible,  cut throat and back stabbing. Customers came first and could speak to employees however they liked and even cuss you out,  it was acceptable.  Management didn't care about people,  just their bonuses and they usually weren't available;  too busy with hair appointments,  obgyn appts, flying their plane or hunting."
bad,Salary and benefits are good.  Management is all about themselves.  Very little positive reinforcement.  Much better homebuilders to work for in Houston
bad,"Disrespectful, they tell you to ask if you do not know, but when you ask, they talk down to you like you are stupid.  They come in with a bad attitude most days, but if you are having a bad day, you should have called in sick, but calling in is frowned upon."
bad,"Poor management, broken promises and non existent managerial support. Will throw you under the bus in a heart beat. Good bonus structure and nearly unlimited resources"
bad,"Don’t sacrifice yourself. Hours are Monday through Friday 8-5, but if your pouring concrete at 3 am your still expected to work until 5 and only salary so no overtime."
bad,"Vice President of construction has no management skills and is miserable to work for.  People advanced who were buddies with upper management "
bad,"Don't work for DR! They are shady. Do your research before agreeing to work for them. Their ""office assistant"" runs their entire MLS listings and puts her name on them. All the leads through the MLS are ran by her. Its VERY unfair and pretty shady. I had to report them to the DBPR and the NAR. You will be promised things that never happen. For example, they will tell you that you will make lots of money, that they will put you in a community with a lot of traffic and leads.... its all lies. They have really bad turn over, they are overstaffed. They have some good agents working for them its a shame that a great agents are wasting their time with a dishonest builder. They will ask you to lie, and cheat your way into deals... its really bad. Like for instance, they are offering 10,000 off on a home, they have fees that they have to pay (as a builder) however, they tell their agents in sales meetings that you have to tell the customer that the customer has to pay the fees(that the builder is supposed to pay)! Its really shady to the public!"
bad,If you do get a job on their help desk don't become comfortable because you will be fired they have no value in the employees they have on the helpdesk. The management doesn't care about the employees the team leads don't know what they're doing the manager has no idea and the upper management people don't seem to notice or don't really care. So if you do get a job there be careful.
bad,Construction manager will lie and scream at clients to save his own hide. not a place I wanted anything to do with. Clients hate the experience and upper management cares about only the bottom line...
bad,there are many advantages with working with a large company. The many locations and benefits are great. the pay was competitive and the structure was within industry standards
bad,"Extensive amount of overtime, most with little notice given. Very hard to have a family/life balance here. Management does not apply same rules to everyone. Prepare to spend most of your time in meetings then be reprimanded for not moving fast enough."
bad,"D.R. Horton is good if you want a lot of experience and responsibility fast, but they burn out talent by being understaffed and not compensating appropriately."
bad,Constantly changing rules to benefit few.  Making it difficult to excel overworked. Management complained and you would even get reprimanded or moved if took time off
bad,"They want you to work 50 hours weeks with only pay for 40. It is just not worth it when the stress carries over into the weekend, don’t recommend for anyone"
bad,"Responsible for 30+ Homes at minimum"
bad,"Worked at the company for 6 years. Applied for multiple transfers yet other technicians with less certifications, experience, or service with the company were promoted ahead of others as well as given raises. There was a lot of nepotism and cliques in the department as well."
bad,"Worked 10-12 hours daily for 2 years, never received a raise, was paid for 40 hours every week. they are turning out unsat homes from the Phoenix Division. I asked for help for 5 months due to the speed of the build and homes not being correct, I was fired for poor organizational skills. The management here does not care about the employees. The mandatory meetings they have are useless nothing ever gets accomplished."
bad,Expected to continue to push the bar higher with increased productivity while compensation lags behind. Difficult to get subs to perform at a high level when their bids are continually pushed down. Do not pay auto or fuel allowance and there are great demands covering wide geographical areas.
bad,Typical day is always stressful.  We have a manager who has no experience in forward planning/project manager.  Manager is an architect who micromanages and is a narcissist.  Ego is through the roof and constantly puts people down.  Never satisfied with the effort or work performed and makes sure people know they were close to being fired.
bad,"Though I had consistent success with the company. There is a very real chance of burn out very quickly. Apart from working every weekend (if you have a family it will very difficult to balance both Job and home) I was expected to drive from Montgomery to Birmingham a 60 min. drive very Friday for sales meetings (which was not told to me prior to taking the position). It is also 100% commission only 2% not the standers 3% you would get for being licensed, even though most of the time there was not a buyers agent. I also found management to be untrained and inexperienced. Sell, sell, sell is the mantra and little to no regard is given to the sales team, even though that is what holds up the company."
bad,"Since I am currently employed, I reserve my right to my opinion.  At this time, my earning  potential is limited due to overpriced product."
bad,"Very toxic environment.  No communication. Management are all very immature and petty.  If they decide they don't want you around anymore, they write you up and/or demote you then terminate you. Employees are scared.  Many have left after being demoralized.  Their motto ""We build people too"" is laughable."
bad,"If your in management and good at your job, it is not if, but when, you will be stabbed in the back by jealous coworkers. Sad because you should be a team, but everyone is out for themselves."
bad,"This company/division in Portland, OR treats you as a number"
bad,"Stressful, extreme lack of communication from management,"
bad,I spent 14 years here. The first few years were good and then we got bad management in. It really changed the culture. It was time for me to move on and pursue new dreams.
bad,This company cares more about the fast paced production and hitting numbers than they do about the customer or the employees. This is why there is so much turn over and no longevity here.
bad,"Just not a good place to work there, especially for a temp/contractor worker. They look down on temps and treat them badly. No respect for temp workers at all. A horrible office coordinator that didn't like the hard work that was done by a temp, once word got out that the temp would be hired on for a promotion, the office coordinator showed complete disgust towards temp worker, even as far as to go and have the staff turn on that person, possibly with lies or exaggerations just to make the temp worker feel miserable enough to just walk out on the job."
bad,High ratio of turnovers. Employees are overwhelmed which give little to no work life/balance. No yearly increases or bonuses.
bad,"Their's to many reasons to list as to why they have so much turnover with the Superintendents. "
bad,Management will release well qualified sales/brokers with proven track records WITH HORTON... then turn around and hire new brokers with no proven track record or success? Years of great results then a bad performing quarter and you'll be released. This is poor management and a great example of being treated as a number with no employee appreciation.
bad,No work to life balance. It is all about the sale and not the customer. Buying a home is the biggest purchase in someone's life and they are not treated with the respect they deserve.
bad,Some superior people but some bad apples. Great homes and designers and warranty/customer service. Appalling  work/life balance. Excellent benefits. Great PTO but pressured to never use it because of company’s ambition to reach  #1. Morale is low.
bad,"D.R. Horton is about as typical of a publicly held company as it gets. The numbers handed down from the corporate office are paramount. As a homebuilder you won't find another place where you can garner as much experience in as little time and earn as much bonus money. The people in the division offices are generally good people and I enjoyed my colleagues greatly,There is a tremendous amount of freedom in being able to call your own shots and decide how you want to run your subdivision. but that's about where the positive stops.  You will be forced to close homes that are not ready, no matter how fast you build, they will want it faster. Every month they scramble to pull more closings up in order to meet over inflated budget numbers which results and unhappy customers and over worked supers. you will not be promoted past a superintendent unless you have been there for over 15 years and are in good with the current managers. merit doesn't mean a whole lot here, you can be the fastest builder with the lowest amount of warranty and it's likely the slowest guy that builds a terrible home is only paid a little less than you. you will be a number here, they will try to tell you otherwise, but stay long enough and it will be apparent."
bad,"Started out good and went downhill from there. Micromanaged, treated as if you couldn't make decisions.  There were favorites who always got the recognition. Co-workers not very happy but stayed because the money was good.  The customers loved their product and the attention they got from agents.  Surveys given to customers and agents were blamed for things they didn't have control over, like construction issues or design center issues.Offered good benefits."
bad,"The Huntsville division where I worked lacked proper management so lazy people hardly worked and got paid more while hard workers just worked harder and were paid less. This division lacked a ""team"" mentality, instead people talked about others behind their backs, HR talked about private business around the lunch table and the stress was high for those who worked hard. The attitude of DR Horton is to sell cheap and not worry about ""doing the right thing"". Warranty issues were out of control at this division! I don't think other divisions were ran like the Huntsville office though. I sure hope not!"
bad,Upper management not capable of managing under the conditions of the economy.
bad,"This company is one of the best corporate's I have worked for in terms of benefits. Management needs some improvement. For some this is a perfect fit, if you get along with the right people."
