rating,review
bad,"The management was a total joke, made a couple dollars above minimum wage in exchange for an absolutely crushing workload. The managers are stressed and the company treats them like dirt"
bad,"It was a very non inclusive work environment.  It was favorites are promoted and the worker bees ignored to keep them in their places."
bad,"Typical day at work: Come in and get belittled by management as well as customers (Since Day 1)."
bad,there where the managerial staff that would do nothing to help you and are always changing the schedule and putting you to work the days that you are in school even when you give a set schedule.
bad,very overwhelming. regional directors are clueless and turnover is really high for upper management. pay isn't ideal and management as a whole doesn't really work together.
bad,"Poor management contributes to terrible store culture. Manager leaves store to interview with other companies. Manager does not keep store up to safety standards. Manager ignores/covers up"
bad,"When working here managers were constantly late, I worked opening shift meaning I couldn't get into the building, and when late would yell at me and my co-worker for being behind schedule. Schedule was made 3 weeks in advance but had the possibility to change 4 hours before your shift was supposed to start. went two weeks without having a single shift when I was scheduled all week when the schedule was made. Terrible workplace."
bad,"The expectations are immense and head office throws more on as the day goes, so you can never get it all done.. customer service is not the priority even though that’s what the preach. Upper management expectations are unrealistic, but they get a huge bonus and you don’t.. they only care about hitting targets and you as an employee do not matter"
bad,"I was hired as a store manager for this company. My training was pathetic, the first week was a bit of product knowledge, and store routines, the second week I was used as a cashier so the  ""training manager"" could work on her snake flow.  I was then placed in my store while the existing store manager was still there, and bitter to be leaving, so that was very uncomfortable.  I then took over this completely broken store. I had to hire all new staff, so at that point everyone in the store was brand new, during their busiest time of the year. The DM was pretty new, very disingenuous, and either had no idea about the condition of the store or was dishonest about it when she hired me. At first she said that we just needed to get through bts and then we would worry about getting the store cleaned up and the standards in place, but then she found out that there would be a corporate visit. Two weeks into my time in the store she told me that I had to have the entire store 95% cleaned up and all standards in place by her visit the following week. We did try, but with it being back to school, everytime we would get a section completed it would get completely destroyed again, and with all new staff, they were not trained on the standards, because there wasn't time to do so. There was also a huge focus on the rewards program, the expectation was 70% and anytime it would drop I would be told that I needed to take over on cash to get the score back up,  so with that said, it is impossible to clean up a store from the cash desk. I was let go exactly one month after taking over the store,"
bad,"very bad place to be there, bylling is real there, brainwash is there as well, management is a so bad to you and very good to themselfs, you have been treated as a slave in DSW EVERY DAY"
bad,overworked and underappreciated. I was a college student while also working and I would get off close to midnight and then have an 8 am the next day. The managers did not communicate well about the schedule.
bad,This is a ok job for a younger person part time to make some cash and gain some work experience in slow motion environment it can be good retail experience.
bad,Horrible place to work.  You will barely get any training and they expect you to know what you are doing after 1 week of self learning.   HR and the District managers are all  corrupted and most of them are from Townshoes which is no longer here and you wonder why.  They won't support you in anyway what so ever.  They will just blame everything on you even when you ask them for help or advice.  This job is good for people who just wants the 30% off shoe and don't care about working only 3 hours a week.
bad,"The managers were very rude and unhelpful. Barely received enough training to handle the register. Manager was too busy on their personal phone to help out when needed. Store manager even yelled at me in front of a customer. Never felt so disrespected in my life. Very unprofessional, would not recommend working here. Also I’ll add I had open availability all day all week and only worked 4hrs a week."
bad,"The only good thing about this job is interacting with your co workers and customers. They work you extremely hard with little hours and barely any breaks. Restrooms are filthy and they're to cheap to hire a cleaning company, so they ask the employees to clean it."
bad,"The Kendall Gate store is the WORST store to ever work at. The manager is the rudest, most condescending and inconsiderate person I have ever come across. They have unrealistic expectations and boss you around like a slave. If you’re confused because they don’t give clear instructions, the manger will talk to you like you’re an idiot in front of the other employees. The assistant managers are also clueless and inconsiderate and have poor communication skills. This company doesn’t care about their employees at all. Working here was the most awful time of my life. The only pro was being able to call out without any consequences because the managers are just THAT dumb and permissive & the 30% discount."
bad,"Job was stressful other employees just screamed and talked to each other instead of helping customers on the phone, Could never get ahold of a manager for help or questions just was not a good place to work."
bad,"They only allow certain people on cash. While others hustle all day cleaning up the aisles. They don't know how to divide the work fairly. So many people come into the store look at shoes, but not all of them buy shoes.  People in the aisles are constantly working and people in cash are just standing waiting for customers. And, its all about kissing up to your managers to get more hours. Before I would get 30+ hours a week, later I would get 3 hours a week. I don't know how it is there now (hopefully better) but when I worked there, it was awful. My coworkers were nice though, management was a joke."
bad,welcomed and every pain avoided. But in certain circumstances and owing to the claims of duty or the obligations of business it will frequently occur nk
bad,"No one listens to associates in the front line "
bad,"The company does not care about the needs of the employees. After working there there is barely any raise. You can make more working anywhere. They use dayforce to track shifts which is nice but they never look to see if anyone requested days off, so it makes it difficult to take days off for important matters."
bad,"The store manager at the Cumming, GA, location was unimaginably crass and unprofessional. She was ultimately the reason I left DSW. She would always belittle my immediate boss (the Warehouse lead). And when she started thinking that I was giving less than 100%, that's when I said adios! And on top of that, the pay was dreadfully low, and my hours would end up being cut far too often and drastically just to look good for corporate. Ugh! Thank goodness I left!"
bad,This is a terrible company to work for. The management is completely unorganized. The workplace culture is filled with extreme amounts of stress due to the lack of support from the company. The customers are extremely rude and verbally assault employees daily. The best part of the job was getting paid on a day off.
bad,"Your typical retail, customer service job. They really drive their free membership program, and associates are punished if they are unable to get customers to sign up. Managers have no concept of work-life balance for their student employees."
bad,"There is no advancement. The only thing this company is good for is the discount. i would only work here if you're 17, 19, 20, 21 and in college. do not work here if you have family,"
bad,"If only this company cared for their employees as much as they did the customers. Terrible management causing everything else to fall apart in the store. "
bad,"this was not a good job. my least favorite. not a good environment, too fast-paced with no structure. did not feel like the company cared about its employees."
bad,"The minute you walked in to work you would be getting yelled at about what was going wrong e.g SLR, conversion majority of the issues were out of our control. We would have to nag customers even when they did not want our help. Management was unprofessional. Bad mouthed the sales associate on the floor where the shoelovers could hear. Usual day would be associates on the floor alone while the managers went on a 1 hour smoke break or both managers would go on their break together. For them to come back yell at us that the floor was not handled properly. If we were supposed to work both manager and sales associate they should have payed me for both."
bad,"it was welcoming,  nice co workers,  organized sometimes ,barely any shifts, bad training , undetailed training , bad scheduling , bad shift times, no notice"
bad,"this was a terrible job. I was constantly pushed into customers faces even if they had already said they didn't need any help. I learned the do's and don'ts of proper customer service. Management was absolutely terrible, intact the hardest part of the job was getting yelled at for no reason about 5 times in 1 shift. The most enjoyable part was leaving work everyday."
bad,"Retail requires way too much, first of all. The only thing I really liked about working at DSW is the massive floor space. I stayed slim and trim working there."
bad,"Helped open a new location a year ago, and it was one of the worst work experiences i've ever had!"
bad,"working with a whole group of dominant females when i am a dominant female was not a great idea, rude management, rude employees, and stupid rules to follow."
bad,I would compare working at DSW to being in high school. The manager had a small group of employees that were her favorite and she would assign hours and shifts according to her preference.
bad,"I don't even think they care much about customer service because they're too busy pressuring us 24/7 to sign people up for rewards membership. Honestly if you ask me, that's enough to drive one person crazy and completely never come back to work here. Management is poor, we're constantly getting new managers so it's hard to get to know them as a person, and the work hours are horrible. If you care about your personal life, do not work here. Only reason I would recommend working here is for the 30% discount, other than that please look the other way."
bad,Assist customer's on finding the right shoe for that certain occasion and helping them purchase it. Greet customer's call other stores if we didn't have their size or the shoe they were looking for
bad,Management is horrible managers don't want to work. They changed the discount back in may 2017 we used to get our discount off sale items but we don't anymore.
bad,Worst Job Ever the manager was the worst and the fact that I was a minor at the time they would want me to stay past 1 am to work although they knew that it was not legal to do so.
bad,"Not a very good company to work for.  Management does not care about the employees.  The majority of the employees are 18-25 so you know what the atmosphere is.  The DM's are lazy and only give the best hours to the employees that they like.  Poor training, poor pay."
bad,"The managers at my location were incompetent and rude. They never properly changed associates so a lot of them would do the job incorrectly. As an associate you had to do everything even clean bathrooms. They expected  too much for such low pay. Managers did not communicate, and had poor management skills."
bad,I worked at the Richmond Bc location they opened recently and it was the most terrible place I ever worked for. I applied here thinking it was going to be a good place to work cause the dsw stores in states seemed pretty awesome but I regretted working here ever since i started.  Everyday coming to work was horrendous the managers were rude and dumb. The atmosphere was awful just waited till when my shift was over every time i came in for work. Half the ppl that joined this location left cause of the management there was awful. Idk about any other dsw stores but this richmond location was a nightmare.
bad,"I will never work for this company ever again. management is poor, training is poor, treatment is poor, and the breaks are only 15 minutes. There is everyday micromanagement and the managers do not do their jobs."
bad,Was one of the worst job ever they only kept me for a couple of days and let me go because of family emergency wouldn't recommend this job to anyone..
bad,This is the worst job I have ever had. Zero practical training and no consistency in management and expectations. I would not recommend this company to anyone
bad,"I have worked here loyally for 4 years. I have been full-time, part-time, and an assistant manager.  This place used to be fantastic to work! Loved it and the people.  We have went corporate over the last few years and all of the benefits the sales associates received were taken away- to fund a trip for head office.  They will ABSOLUTELY not work around another job and will either force you to leave your other employment or to leave them.  Management is extremely disorganized and you will never be appreciated for the work you put in.  This was a hard job to leave since I was there for so long and the time I had beforehand was great but the company no longer cares about their associates and they make that very clear."
bad,"The worst company I have ever worked for.  The managers and upper management are more concerned with furthering there careers and pleasing a bully."
bad,Was not a good place to work. Management was very careless and did not like to address issues. Only there for some part time work during school. Would not recommend.
bad,managers are awful and treat staff as little ants. Very condescending and rude. Customers are sometimes too demanding. The hours were long and it's a lot of labour. Head office is extremely demanding and would never work here again.
bad,Managers do not adhere to their staffs needs or have any regard for the wellbeing of their staff if it does not benefit themselves. They are not willing to work with a staff member regarding advancement or transfer throughout the company. As a staff member I was treated very poorly and unfairly by new management due to oversized egos.
bad,"Hardly any hours unless your management,  you stand around and hope for customers, your forced to sign people up for rewards even if the customer says no, your told no eye contact just get their info! Worst customer service ever!!!"
bad,They dont pay you for your ability its about  favorites in the company the change policys to not pay you. The discount sucks. no incentives. no peps just stress no advancement
bad,Work life balance needs improvement. Hours terrible and job expectations are too much for little opportunity for advancement.  This company is experiencing too many changes too quickly.
bad,"Everything about that job was bad.. Employees,  management, the job itself just everything I would never go back to that company. I also would not at all recommend to anyone to work there at all"
bad,"The work was very monotonous. The management was not supportive of their employees, and there are not many opportunities for advancement."
bad,A typical day at work was walking around picking up trash from the aisles or putting back boxes left on the ground. The management was quite horrible and unreliable. The only enjoyable part were my coworkers.
bad,"I applied for this job because I was a long time ""shoe lover"" shopper at dsw and thought it'd be nice to work for a company I loved and loved to shop at. Had I known how terribly they treated their employees I would have never shopped with them as long as I did (since working there I no longer will shop there). On my interview I was not told I would be their cleaning crew including vacuuming the whole store, dusting, mopping, window cleaning, bathroom cleaning ( with as large of a corporation they are can't they afford a cleaning crew to do a thorough cleaning of the store?). I was also not told I'd be lifting 50lb boxes of shoes to be stocked at 6am. Management was horrible always cut your hours, changed your schedule last minute with less than 24 hour notice and sometimes no notice at all. A lot of times worked double shifts for employees who did not show up for work and not given breaks for lunch. Bathrooms were broken and backed up with raw sewage settlement for a week and a half and we were told to use the bathrooms from another retail store next door. I am a employee who likes to stay with a company for awhile and when asked by district manager how long I've worked there I told her 6 months she sounded ecstatic and said oh! You've been here forever! I was so shocked by this response, but after workig there for 6 months I can see why people don't stay much longer than that. Very high turn over of employees."
bad,very unprofessional management. made it very uncomfortable to work with managers. would take about and do things that were no where work related. i would not return to wrok for this company
bad,"Different expectations for different employees, in other words management didn't hold everyone accountable for the same standards. Management always gossiping. GM always late, also very passive agressive. They also have you almost harassing customers when they enter the store, when they enforce customer service. I had an experience where all of the managers were up front and greeted the customer and made me go customer service him right after and he was irritated and asked if he could just shop? There was always so much drama going on, by the end of my year and half there I dreaded going in to work."
bad,"TERRIBLE. You never get any hours, literally the only thing good about working there is the discount. Avoid this like the plague is if you want a job where you actually make money!!"
bad,"•	customer service, selling, up selling"
bad,"I recently worked there and it was the worst experience ever. The management was rude and didn't care about what you were going through. The pay on the other half was great. Lots of favoritism. Horrible when it comes to training people. They expect you to watch a video and have everything in your mind and ready to work the next day. Very forcing to get ""Rewards"". If you don't, management ""bans"" you from the register. They need to have Corporate come out and see hows this place is ran. Lets send in some secret shoppers."
bad,"If you are looking for a low company to work for. DSW would be it !  I contributed ten years of hard work into this company, worked on their projects out of town and even out of state. Until recently new management came in, decided to pick out my flaws ( like is that even work related) also tried to tell me I wasn't doing my job right. So your telling me I was trained wrong ? Then basically its your own Companys fault. Lord knows if the Manager even knew what they were doing. They sit on their butts expecting you to get the job done.  The district manager basically smooching up to the managers butt. Bet to trade places these ""managers"" I talk of wouldn't be able to do half of what I did for that place. I  had quit my job with them. At the end, the hard work i put in was never taken in for consideration, instead they wanted to lower my pay. What a joke ! They don't care, these are people who sit on their butts and do nothing but tell you you're doing it wrong when you're the ONLY one doing all the work !"
bad,Company Values are not up help especially by upper management.  However discount is fantastic. Benefits are great. Excellent shoe selection.
bad,Worst company to work for. It is all driven by women. The managers are not open and can do things that you never expect. Management is poor. There is no work/ life balance. People are really unfriendly.
bad,"I was told they would keep you after the Holidays as long as your calls was 75% or higher mine was 100%  and never missed a day my whole 90 days  ..... they hired so many people they had to send people home to make room so the 2nd shift had a desk to sit at  you only got one week of training then was put on phones and was told to put on hold and raise hand if you needed help! there systems were  set up to make you fail or make  the customers mad to where they was yelling and screaming and managers said  to just give 10.00 off and that would calm them down !!  also the managers would interrupt your calls if they walked by and over heard  you and they thought you needed help!  no other call center would  interrupt your calls !!"
bad,"I would never recommend this company to anyone. I had the worst experience of my life. I was with this company for a year and over time, I only grew to resent this company. "
bad,"Hated it! Poor management, unorganized and no one to speak to at head office. Had to hound them for about a year to get my benefits set up, they missed pay days for the entire company (canada wide... one of which was boxing day) pay you very little. too much stress, not nearly worth it"
bad,"GM for DSW (Townshoes). Head office likes to call itself.. Support Office. There is 0 support from them to the stores. They say they want your opinion to grow the company, however if you give feedback that is true but upsets head office.. Be careful! There will be retribution from them."
bad,"Please do not go by the positive reviews of this Company. The positive reviews are coming from the higher management or mid level management that get pad very well. They are giving you bells and whistles that are all lies. This is by far the worst Company to ever work for and I will tell you why. Like one of the other reports stated that 90% of the time you are trying to get people to sign up for the DSW rewards membership. You get no commission for it and are among your colleagues to challenge each other like a race or something because your names are on the board. They want every employee to haggle customers and force them to sign up. Second, you are to organize the shoes, put shoes back and sign up rewards. This is only a part time position. Only supervisors and managers get full time. The turnover rate is extremely high. They work you to death. This is a good wok out if anybody want to lose weight because you're always moving which is not a bad thing, but you have to deal with helping customers, moving the hotel looking dolly, moving boxes, shifting shoe boxes around etc. Discount is great on the shoes but forget about benefits and full time work. This is the worst company to ever work for. All they care about is their stock market and how much revenue they can make."
bad,"Clock in"
bad,"Terrible training program, no advancement available. There was supposed to be a 3 week training program for store managers, but they try to shorten it to get you into the store. There is a huge management turnover due to lack of training and development from upper management. Very political Company that plays favorites. They do not like to hire minorities and they have no life/work balance,"
bad,"terrible its like working at a high school, i was given a position with no training. we would get a escalated call and would get a sup and they would just tell us to take care of it"
bad,"Town Shoes has a very HIGH turn over rate. They are always hiring."
bad,Catering to the public by helping them find shoes that best fit their needs. Receive incentives for signing them up for email coupons.
bad,there was no discipline and authority in the store.. managers had less of a clue of what to do then the staff did..
bad,"It's just like high school management, upper management and district manager its all about who your supposedly friends are or you will never move up. Shoplifting happens all the time with no support from DSW to stop it .  They don't support creativity, or change. There is such pressure to enroll customers into the rewords program."
bad,Wasted more than 5 years of my life in this dead end job. The quality of the work atmosphere is horrible. The pay is dreadful and just not worth the terrible abuse from the management team. Perfect job for a college kid with no bills to pay. The discount isnt worth it since the merchandise is damaged and stuff that's defected.
bad,Lack of advancement opportunities. You will not succeed within this company without being there for many years. The management team is old and needs to be replaced due to being inclusive and unprofessional.
bad,Hard to get a promotion. The management is run by an old team that isn't going anywhere. Hardest part of the job going in for shifts. Most enjoyable leaving!
bad,"Micro managed to a tee, ridiculous script and processes to ensure customers are ""delighted"". Customers sometimes take advantage and walk all over you. The company does not care about their employees and do the absolute bare minimum for them. "
bad,"A typical Day at DSW for me is usually a eight hour shift. I learned to have lots of patients working at DSW.  For the most part there are pretty good mangers. I think I have one of the best store mangers. The hardest part of my day is when the store is slow, I like to have a steady flow of traffic in the store. The most enjoyable part of day Is when I assist a customer and I find them a beautiful shoe that they are going love."
bad,"DO NOT WORK HERE!!!"
bad,This is a horrible company to work for. Management does not treat their employees right. The other girl who meantioned that bullying goes on is completely righ. Everything started well and then it deteriorated.
bad,DSW can not manage friendship relationships and a managerial relationship. They seem to have difficulty separating the two.
bad,I would assist customers that needed help finding shoes. I was also responsible for making sure the isles were clean merchandise was always stocked and always looking to help any customers in any way.
bad,The compant taught good work ethics and it was the easiest job for my first job
bad,"I literally walked off this job!!!!!!!  I have never done that! The customers are rude, The management  staff has no respect for the associates, or customers. They hire a lot of people & barely have enough hours for the associates they already have! You  this job was will drive all the way to work & when you get there they will tell you its too slow & they don't have enough hours & they will send you back home. Most of my co- workers were nice, but the management is a bunch of backstabbers. The only thing I enjoyed about this job was the discount! DONT WASTE YOUR TIME!!!!!!!!"
bad,First off the Store Managers in Chicago South District are all thieves and cheats. I know way to much about most of them and I'm sure I could take them down.
bad,Worst place to work. Managers are corrupt and get away with EVERYTHING. They do not value their employes what so ever. Way to much Drama from everyother store within the district. For one stores in Chicago South are at the top of the list for corrupt Store Managers. DON'T WORK for DSW in Chicago area at all...
bad,This is a bunch of fake people preaching values and behaviors. Most of the managers are as fake as they come. We can't have phones but 2 managers have there husbands or wives call all the time. We know because we have caller id. They tell us to not talk then they stand and talk for like 30 minutes. Fake a&s people who talk about being real but ain't nothing but fake
bad,Worst place to work. Managers are corrupt and get away with EVERYTHING. They do not value their employes what so ever.
bad,"I worked for a few months. The Store Manager was lazy and way too pushy unlike anyone else I know. Too much drama as its all female workers that stinks. If you are looking don't look here hours are given low and pay stinks. As a sales associate you have to work on register, clean up after peoples mess of shoes thats a pain. On top of that push out freight and fix shoes on the floor that’s pain as customers mess it up by the minute. Too much labor for low pay and lazy managers. My store manager was always in the office 90% of the time and everyone talks about that in our store. Don't work here please. I just left this job within a week ago because I couldn't take it anymore."
bad,aced my interview got the job and had orientation. trying to get my schedule was absolutely impossible.
bad,I disliked working at DSW shoes. The managers were not friendly at all. They would not give you any hours to work and the only days you would work they would send you home early.
