rating,review
good,night floor nurses have more admissions and days can be longer due to having a 4th shift.  DaVita team members tend to work together really well and have a good working relationship.  Overall a positive environment in my experience
bad,It is a  Horrible  Company to work for  The employees are favored  Depending on how long you been there the manager is a liar and unreliable they are underpaid and overworked they do not care about there patients
bad,"Poor unprofessional management and staff.  Loud, gum chomping, inappropriate conversations,  eating, drinking during work hours employees.  I can’t believe a business allows it.  Don’t work here  don’t send your loved ones here."
bad,"Poor leadership.  They state they are Community first company --- this is not true.  The leadership sacrifices teammates to save themselves.  There is constant turnover with this company, especially with Registered Nurses."
bad,"Management will do anything and everything to cover up any bad behavior, faults or poor treatment of patients for their favorite nurses or techs. If you go above your sups you will be let go."
bad,"After working for this company for quite s few years, I’m very disappointed in the way things have gone. Terrible management and money hungry. They are a for profit company and it shows! They’re in for a rude awakening with this new legislation and it’s just a matter of time before the union bill passes!"
bad,"The company is great, and what they stand for is amazing. However, the staff they hire is questionable. The facility administrators are only there for the check. Not the wellness of a patient. The techs are what make the place decent."
bad,Company does not show concern with laws or rules and regulations concerning nursing. When rules and regulations are shown to the company they have no concern. The protection of a nurse's license is not a priority.
bad,"As a nurse, the professionalism is nonexistent here at Gainesville-Jesse Jewell location.  They do not practice  what they preach in advertising and condone bullying and lies.  Upper mgmt. does not listen and FA's blow each other to make the wheel go around.  Total chaos within.  If you commit to working here you have just wasted your time to be let down when their true colors surface and you realize you have set yourself up for failure with this place.  Staff spend most of their time outside smoking - Davita pays half of their weekly paycheck to these employees to go outside and smoke and don't even know it - that's how involved they are!  DA's."
bad,"Management is not willing to work with you or help you grow within company. High amount of favoritism. If you arent friends already with your FA, you will get the worst shifts and barely get your 1 or 2% raise."
bad,"Episódios constantes de assédio moral, favoritismo, preconceito. São grosseiros, perseguem os funcionários. Empresa com péssimo clima, diretoria de RH e a principal promotora de assédio moral."
bad,"I found that working for DaVita, unless you were sucking up to everyone above you, guzzling the Kool-Aid AND were able to backstab your coworkers you weren't going to get far.  The potential for growth and advancement was laughable if it weren't non-existent.  "
bad,"Pay is not good, boss is not there or with u. Benefits arent good, "
bad,Not the same company I once worked for. They are only concerned with staffing and will use anyone with a pulse and rn license but is dangerous. If you are lpn and lower you dont matter
bad,Salary is awful for an LPN.  LPN is treated.like a aide there.  You learn no skills there as a LPN to be able to advance.  The wrong place for an LPN.
bad,"Great as a start to dialysis, for the training and certification, but leave quickly they’re a bunch of con artist and liars. Hired a Bunch of Nurses who were coked up and if you seemed to look like you were going to report them you were out."
bad,Management is absolutely the WORST. Extremely Understaffed. Expected to work long hours with no breaks. Everyone is for the selfs there is NO TEAM WORK. Patients even confirmed they dislike employees and management but have no other option but to get treated there. Management doesn’t care for employees nor patients. Always out of supplies and forced to treat patients without supplies to perform job safely.
bad,Working with patients everyday is the best part. Saving lifes is the best part of the job. Knowing you are making a difference. Making them get better everyday.
bad,Horrible place to work. Patients are allowed to treat you like dirt. The FA will straight lie to your face. Made me never want to work with patients ever again. Made to feel awful if too sick to work or slow bc of sickness. Just overall a bad experience.
good,night floor nurses have more admissions and days can be longer due to having a 4th shift.  DaVita team members tend to work together really well and have a good working relationship.  Overall a positive environment in my experience
bad,"The Philippino community has taken over DaVita & are VERY competitive, manipulative, & possessive of their territory.  This makes it difficult getting your hours & the Scheduler doesn’t have a clue where the RNs live & can work!  They will send them somewhere that is an hour drive, & send another RN to a place just down the street from the first RN!!!  They don’t look at addresses to pair the RN with the closest hospital to them!!!"
bad,"It's a good entry level job to get a foot in the door for healthcare. However, seeing the greed from a money hungry healthcare company can kill your passion for taking care of sick people. Use as a resume builder, not a career."
bad,Please don’t waste your time with working for this company. They expect you to know all kinds of things that has nothing to do with your job. For instance a nurse and a pct job is totally different positions on the floor. Tell me why I was stuck in a class full of nurses and was force feed the medical terminology and all.mind you we  as pct does not use this in charting or anywhere.  I thought I had taken a nurse course. They do not set you up for success and they don’t have good training
bad,Horrible place to work at Would not advise anyone work there   Incompetent management especially in IT....Nanny state type of management  they treat people like babies
bad,"The culture is the exact opposite of their missions statement. They have what are called “core values”, two of them being integrity and teamwork. BOTH of which are lacking in the clinic. I’ve worked with nurses who take the shortcut because several of them are lazy, instead of considering what’s best for the patient. The nurses show favoritism and treat the technicians like slaves. They sit in the nurses station and go on their phones, yet if they see a tech sitting, they make them do something. Most techs only exercise teamwork if you help them in return. This is because the culture at DaVita is so negative & polluted, that even the good techs that usually enjoy helping everyone, get burned out. So eventually, they have to stop helping others because if you are this type of person, which I was, YOU WILL BE TAKEN ADVANTAGE OF. "
bad,"I rate them 0 zero stars. I would rate them 1 for insurance but that sucks too. They charge you  $30 a month for you and each member of your family that does for not going to see a physician. If i don't have enough money to pay my bills, I don't have money to pay unnecessary co-pays for me and my family."
bad,"Horrible place to work,management horrific and PCT's disrespectful and it is an atmosphere of backstabbing and mistrust.Management can't be trusted with anything and don't care about their staff and are only concerned with having enough staff to get thru the day.It doesn't matter if staff is ill, they are asked to ""suck it up and get back to work"".Absolutely dreadful place to work and I truly feel sorry for anyone in renal failure and has the sad misfortune of having to go to Davita for their treatment.Pay is a complete joke!!"
bad,"Awful. The FA is by far the root of the problem at this facility. Everyone is miserable. Awful, hostile work environment. Steer clear of this particular clinic."
bad,"Worked 16-18 hour days, 5 days a week  Never had time to spend with my family. Worked in 2 acute inpatient units, not enough staff. Not enough orientation"
bad,"Its not a good place for your mental health. they dont care about their employees. we had a great boss, but she had to step down because she needed more time for herself and i am in a similar situation. Davita will suck the life out of you until there is nothing left. dont work here."
bad,"This company is over rated, horrible management, racially imbalanced, did not pay based on 14+ years of experience, and very u organized, and lack technology in medicine by at least a decade."
bad,"The bad definitely outweighed the good. Horrible place to work. Never enough staff, 1 RN to 40 patients..not safe at all. Poor management, all employees were family. HATED IT."
