rating,review
bad,I quit this job because the office manager was highly unprofessional and like to gossip about people's personal lives. In addition clerks are only supposed to get 30 minute lunches but favorites get over and hour and overtime for chit chatting and being on the phone.
bad,The smell they rush you on everything the Mgr don’t know anything there is butt kissing crew no space for advancement the parking sucks hot cold raining it don’t matter and very dangerous
bad,"Position was neglected when I joined on. Accounting manager questioned why position was so backed up and when I informeded them of “problem areas” and ways to help correct them... nothing was done. Uneven work load and if you value family or being at home, this is NOT the right company for you. Company does offer free meals and has good benefits but it’s not worth it when the accounting manager sees you as a “number” and not as a person. I strongly, do not recommend working here!"
bad,Lack of loyalty to dedicated employees.  Hire from outside versus promote from within.  Utilize employees as long as needed and then turn them out when done.
bad,A nightshift  job only.worked out of the chandlersville ohio plant.no raises.no opportunity for advancement.dirty nasty job where you are always forced to hurry.very hard and strstressful job.junk equipment. Very low pay.
bad,Very poor management. Management was very poor and has no idea on how to run a plant. Both head managers have never been in this type of industry and will eventually run it into the ground.
bad,"A lot of work and extremely understaffed. "
bad,"Don't even think about accepting interview invite! Seriously this job is not for everyone. If you are willing to bury yourself in grease and guts they process, you may want to join."
bad,"Upper management has NO concern for there employee's family or personnel life plan on doing nothing else with your life but being at Darling, They will not hesitate to tell you what you want to hear just to keep you working unfortunately this includes straight out lying to you"
bad,"I've been here for 7 years and management has no clue what they are doing or what's going on, they make and break the rules as they see fit as long as it benefits them, long hours, 6 to 7 days or nights a week at least half the year, night shift gets screwed over on holidays, will be off one day but has to make it up on another so you really don't get time off, very stressful and mentally draining, management has their favorites that cruise through the company when they don't deserve it. They have made it where everyone does as little as possible and no one thinks about the next guy, no one cares anymore, this place looks run down and management is making it that way, very very poor,"
bad,"Darling isn't bad for a short term job.  The pay is decent and the job is easily gained.  However, management does not communicate in a meaningful fashion, making it very difficult to fix problems.  For example, small things stay broken for long periods of time as long they don't actually stop production.  This might present itself as a button that doesn't communicate for a piece of equipment causing the operator to walk the length of the property to engage a motor.  This sort of thing might go on a year and these type of problems add up.  "
bad,don't treat everyone the same way. good benefits.  not much more to state wish I could say it was a good experience for me but it really wasn't.  liked most workers but very tight knit in office.
bad,"money is great.. management preaches safety... but doesn't follow through... and when it goes wrong.. management puts all blame on the Driver.the plant in which I worked for.. could not keep GM,s... so there for nothing would run right... my fleet manager was racist.. He would play people against one another causing alot of unnecessary problems among employees.."
