rating,review
bad,"Management does not care about employees especially employees who advocate for practical, substantial and honest meaningful changes."
bad,Worse place i ever worked management will not train employees to be successful in the work place . Take my advise if you want a good paying job this company isnt for you. The work is all under paid wages to other plants in and around that area
bad,"Aucune formation à la hauteur de l'exigence de cette entreprise."
bad,The management is not good and they did nothing about how the women treated me. I had to quit. Older ladies are in cliques with each other and it is very childish.
bad,"Förväntningarna på övertidsarbete och tillgänglighet är stora. Då många högsta chefer sitter i USA, blir det svårt för dem att ha kontroll över befordringar och projekt som klubbas igenom, vilket medför att oprofessionellt ledarskap och ineffektiva projekt tillåts existera. Osympatisk arbetsplats. Undvik, om möjligt."
bad,"If you needed a reason to stay away from contemplating this place for your next employer, consider the simple fact that you'd be working for a dental supply company. There's no corner of the market more uninspiring and yawn-inducing."
bad,Working here has been a chore. Everything is mismanaged from the top down with poor communication between all extensions of the company. I would not suggest anyone seek a job here unless your goal is endless stagnation.
bad,"Ambiance déplorable et licenciement à tour de bras"
bad,"I worked their as a machine operator and the supervisor was disrespectful and would lose his temper when he was upset"
bad,"Very cut throat environment, poor leadership, high turnover, aged products, limited R&D, poor benefits, micro-managed, and extremely poor compensation structure."
bad,Sad. Unacceptable behavior by management and Supervisors.  If you liked high school antics you'll love this job. Would expect fair and equal treatment for employees from a company that thinks so much of themselves. A total waste of time.
bad,"Their managers micromanage, have favorites, treat those they don't   like cruelly.  Like working in the Twilight Zone.  I can't imagine anything worse."
bad,company does not show it cares for employees ever since the merger between Sirona and Dentsply. Company became less interested in employeee morale and all the good Incentive that made it fun and interesting to work for Sirona was eliminated.
bad,The work atmosphere is very hostile.  There is no work/life balance with this employer.  Expected to work long hours with no flexibility for family life.  No support or mentorship from upper management. Inappropriate comments/jokes in the office.
bad,"Recommend staying away from job opportunities in corporate, particularly corporate legal. Was great place to work before merger in 2016.  Environment declined drastically in October 2018."
bad,"management is disorganized, my team had no team leader when i was working there.....nothing but chaos and utter confusion!!!!....fired me because ""desk was too messy""....meanwhile i made over $11,000 in sales for the 3 weeks i was working there. management looks for any excuse to fire the temps, and favoritism and nepotism runs wild over there!!"
bad,"great company, very poor leadership towards new employes.lack of trainning."
bad,"Temps are treated poorly by a few individuals. Management lacks the ability to mange people. Very ""high school"" atmosphere and where supervisors thrive on the tadle tale drama. Not a team environment. Daily atmosphere consist of bullies, and brown noses, and if you aren't one of those you won't fit in. No measurable progress by supervisor how the department is doing reaching goals for bad debt. Supervisor's lack proper training to supervise, therefore staff is not be guided to its potential."
bad,Terrible place to work micro management under the direction of hourly associates from other Departments. Sr Supervisor very unprofessional.  A typical day would be spent trying to figure out where your trainees were.  Did not learn much other then to coach employees.  The workplace culture is stagnant & in need of new innovations.  The hardest part of the job was the inability of Sr Management to assist in leading the team and the lack of professionalism.  The most enjoyable part of the job was  being paid hourly in a leadership role!
bad,I would recommend working here...unless you're african american. Don't believe me? Go on their company website and look for diversity. It's a perfect reflection of the interworkings of this company.
bad,"Em relação a avaliação geral, acho que a empresa deixa a desejar em alguns aspectos por exemplo salario, fiquei sem reajuste durante quase 5 anos. Ajudaria mais a empresa se tivesse um plano de cargos e salários. em relação a promoção, sempre participei de processo seletivo interno, mais sempre tinha uma carta marcada. Gerencia depende de cada setor, alguns gerentes não procuram ter um bom relacionamento com seus colaboradores. Mais em relação a empresa, foi otima nesses quase 10 anos da minha vida, aprendi muita coisa e tenho muito a agradecer... Conheci muitas pessoas na qual fiz amizades verdadeiras e aprendi muito também."
bad,"Many of my colleagues have been held back in their rolls due to companies lack of interest in investing in its employees. Pay raises are generally 1-1.2% per year, however the benefits are great and on par with many other companies. As a Mechanic I have been withheld in my position due to the companies inability to provide a path for advancement or want to invest time or money in bettering me for the benefit of the company. "
bad,I was made a lot of promises that were not fulfilled.. They put the cart before the horse and listen to too many outside sources before making decisions and doing research.
bad,Management needs help in organization skills. There so busy traveling to Delhi and every place else. They refuse to take responsibility for their mistakes.  This would be great place to work if they would get the right management  in place it could excel.
bad,"This company tends to keep wrong people in lead positions! If you want to change the future of this company and expect the attitudes to change, listen to the workers!!! Stop catering to toxic leaders!!!! A lot of good people and great workers are FED UP with toxic leaders that pull the wool over the eyes of management ! Nothing will change if nothing changes!!!! No more enablers for a negative workplace!"
bad,"Receiving misc. items daily, cycle counting, poor management team, preached core values but did not apply them."
bad,Importante restructuration générant une ambiance déplorable
