rating,review
bad,"It’s very political, a lot of drama. You can have a position and then it seems to always get taken from you. Management is awful, raises are a joke. A lot of micromanaging. Run the opposite direction"
bad,I worked at discover for a very long time. I worked in many different departments under many different types of mangers. Some were good. I enjoyed my time.
bad,Thay seem like a great  company at first but then you get in and management doesn't  care about the well being  of the employees. I felt mocked by my supervisors often. I worked there for 2 years and had 4 different  direct managers and out of them one didn't  follow up on anything. Two of them treated me like a toilet on and the last one  did not care about his team at all gestarted on the district
bad,At first it will feel amazing but then there will be no way to promote yourself if your black stay away they say their inclusive but they only have one black manager across 6 departments
bad,"Great environment until they realize they can’t control you and make you be exactly like them. CORE is the worst department, if you don’t fot into their “all inclusive environment “ then they will get rid of you, felt racist in there at times as well"
bad,The training is reading to self on line and getting on phones after reading each book. It’s 3 books to read. It’s not a consent schedule after training .I really don’t like the self governing training. I don’t feel it’s helpful. They also do not pay enough. It’s just a job until I find another. The worst job I ever had. Trying to hurry and find something else.
bad,I never worked with a company so unorganized... they act like they care for their employees but truly don't. The turn over rate is incredibly high for a reason..
bad,"The hardest part of the job is the lack of support. They like to portray training, advancement,etc but the reality is its all politics. You will not advance unless you are a ""teachers pet"""
bad,This is the worst company to work for. They do not value long time employees. They change things on you just like that with little training and expect you to just pick it up. There is a lot of favoritism and if you don't kiss butt then you will get no where. I would stay has far way from this company has possible.
bad,"i don’t recommend discover financial services one as i did temp services their over ten years ago and can’t be rehired and did nothing wrong i worked above and beyond for them. however someone i know has been with this company for over 20 years and many people worked with them same scenario once you hit over a certain amount of longevity with the company they find anything and everything they can go railroad you out of the company. they throw so much down your throat to say to customers that it is too much for an employee to do to a customer on the phone. i don’t find that to be customer service when you hound them to try new things or offer new things. when a customer says no means no don’t force it. "
bad,"Discover is not a good place to work at if you are looking for a career. Management has no clue what they are doing or what direction to take. The company cares about the customer more than you, everything is biased and based on the customers perspective. The growth opportunities are not present at all like they claim. Being on the phone all day with no chance to even get up at the desk without being yelled at. The stats are all graded based on someone else so it’s their perception. How the calls are graded is super picky, the meetings are the same over and over again nothing new. The reason this company shouldn’t be on your mind for a career is because you should strive for something better and where your voice will be heard. A company that respects your opinion and ideas, this company does not do that at all"
bad,They weren't very helpful when you told them that you needed help they try to assist but would act like you should know everything and made you feel dumb when you asked a question.
bad,"Recently there have been additions to our ranking metrics as recovery agents.  Prior to these changes an agent was graded and ranked based on their % to seat cost and call quality/business compliance stats.  Now we are measured against our peers on a scale that includes added metrics' all of which are scored individually.  Call quality' % to seat cost AND future money.  I understand completely the seat cost % AND the call quality and agree that those metrics should be scored individually.  Currently we are being stack ranked against our peers and if you fall into the bottom 20% of the department you are placed on a corrective action path leading to termination.  Future money is a bit questionable......why should a rep that is consistently at 100% or better in the aforementioned metrics (seat coat % and call quality) have to worry about corrective action  AND termination if they are performing the job they were hired to do..??  "
bad,I hated the job because It was super boring and inactive. All you did all day was talk on phones and there was never any down time. You had less than 3 minutes a day to use restrooms etc
bad,"Hired for certain shifts, and ended up being scheduled all over the place. The scheduling that you were hired for was not what you actually worked and made it hard to accommodate."
bad,Results don't matter; resumes don't matter there. Education doesn't matter there. They treat everybody as expendable. If you don't automatically love Discover they will treat you as a leper.
bad,The turn around in that place is unreal. Has to do with poor management and lack of love for their employees. You’re not a person there just a number they pay.
bad,awful company take  150 calls a day and chained to desk all day  awful management unrealistic expectation there’s a reason they’re always hiring. Think twice before applying
bad,Discover is where you go to have your soul die. You can't advance unless you are willing to suck up to bad managers. Pay is low and expectations are ridiculous and you are not given the tools you need to succeed. Each manager will tell you something different and when it's wrong you're to blame.
bad,Typical Call center.  Favoritism and gossip among senior staff.  Attempts to bring happiness to being a call slave prove unsuccessful.  Theres nothing fun about taking 150 calls a day.
bad,Upon being hired at DFS I learned how quickly they change their policies just to have something to change. They don't treat their workers very fair. You are glued to a cubicle for 10 hours a day.
bad,Did not like the work culture there.There is so much politics and only people who play politics will grow there.Educated and motivated people are not liked.
bad,Discover felt like High School. I was required to time my bathroom visits with calls coming in. The work life balance was horrible. I would not recommend Discover to a friend!
bad,"Not positive.  Felt voice was not heard. Constantly felt threatened of termination.  Was wrongfully terminated, then lied to.  Statistics are impossible to keep up with."
bad,I left before my training was even over. I was in my first trimester of pregnancy and almost lost my baby and they threatened to fire me for missing ONE day to make sure my baby was still alive.
bad,"Very Cut-Throat Company"
bad,"Back to back to back constant nonstop phone calls, customers yelling at you nonstop, management stressing you out, absolutely a hostile work environment. Supervisor tells you you'll have a coaching that day, and then cancel it due to high call volume, yet wonder why were performing badly."
bad,Everyday I went into work I absolutely dreaded it. These people want robots. Room for advancement seems impossible unless you're really friendly with someone higher up. Would never recommend someone to work for this company.
bad,No good management team and training and they treat contractors like homeless people and like they are not appreciated and worth anything. They value only upper management.
bad,You basically get worked like a dog to be told every week that you arent doing good enough because you forgot to do something when being told to do it another way. Too many chiefs and not enough indians.
bad,"They put alot of pressure on you, and play favorites it's very stressful dealing with angry people on the phone and the supervisors not really wanting to help"
bad,This place is a joke don't do it even if its a last resort it will have you suicidal and borderline psycho. Management is a bigger joke and Team leads are a joke all fake.. no advancement unless your a snitch. this is the place to be if you wanna be verbally abused
bad,"They have many Temp's and contractors working for them, Contractors and temps are treated like dirt - you are excluded from everything  - if they have an event temps and contractors must sit and work wile FT employee's go to events and such - terrible company would never work there again!"
bad,"Freezing cold work environment, had to wear coat, long pants, socks & bear paw boots to stay warm "
bad,"after they get you into the company they don't care about your well being. They only care about the company. You will be back to back calls all day unless you are lucky enough to go to web support, which they don't let people go to. They don't care about good stats, they promote people with stats that are worse than yours."
bad,sucks to much drama needs to have better managers and less socialization I don't want to type anymore and you are making me do this so I can move on to find a better job. this is why discover sucks.
bad,If you value a a fair work/life balance and fair treatment this is most definitely not the place to work. I would not recommend this place as a career choice for anyone.
bad,The place itself was cool but the managers were absolute garbage. Good luck trying to have management listen to you or even just hear you out absolutely pathetic waste of time is what they are
bad,the job requirements versus the pay was not sufficient. there was a lot of favoritism going on although call center environment not pleasant experience
