rating,review
bad,Transformation of the company post Scripps Acquisition is the focus. To be succuessful here you need to be willing to take on whatever is thrown at you.
bad,"Though I enjoyed my time at Discovery, it no longer exists therefore the low rating above. I enjoyed selling telescopes and other natural phenomena.  The windschimes were exceptional"
bad,"I worked at Discovery a little over 17 years.  I received a few promotions and awards during my tenure.  The morale of the company changed drastically when it became public.  From it's content to executive management,  Discovery no longer became ' the place to work' for me. Depending on how long you were employed at the company, many of my colleagues were forced to resign.  There is no longer stability.  Discovery has become it's own shark tank!"
bad,Once a great place to work but constant reorganization that often removes high performing senior executives and creative staff has made Discovery a shadow of its former self.
bad,"Discovery was not a great place to work they did not value the people working there the supervices where word and didnt not know how to manage or keep people, over all i wasnt happy working there,"
bad,"This is the television industry so you get alot of personalities and big egos."
bad,"Discovery Channel gave me the opportunity to work both in front of the camera as talent, and behind as writer and some producer capacities. Learned many facets of how a television series is produced."
bad,I had to leave this position because the store closed. While I worked there the company was tough to work for. I was forced to cover a long term leave without a pay increase.
bad,"This company as a whole is a great company. Benefits are great and you receive a yearly 10% bonus. Management was ok for the most part, I have nothing negative to say about them. The training session is GREAT.  Now that we have gotten that out of the way, I will focus on the master control operator position at the Sterling, Va Broadcast center.  It is very hard to move up and advance due to its political bureaucracy. One would have to be working there for upwards of 6 years to be awarded any kind of advancement. Previous master control experience is not a determining factor in compensation, well at least for me it wasn't.  Since we are on compensation I will have to say that it is very poor.  This poor compensation is due to the fact they want to attract younger employees with little to no master control experience.  Very little is done to boost morale, and yes I'm going to echo a previous review and talk about the rock, paper, scissors tournament.  If that is your idea of morale boosting, then you would enjoy your job.  The policies have a high-schoolish ring to them.  No phone usage in the master control pod (yet it is ok to talk to co-workers on the intercom system for the whole 8 hour shift), and you have to ask to go to the bathroom and sometimes those bathroom requests are delayed in being granted."
bad,"It's fun place to work, It's below average company to work."
bad,"We sold specialty products in this store so it was hard to meet sales goals. Every department had similar goals, but the products varied from keychains to telescopes in the departments. I learned how to work in a retail environment and deal with customers in this job. The management was sweet, for the most part. I enjoyed the products we sold, as well."
bad,"The new culture treats employees like they are disposable.  They used to reward those that worked hard and had several years of service.  The new trend is money is more important.  I know as a business they need to make profit to continue business, however, there is a lot to say about hard work and loyalty.  It is a great place as a stepping stool but do not plan on staying."
bad,"Loved the onsite doctors office."
bad,"I found that Discovery sounds to be a great place to work as they often win awards for the work environment. However, in my office, which is not the main corporate offices, the atmosphere is drastically different. Employees are strongly discouraged from seeking additional skills that would allow them to branch out and grow as employees. Often times people that lack the needed skills are advanced due to personal relationships with management, leaving the regular employees misguided and lost."
bad,"Discovery seems to want to create shows which appeal to the worst in the human spirit: Being a conniving jerk (Fast N' Loud) or make fun of different people (all of TLC). Now they want to apply the same formula of ""drama at any cost"" to HGTV, which is ruining the brand"
bad,Big disappointment. Always wanted to work here. Found the atmosphere draining. Everyone is nervous about their job. Most jobs listed already have an in-house person for that position. Not friendly.
bad,"I worked here in college. Interns don't get much of a chance to show off their skills, they get pigeonholed into doing small tasks like posting blogs, web content management and marketing stuff. if you want to be in front of the camera this isn't the place to work. its a gigantic company and its easy to feel invisible and replaceable. I walked out on the job one day because I was so bored and no one ever found out. that's how invisible you are"
bad,Great Brand.  Leadership chases initiatives that are unimportant. Race to digital is slow still a lot of reliance on tranditional TV viewing.  Losing ground to Netflix
bad,"The company is in a state of uncertainty due to a recent merger. Identity crisis is how it would be best described the environment at the moment. Lack of leadership and the clear message of only caring about shareholder value, sends the wrong message to employees and brings morale down."
bad,"I am grateful for the opportunity that Discovery has given me these passed 2 years.  Yet the company is full of despotism, rarely seeking the right person for the job, only looking to their closest friends for an open position.  Managers in my department do not understand my job.  Employees must often seek their own answers for technical problems, or handle their own problems, often by seeking out the HR rep.  The master control department is very slow in promoting, often having to wait upwards of 10+ years for a single promotion."
bad,"Discovery is having problems finding itself in this era of cord cutting and has been shedding employees like crazy for the past three years. "
bad,"Management constantly goes through restructures, which affects team dynamics and kills morale. Coworkers are nice, benefits are good. Need to add a little more diversity to New York office and Los Angeles office."
bad,"Fine for the experience and the ability to put this on my resume, but I didn't enjoy the actual company/team/culture. I spent most of my time alone in a cubicle. Didn't learn a ton and wasn't upset when the internship ended."
bad,sort & distribute mail/packages throughout the building. Prepare outgoing mail for international & demotic shipping
good,"I would say overall the company is great. However, there is not much movement or growth. It is also somewhat political. If your boss doesn't like you, you will not do well."
good,"It's been fifteen years since I worked there, and the store closed about twelve years ago."
good,Just like any other media company.  No real understanding of what made them great either from a brand perspective or a workplace environment.  All over the map on any given day.  Constant fear of staff reduction
good,"I spent a good rewarding year at this place. I love the people I met and I have good memories. Job-wise was too intoxicating, the hours demand of the people at the bottom was crazy. Once you are at a full-time position is another deal. Perhaps is even better but I doubt is too much better. The working hours and the repetitiveness of the projects will burn you out. My advice if you ever get there do your job get the experience and leave, for good."
good,"Very chaotic environment. There are a lot of people at discovery who are inexperienced and lack key skills for their job. Managers also lack skills in their key position. You really have to break things down to the lowest level to communicate. I would advise a company to hire top talent, pay them well, and try to keep them for long."
good,"You'll have a hard time getting in. The work is fascinating but I've heard many horror stories from former and repeat employees. My experience was good, but my time there was perhaps too brief to make a complete assessment."
good,"I worked freelance for a production company for a show based out of Denver, Co. I loved the show and the people that were saving animals. The company was out of state, so I can’t say much of the goings on back at the mothership."
good,"You receive a bonus. You receive compensation for your work. You receive accolades for doing your job.These are the basic building blocks for having happy employees and a successful company. Discovery is very good at seeming like a good place to work, but underneath the surface lies insane competition, management afraid of some sort of worker uprising, and tired employees."
good,"Long hours starting at 9.30 am in the morning extending upto 8 pm or 9 pm in the evening."
good,The staff moral is really bad and no team work everyone is there to cut the next guy. The company is good but the staff that work in the GOC are not working as a team it is more of I do my work for paycheck.
good,"A very corporate organisation as you would expect form a US based global communications company. "
good,"So much happens so fast in the TV world. When you're up it's great, but when things are tough, management gets ousted, departments get slashed, and strategies go out the window. It's a hamster wheel, and employees hang on for March bonus time."
good,Now this was a crazy show. We built stuff only to destroy it. The ideas were completely insane and yet we built every single one. It was a lot of fun to work on.
good,"Days are normal, you learn a lot with little assistance, and management  is lacking the human side of an organization. The company tries to appear as if they care however they fall short due to management practices and consistent lay-offs."
good,"Discovery has been a great school for me throughout the years. It's been a great place to work but there is definitely NO room for growth in this company, that is the biggest and heaviest downfall. off you are looking to build your resume, by all means, but if you are looking to advance in your career, this isn't the place to be."
good,"I worked at Discovery Communications for 3 years. "
good,Very political. They don't really care about your career growth. Upper management is very condescending and don't want to help others grow.
good,"Great company if you are single or don't want to be home very much. Management is great, it's just a very demanding environment."
good,"Work is not rocket science, but can be challenging at times.  If your idea of employee participation is an annual Rock-Paper-Scissors tournament (NOT making that up), and have minimal to no master control experience, this could be the place for you to start out."
good,"The work-life balance at Discovery could be better.  Often times you are asked to be checking e-mails and such on weekends, and working late hours.  This is due to the fact that there are multiple offices around the world with multiple time-zones.  With the well documented acquisition of Scripps Networks, a lot of change is happening, including the main HQ's moving to New York."
good,"I thought it was different but it wasn't. It is unfortunate, but it is a great company as a whole, which stands for great things. Just a large company so politics do come into play etc."
good,"I started working at Discovery fresh out of college.  This company has shaped me into the professional I am today.  I admire the leadership and their desire to grow and expand the brand.  As much as I enjoy working with this company, it's time for me to move on and embark on a new journey that will be strengthen my professional skills and challenge my knowledge."
good,"Standard corporate job. Good benefits, but management does not care much about the folks under them. The company goes through a lot of changes, but they do not relay these important messages to the rest of the company."
good,Recent changes in the C level management has shifted the direction of the company yet again before the last round of changes were really able to bear any fruit.  
good,Company is for those of strongly focused business mindset and many employees lack a team oriented mentality. Employees are continually strategic and searching for opportunities to set themselves apart and gain promotion.  Telecommunication industry is in the midst of fundamental change  and layoffs are possible at all major companies. Still this a company with great brands and some core channels especially with the Scripps Acquisition.
good,"Company is in transition due to recent merger with Scripps and changes in the media industry, such as the rise of Netflix, Hulu, Amazon and other OTT/SVOD services.."
good,My time spent at Discovery was made more enjoyable because of the people that I worked with more than the job itself. It started to get very stale at the end.
good,"Lack of support,  lots of autonomy, no sales training program, great onboarding for product knowledge, competitive. mission driven but also bottom line."
good,"due to a recent merger, and being part of the merged in people, i'm unable to make serious judgments on the work culture at discovery being i've not been there long enough."
good,"The people and work environment are great, but the company has dealt poorly with changes in the media landscape and is struggling to keep up, making aspects of the job frustrating."
good,Great Place to work. Building is cool. But there are a little opportunities for advancement. There are only certain kind of people who get promoted. Management is not help accountable for their actions
good,I worked with some wonderful people here. It is a shame that the company closed down.
good,"great people, nice location, easy going employees, study leave possible"
