rating,review
bad,the managers are lazy. this is the most depressing and toxic place the drama there is unbelievable. i quit because my manager kept yelling at me all night when i knew what my completed list was supposed to look like. she just kept telling me what to do the only time i saw her actually do her job that day is when i went on break. how are you supposed to be a manager when you take a smoke break every 5 minutes.
bad,I had a somewhat good experience for the two months that I was working there in the beginning then after that I started coming across some aggravating issues people stealing money coming up missing my hours coming up missing all of a sudden no one knew what happened to my hours just a load of stuff that I just built up over time
bad,"VERY toxic workplace.The turnover was astronomical,pay and hours horrible.The manager scheduled based on whether you were one of their ""favorites"" or not,and higher-ups didn't care.Lots of goofing-off by management and their buddies while others had to do all the work and work the nights and weekends.Absolutely no work-life balance.Everyone gets a quarter raise each year,whether they actually do any work or not-the catch is making it a year and putting up with the garbage you have to endure.Just don't do it!!!!"
bad,I would never recommend working for Dollar general. You are under paid and over worked not matter what position you are in. All they worry about is the bottom line not there employee's. That's why they have such a high turnover of employees. You are used for there benifit.
bad,Dollar General employees just stand around gossiping about one another nothing is organized first place I have ever worked for where you need Facebook to see a schedule change
bad,I worked so hard and put in so many hours of work but my checks kept getting cut. But of course I worked her When minimum wage was $7.25 I would give this job anothet shot
bad,This company could not care less about their employees. The work environment was down right dangerous. Hostile customers and co-workers abound at this company.
bad,Only 2 employees work in the store at any given time which is not safe. Which I believe makes the store an easy target for thieves. Customers are quite often irritated because they have to stand in line for so long to get checked out. This company does not give annual raises.
bad,They expect to much out of employees. You don’t get paid fairly. I love my boss mike he is a great boss but the company cares more for customers then employees. No support for workers.
bad,Terrible place to work. You have to endure the trashy customers that frequent such establishments to steal merchandise. You are unable to detain shop lifters. You are most of the time unable to prevent theft because only 2 associates work any given shift per DG standard operating procedures. Pay is low even for management team members due to budget cuts and expansion.
bad,"There is no mangment, they steal your pay but expect you to work over and coworkers are nasty towards others and the customers they serve. Not to mention when they get backed up like Center Township store did in Beaver County PA they start putting out, out dated food and they have rat/mice problems that they chose not to report or take care of."
bad,Dollar general in merrillan is awful. The management sucks. And no one is on the same page and man plays favorites. Overall the place is a joke and I do not recommend ever working there
bad,"When i first applied, it was fun and it was a little stressful. But the manager would talk behind your back and tell the other workers that you suck at your job and you need to quit."
bad,Dollar General is a horrible company to work for. Management is awful. Dms are awful. Hr is no help for harrasment or discrimination. I would never recommend anyone working here. Especially if you want to make decent money with decent hours.
bad,"Do not work for this company!  They work you like a dog for very little pay, no work home life balance... no sorry from upper management, and if your a manager all you well do is work work work, and don’t ever be sick because they don’t care, you come to work.  Your staff well call off on you all of the time and you will work open to close your yourself.  Horrible horrible company!!!!!!"
bad,Worst job experience ever. No training. No management. Rude upper management. Horrible response time. District manager knew nothing. Regional manager did nothing.
bad,Hours went from 25 to 7 and they couldn’t understand why I looked for another job. Was very rude to me and told me to sign up for food stamps. I was working there to feed my family and a person can not feed a family on 7 hours a week. My husbands disabled and disqualified for any type of welfare. Dollar General was the worst company I ever worked for.
bad,"They don't help you keep your job and if you a limitation, they use it against you in any way or form. Their pay sucks, no benefits, horrible hours, your fired for one no call no show, even if its not your fault or a miscommunication with the store. And if you tell the management at the store to help you succeed, they say NO, your on your own."
bad,"Managers talk about employees BADLY. sit on the phone & gossip all day. Don’t do any work, try to force cashier to do managers job. Does not work with you concerning the schedule. Overworked & underpaid."
bad,The company only care about how fast you get the orders filled and nothing else! If u not fast enough they are going to get rid of you!! The company has its “special” people that don’t do nothing at all while people like me pray every morning heading to work that I will have a job to come back to the next morning!
bad,"Never go to work at the Dollar general in Dublin,VA management is terrible there and they do drugs there and steal and so much more.everyone is quitting there.its a mess there too."
bad,When I worked here I was always working a least one dou le a week. I couldn't get alot done due to be the only manager on the floor and I never really got a break on busy days
bad,don't waste your time with dollar general the regional manager and DM are horrible. they don't care about anyone but them self and there numbers. They do not care!!!!!!!!!!!!!!
bad,The current manager is mean and spiteful. The hours are horrible and the workload is immense. Calling out for an emergency is unheard of. The managers offer no support or compassion.
bad,"The people I worked with were great, however the district manager treated everyone as if they were stupid, and was very disrespectful. Getting raises was non existent unless the company was in a bind. Hours are a struggle to get if you're looking for them. Hard to make a livable wage in this company"
bad,"Worst company I ever worked for. Assistant management position was really a glorified stocker position. Upper management not helpful with training. Too much back stabbing, brown-nosing, and lying between store manager, district manager, and regional manager. Very little concern for employees."
bad,Too much work not enough money...don’t care about your safety...SM rarely have closing shift..and talk about you when ur doing a better job than them..and give you the worst schedule
bad,Over work under paided. Need mor organizations. Need to let employees know that they are wanted and needed.the assistant managers are the one running the store but the store manager receive the credit it’s just messy
bad,Stay away from dollar general. Its the worst company that does NOT help it's employees. It's all about the stock holder. They make you manage during your lunch while not being paid.
bad,"You don’t get paid much at all for the work you have to do! This job is a quick buck in your pockets, but it’s a lot of physical work & the pay isn’t worth it."
bad,"For the love of God, don't do this to yourself. It's beyond stressful. The store managers are terrible. So much bad within the company that the good is completely overlooked"
bad,"Working at Dollar General was a bitter-sweet situation for me, when I started there was no management at the store, training was minimal and there was little discipline or direction. It was hard to know what our tasks at hand were and many people got disciplined for things that were not there fault due to lack of information and training. Would love to go back if there was less stress and more organization."
bad,Don't work for them.never ever.worst company I've ever worked for .management is the worst.70 hr work week every week.store is in the worst location you can think of.
bad,I absolutely hated working for this company. All I did was run cash register. When I was let off to run stock I was told I didn't do anything when I worked product to the shelf. Very glad I found a new job.
bad,Very bad management poor customer service poor pay they don't care if you have a family emergency or sick. Still expect you to work. Co worker are non professional. Dirty store
bad,"Store Manager"
bad,Don’t do it it not worth it and you will never be able to please anyone there horrible experience and they don’t care for there employees and don’t pay
bad,It seems that at least the few locations I worked at had bad management overall.  The staff is never fully trained and usually understaffed which causes angry customers and overworked staff.
bad,The working hard part never getting a break didn't bother me.  Over worked and under paid. Management is horrible. They don't help. Transferred from a store who only the assistant store manager helped.
bad,"As an employer, Dollar General was the worst company I've ever worked for. There's no flexibility and managers play favorites. I would never work for them ever again. They do not care about employees or their families. They only care about how much money they can make. Their District Managers are no better than their store managers"
bad,"KEEP ALL your clock in/out slips.Always verify your hours with your paystub, make sure vacation  hrs aren’t taken away. Will take to cover store hours"
