rating,review
bad,I was working as a contractor and I also provide leads to other representative agent at the helpdesk.  My contract ends so I have to go onto another contract work.
bad,"trabajo en esta empresa y gano poco y todo es una repulsivo..es un ambiente toxico"
bad,This was an enjoyable job experience as my manager let me learn and grow to suit my personality and work skill-sets.
bad,"If you enjoy being mistreated and judged by management as well as fellow associates, then by all means this is the job for you. Otherwise stay away! This company has fell into a decrepit state that has been driven by poor management!"
bad,"Loved the job,and some of my co workers.team leaders were ok to.once you put some of them in there place and you were,nt going to take there s hit.BUT supervisors, administrators,and management were a bunch of a ssholes.if you don't kiss there a ss they will make s hit up to get rid of you."
bad,Unless you like working six days a week and some times twelve hour days on top of that. This place has gone down hill and no end in sight. It gets really old after the last 3 to 4 years.
bad,"This used to be a place you would have pride in telling your family and friends you worked for...not any more. Management treats you as replaceable, supervisors have no training, HR tries to deny you benefits that you are entitled to because of who you are. Too many pizza parties in the office and not enough management on the floor. The place needs a clean up crew to come in and take over. All of the great supervisors have left for better opportunities."
bad,"Un día típico comienza con algunos ejercicios físicos como relajación. Después de esto se nos indica las actividades a realizar, surtidos, acomodo, embarque o desembarque de material. Hay un horario especifico para el almuerzo y dos pequeños descansos mas. "
bad,"Esta empresa deixa a desejar em alguns aspectos , que são o treinamento profissional para a melhor capacitação dos funcionários , salários abaixo do mercado de trabalho e desvalorização dos funcionários.   "
bad,"Poor trainings, lack of guidance."
bad,Worst management ive ever worked for.employees are mostly fast food failures that get promoted by complaining and turning in other employees for petty and childish things
bad,"This company really knows how to ""jerk you around"". There is WAY too many ""upper management"" and not enough care about you. It's every man for themselves, OR, if you happen to know a manager then you come in ahead of those who have been there longer and actually KNOW the job. But f you have connections and no experience at all, well then, this is the job place for you. They don't care about those that actually bust the hump and do the work, they just like pointing fingers and fobbing off their work onto others and never taking ownership of their mistakes."
bad,No good job that dont care about there employees just there company. They will get rid you for anything. Dont care about personal issues just there production. They can kiss my you know what.
bad,if you looking to advance in a company don't go there period. Management is below average. Human Resource is a joke. Supervision is par at best. Pay is the best thing this company can offer.
