rating,review
bad,"This place is a joke I have been working there for long time before they hire this new management which is the business administration Katherine Maynard and her maid is the DON she will follow n agree whatever Katherine said the DON can’t make her own decision or stand up for her self cuz she so afraid of her. She fired every single good n awesome staff but she keep the lazy n always called out every weeks n no call no show still got there job too. "
bad,picking the cotton
bad,"Despite it's low reviews on Yelp, I decided to try them out anyways. Immediately they had a job offer below my going pay rate on my first interview but I was willing to at least listen. I turned them down for that job but my PSG rep said she would work to find me something that matched my skill set and current pay rate. In the end she talked a big game but didn't deliver by getting something that paid even less. She explained it was just a way to get my foot in the door of the company and I could work with the supervisors from there. Not only did meeting with the supervisors go nowhere, the commute was much too far and PSG couldn't find me something closer to home. I thought it can't hurt to try and see what the company could offer so I agreed to a short stay and after 3 days it was definitely clear a supervisor would not be speaking to me about better positions available especially when the that supervisor had had those days off. So I contacted my rep to let her know it wasn't working out and not worth my 52 round trip miles daily commute. I was simply told by her ""If you don't like it, we will find someone else that will"" and she acted as I was the offending party. Thanks for being compassionate, polite and helpful... After that I was done when it became clear they really aren't interested in your background and what you can bring to the table. They tell you what you want to hear to get you through the door just to fill the mostly entry or low level jobs they have so THEY can get paid. Also, the jobs listed on their website are mostly fake. Definitely earned their low ranking"
bad,"If you get hired watch for the additional duties as they switch duties and expectation of working as many hours as necessary beyond 8, 10, 12 hours and not what was mentioned in the interview"
bad,"Certain people at the company were not professional and did not treat people professionally.  Throwing things, swearing at them.  When taken to the HR department was told to ""try and figure it out""."
bad,Working for this company only hurt my resume. They do ZERO training. I was hired on as a leasing agent and dumped into a Manager job with no training or knowledge of the company or policies.
bad,"They are sending A/R and collections overseas. Not sure how long I'll have a job. Stressful place to work, must take home laptop every night, day off, vacation to work from home. Work/life balance is poor, management is lacking."
bad,"Answering phone calls, taking lease payments, and posting available units on craigslist."
bad,"Very good at Team level."
bad,The management doesn't promote growth. New roles or crossing training doesn't happen at Dover. Great perks but the management makes it hard to enjoy working for Dover.
bad,Long hrs & no recognition. A lot of travel involved throughout the country. Most jobs are given at a moments notice and Blueprints and other documentation is provided late as well. Often giving you little preparation time but preparing you to work under pressure.
bad,management was awful hr was a joke all workers got along good fun guys to work with
bad,I like to work hard and this company had plenty of work.When the economy slowed they had to let me go.The job required alot of travel and I like to drive
good,The most enjoyable part of the job is working with the families and the children.  working with the families and seeing the progress in the situation.
good,"Lots of IT outsourced to foreign entities. Insufficient compensation for living in the Chicagoland area in my role, considerably lower than industry average for my position. Very fast paced with lots of responsibility piled on and little to no opportunity for advancement."
good,Talented people but the management is not incentivized to grow; prefers to defend and maintain; a lot of operational opportunities exist and will likely be driven by Dover Corporation in response to Wall Street
good,Entreprise ayant beaucoup de challenge au niveau TVA
good,I didn't really enjoy it at all not reliable with the hours a lot of miscommunication and angry customers because of their unorganized.
good,Average company. Difficult to have a balanced work and life.  Mix between a centralized and decentralized decision making. Vary focused on safety which is great
good,Wouldn't be bad if people communicated better and the work flow was better organized. They didn't take good care of valuable employees and the company definitely played favorites.
good,"typical day at work includes taking care and teaching children"
good,Good compensation and good benefits.  Learned a lot and was able to grow professionally.  Interaction across many different types of businesses and locations
good,El salario y prestaciones buenas sin embargo el balance equilibrio vida laboral no es bueno. Tiempo limitado para disfrutar con la familia
good,"A typical day at work is long, but also fun and exciting."
good,"My title is Material Handler but i enjoy the opportunity to work and  learn multiple positions such as supply chain, planning, shipping and receiving, and machine operator."
good,Design work forum. No hazzles on the work front. Flat type system. Not much hierarchy conflicts in here. Continuous pipeline of projects. Peers are young and the workplace is filled with cheer
good,"I would work there again, if an opportunity  came up. Review product cost and results from manufacturing operations. Review direct labor actual hours compared to standard hours allowed."
good,"In general the work environment is good."
good,Global company with diverse product lines. Good way to learn different industries and global markets affecting your business.
good,Dover has some really great people that work there.  Very smart and very dedicated people who will do whatever is needed to get the job done.
good,The salary is really low like like 20 dollars per day 8hours a day. I dont know the case in Dover.US. But it is common in china. So I dont think this gonna help you a lot!
good,Its a good place to start but they will use you a lot. Be prepared to be on your feet and moving quickly. If you dont get something done someone else will do it or you'll hold everyone back.
good,"Dover is a great company to work for and the CEO is awesome while some of those underneath the CEO as well as under the presidents of all four segments are not as great!  As with any company, especially oil and gas, there is a lot of pressure to continue to meet profit and there is a great deal of focus on morale within the individual organization.  We all know that change is inevitable while the way in which change is introduced needs to be approached differently.  Being able to speak intelligently to a situation is one thing while being able to put that into action is two different things; the company needs to hire based on that instead of friendships.  Friendship hiring does not work."
good,"Good management, products were best in industry, some items very negative. No smoking, dress semi formal, lose job if you received driving citation, yet with traffic, hard to make every appointment on time."
