rating,review
bad,I feel that the company has done a poor job of taking care of their employees'. The schedule is one of the most messed up schedules I have ever worked. One week on days one week on afternoons one week on night shift  stupid
bad,"It was obvious from the interviews and methods used Dow was forced to hire minorities. During the meeting/greet of the Department head he told a joke where the punchline included the phrase ""f*cking Mexican"", everyone laugh but me. This is the culture. I experienced during my 21 years of service."
bad,Always micromanage people. no balance between life and work. No job security they can fire you anytime. I've see people are forced to retire. Good for co ops.
bad,They don’t care about you and disrespect you you are no value to them.  Management needs big improvements micro manage everything you do your just a number to them they don’t care about and your family.
bad,It's a Job pretty much. Always being watched by someone who can't focus on their own work. Alot of work and things asked to do with no raises or appreciation.
bad,Global company with many opportunities to work across regions and functions while growing professionally. Strong commitment to workplace safety and best practices.
bad,"Training is Process flow diagram, and they send you to your unit.  You have six months to figure it all out.  Management could care less if you pass your review board.  They have thousands of other operators who will take your place.  Turn over is high, and there is an I don't care mentality through out the entire company.  Engineers run the place.  Operators just follow there lead, like it or not.  They usually don't know anymore then you do."
bad,"Terrible place to work -- I wouldn't wish it on my worst enemies. Micromanagement runs rampant, leadership is terrible and often replaced so never conistent."
bad,This job they are hiring for right here is its own work group. This is not a foot in the door to Dow and other jobs. They promise all sorts of things to you. They have too many workers not going anywhere at the top. The bottom of this work group is a revolving door. The swing shift you have to work is not worth the pay and loss of time you go through from your family on weekends and holidays. This job is a waste of time and only should be taken if you need to put food on the table.
bad,Worked with several engineers and was always busy entering in data and collecting information while working as a team.
bad,"Unfair treatment of workers. Management walks around all day trying to start trouble just to justify their jobs. If you accept a distribution job, it doesnt matter if you are close to getting your degree because you are locked in the block for at least 2 years before they will let you go. You are just a number at this place. If you like throwing your hard earned money in the toilet and pulling the handle then join their union. They really stand behind their operators over there. My advice is to get your degree and then apply for a job in a process plant (a process plant far away from Dow Chemical). They are the lowest paying plant in this area and expect the most from their employees."
bad,"Site logistics is a very cut throat environment. Very high employee turn over going back at least 10 or more years proves that nothing has changed. Operating Engineers Union has little or no backbone to stand up for its members."
bad,I was employed with Jacobs engineering group for 16 years at Dow SCO Before taking a Dow position.  One day I was brought in and was told I was being sent home because my job is being evaluated.  A week later I was told my services were no longer needed. I had four out of five ratings on my annual reviews I was never put on any action plans for  insubordination. Terrible leader ship because of the high turnover rate
bad,"This company was horrible from the start. They promised the world to people only to get them there to try and sway the contract in their favor. Once the contract was settled, they cut all overtime and after 3 years the good paying jobs are going to be 16 to 17 an hr. to work with very dangerous materials. And anyone new hiring in loses all advancement opportunities.  Very ksnobby company. If you are not in the cool group. Theywill force you out. They like to get rid of people within days of their probation period being up, because the union can do nothing for you. Very weak union as well. You can tell they are more for the company than the employees.  Worst mistake I ever made was working there."
bad,"Ever since Dow has taken us over, I am former Dow Corning employee, it has been down hill from there. We are losing experience people and getting college trained chemical tech or whatever we find on the street to try and run this place. They make very hard demands on personnel and then we can not complete the expectations due to no product or no money. The Engineers are stressed and over worked and demands are high on there time. Its is hard enough running with so limited people that we can not seem to get the smallest of tasks. Have set up a system that makes maintenance of equipment impossible to get done in a emergency and would rather leave equipment down instead of paying overtime."
bad,"I worked in Core R&D and was responsible for Tooling Design since I have 30 years of experience, 3 years at Dow Chemical."
bad,hardest thing about moving stuff is lifting but other than that i work with a good group of guys i like to mite new people how to pick up heavy stuff
bad,"It's ok to start and get an intro into the industry but there's alot of backstabbing, game playing, and manipulation from management amongst the union employees. Pay is decent. If you keep to yourself and do your job you should do fine"
bad,"DOW has global wide technical issues, outdated tools, and a we don't like the way we do it, but we don't want to change attitude. The company spends a lot of money and time on inclusion and diversity, and they need too. The people are not kind to others, and often shut people out, or refuse to assist them. Long time employees run the show, and keep it in the dark ages. Management was awful, gossiping, unorganized and unethical. There is no advancement, don't bother."
bad,Was extremely unhappy there and was not offered help when I asked for it he was no help and they made me feel unwanted and stupid on a daily basis swing shifts were hard to manage
bad,"I would stay far away from here. Do yourself a favor and find a better place along the ship channel unless you just want to get some operations experience. They like to micromanage, salary personnel does not like union hands. We have fought hard against them just to get a fair cost of living wage. They are low down and shameless."
bad,"Overall, if you can get past the disregard for ""normal"" workers and act like a robot, than this company is for you. This was before the merger, so if it has changed, that would be nice."
bad,Literally the worst organisation I have ever had the miss fortune to work at in my life with staff so clicky my ears bled. No organisation with very poor leadership and some still living in dows heyday that finished years ago and total neglect of the site financially. I cannot think of anything positive about the firm especially its management.
bad,Directs are useless and couldn't survive in the real world outside of DOW.. Very Slow paced.. where has been  Structrural Designers go to retire.. They use Smart Plant 3D which is like shooting urself in the foot as far as productivity is concerned..
bad,"- Management is out of tune of issues on the Operations floor. "
bad,"The pay is not as high as most. Job security is not good, there is always somebody in management looking to fire you! An operator at Dow Freeport is viewed as a expendable commodity, you will not be respected and views and opinions will not be heard. The company says they are all about safety, but, the first time you put in a safety suggestion you will be told that "" we don't have the money to fix the problem. The company is all about engineers and contractors. The contractors here are more highly regarded than a operator and if you want to move up you'll have to have an engineering degree. Don't come here!"
bad,"This company was working on a large project with Saudi Arabia, which they hired practically all contract people in the procurement department.  We were not allowed to assign a PO unless it was reviewed by the Saudi Engineers and DOW Engineer Project Managers and then it was entered into an old system that another department entered the orders.  There was probably 18-20 Buyers who were all trying to get work done, but it took us 3 - 4 months just to get one PO out the door because of all the red tape they wanted to go through.  I learned that there were too many meetings and reports that had to be done each week, which interfered with doing my job.  Most of the Buyers were great to work with, except the young contract people they put over us who were horrible to work with.  They had no professional experience and talked down to all of us constantly.  You never knew who was really in charge.  There was no enjoyable part of working there and I would never recommend anyone to work at DOW on that project.  Maybe the other DOW Procurement group has a better system, but this project was the worst."
bad,"Unless you are desperate for a job, dont work at Prentiss. Management will grind down your moral so low that when you are driving to work you think about switching lanes and hitting one of the semis head on.. Its that bad. Bonus's are a performance award, (which if you do nothing wrong even send an email that can be perceived badly will be near zero) pay is good for a 4th class plant in central Alberta, but dont ever ask for a raise. They do send you on cool training trips to the states and such, but when you get back they scrutinize every receipt you have like you stole from them."
bad,12 hour swing shifts poor management porta johns hazmat suits low pay under minded by management operating in below-freezing temperatures without proper insulated clothing rain and snow
bad,Dow ran off of what they called empowerment.  It gave the operators the run of the unit with guidance on how to accomplish the correct specifications for the products.  The bad side of this is that there is no mentorship or training programs.  Employees are given a book of questions to answer to learn how to run the plant.  The employees were very hostile towards each other.  No one worked as a team.  Everyone was only in it for themselves.  I was miserable for four years.
bad,Stay away from Dow this place was as toxic of a job that I have ever seen.  The engineers are cut throat and they want to make you look dumb.  No team work and plenty of blaming people.
bad,"This company is laying off Canadian workers to beef up Indian office staff. "
bad,Do not report any issue with your supervisor. HR is not your friend. You will be moved and fired eventually. Claiming no position is available for you. Supervisor will black ball you so that no one else will want to hire you. Nothing you can do about a negative Performance Review even if it is untrue.
bad,"A culture that does not value shift workers and maintenance staff. These individuals are seen only as drones who have no input on day to day or long term decision making. The result of this culture is demoralizing. They claim to have an empowered workforce, this unfortunately was not my experience."
bad,To much work for one person to do and they want more for less  management does not know what’s going on and the pay is so low here you can get the same pay at fast food
bad,"The pay is about 10% less than most other plants in this area.  Some managers are alright, but all upper management treat you like garbage.  Every contract has to be negotiated very hard as the company hates unions and does their best to get rid of them.  The 401K match and retirement are less than every other plant around us.  I would not recommend working here unless there is no other plant job you can find."
bad,"Where to start.."
bad,I worked very hard every day at this company. All other workers at my unit were so worried about themselves and there advancement that they did not care about one another and would do and say anything to make themselves look better. 
bad,"Tijdens een TA waarvoor ik was aangenomen, werd ik na 4 dagen gevraagd om vrijwillig bij de Arbo-Arts van DOW te komen. Dit netjes toegezegd, reden was vanwege de fysieke beperking. Ter ondersteuning van het lopen gebruik ik een kruk. "
bad,"I've heard horror stories about this place like cut throat, messy, un-professional, back stabbing, unethical behavior and over all stagnant career path unless you like cafeteria food. This place is a mess, get in get paid and get out. Don't discuss your business with the admin staff and half the employee's are sleeping with each other. Loserville"
