rating,review
bad,"Worked on the Acquisition project...Dynegy's mentality is ""the contractors.""  Upper Mgmt. in Plant and Corporate has a lot to be desired.  Their own employees are not happy.  In a meeting regarding the acquisitions, the plant acctg mgr stated that employees should bring their sleeping bags and pillows.  When another manager stated the employees could just check into the hotel a couple of blocks from the job and she countered, ""they won't have time.""  The worst part of it is that she was serious.  She came from Calpine and has only been there approx. two years and obviously has an ""I AM THE Say-So.""  Managers under her only have the titles without the authority.  Dynegy just came out of bankruptcy and I can see it coming again....KARMA."
bad,"Stuck in the 1980s work ethic. No advancement to higher positions, management has deaf ears when new ideas or recommended/suggested improvements are mentioned. Supervisors do not encourage/or want you to learn more efficient ways of how to do your job-for fear of you taking their position. The morale is very low."
bad,Its a good environment except on the management side they don't know how to handle their employee at Moss landing Power plant they have Favorite cause the color of your skin like a bad child and a good kid.They have employee at Moss he don't get in trouble no matter how bad mistake he do still ok and his father is in management in Main corporate office so no matter how you complain to Human resources nothing happen.Its not a pleasant company to work with.
bad,"Diversity and Inclusion does not apply to this company, they try to screw anybody that isn't in the good old boys club. They are not very labor friendly."
bad,"Slow, reactive, mismanaged, bookish, elitist. Have no clue how to retain and grow talent. This company is a haven for predatory consultants. A very stifling environment."
bad,was a good place until management has ran the place into the ground. health insurance out of pock expenses so high your better off without it. job placement is based off seniority and not knowledge or work ethic so a lot of dead beet know nothings will have a $40/hr job and you will be stuck at $17.
bad,Flex time was an advantage and most of the co-employees were nice and friendly.  Senior management was a different story.
bad,"you work you go home. this is a no thrills place to work. 12hr rotating shift work a lot of overtime. there are different positions to cover ops inside covering bottom ash, out back there 5 positons to cover."
bad,"Dynegy Inc. offers  good benefits and salary to their union employees. Unfortunately due to the coal industry decline, the plant will be closing in July 2017."
bad,Everything is average about the company. If you have a degree they will take it over experienced work personnel. Great pay but limited on advancements.
bad,"Energy producer in Illinois. Coal Fired Power Plant. Due to the negative outlook on coal in the US, the plant shut down two units and laid the majority of the workers off."
bad,Learned a great deal regarding their midstream plants and other facilities.
good,Flexible work schedule. Nice people in the department. I was able to meet and visit with many other professionals.
good,"Dynegy is facing many challenges. These challenges are a daily distraction. Along with the uncertainty, days can be tough."
good,"Every day was different depending on what management needed.  It was a project oriented company, since coming out of bankruptcy most processes had to be reestablished in the HR area."
good,"Employee and coworkers are great to work with. There is a day to day stress for the employees about the future of the company, due to the unpredictive situations and the outcome of the utility industry."
good,I love working here when speaking of the location and what the job consist of. There were just some people that ruin it for everyone. But that's life. The job was always different and I liked that. Its big on safety and I like that. We normally do are rounds of the are assigned areas. checking levels and etc.
good,"1. Typical day: Busy"
good,"enjoyed working there., some things could be managed better, moral is down due to plant closing, and our beneifits being taken away at last contract."
