rating,review
bad,"Worked here for 4 years. Underpaid, company culture is horrible. They say all the right things but when comes down to it everyone is negative and bullies. They really are angry people doing a job they don't like. I liked my job not the people or culture. Everyone had a chip on their shoulders and their communication was non existent on resolving issues. They tend to cover up mistakes and point fingers. Felt like i was working with a bunch of toddlers all day."
bad,I was hired to be an assistant manager but after hiring I was forced to work as resident engineer. Manager was influenced by another colleague and  hence I got fired in the end.
bad,Fire me from a project at Yes prep school after week and a half for having some issues of pain in my hands after asking for a day because my wife that day had surgery
bad,"There's no humanity. I worked here for 8 months. They sent me out telling that I didn't achieve my target, just like that removing my ID card, when I was 2 months pregnant. Worst."
bad,Was very stressful. Metrics were contradictory so they were not fair.  Pay was ridiculously low at 12.5 an hour.  While I was there it was changed to 15.00 hour.   Training was very unrelated to actual job.  Did not learn anything job related.   Good training sessions started in my last months there so those were great.    Beautiful office.   Good starter job for I.T.
bad,Do not work here unless you want to continuously get underpaid to make someone else rich. There is nothing more to say................................
bad,"Not a company worth spending time."
bad,Dell is a very dysfunctional company that has really poor low energy management.  They feel like they own you and there is very little if any work life balance.
bad,Management is horrid and there is no room for growth. Mandatory overtime is a constant thing because they dont hire enough people to manage the workload. During that time lunch is also cut to 30 min without warning. Even after several other agents have had their hour lunch.
bad,"They got sued for underpaying overtime and management was mean when you called them on not being paid."
bad,Mi problema fue que nunca se precuparpn en ayudar cuando les pedí ayuda pero cuando se trata de hacerle daño al trabajador
bad,Please dont join Ax project if u r a contract employee.Specially working mothers.You cant even go to for a tea break.you will immediately get a call!!
bad,Job duties were not specific to job requirements.  Clients were not informed of support that was provided.  Clients were not aware of the degree of support that was provided.
bad,"Dell gave Winston-Salem a lot of great talk and excellent goals.  But what was most prevalent were the promises of having a great career. However, a lot of people who left their jobs; was terminated or layed off on after 3 years of empty promises with Dell."
bad,I only worked there for a few months and they do not have the contract with the government anymore so to require a review is senseless.  It adds no value.
bad,"too many layoffs . Politics in every team. Not a good management  at all. Very little benefits. Every quarter there are layoffs and no promotions .                                                                                                                   "
bad,"I did learn how to build and to teardown computers. The lean practices were just to much for example your needed tools such as a writing pen, box cutter and blades etc... when you go the replenish these you were hassle as to why, most people would just bring there own from home to avoid this."
bad,I was at EMC2 during thr merger with dell as a part time employee working on my degree as well. There was no room for advancement from the position I was in.
bad,"Inconsistent leadership.  "
bad,"At Dell, everyone works well together and we try to make it a fun and productive place so everyone looks forward to coming to work."
bad,"In my tenure at Dell, I was moved to a position I didn't want and tried to make the most of it until I was ultimately laid off two months shy of my five-year anniversary."
bad,"This was one of the worst jobs I have ever had. Even though I was virtual they have terrible management and they don’t trust people to do the job.  "
bad,"Outdated work culture and lack of job advancement. Most tech companies in Austin have adapted open seating whereas Dell maintains its cubicles. In addition, you have to pay for your meals at the cafeteria as opposed to most companies such as Apple, Facebook and etc who have free food and free vending machines."
