rating,review
bad,"attended major events in alabama including car shows,motorsports roadways football events basketball events track and field events worked very large venues as parking lot of attendent"
bad,Working and maintaining development with automation and controls in the oil/gas industry. Managing techs in the specific area. Daily checks on the network and data sent to Cygnet. keeping contact and communication up up Engineers and Lease Operators. Ordering parts for each specific job and making sure correct parts and devices arrive to location on time. Programming end devices and setting up communications. Training new techs on the automation with software and weekly meetings.
bad,EOG resources fired me with out notice regardless of being their senior safety hand yet REFUSED to tell me why I was being let go.
bad,This job was only good for un educated students or homeless people. the amount of pay really did not match the amount of hours you put in. I would never go back to this company. They also did not put any money back into the equipment.
bad,"Working for EOG resources was a waste of eight years of my life ,   Their managers and management system in this company is very discriminative, uneducated and dishonest, they have no loyalty to the people and men and women that are putting the shirts on their back’s, after this experience I do not wish to work for another oil field company"
bad,"Older workers are not appreciated for experience. This company uses your experience to train younger workers and then looks for ways to get rid of you. It is a great place for younger workforce; but if you are older, you can forget it."
bad,Management is terrible. Some of these managers shouldn't have those positions at a McDonald's let alone a large corporation with the lack of people skills and no technological skill what so ever. Directors will fly in every so often to tell you your job isn't guaranteed because it's not important and they'll only keep the lowest paid version of your job to save this billion dollar company a marginal amount of cash.
bad,There were a lot of politics and behind the scenes decisions.  No job security and no loyalty    Management tells one thing and does another.  And a lot of shady deals that are very negative to the public
bad,"It's a tightly knit organization where it's WHO you  know not WHAT you know. I was there 3 years, no promotion, token pay raise and threatened by supervisor and manager. They have little respect for tenured employees or your skills and knowledge acquired. No procedural manual, no independent thinking allowed, no respect for personal boundaries and exceptionss made for employment of young non-degreed individuals. It's stressful, sad place to work and there is never time to get to know others in your department."
bad,They will keep you as a contractor and promote you as company. Some people have been there about 10 years and are still working as contractors. As long as you are a contractor you do not get employee benefits.
bad,"As the workforce was a temp workforce, the job insecurity was very tangible therefore closeness between coworkers was non-existent.    No overtime was allowed at most of the admin and clerical positions so your workweek was stressful because deadlines were still expected to be met. "
bad,"EOG Resources is an oilfield service company that offers reasonable pay, but no benefits for the first year. The hours are long and the environment harsh. The job outlook is poor due to low oil prices, so there is little chance of advancement."
bad,"Poor work environment, too many hours, break every labor law known to man. Poor ability to control basic human resource issues.  Poor communication between upper and lower managers"
bad,Company/culture is becoming very cut throat.  Working in the IT department has changed.  Upper management really only wants to hire internal developers.  EOG prefers young developers they can get 5-7 years out of them then get rid of them and bring in a new group.  That is the new model they have in place.
bad,"provides little to no training."
bad,EOG was a great place to work up until the new CEO and new management came into play. Forcing early retirement and forcing long term people to leave. They have NO loyalty for good employees future. Management only looks out for themselves and trying to climb the corpate ladder.
bad,At EOG you can expect to be busy in a fast-paced work environment. but that doesn't mean you are treated well. Many managers don't know the people who work for them and do not take the time to get to know their employees outside of a select few.
bad,Don't care to comment due to not feeling like I would be down talking everyone who still is employed by said company because they are good people and some of the others aren't good people.
bad,"A typical day at work involves a 45 min drive to my first lease which I don't get paid for! My time doesn't start till I reach my lease. I start out by inspecting each well, production unit ,and compressors, and d highs for any problems and fix anything wrong and blow down wells if they need it then writing down the off the meater into my log book. I proceed on to my next lease and do the same. At the end of day before driving off my lease I text my boss that I am out and leave and don't get payed for the drive home. I am on call every other week sometimes more and don't get paid any extra like most companys do for being on call ! My supervisor is very good at his job and tries to help out a lot but I was promised a lot when hired on and have never seen anything I was promised so far! The company has no roustabouts so I well tend and do it all and are way under paid for the amout of work and experience I do and have!!"
good,"Relaxed workplace, fun co-workers, company made up of mostly contractors, flexible schedule and casual dress environment management style is professional."
good,I don't know it's an all right place to work if you are a company man. Other wise you are treated just exactly what you are a temp. I am to old to be a temp in my life was promised a company job 3 years ago. Never came they do teach you your craft very well but they have people leave so often after they teach and put money into you.
good,You start here through an third party. Made little to no OT. I came into the company in a rocky time. Jan 2016. the economy was down.. It may not be to bad but I could not make it on the pay.
good,I was employed with this company for many years. I have had many different positions and have met many people. I would recommend this company to my friends and family.
good,This is a good company to work for if you come from the right school and know the right people.  Benefits and compensation are good and competitive with industry.  Though not a lot of room for advancement.
good,Good job over all. Required to drive to several facilities a day to maintain correct measurement of gas. Co-workers are easy to communicate with. Hard part was the drive from home to job and back.
good,"It all depends on who your manager is. Once you start to advance and if the current manager you have feel as if their job is at risk, they boot you out. Also, don't have an opinion for the better of the company.  They are more worried about ""friendships"" with the independent contractors versus looking out for their own staff.  Some within departments are racist but they notice they aren't getting to you like they hoped to, you get let go for one of their one to move in your position and then quit on them."
good,"I loved my job at EOG, despite some of the frustrations. Their corporate policy of using mostly contractors being the main issue. I learned a ton about the material management and logistics involved in running an oil and gas operation."
good,Culture/atmosphere at EOG was mostly satisfactory. The environment was fast-paced and challenging. I had a great experience and I learned a great deal more about the oil & gas industry. I hope to take the skills I acquired and apply them to future job opportunities.
good,Good place to work and enjoy the co-workers.  You try to help out when needed or at least when asked to help or just give a little bit of encouragement which goes a long way sometimes.
good,"Currently employed on an ongoing Project. Was previously employed on the project prior to the commencement of this one. It's an enjoyable job and I do love what I do, but I think I would like to be more versed and move on to another challenge."
good,"A typical day at work was going into the office first and doing book work, then hitting the field checking all wells on my route, I learned how the making gas process works, management was poor in the way they deal with employees under them, all co workers were easy to get along with everyone helped each other if needed be, hardest part of the job was having to deal with management, most enjoyable part of the job was getting to learn how to work on things."
good,You're going to do the same thing every day in your office.. by yourself... It's not the worst place to work but it definitely does not make your days fun or fly by
good,I worked as a contract Buyer.  They do not treat contract employees well.  Some of the actual employees will treat contract people as second class.   Contract people are not paid as good as many other companies.
good,EOG was overall a great place to work. Management seemed to be fair and the work was engaging. Seemed to be a large amount of contractors at the company.
good,"Worked as a temp. It was a really professional place to work at. Had my own office, but they only hire temp to help with the high volume invoice when needed then when the company is all caught up then ur job is cut short and you are not told if you are still employed with them from day to day they call your recruiting agency to call you and tell you that you no longer work there."
good,EOG Resources was a challenging environment with excellent people to work with. I was able to set my own on location hours and the people that worked under me as well. Being a large corporation I was in daily contact with many different office personnel in the Division offices. The hardest part of the job was having to be available 24/7 and the best part was the wonderful people I got to work with.
good,"What I like about working at EOG is the relaxed environment. As long as you work your hours and get your work done, they are pretty flexible on your in/out time."
good,"A typical day is doing inventory and maintenance on all 27 of the wells on 13 leases I operate."
good,"The hardest part of working here is getting recognized."
good,I've learned a lot and they gave me a chance although I had no prior oil field experience.
