rating,review
bad,"The company were downsizing at the time of my employment. The older employees whom had worked there for years and years were in fear of losing there livelihood. So they were not sharing information nor were they happy to see a younger person on the job making a third of what they were making."
bad,"Management is god awful. No raises. Always increasing demand with no extra incentive. Only hear about the negatives, you never hear anything positive."
bad,"First job in the USA, Challenging work condition in 30+ degrees heat. Difficult transportation to work site. Good benefits though. I wouldn't want to work there again."
bad,"Management was lazy and had no respect for their workers."
bad,Not a professional environment to work in. Hours are long and stressful with low salary. To much fraternization between management and lower level employee's. I would not recommend Kodak as a place of employment.
bad,A great job for a company that eventually went under.  During my time I learned more about Quality control and leadership then for any other company... Miss Kodak
bad,Worst job I have ever had management are poor hours long without any real reward at the end of it and was never paid the salary I was due to get each month
bad,"This is the worst job I've ever had. If you like working in a place where people stab you in the back, and no matter what you do it isn't good enough, then this is the place to be."
bad,"I would not recommend working for Kodak to anyone ever. "
bad,I was offered a job with Kodak and moved across the country only to be told the day I got into town that I will not be working from the company. RUN away from this company. If you tell anyone in Rochester that you got a job with Kodak they will laugh and said don't believe it until you actually start.
bad,"I saw this company change rapidly over 7 years.  Although I was a victim of downsizing, I observed a culture of management that rewarded consistency - meaning do what we've always done because the Kodak way is proven."
bad,"Poor management "
bad,The people at Kodak are absolutely great. Company had a wealth of resources.
bad,The former CEO was a moron and the management was even worse. Surprised company has not gone back into bankruptcy and closed the doors.
bad,poor lost job due to poor management and was hoping to end my career there lile so many other people
bad,"The enjoyable part of the job was working with co workers and servicing equipment at customer sites. Enjoyed working with customers and repairing/troubleshooting/maintaining equipment. Unfortunately, the company , to keep profitable would lay off workers,sell assets, etc. Not a fan of the way their CEO is handling the business. Should have stepped down a long time ago. Drove the business to chapter 11 and caused a lot of lost jobs/hardship for families already struggling."
bad,If it wasnt for the people that you worked with to make it through the day. The atmosphere wasnt good.
bad,Didnt keep up with technology and the digital age. Got outmatched by other camera companys like canon and nikon.
bad,Only work here if this is your only option other than mcdonalds
bad,A typical day at work is going over our work schedule for day or night then going to work.I learn recently how to make some of our film products.My coworkers are my friends here and outside.These people are down to earth and very friendly and when if I needed help there was always someone there to help.Hardest part of my job is working nights.The most enjoyable part of my job are the people that I work with.
bad,The upper management I. This company was blind to technology and stuck in the 1970s. They purchased a company in 2006 which would have helped them succeed and they dismantled it.
bad,"The people I worked with were great, the management an company not great.   Poor management, an if you don't fit in with the people that have been there for years they will get rid of you."
bad,"Execs here still have visions of relevancy and grandeur. Kodak was great in the 1970- early 1990s. Since then it has been a slow train wreck. Since the bankruptcy in 2012, the company is even worse. They have all the incompetent managers, but none of the good workers. They still belive they are going to sell $2000 FILM camcorders, where you PAY to get the film developed!  LOL  What idiot comes up with there stupid, retro, useless ideas?  It is sad when execs only look backwards and not forward.  The company will probably go into bankruptcy again because they don't really have any differentiated products."
bad,"Bad management priorities and policies created product problems and they didn't listen to what their customers were saying. The result was closed divisions, a bad work environment and bankruptcy."
bad,"aprendie serviços como o de fotografia,também aprendie sobre negociação e atendimento ao público,era agradável o companherismo dos colegas de trabalho."
bad,"Nepotism here!!  Nepotism  here!! Nepotism here!! Nepotism is here!! Management is horrible!! Nobody knows what they are doing. If your not related to somone that has been there for 20 years or more, they treat you like nothing!!"
bad,A typical day at this company started at 6:00 am and ended normally at 8:30 pm due to a lack of direction and structure.  The work life balance in this company is very unbalanced.
bad,"Journée de travail stressante , manque de personnel (sce client)"
bad,Moved around and felt like I wasn't part of the Kodak Employees left I did not feel that they cared about my 29 years and 6 months of service at all
bad,Kodak continues to shrink in size and narrows it's footprint in the market place. It continues to loose money year after year and is struggling to keep afloat.
bad,"In 4 years of working with Kodak I had 9 bosses.  The company changed leadership too much for anyone to be very effective.  As of the time of this writing Kodak has been in Chapter 11 for 19 months and they kept promising employees that they would emerge.  Recently they sold off 2 of its larger divisions and have laid off several thousand people. "
bad,"In the end of my career at Kodak, the Sales organization put themselves in charge of all Service. The intent may have been to sell more presses and give away Service pricing....to place more product.  Do not sense Kodak was compelled to give raises to retain Service Representatives.  Many, if not most, Kodak Service Representatives lost purchasing power for their families because of not even keeping up with the cost of living for many years......"
bad,This company desires to go places in the market place but isn't willing to spend the money to research new ideas. Poor planning and no visionary plan for the future
bad,"No direction, poor planning, no advancement"
bad,The company is a mess. They have layed off all the workers and kept all the management. Their overhead can not be supported with the current sales and products. They need a lesson on how to run a bussiness and it is not going to happen with the current management staff.
bad,"The most enjoyable part of the job was to print picture, assistant people with their choice of the frames they wanted and creating collages . The management was great and respectful . The work place culture was to come in early, house keeping for every one ,excuse yourself if you late , 15 mins tea break and 1 hour lunch  . The hardest part of the job was to carry the frames to the workplace or placing them on the right places ."
bad,they will never be big again unless some new and fresh ideas come into play. I loved working there in the beginning but they changed management and the it was a nightmare. then they filed bancruptcy
bad,The electric motor shop was a great place to work from 1996-2008 a typical day was to repair emergencies motor\pumps\gearbox orders first test\inspect then ship back to dept. of origin. I learned a unsermountible amount of skills\knowledge. Management was strick but fair.The co-workers were always great! The most difficult part of my job was to complete my job on time and built in excellence to every job. the most enjoyable part was the gradtifacation  that comes with a satisfied  customer!
bad,It seems that every 5 years of so Kodak lays off the permanent employees only to hire in contractors. I should have known better as I was one of the contractors in 2005.
bad,"The work they give us is ok but there was never enough Brakes. The staff don't really listen to your needs. The payment for the hours you do is not brilliant.   it's mainley for single people who have no family or comments. "
bad,I worked at Kodak during their entire bankruptcy so it is very hard to judge my time at this job. Most employees were 20 to 25 year employees who were worried of losing their retirement and pensions and should not be blamed for the poor work environment
bad,I worked here too long ago to judge what it is like to work for Kodak today.  It is a much different company today and much smaller.  I don't think I would recommend it though.
bad,"Too many backstabbers, wasn't getting paid the amount I deserve to get, schedule was so crazy with the 2days & 2nights"
bad,This company is great the boss help out any way they can. The help make all the difference in the world anything they need. But they training could use more work they don't train people very well.
bad,I didn't have the best experience there simply because i was pregnant at the time so the supervisors would hassle me when i wasn't lifting  the boxes or was having a hard time standing for the full 12 hours
bad,"The Kodak location I worked at was located in the Knott’s Berry Farm theme park. A typical work day begins and ends with swiping a time card. Once clocked in you then traveling to your work location for the day, which may vary on a day to day basis. By working with this company I acquired cashier experience. As well as improved on my customer servos experience. I did not interact with the manager directly most of my communication with the main office was with his assistant. My coworkers were very patient with me during training.  They provided a comfortable atmosphere, and made me feel at ease. The most difficult part of the job would be the lunch breaks. You could not eat in front of the guest; you had to go to the break room which for me was on the other side of the park. I was given a 30 minute lunch break, but it takes 15minute to travel to the break room and another to travel back which would only give me 5 minutes to purchase my food and consume it.  What I enjoyed was photo graphing the guests, as well as printing and distributing photos."
bad,"I was only there for 6 weeks on an assignment. The place was awful. Too repetitious. The salary was great for what little work I had to do. But other than that, I wouldn't recommend it."
bad,"Gestão totalmente autoritária e anti profissional, pois a mesma envolvia problemas pessoais com o cotidiano da empresa e funcionários."
bad,tinha atendimento ao público onde aprendi a lidar com pessoas.
bad,The company suffers from a poor strategy severely limiting the ability for employees to be successful.   I suspect that Kodak will no longer be a publicly traded company in 2 years.
bad,"Pay is not close to making job worth it. Pay is well below market and responsibilities are huge. Too many Indians, not enough chiefs."
bad,"There was no typical day at work. As Kodak struggled with downsizing, so did it's employees. I certainly learned to be flexible and to embrace change because change became a way of life. I had great co-workers and our local management [groupleaders, supervisors etc] were doing their best. The hardest part of my job was the constant uncertainty of the direction and more importantly the future of the company. I personally had a great job, self directed, results oriented and satisfying."
bad,The work is not hard at all. Expect you to be a team player but doesn't pay you enough. Don't be believe in the cost of living raise. Want you to work some of your off days after you have done your full rotation. They tell you have so many sick  days but will only pay you for two. Work here only if its your last resort.
bad,not a good place to work always looking over you shoulders for someone to tell lies about you  having to take blame for others mistakes and not a friendly work environment
bad,"Kodak was a very fun and exciting place to work. Until all the downsizing and the mis-management of a great company. Our team was always told run run run then stop, cant spend any money budget cuts all the time."
bad,Nice environment with a self paced attitude. Severe lack of opportunity as well as a non realistic job descriptions and requirements!
bad,"They just don't get it. The good news is that every business that they sell off is more successful after getting away from the big yellow ""K"""
bad,delivering film alll over NJ NY upstate NY and some local eareas stores . but some times it was hair pulling with a snow storm or thunder storm woyld make driving diffical.
bad,entrabamos a las 10am  y empesabamos a revisar los productos a las 11:30 nuestro almuerzo y regresavamos a las 14:30 y luego empezavamos a embalar.trabajar en equipo.eramos mujeres.el conteo de los productos
bad,Not a good place to work. Constantly downsizing. Employees are unhappy. so is management
bad,"A great oportunity to learn new things,good pay,great people,good work environment"
bad,"Great people to work with, but there is no future for the company"
bad,"You can get the experience and learn the basic things what the Designer must know but you can't get enaugh salary or other benefits to be satisfied, so for begginer designers this job is good but after 3-4 months you have to find the job where you are paid well."
bad,I do not like working at Kodak in Dayton OH. The work environment there is poor. They develop products that are not good for market. The managers do not listen to ideas from other sources.
bad,Based on company's current financial status they tried to keep everyone aware of opportunities for involvement. Management was in a difficult situation.
bad,"You are just a number,  management demanded your suggestions on how to be more efficient and profitable, then totally ignored them."
bad,Need Improvement for the sake of market and the existing employees before it closes fully . and also it need to consider new invocations and also invest more on new ideas
bad,Slow paced job I was an order picker I learned to operate the stand up forklift and the Cherry picker lift its not really a job where you can move up the chain of command
bad,"In a typical work day you can expect a certain workload to accomplish any given day.  "
bad,"Pay raises suck if there is one"
bad,I really dont have much good to say about a company that let its middle management bully them an run the company in to disater. Really you make people fill this out!!
bad,Managers are honest but overall issue with casting people out who perform. Spent many hours setting up processes and supporting multiple departments yet not considered for staff reductions. Not a company I would have worked for if I had known about the financial stability.
bad,"Kodak was full of opportunities and I was there at that time. If you worked hard and smart you were rewarded for your accomplishments. They promoted family activities and education which, helped make your personal life better."
bad,"Taking inbound phone queue calls from business clients."
bad,"Decent place to work"
bad,day starts at 7 am ends at 12 pm.
bad,"I work with all functions at various levels within Kodak (and outside customers) negotiating, drafting and finalizing Sales contracts for US and Canada regions. The day is interesting because you constantly learn new things, new products for Kodak based on different strategies and how to work with different people so that everyone's needs are met and done so, with respect. I think the most enjoyable part of my job is the constant change aspect, it is never the same day to day."
bad,"Terrible supervision , management needs to stand behind what they preach . same rules don't apply to everyone . double standard when it comes to advancement in the workplace ."
bad,"The Kodak plant where I worked is a mess. There's a general malaise that permeates the job site as none of the production workers actually seems to enjoy their job. The cause of which could be from any number of things. "
bad,"Review Maintenance logs from previous day and night."
bad,"Mostly Desktop support with a good mix of personal contact and communication. I have learned that while having a plan for everyday and goals to accomplish, I must always remain flexible and put the needs of the end-user first. The hardest part of my job is the instability of the corporation. The most enjoyable part of my job is working with the people."
bad,"Hard work, demanding from managers, supervisors and others working there. It is a stressful environment. Sometimes you need to go to places where no one works like vacant buildings, hot or cold no heat or A/C."
bad,"a typical day at work. I learned the ways they clean. The management had favoritism and bad attitudes. the work place was ok its just a lot of cleaning, which is your job but its cold inside, a lot of people for different departments. there was no hard part for me."
bad,"LOVE the job but, with the lack of corporate direction there have been continuing layoffs.  This has left all remaining employees wondering when they are next."
bad,"Worked 12 hour shifts rotating through 7 days, 365 days per year. It was great having 4 days off a week and having different days off gave me free time to accomplish many tasks. I learned all about the jobs along with safety, teamwork, government regulations and communication. I enjoyed the people I worked with and still am in contact with them and others that retired years ago."
