rating,review
bad,"This is the type of company that unless you're there 10 years or longer your prior work experience doesn't seem to count towards posting for other opportunities. The management culture there is dishonest and untrustworthy. Manager will tell you not to worry about it and then bring it up on your field ride report or end of the year review. As Lilly tries to break into the biotech world and they stick to their internal talent pool much of the time senior leadership, marketing, field positions and access and reimbursement done the positions before  and therefore  continually make errors and when things go wrong  it's always somebody else's fault . positions are filled with people that have never"
bad,The only concern of Eli Lily is profit! They use people as if they are dispensable.  Poor training. Hiring more temps all the time. You will regret working for this company!!
bad,"Nothing good is to come of working here. Deliver pizzas, spin around a brass pole a few times—anything is better than working for this company. If I were to make a list of the worst people I’d met in my life, 90% of them would be Lilly employees."
bad,"All talk and no action.  Management will ride you till you die."
bad,The Workplace culture is very poor. The hardest part of the job is dealing with incompetent management. There aren't any enjoyable aspects of the job.
bad,"Very little chance of promotion and personal development. "
bad,Great job for whoever want to learn on tav\blet machines loved it wher should I strt loved it worked there through a job agaency in Puerto rico  I loved working with them
bad,"Also, worst application process on planet Earth. Redundant questions that literally repeated themselves 3 or more times. Extremely time consuming and felt like I was applying for a kids job like it was the early 2000's"
bad,The hardest part of this job is they tell you they will hire you on if you show up on time and do the work etc. but in reality they wil luse you you for as long as possible.
bad,"Eli Lilly is a great company and very well managed.  I would worked with this company again.  "
bad,I hope they treat their employees better than they do their contractors.  Spent two years there and it got worse every day. Contractors weren’t even allowed to park in lots near the building they worked in- had to walk almost a mile from parking to office no matter the weather.
bad,"Company has really gone downhill over the last few years "
bad,"Empresa totalmente hierarquizada, com líderes que não valorizam seus funcionários e muitas vezes os humilham ou sobrecarregam de trabalho. Total desvalorização do estagiário."
bad,Reading some of the reviews previously posted it is obvious that there aren't too many lowly warehouse workers writing reviews but I am one of them. I was hired @ Lilly in July of 2011 through a contract service. I have a blemish on my record but I fully disclosed that information to the contracting service. I still got the job and continued to work up until Feb 2012. I had a chance to better myself and go for an FDE position with Lilly. Even though I had worked there for 7 months I still had to do an interview and go through the whole hiring process. I did great in the interview and received a call that I got the job the only thing they needed now was an application faxed and I would be an employee finally. So I filled out the same type of application and gave the exact same information and I was fired the same day. They said it was about ethics but how ethical do you think I felt after I had been nothing but truthful from the begininng and a very hard worker?! Not very. But now I'm stuck unemployed and have about a hundred dollars left to my name so yeah...THANKS LILLY!
bad,"The manufacturing side of this company is NOT the same Lilly everyone raves about. SUCH a huge disappointment. If you are a single mom in mfg forget about it, you'll never make it. No flexibility and if you have the misfortune of getting sick and calling in, even with medical documentation, you will be constantly threatened with losing your job. There is a reason why this company is not the top pharma company lol.. it is all in who you know and not how hard you work...much the same model I saw when I worked as a contractor in R and D. Some people have it really good here, it is really just luck of the draw, but I have never been treated so poorly in any job and I have been in the industry for almost 20 years. I can't wait to see this place in my rearview mirror for the last time. I should have listened to others who worked on the mfg side who had similar experiences. Good luck.."
bad,company does not provide job security or a work/life balance.  it is expected to work over 40 hours; upper management does not provide support or guidance to employees but worries only about their career path; would not recommend as an employment option
bad,This was  my first CRA job and I had a wonderful time learning the role of a CRA.  I was able to learn about different therapeutic areas.   I was also engaged in covering for my manager doing here vacation.
bad,"This is the WORST company I've ever worked for. I would not recommend this corporate environment to anyone I like. The Departmental Managers often have very little training or education, yet they have many who have much more education reporting to them. Unless you like to be a follower, unless you are a ""Yes"" man and agree to idiotic ideas, I advise that you look into a much more promising company that values family, military, work/life balance and your efforts."
bad,Was once a pretty good company.
bad,Full of meetings. Very collaborative. A lot of turnover. A very large company with a distributed management structure. A lot of field personnel who occasionally came for meetings to HQ.
bad,They have no respect for people. You will be consistently blocked for promotions or posting on positions at other sites. They do not value experience or hard-workers. They only value certain degrees from certain Universities. They pick and choose who to promote and who to hold back based on popularity. I wouldn't go back there if they were the last company on the planet.
bad,"Extremely stressful, toxic environment."
bad,"Excellent computer skills, soft skills, & communication skills both written and verbal.  Looking for a part-time position with some flexibility.  I worked in training & development, and also as admin. assistant.  Enjoy learning new skills,"
bad,"Younger workers are allowed to do homework, snap chat, play games on their phone, watch cartoons, face book, you tube, gossip, or whatever they want to do.  Opinions of older workers with a work ethics are dismissed as old fashioned and irrelevant."
bad,If you wish to work for Eli Lilly I would suggest moving to Indianapolis because the New York site is treating poorly. We are not provided the same privileges and only just received permanent desk after 8 years at the current site.
bad,"Alot of loyal employees lost their jobs with Lilly due to lack of good management and good judgement. Lilly could have offered the employee opinions like taking a pay cut or droping their insurance, before kicking them out the door. I put in alot of years not to memtion hours for nothing. It's been over one year and nothing. This is a company that waste money like water, wow. The company won""t make it ..."
bad,"Indisposizione all'insegnamento, Non affidabilità sulle informazioni trasmesse. Mancanza di trasparenza."
bad,Good entry level Pay but no advancement opportunities. Very political. Jobs are given as favors not based on qualifications. Great benefit package once you're permanent. Management team is very inexperienced which  makes daily task very difficult.
bad,"Lilly's environment and culture has deteriorated particularly in the past 7 years. Many have left there because of this. The last 2 years was especially difficult because I dreaded going to work."
bad,"This wasn't a very good place to work. The management didn't engage with their employees, were rude, and expected you to learn something new the first time it was taught. They didn't like suggestions on ways to improve processes. They hold company events and if you are a contractor they exclude them."
bad,Empresa ótima para se trabalhar. Uma das melhores. Colegas de trabalho unidos e sempre dispostos a ajudar.
bad,"A very tedious day, not up to date with cGMP, will not listen to experienced people, a lot of temporary people running plants, management are not interested in listening to Temporary people, they are not treated with respect, as this is supposed to be a Lilly value !"
bad,"In this project, I basically need to support various Ubuntu Servers, which Hosts various ELI LILLY websites which are responsible their Marketing and sales websites."
bad,I was only at Lilly for a year and had 3 different district managers.  It was like a carousel.  Very poor management training.  The acted as if they had a chip on their shoulder.
bad,"No Respect for employee, No respect to Diversity.  Individual from different Diversity suffers and humiliate by People who are from American origin. Surrounding is humiliating people."
bad,A typical day at work - expected.  You are required to do what is expected of you. That some times could be 8 hours or 10 hours depending upon whether it is the first of the month or the end of the month.
bad,"Management is way below par"
bad,"Empresa Dinamica e agradável de Trabalhar"
bad,"Lack of transparency in transferring KB. Lazy and fool micromanagement. Company is populating  kind of ""human care"" while never minding about employees  "
bad,Slow sample rate makes the job easy. High degree of cGMP knowledge in this company. Management was nice but not always experienced. Coworkers were fantastic. The job did drag on due to slow sample rates. People were great and knowledge of staff was quite extesive
bad,Unless you are a relative you will not advance. You will require a PHD while a relative of any employee will only have a GED. If you know more than your boss they become easily intimidated (and you will). The worst culture of any job that I have ever had. The rules change based on managements feelings for that particluar day. Please read glassdoor reviews before making the mistake of joining this company.
bad,20 years ago was a great place. Now management is rewarded for taking away anything they can to save   Money. New employees don’t get a retirement they took that away 10 years ago.
bad,The culture is created organically or through deliberate and consistent planning and action. The organization understand their own culture and take careful steps to manage and promote it effectively.
bad,"Plan to leave in 5-7 years.  Long term employment is less valued than in the past."
bad,"Retention of staff is a major issue and management can not make the necessary improvements."
bad,"No Diversity at this workplace. managers play favoritism and only promote those they like. "
bad,"a typical day at work will depend on your routing plan, you're required to visit at least 12 clients per day. While working for the company, I have learned to be be flexible and adaptable to the different circumstances that may arise within the day. The supervisors needs further training on people management although the workplace culture is fair. The hardest part of the job is that there is no work life balance and job advancement takes a long and tedious process before you get promoted. The most enjoyable part of the job is that you're able to meet different clients per day where you get to develop your communication skills."
bad,Corporate America at its finest.  Just drink coffee do your best and try not to bring the day home with you.  Some of the supervisor's need management classes.
bad,"I don't play ping pong.  Stress, more stress.  The general feeling was that a person must make themselves look better by making someone else look worse.  "
bad,"I was hired on for an 18 month contract but it was finished in 4 months. They have great training in place but the way you get treated there, as a contractor is not anything to brag about. I felt like a second class citizen. Gyms were only for employees so contractors could watch through the glass but could not use the facility. I was very impressed with how well the training was organized and presented. I learned a lot while I was there."
bad,"C'è una forte differenza fra chi ha il lavoro stabile - ipergarantito e pieni di benefit - e una vasta popolazione di precari, interinali e soprattutto lavoratori in appalto (attraverso coop, società di servizi o a partita iva) a cui è demandato quasi tutto il lavoro operativo in tutti i reparti . La tendenza è quella di usare fin dove possibile i tempi determinati senza confermare se non in pochi casi e di esternalizzare il grosso delle attività pagando meno chi le esegue. L'ambiente è molto ovattato, tutti sono molto gentili e accomodanti dando l'impressione di essere fortunato anche se appartieni alla seconda categoria di lavoratori: nessuno è fino in fondo cosciente di questa ineguaglianza e di questo velato ""sfruttamento"""
bad,"Company loyalty non-existant. Inept upper managent, due to constant turnover, leads to poor decision making. Middle management generally toes the corporate line."
bad,"Manager was inexperienced and didn't back up his employees. When other employees where given the opportunity to take early retirement, it just meant more work for the remaining folks even though executives and upper management said it would not."
bad,Very unstable environment with the reduction of 3800 employees.  Changes daily to the work process that make life more difficult.  CDAs (Clinical Data Associates) at Lilly are actually project managers since project managers no longer exist on Lilly studies. I have a $6000 deductible on my insurance that doesn't really cover anything.
bad,During the one year I have worked in Eli Lilly I have faced some troubles as sometimes they did not strict to company policy. I think they have to review again their way of thinking.
bad,"NIce company to work. Comfortable enviroment, but not good at creating opportunities for an employee to grow."
bad,Worked through contract firm.  Treated like a second class person.  Management was offended when I expressed  interest in direct placement even though my contract firm had worked out a deal where there would be no cost to me if I was hired direct.  One manager with no power to hire told me he would like to hire me direct in order to get me to fill in for someone on vacation.  It paid well but not worth the hassle of not knowing if your contract will be renewed until the last minute.
bad,"I've worked for the company for over 15 years and have seen a lot of changes, more bad than good. The area that i worked in was caring less about the people  every year, which showed in promotions,raises, etc. One truly bad characteristic of the area i worked was that you were less likely to get advancement opportunities if you were good at your job."
bad,Contract Position - FMEA on new equipment validation.  Eli Lilly employees had strong tendency to look down on contract employees.  Not a show stopper.
bad,Terrible hours in the production side. CEO out of touch with what is going on outside of his office. Co-workers would rather talk about you than to you.
bad,The company took from April to June to get me my first paycheck and when they did most financial institutions would not cash it because the bank that issued the check was considered unstable.  It was a revolving door of management and I'm pretty sure it was based in India since everyone that worked directly for SpectraForce had an Indian accent.
bad,i was contracted through waste management. The pay for what I was doing was not so great. I was around hazardous chemicals everyday which wasn't healthy.
bad,It has been a learning experience till date with scope of upgrading my own knowledge grow both technically and professionally
bad,"Compensation for performance was wonderful. Corporate Center was a great place to be and wonderful people there. Opportunity for growth and development, not consistent."
bad,"Working day starts with several meetings (process team, staff meeting) after which i work with my team in several laboratory issues and initiatives, coordinate with several functions for business continuity (production, quality and engineering)."
bad,Management expected processors to work overtime everyday.  Majority of processors worked 10 to 12 hours a day.  This work schedule conflicted with my personal life.
bad,"home health aide who did all personal care, wound care, errands, meds, cooking and light housework"
bad,"Around '95 culture changed. Employees no longer considered valuable or as assets but expendable. Contracted out nearly everything. No job security, no raises, pigeon holed in positions, executive leader ship got richer but rank and file employees got poorer. Executive leadership gave themselves raises and salary froze everyone else. Company became very unethical in business practices resulting in billion dollar lawsuits. Glad I got my 20+ in and got out so I ha e a pension and 40 1k. Company now sucks."
bad,"always stay busy, training is ongoing. Job is meaningful. Makes a difference to in the patients lives that we serve each and everyday. very talented employees throughout"
bad,"A empresa que entrei em 2000, não existe mais. Não há equilíbrio entre vida profissional e vida pessoal."
bad,monitoreo de centros de investigacion clinica y manejo de asuntos regulatorios
bad,"Great company for a new employee; or someone with a young family."
bad,The company is undergoing transformation.  Very chaotic/stressful.  My new manager seems to only want folks reporting to her that will do what they are told and not express differing views.
bad,"bad manager let the reps make decisions he should have made, reps were forced ranked so you were competing against your teammates instead of competing reps from other companies"
bad,I was willing to learn and help out where it was needed. I worked as a team player.  I put in a few suggestions that were used to help make the production line run easier. I put a B-safe in at least once a month sometimes 2 in a month.  I loved the job I was doing and wanted to learn more.
bad,"The job was not bad; however I had a very poor manager.  While his manager said I did an excellent job by catching some errors that could have potentially caused a recall, the immediate manager took it personal and made my life miserable."
bad,"The ultimate in corporate beaurocracy.  Good pay, good vacation, good benefits.  A million levels of management.   No one advances to what they're really capable of until higher personel retire.  Management has no clue what really goes on in lower ranks.  incompetent employees abound."
bad,"A typical day at Lilly is sitting in a flexible open environmentpositivies messages throughout the buidling. Family focused environment and thankful I worked with the company when my kids were toddlers.  Co-workers are multi-cultural  and most are highly intellgent. Captalizing on the diversity allows diverse thinking and its a win/win for all parties involved.  The hardest part of the job is working in an industry of a changing environment and watching top talent leave due to not being in the right position. Management varies and if you have a great leader, you never want them to leave."
bad,"very tough environment , not a friendly one, very bureaucratic"
bad,Imclone was a great company to work for awhile back till Eli lilly bought out imclone.
bad,"Typical pharma sales gig. Not the worst in the industry, but not the best either."
bad,The culture here seemed to treat consultants like outsiders. Very good exclusive which was not good for collaboration. The regular employees seemed content though.
bad,Throughout my time at Eli Lilly I have felt very under appreciated as an employee. The management is very removed from any process and does not understand the impact of the decisions that they make.
bad,"seems to be unstable at the current time.  cutbacks occurring all through 2017,  proceed with caution.  resulting in more work for remaining workforce"
bad,"Its not what you know its who you know. If you are not apart of the ""In"" Crowd you will not advance. A lot of backstabbing and People talking behind your back even management."
bad,People get promoted over people that actually deserved it. I was told you start at the bottom and work your way up. Now that's NOT true at all as they hire new people making a lot more money than you do because there isn't a union. They promote who they want. If you have a mom or dad working in the company you'll be fine you'll succeed with promotions and have a great salary nobody watches your back but you. So good luck making it on your own.
bad,"Employees and executive leadership are sincere in their desire to make lives better through medical research and advancement. "
bad,I don't think working through a third party vendor was a good experience for me.
bad,"If you are a full time employee, I've heard it is great.  Contract work did not place me an environment I enjoyed."
bad,"multinazionale, sedi lavorative non stabili se ci sono joint venture"
bad,"flexible schedule but no benefits whatsoever."
good,"long hours"
good,Not worth it; save your time and apply elsewhere.  Good orientation but nothing offered as a FTE only contract work....and do not think you are safe from being let go before contract.
good,At my level we are held back and can’t advance.  They cut people but won’t let people advance who have been doing the job     But no money is coming there way.   Very much on who u know
good,L'Azienda sarebbe un buonissimo posto dove lavorare ma hanno iniziato ad assumere il personale con contratti di somministrazione tendendo a stabilizzare sempre meno i dipendenti.
good,"The management for their IT Security team was much less than that.  The atmosphere for a contract employee was degrading at best.  I would never recommend them for a contract employee.  I do understand that the do take care of their full time employees much better.  But with that said, I would never work for them again, even if offered a full time employee."
good,A good place to be a scientist if you can avoid the politics.  Stressful unstable environment right now.  Strong future for those who can hang on.  Strong pipeline.
good,"A tremendous amount of responsibility, unfortunately no authority or management support. "
good,"In general a good company to work fo, unfortunately a few bad apples can spoil the bunch. More attention needs to be paid to line managers to ensure that they are following the rules and respecting the Company's values and culture."
good,"ambiente de trabajo tranquilo, el balance vida trabajo aun tiene cosas por mejorar"
good,The corporation is not nimble and is losing it's edge for innovation. Lack of diversity of thought makes it a non-optimal work environment.
good,"A empresa em si é uma grande empresa. No passado o funcionário tinha seu valor agregado ao recebimento. A vontade de trabalhar era imperativo e sempre eramos valorizados."
good,I have learned a lot from working there. I have picked up more experience with machines. I also see how a global company of it's stature runs business and cares for it's employees.
good,Working for Eli Lilly was through a temp agency. There are no benefits with Eli Lilly when you are a contracted employee. Your only benefits would be through the agency from which you are paid. It was made clear to me by my employment agency that I would never receive a raise as that was part of the negotiated contract between them and Eli Lilly.
good,The role I had was a contact. Regular staff talk down the individuals in my role.  Not everyone did but alot did.the parking lot were so very far from the building.
good,"unfortunately, CEO and hierarchy are about numbers rather than its people and what we can contribute.  Communication to work together is lacking. Good people, just not ""quick"" or cohesive in relationships."
good,Eli Lilly has moved into a culture of giving their employees every 'in house' benefit known to man in an effort for their employees to spend more time at work than not. Pay was poor. Management was average/poor.
good,"I was a contractor and I was treated as a contractor. The gym in the building was off limits to contractors however we could watch through the windows or when there was a fire drill since the gym was the muster zone. Just something I noted however it didn't bother me since I provide a professional service without expectations of inclusion of employee ""basic benefits""."
good,"The change in the culture at Lilly in the 20 years has been astounding. Lilly would not recognize the company today. To gain promotions, you have to walk on water. No loyalty and they don't value experience because they can hire the young and dumb and work them until they burn out."
good,"The hardest part of the job is building relationships where the workplace culture is pre-existence.  In order to be successful, you must build trust and relationships in an environment that's hard to penetrate."
good,good and safe place to work. Good philosophy but the working hours are the worst. good coworkers. the duty at work was always the same.
good,"I usually get to work an hour before the shift, to get the pass down information from the previous shift's supervisor. Then have a mini-meeting with my supervision and plan out how the shift is going to be run. Discussing which personal is going to what station, scheduling break rotations. Make sure that the lines are prep'ed and stocked for the work order that is about to be processed. Assist/Train Operators in troubleshooting and maintenance of machines."
good,It helped me in finding a permanent job in the field I really enjoyed and meeting people.
good,"Es buena empresa para trabajar, tiene excelentes productos, pero le falta mejorar en clima laboral"
good,"The organization needed good benefits and paid time off for their employees to contradict the corrosive and corrupt culture they appeared to have. Managers are always trying to get ahead, majority of the workforce is contractors and they aren't included in corporate events. It's very political within the organization as well. I was very dissapointed."
good,If you don’t fit in you are screwed. Leadership not very professional. B1 line was the worst especially the Team Lead very rude. Good pay if you like the type of work  where you don’t use your brain.
good,"To many people want to be on the fast track and it becomes cut throat."
good,The work environment and culture changed over time and reallocation became the norm.  Good pay but very little room for advancement at starting levels.
good,"I served in a fixed duration employee role and they subsequently reduced the number of therapeutic areas they'd support. I was unable to apply for other roles for which I was qualified, so I left. Its a very one-sided system."
good,Eli Lilly and Co would be a great place to work if they would rid themselves of the FDE and contract positions and promote an atmosphere of growth within the company. You have multiple very talented employees that wonder when they are out of a job all because the company wants to save money.
good,"Few people doing all the work. Lots of laziness. Management  doesn't actually enforce anything. No real raises, just cost of living increases, which aren't much."
good,"Very diverse team, I am able to learn a lot about the business unit.  I greatly enjoy the various people I am able to support on a daily basis.  The hardest part is being a contractor and not being able to participate in team functions."
good,"with several misses in 2016, Lilly is making huge cuts.   I have been a part of two separate division and both have made massive cuts forcing me to move to other areas.   They want to be innovative but consistently rank in the bottom third for getting products from discovery to market"
good,If you like the corporate world you will fit right in.  It's just is not a place if you have a people friendly heart. Great job if you want to be technical and learn about trial medicines.  Turns people's lives into numbers and data.
good,Still better than many places. Excellent comradery. Enjoyable to work in an industry that helps people live better lives.
good,"While I worked at Lilly I was satisfied with the job for the most part.  The culture began to change as my time went on.  "
good,"People on management position with no formal educaton on management. Poor management skills, poor people skills. Offer no job posting. Management have no idea on how to direct people since they do not have education on management."
good,"Great place to develop however being a contractor, I felt like there was a different dynamic - i.e. being looked down on. I learnt a lot about the process of drug delivery and insight into pharmaceutical world."
good,Every day impact the same situations. A lot absenteeism. People doing the same thing for more than 10 year an don't know the job in details. Management doesn't address the situation to eliminate root cause.
good,"Como a grande maioria das indústrias farmacêuticas, a Lilly possui um ótimo pacote de benefícios e remuneração."
good,"Good team environment and freedom to think outside the box to address problems."
good,"Eli Lilly is run by lobbyist and corporate people who are only looking to step ahead of others, regardless of how they do it. Development and leadership programs are there just for saying they have them. Pointless."
good,"when i started it was awesome.  lots of changes, not all were good.         Indeed wants me to say more, but here really isn't anything esle to say.  I am just not that verbose!"
good,"The job wasn't very challenging because my immediate supervisor was more concerned with advancing her career and providing her direct reports her full attention. I was an after thought because in her opinion my job wasn't important enough to be bothered. There was no coaching for advancement - once you were in a administrative role, you were NOT considered for other roles."
good,"No room for creativity. You must follow every rule to the T or risk losing your job. There is no flexibility for admin positions. "
