rating,review
bad,"Do NOT work here. Terrible company, clique HR team that hires their own family and friends. Unless you know someone, or are related to a current employee..."
bad,You are discriminated against if your above 30 years of age for decent positions..you can have an unreal set of skills but if your over 30 you won't be considered .offer jobs if your in the clocks
bad,Don't work here. They treat you like dirt and don't care about their employees. The pay is good but not for the amount of labor and the harmful chemicals you work in.
bad,agent de production travail a la chaine travail posté en  3 / 8
bad,"Although i enjoyed my job at Enersys, it is not for everyone. Thre is no room for advancement or growth. nice job for a college stupid."
bad,Locally this company is a revolving door. Management is horrible and changed as often as socks. Bonuses seem to be terminated right before the goal is met. Safety is a huge issue at this plant due to lack of proper training and tired people working machines they are not trained on. Huge disconnect within this company on so many levels because communication is just non existent. This company has literally ruined a good reputation within the local community
bad,"Management does not care about their employees. Problems get turned in and they are ignored, but when an employee reacts to an ongoing situation they fire them. If they would have handled it in the beginning employees wouldn't have reacted in the way they did."
bad,"the place is like a rotten caramel apple ... it looks great on the out side ... but then after that first bite .... its just gross... i did have some good times with some of the employees and bonded the same way dogs bond when they are stuck together  ... and that is exactly what it is .. the same people you stand with will stab you in the back soon as they get a chance ... or when they want to try to be leader of the pack"
bad,typical day at enersys was hectic not organized the place was ran by a dictator if u wanted to keep Ur job u really needed to kiss but. they look for reason to fire ppl for no reason. but if u mess up once even if its small u better look out they will get u.
bad,"So much weld smoke in there that you can't hardly see to work,management just makes rules as they go along. Don't give you a handbook,they lock it up in glass."
bad,"Terrible place. No notice of overtime, no ventilation, people steal out of vehicles, employee got stabbed in the neck with a knife in a fight, production manager got choked by a employee. They make rate impossible to achieve.Favoritism is very noticable.They need a Union because there management walks all over employees. We call corporate on them on a daily basis."
bad,lots of travel no time at home the people were slow had to do a lot of the work and watch over them all day.
bad,"Worked at the one in Lorain, Ohio. Coworker talked about some working conditions I joked about it and that they should get a union. I was fired and out of a job 2 weeks later."
bad,"Worked at santa fe springs location for almost 3 years, got along with everyone, was always on time, never said no to task that they would assign to me and management never promoted me... never got noticed for my effort.... worked weekends and also somedays graveyard.. never got a raise or promoted for field tech position... I asked they said not yet... I had more experience than people that they were hiring with ZERO experience and I WAS teaching them?? Made no sense to me that I was teaching/showing other how to work on batteries and chargers when they were making alot more money than me..... if  it makes no money it makes no sense..... so I quit....  the END"
bad,"The work is fast paced and I really enjoyed the work. However the management was horrible. HR was a joke, Pay was great. The hardest part of the job was the Drama."
bad,"It only matters who you are family to in this company. The safety program is a joke. The personnel in charge of safety watches someone get shocked to the point their arms are burnt and didn't report it. A fork lift driver runs over a person and nothing happens to them, and if you self report you get in trouble.They don't back up their employees to their customers. The customer is always right even when they are wrong.The management will tell you they have your back, they let you take blame for everything."
bad,My training here consisted of riding with the person I was hired to replace for two weeks and watched him do his new job.  Was then told by manager not to call this employee who held the position with questions.  Mistakes were not looked at as learning experiences they were strikes against you.  Worked from 4 am until 10 pm - stressed to the max about making a mistake.  Was fired two weeks before Christmas with no warning or explanation and I was ranked 15th out of 90 in the sales force with over 3.2 million in sales.  I was able to accomplish this sales record in a short 5 months with the company.  I do not necessarily believe the entire company is bad but my manager was the worst I have had in my career.
bad,"Segregated work culture between offices and shop floor, extremely poor morale throughout production. "
bad,"My managers were nice but the HR department was awful, they are rarely helpful and don't do true investigations into incidents. They see you as nothing but a number. The pay was good and had decent benefits but the work environment itself was dirty."
bad,"This used to be such a great place, unfortunately it has fallen into poor management. Human Resources is no resource. If you have to take off for an emergency appendectomy then you better make sure your doctor mails in the FMLA within 10 days or you will be fired. No compassion, not family oriented and definitely not employee centered."
bad,"Management is never available, mean co-workers, negative attitudes, lot's of favoritism, lack of training, never complimented for a good job but ALWAYS called out when doing wrong, all in all a very unhappy work environment."
bad,"Travel 80% of the year."
bad,"Hard to work for, no room for advancement, unequal pay for the same job."
bad,"Upper management on the reserve power side incompetent!"
bad,"I learned to be my own boss, and using my time wisely on the job. Having a routine is always a good thing. Everyone employed by this company were very nice people. The best part about this job, was having the opportunity to work for myself and make my own hours."
bad,"The company has changed considerably over the last five years.  Many valuable people have either been fired or left due to upper management, bringing in new people to run the company.  These people have now brought in their new people and the business has suffered as a consequence.  The business was very profitable and has since started to hemorrhage money due to poor decisions by the C-Suite.  People who actually have a clue are either not listened to or ignored.  The CEO has been buying other companies as way to increase stock prices but all built as a house of cards.  Too many new  people in high level decisions that are feeding the pipeline with ideas that have not been thought out.  Manufacturing, Sales, Quality, and Engineering are all working in silos.  CEO basically lies every shareholder call, CTO has good vision but ZERO execution.  New product promised years ago are still not even close to being ready for production.  CEO has eliminated almost the entire workforce that started the company.  Does not have finger on the pulse of the company.  Only the new lower level people are happy at the company, but they do not know the serious trouble the company is really in."
bad,"Entreprise où il ne fait plus bon vivre. Petit personnel démotivé. Peu de vrais managers en général souvent des petits tyrans locaux. Promotions et récompenses ciblées sur un lot d'élus uniquement. Il ne faudrait pas grand chose pour améliorer mais aucune volonté. Seul le copinage paye. Royaume idéal des consultants de tout poil aux idées lumineuses qui ne marchent jamais (on fait, on casse et on recommence autre chose), et des ex de Faurécia. Le travail est toutefois intéressant et oui il y a bien pire. Ambiance délétère, vous rasez les murs de peur de faire une erreur qui mènera de toute façon à la porte...dans le meilleur des cas. Entreprise qui ne sait plus motiver ses troupes autrement que par le bâton. Evitez si vous pouvez...sinon ce n'est pas le bagne non plus, mais évitez les problèmes, ne vous mettez pas en avant, soyez une ombre. Faut bien vivre...Vous qui entrez ici abandonnez tout espoir. J'aime mon entreprise, pas sûr de la réciproque."
bad,"Keine Kompetente Bürofachleute."
bad,"Stressful and challenging at the internal level. Poor communication within the company. Management is weak. Internal support is lacking with support. Logistics are not solid. Computer and software support is outdated and mot supported while traveling. Products are great, yet inventory and availability can be an issue. Product lines for new technology are late to market and on time."
bad,they had no idea how to run a company. the only thing good about it was the supervisor i worked for. having to worry about your blood lead level was awful
bad,Enersys is in a dangerous business and does not keep BET on all it processes. The main goal is not safety is make production.
bad,co-workers extermaly nosie .
bad,"Lots of hot air coming from management, add to that very average pay and very frequent unrealistic work loads, and you can see why there is a high turn over. It's really just used by most employees with any standards as a 'filler job' in between better pay and conditions elsewhere. The buck stops at accountants and large shareholders in the US who couldn't care less about you."
bad,"Company has no training in place.  Innovative products but need to become more competitive with other lines.  Also build stronger relations with OEMS. This could be a great company but they need to review their managers who are part of a club, and seem to be stay in place regardless of their ineptitude."
bad,"A typical day was breaking down or building mine batteries."
bad,"Alpha Power was purchased by Enersys and there were immediate negative impacts. A number of positions were eliminated and their responsibilities distributed to other employees who already had more to do than they could reasonably accomplish in a standard shift. I was one of those employees. When I was told I would be required to work a twelve hour shift, as a salaried employee, I tried to negotiate with my manager to no avail. As a result, I resigned from the company."
bad,"Poor management. Nepotism at its finest."
bad,"5o+ hours a week, don't see kids except on weekends when they are in school, and miss day of work-get a point-for any reason to include going to doctor. 14 points your fired."
bad,"Most jobs are not bad, the people you work with and the management are horrible.  I am talking a whole new level of horrible.  Horrible people, horrible management but a good job with great pay and decent benefits. It would be up to you on how much you can take and what your willing to deal with if seeking a job here."
bad,"The nature of work did was critical for business, I enjoyed the work I did as the Enersys Benefitting much by automated docoument exchange."
bad,The radio is something that can take you by surprise in the word of people on the air and the job was a little easy.
good,Poor job security. Very poor communication. No leadership from management . Did not promote within the company.
good,the pay is excellent. can be a long day but overall it's a good place to work. I've learned to work with a wide variety of people.
good,"The product is good, warranty is good, management is closed off and can be completely disrespectful. Your ether in or out with them, senior management is too involved in day to day. Hire felons and treat every employee like one. Lots of turnover"
good,".une journée de 8 h , pas beaucoups de possibilité d'avancement sauf depart . bonne entende entre les employers de bureau et entrepot.le poid de certaine machandise . l'embiance général"
good,"You work different hours day and night, your required to travel 80 percent of the time and you do not get much over time. Even when you stay with in your daily expense your manager still complains about it"
good,Good company to work for but lacks good leadership. pay is not inline with work schedule and the expectation to work 7 days a week at a moments notice.
good,"It was fun while it lasted, but they wanted to make more money so they sent the work we did over to china. now everyone is out of work and no jobs for us"
