rating,review
bad,I love my job as a Machine operator and every day I look for to going to work. It is a very stressful job and the supervisors I work for are very hard to work with. I am a very strong person and operator with high productive outcome but I feel the way they do things can be unfair to many including myself. It is a very unorganized company. But I love to operate.
bad,"No benefits, they have their favorites there and if your not one of them you will know it a.s.a.p, breaks are not long enough, lots of drama with the leads and managers!"
bad,"Used to be a great place to work--- Employees benefits are being cut more and more, work is being shipped overseas and layoffs have begun. Temps are replacing full time employees for lower pay. Terrible morale among workers, depressing atmosphere--all about getting the numbers for no compensation. No future here!"
bad,The worst place I have ever been. I relocated to daytona at my own expense and lasted 1 week as a tech and I am a degeed engineer !
bad,Energizer is a great company to work for and it I had not bee laid off I would still be there
bad,"While most employees at this company are ""very good people,"" unfortunately some in management and HR are extremely unethical, and will lie to you! This has created a toxic culture thus violating their company rules! There's no excuse for lying to people. Period!  I've never worked with unethical people in my other workplaces like this company."
bad,"a typical day at work  is getting up 4.oo every morning shower,fix my lunch. crank up my car.clocking in see where i am on the schedule.put my lunch bag up and get where am suppose to be.to get along with others, poor management, getting up 4.00.coming home4.oo every day."
bad,"Horrific, toxic work culture and environment. Micromanagement from above and fearfulness in making decisions due to retribution. No autonomy given for decisions -- everything must be reviewed and approved by upper management."
bad,Energizer bought us  from spectrum brands and it went downhill from there. Started paying a whole lot more for less benefits. Point system was horrible if you were legitimately sick or just missed. Management there never made sense and was firing people were very minor offenses. If you gave a 2 week notice they walked you out the next day. I quit just in time don't work there!
bad,The most toxic work culture I have experienced in a very long and productive career. Micromanaged work force and a very distrustful upper management. No autonomy given to the workforce. Very demotivating and terrible place to work.
bad,"good job to make some quick money"
bad,"my experience  was pleasent but my Position was outsorced "
bad,energizer a acheter johnson et johnson pour fermer montreal
bad,Lot's of opportunity but poor leadership and commitment from senior mgmt.  As such there is little progress on needed operational improvement initiatives
bad,"Poorly managed, outdated machinery, 0 loyalty to employees. liked the people I worked with and got to like the job until being layed off because the company decided to farm out the 4A battery lines."
bad,"The past several years have been one round of layoffs after another.  With declining category sales, the only way to make profit is to keep cutting their workforce and replacing people with lower salary alternatives.  They no longer invest in innovation nor colleagues.  Don't plan to ""keep going"" here for long.  People who end up being successful are only those who can play the political game."
bad,"Una excelente escuela "
bad,"I worked there for almost one year and was so busy I never got anything accomplished. From what I could tell all the jobs there was not like this though. When you are responsible for 2 plants it is impossible to ever get caught up. I don't want to talk bad about the company, but I could never for the life of me figure why anyone would think the job I had could be done even half way with only one person when just a short few years before there were at least 5 people doing the same job, and had all the same responsibilities. Most of the people I worked with or around all were good people and for the most part laid back. Honestly I wish they would have realized that no one worth much would have continued in the position I was in for too long, because no matter who you are or your work ethics, you will burn out when you are constantly stretched very thin. I still talk to the person who took my place and they feel the same way and looking for something different already and they have only been there a little over 2 months. However I did gain some very valuable experience and used that to land a MUCH better position with better pay and I am able to actually get things accomplished. "
bad,"They give you a written over anything. They don't explain more than once what you have to do on the line so what that means is that if you don't learn fast this is not the job for you. Everyone tells you what you have to do, their isn't a leader watching over you until you learn. If you are good enough you get to take training on a posicion, that means more money ohh but don't expect to be paid when you finish your training. You will get paid when the leader remembers to sign the training and this other persons that certifies you in the position decides too as well. Benefits are really bad. No paid vacation. Not enough time on breaks. And some people are really rude. I don't recommend working here."
bad,"Flat rate pay and very rude people. No chance for career advancement or raises, nobody cares about you or your family. Your nothing but a number and that's how your treated, your easily replaced and they let you know it."
bad,In the beginning I worked on an assembly line and stood in one spot for long periods of time working at a very fast pace. My last position I operated 5 different machines so I moved at a fast pace as well but covered a large area where my machines were located. I learned how to work as a team player and to multitask at a fast pace. Management was fair and reasonable. My co-workers were willing to help. The hardest part of the job was doing change-overs and getting machines adjusted properly and when jams occurred cleaning up the mess that was made.
bad,This company is okay to work at while your trying to get a better job or just get by for now the management is terrible if you have an issue with something and bring it to there attention they don't like to help or try and fix the situation other than that it's okay some of the shift leads are pretty good.
bad,"Very low pay,  Management / Supervisors are always too busy and are very condescending.    The actual work is just fine.   They wonder why they cannot get most techs to take the jobs and or stay."
bad,"A traditional company with some aspects showing innovative idea's, but at the other end of the spectrum the company shows no initiative for company advancement, training or collaborating staff to provide a collective environment."
bad,Worked through a staffing company. I rode my bike down the dark highway for three hours to get there at 5 in the morning!! I got a toothache and had to go to the hospital and they took me off the schedule like I was noone to them
bad,Most of the IT management is not qualified for their positions.  There is a serious lack of integrity in the environment  and HR if clueless and useless.
bad,Energizer is a company dedicated to the wellbeing of their shareholders with a very rigid and antiquated operational structure. Employees at Energizer are disposable and not a priority.
bad,My co-workers at Energizer were one of a kind.  We worked hard together to get the job done.  This was an enjoyable place to work until they implemented 7/24 operations.  This really took a toll on colleagues family life and morale took a hit when this happened.  I worked for Energizer for 24 years until corporate decided to close our facility.
bad,• Successfully complete all jobs by time requested.
bad,"Energizer could be a good place to work IF they spent more time training employees and providing guidance. Very little diversity, with very little effort to improve"
bad,"Well if you had any issues with someone and you told the management or a supervisor they would just shrug it off and act like whatever is going on during you being at work didn't matter. "
bad,"Agree with previous reviewer.  Energizer is a sinking ship and you do not want to work here.  They are only staying in the US until they can get their overseas plants beefed up, then you will be without a job.  Marching like Sherman to the sea, Energizer is going to temp help  and outsourcing everything they can.  There is no job security at Energizer."
bad,"I worked at Energizer for two years, and during my time there I ran machines, input all the information into a computer, fixed jams in the machines, and unloaded all the batteries.I would get moved several times a night just because they didn't hire enough people for a shift, and  management never knew what they were doing. Even if this place opened back up I would never go back."
bad,"Great pay for the amount of work that you do and the air controlled environment you work in. Its clean and its typically cool in the building. Ever since the switch from rayovac to energizer the management staff has been writing up and pressuring all the staff under them. Moral was already low when it was rayovac due to the front office issues, but now that its Energizer their new people coming in are making the old employees nervous and it seems as if they are trying to prove their worth."
bad,"Energizer only cares about one thing, THEIR BATTERIES. They do not care about the wellbeing of their employees. We stand there for 12 hours and do the line and when the line is down you are not allowed to sit down while making boxes. They do not have any air circulation either."
bad,production line style work slow and steady working with small parts and ensuring quality. Independence is a must along with accountability in the workplace
bad,If you come in as a temp don't hold your breath. If no one likes ya you'll be on the outside looking in. Breaks ain't worth going to as it takes a min to walk to the break room(9 min) then wait to get you a drink (1 min) then leave 2 Min early to get back to your line. So basically only a 6 min break. Lunck time consists of eating fast so you can get back to work before they write you up when you're not at the line . then sometime they forget to call ya off so you waste your time and gas which you're not gonna get paid for. But don't worry the management friends gets to stay.
bad,The hours are long the pay remains the same know chance for advancement.It is for the lack of other words a dead end job that's why Im looking for a more fulfilling job
bad,A setup Mechanic for production equipment/with PM scheduled work/ trouble shooting equipment problems also processing.
bad,good work place a lot of work to do at times fast paced everybody was easy to get along with
bad,"It is a very testerone heavy environment.  The training is literally non-existent.  The CEO rules with fear.  However, the PTO & flex-time are the most enjoyable aspects of the job."
bad,"Work-life balance will vary by functional group.  Marketing & Category Management carry the organization and work longer hours.  Sales is pretty relaxed with less expectations and less expertise.  As a result the culture and productivity suffers when you don't have the same focus and accountability across all functions."
bad,"Relance clients et impayés, Commercialisation et proposition des différents produits auprès d’une clientèle de professionnels. Gestion des commandes, des reliquats, des retours et avoirs."
bad,"Good company to work for.  The plant that I am at now, management is only worried about cost savings. The higher ups don’t listen or do anything about problems with machinery that are brought up from employees until it’s too late and causes a panic to be replaced or fixed.  The employees do take care of each other and the pay is good. Health concerns due to air exhaust fans not running."
bad,"I've learned how hard it is to live on a small amount of pay per hr. The work is tolerable but the money is not worth what was paid. I think we ought to be paid more than what we were. Making money was the easy part, the hard part was being broke and working paycheck to paycheck."
bad,"Bonne entreprise, mais le travail déborde souvent le soir et les week end."
bad,The hardest part of the job with this company was if you are a hard worker they would work you harder to make up for the other employees who were not up to a task. The company had many leadership courses but leadership skills were rarley used.
bad,"No diversity if you know what I mean... don't like outside the box thinkers. ..that's why I look elsewhere"
bad,"Trabalhávamos sem sistema de MRP ou ERP, tudo era feito no excel, o ritmo era bem tenso e muita pressão."
bad,The  practice deception! They bought the company and are laying everyone off that makes a decent amount of money on the hour. Supervisors  putting their friends in positions that everyone else is applying for.
bad,if you start out a hard worker forget not being told if you have a bad day. You are making up for all the slackers that they hired over the years and have let get away without working hard. Very much into reverse discrimination but not ever willing to admit it. If you are a white male forget about an honest promotion! If you're a minority you have plenty of cards to play. HR is not there for the employees but seems to only be there to support management.
bad,I worked at energizer for 2 days I was on a belt putting battery packs in boxes it’s to fast paced they said speed up or we fire you I left the next day .
good,"Typical day would include a lot of uncertain scheduling, drama and long hours. Clean work environment a plus. Training is nothing short of terrible. Safety is stressed but often overlooked for production."
good,"Great Company to work for but the lack of job security is not ideal for parents. you could be working for a week and they will lay you off. there will be a holiday coming up and they will send you home early (within the last four weeks before the holiday) so they don't have to pay you for a full 8 hours for the holiday you have off. "
good,Excellent pay but 12 hour shifts leave little to no time to get personel every day things done as well as maintain good sleep habits.
good,"We get four 10-15 lunch breaks. There are several lines to work at. The operator makes sure the employees on their line are doing their job and doing it right. If the main machine on their line breaks down, they have to fix and get back to work. It gets hot during the summer which is not good, because it gets really hot. Friends are easy to make. Management bases off of favoritism at times which may not be fair but we still have to work to get a pay check. Its an ok job but its a temp workplace and can be laid off anytime or called out of work for months."
good,"Buena empresa, ambiente hostil algunas veces. Buenos beneficios"
good,"Energizer in Asheboro isn't terrible. You don't get paid a whole lot but it's better then minimum wage. You also have many opportunities to train in a higher paying position. During busy season you have mandatory overtime which puts parents in a bind, during slow season you get sent home a lot or called off. Gas and child care isn't worth working there during slow season."
good,"When I first started there this was a good place to work. Had great benefits and for the most part good people to work with. Now they have contract with smx leasing company and there's no good work ethic, people are never on jobs, always goofing off and producing bad work. Some people have been threatened by a couple of people and nothing is done about these situations. I don't feel secure in my job nor do I feel safe working there but I have to work and do what's necessary in this work place"
good,"I loved working with Advantage Sales & Marketing as A part of  the Energizer Direct Sales Team Because I love promoting American iconic brands. Typical day is promoting, selling, and Merchandising Energizer products as an ASM Rep.  The job can be overwhelming at times with Tasks and Priorities you have to accomplish with short deadlines. Just like with retail things are and always changing. My Territory was very large. My District Supervisor was great, unlike some others and the ROM's don't care about you one bit.  But I did enjoy my Position with Energizer/ASM when I was with them. I learned a lot and you are expected to show and get results and successes.  My district team or coworkers I worked with were great, everyone was treated like Family in my group. But with the way the economy is people get laid off.  When Retail is down then territory's are eliminated. So job security can be scary at times."
good,Working for SMX is something to me stable for a teenager. You will have to have a working phone because they call you and tell you whether to report to work that day or not.
good,"The Energizer Household (i.e. batteries and flashlights) is a dying business.  There is no effort made to innovate or grow in order to save the business.  In fact, during the most recent re-organization, forward-looking projects and strategic positions were eliminated.  In terms of the Energizer Personal Care business in CT, this is a kennel of brands that is consuming management's time and money.  The Board views this part of the business as the future, the growth engine; however, this part of the business consumes more capital and effort than they must have originally thought plus they have strong global competitors (P&G, K-C) who will deny them any opportunity to grow."
good,"The pay at energizer is decent, however since the company is publicly traded now they only really care about the share holders and making them money.  The management at plant level is a good ole boy network and they will not fight for the funds needed to repair equipment."
good,"Poor upper management in Westlake OH. They saw nothing, and had big jobs keep follow trends. Most employees did what they were asked to do. EBC was a well run company, the battery business has a dying product."
good,"A typical day at work goes very well. When the line is operating very smoothly, the day goes by so fast. Ive learned how to operate heavy artillery and manage to be safe at the same time.Management is constantly around the line to make sure it is running properly and more importantly the workers are safe. My co-workers are awesome, they love working with me and if im having a bad day, they cheer me up. The hardest part of the job is maintaining a productive day bc of the machine maybe have a malfunction of some sort."
good,"Good people, very flexible. Unfortunately, categories are in decline. Bottom-line focus is eroding morale. Little opportunity for topline growth."
good,"Energizer Battery Company was one of the best companies to work for until 2009.  Then the CEO and Board of Directors started letting the stock market run the company.  Until 2009 they ran the company in what was best for the company in the long term, now the company is ran with only short term large rewards as their focus.  This has resulted in Energizer becoming a company with a very short term future."
good,"Temp placement for the Energizer Manufacturing plant in St. Albans, Vt. Energizer went out of business here. The on the job placement required physical and active employees while running their manufacturing lines."
