rating,review
bad,Call center specialist has much more qualifications then what they are being paid.. they are over worked and underpaid..Account Spealist Group (ASG) has been fazed out as a position
bad,this is not a good place to work at all...the management needs improvement...also the pay needs to be higher for the job...need to give discounts for electricity to there employees
bad,Please to not work for TXU ENERGY or Energy Future Holdings in Houston Texas! They treat you with disrespect and the company is out of Compliance with everything. Under pay you and overwork you!
bad,This was a temporary job to bridge myself to my next opportunity.
bad,Doing an outstanding job for almost 9 years with this company did NOT matter. It's politics as usual for this company.
bad,worked there starting the A/P dept from the ground up.  The absolute most horrible place I have ever encountered.  The job and rules changed DAILY...I worked 6 days a week for 6 months straight 10-11 hour days M-F and half days on Saturdays.  Horrible management- physical altercations in the middle of the office with NOTHING happening to the employees.  A manager that had NO CLUE what we were doing on a daily basis...and no accountability for mistakes on any level.  Very disorganized and hostile working environment.  Bills ran at least 30 days late ALL the time- took about 2 weeks for the approval process (which was out of our hands and we were waiting on other people!)  HORRIBLE HORRIBLE place!  The icing on the cake...they offered me $3 less an HOUR to go permanent instead of contract.  REALLY???  NO THANK YOU!
bad,"Not sure if all sites with in this company are like this but the management here is a joke. If you are a liar, Have no problems committing adultery, can talk out of both sides of your mouth without making eye contact, and your a racist, then this is the place for you!"
bad,"They pay was good, but they told me I would be hired, and stayed as a temp for 3 yrs and then the assignment was released. I really like the job but not mgmt."
bad,"Very stressful environment, company's debt downgraded to junk status. I do not recommend this place unless you are desparate."
bad,With the bankruptcy and new management they allowed most of the diverse workforce to be laid off. It is back to mostly men in upper management. They speak diversity but it is only tokened out.
bad,"I enjoyed working as a team, through out was good customer service skills, data entry, answering phones, making sure the ppl was happy at all times, whether if they was paying a bill, or setting up payment arrangements......"
bad,"Awful place to work. They make promises they don't keep. They tell you things during your interviews that aren't true. It's a clicky place to work. If you're not in with the right people, you get treated like dirt. Nobody is interested in doing the job correctly. People can out right do their job completely wrong AND it be recognized by management but if they're in that right brown-nosing crowd, it doesn't matter. Problem with that is it's a ripple effect. Makes it real hard to do your job when others can't do theirs. They preach about moving up in the company. Sure, if you have a degree. These kids come out of college with a piece of paper but zero experience and make twice the money as the guys with years of experience yet have to show those hot shots how to do their job. Nothing like getting up everyday and deciding whether to take a bullet or go to work. Leaving was the best decision ever. It's really disappointing though. You think you've gotten on with that great company you can retire from only to find out it's a joke."
bad,This was a summer internship and the days went by fast when working along with different leaders in the company. There was nothing to hard about the company but it was a good start and to see great leaders in corperate America.
bad,When I worked there it was a very bad experience. People were very rude and unprofessional. There was no dress code so people wore inappropriate clothes.
bad,"TXU Energy was a great company but the management is out of control. There is a lot of ""Good ol Boy System"" I worked there for 4 years and never got a pay increase, promotion or nothing. They outsource a lot. Management needs to be updated."
bad,Many issues with money and not keeping up with the industry. Will be 2016 before they know who buys them and the direction they will go.
bad,"I would call reliant customers and try to switch them to TXU."
bad,"I retired from the company that was TXU and later became Energy Future holdings. I did not work for this company. This is all I can tell you. I have nothing else that I can tell you."
bad,"One of my first jobs while in Houston. It was a business to business sale job that helped me get on my feet. I benefited from this job, by having to come in constant contacts with customers."
bad,i only worked for 2 months and was told that my position by my temp service would be only 2 months
bad,The work environment is one of stress and top down micro management.
bad,"TXU Energy"
bad,Fast paced call center environment. Below average pay for the work required.  The educational assistance was exceptional.
