rating,review
bad,"Cant keep any drivers in Carlsbad,  so Hobbs drivers were forced to drive 2 to 2.5 hours, haul a couple short loads, then 2.5 hrs back from White City offload.  Until recent, paid 0 extra for red loads, now $10.  Red loads cut your check in half,  "
bad,Company doesn’t care about the drivers safety and the equipment! They don’t pay for sleeping in the truck if you run out of hours to get your next load. The pay the sux (14.00 hr) plus commission per load. Manager doesn’t know anything about LP and likes to yell at you as a conversation.
bad,"The management is vindictive, the pay is below market average , off days are normally weekday leaving no time for family on he weekends management never takes responsibility for their actions when they are incorrect instead passes the fail on to the drivers by taking from their bonuses"
bad,"Watch your back, too much inner office gossip, favoritism, dispatchers are very big polar. Horrible communication.  Drivers are nice but management us horrible."
bad,"Management is horrible, and you have to time off of work to spend with family. They just cut the pay I went from making 26.50 To 16.00 And hour. This company has nothing more to offer me. Im not afraid of change. Something better has come my way."
bad,poor management breaux bridge woman has her favorites will get poor runs when slow you stay home no pay.mess up get treated worse than a dog.
bad,Current management does not value it's staff manager-constantly belittling people
bad,Management expect you to be flexible with them but nothing in return. Work late hour but not everybody can get comp time.
bad,"a typical day involves a minimum of ten hours or more, when a supervisor is on call the hours can add up to 80+ hours and you do not get paid anything extra for your time. You get called out at anytime during the night and be up all the next day doing paperwork. The upper management doesn't care about your safety and gives very poor raises. The work culture is get as much done as possible in a day without any type of break."
bad,Enterprise is a difficult place to work if you enjoy a work/life balance.  OT is somewhere in the 20-40 hrs/week range and could last an entire year without a break.
bad,"Its immature company who made it to fortune 100. Being a computer programmer, its sad to have worked there with a very Bad work life balance and No flexibility. You have to forget your family or If you have insomnia, its a good place for you. Very difficult to move up in career. Even in worst days of weather, you have to swim and make it to office."
bad,"I have been in O/G for 25 years.  In all my life I have never had a raise o 1.9% that was across the board.   Socialist type management.  No reason to work hard cause the slacker gets the same raise!   "
bad,"Need to know right people to get promoted. No training. No accountability for management. Highly stressful work environment, unless your manager's pet."
