rating,review
bad,I worked very hard for pod amazing but the manager constantly found everything wrong I felt so stressed between the managers negative remarks always getting bashed that it caused me to take a stress leave and I never returned due to me finding employment else where and I am happy in my work place and no stress now
bad,I would not recommend working with the Estée Lauder brand due to the fact that area management using techniques have people she dislikes to exit the business I witnessed this with one of my colleagues as a manager she was horrible to the person and had them in tears and to that she then left the business. Also if you think it’s going to be fun don't believe them they have no family friendly policies in place I used to work well over the excess of 60 hours and never got payed correctly ever
bad,"Unfortunately I’ve nothing to say all "
bad,If you want to be laughed at when you tell management about harassment... if you want to dread going to work everyday... if you want to sit back and watch the high school mentality and get backstabbed every two second over pettiness and sales... if you want to lower your self esteem... if you want the new management to make you feel like trash just by looking at you... then this is the place for you
bad,"Inadequate management -Training is very poorly planned - more time is spent providing Entertainment during the Christmas Period when you actually need support with comprehensive ongoing training - expect to be exhausted, stressed and emotional - a very pressurised environment with poor management strategy - understaffed and under-managed"
bad,This is by far the most unprofessional place I have ever worked. I received zero training on cash or the floor and was some how expected to work both at the same time because there’s never enough associates. There’s also way too many managers and it’s extremely difficult to learn when you have 8 different people telling you how to do the same thing a different way. Managers also like to sit in the back for most of their shifts and talk about personal stuff and then get mad when you disturb them and the amount of swearing managers do while in the work place is ugly. Honestly the problems here are endless and none of your hard work will be appreciated.
bad,"Job with very high stress levels "
bad,"Hours were cut back with little to no notice from 35h to 5 or 10."
bad,"Wow. Working for this company was a disaster. The management will steal sales, go over your head, and do whatever it takes to nitpick and get you fired. No room for individuality. Outdated. Ridiculous sales goals."
bad,"I worked for this company for 7 years. At first it was very good, but it has gone down hill very rapidly. The management are too young and inexperienced in the position to deal with and get the best out of the staff. They will offer you no support and they will favour the employees that are in their clique."
bad,Long working hours with very low pay!! Your treated like a number and expected to accept abuse from customers.  Very low pay . Also any racial undertones were always present but never dealt with. Promised rewards but never recieved them. Horrible company to work for.
bad,"Build sales, make overs, dollar goals, go to various department stores, no micromanagement ans something if the manager is generous you can get good samples"
bad,"Don't recommend to anyone."
bad,"Slow work, spent majority of the day standing around"
bad,"Poorly managed. Narcissistic.  Reactive. Zero communication. Outsourcing to outside U.S. at every angle. The most common question among employees is “who is making these decisions...”?!!  Seriously, run do not walk... away from this company. They say they have great benefits but as a contractor (3+ years) I did not see any in my experience."
bad,"I was hired as a retail manager for a high volume store, the training provided was by my assistant manager - who was disheartened and had not been managed for over a year. I was not properly trained due to this and despite the communication to my MRO she was still upset I did not know things and was to manage out the manager who was training me."
bad,"terrible manager, lack of team environment, selfish and nobody ever takes accountability. they just like to abuse people. please do not work here; this place will dry to out."
bad,"The job was fairly easy and the hours were great but unfortunately, it was the kind of job that called you when they needed you. The pay was bad, nobody can survive on the pay rate at all."
bad,"full of dummy "
