rating,review
bad,"When worked there was a foreign team leaders who gave English worker the harder jobs and polish workers the easier ones, English workers not allowed to talk but Polish could."
bad,"In Coeur d'Alene, Idaho on Wilbur Road. For an IT Infrastructure Upgrade project corporate wide. An IT manager was going for the glory and through all the contractors he could at it."
bad,"I’ve leavened a lot from working at hytek, lots of ups and downs. But, the management there isn’t the best. The supervisors have no problem throwing the employees under the bus, to make themselves look better in front of their bosses. I feel like, people are given these leadership positions and they take it to their full advantage and that isn’t right. A lot of people come and go at hytek and they wonder why. I think hytek needs to reevaluate their people philosophy! The employees on the shop floor are the ones who do all the work and get no credit."
bad,High School is the highest level of education some managers have so that negatively impacts how the lower rungs are treated. Wage discrimination exist here.
bad,"Only stakeholders matter! Customers are the last priority. Yes, Man Management. Stressful, no work balance life, low moral, back stabbing rampant, total disconnect between Department, overall disfunctional company with over 20% turnover. If you have a choice I strongly recommend you work for another company you will spare yourself from anxiety and depression."
bad,"If you are looking for employment, look somewhere else. My personal opinion Armtec in Coachella is not a good place to work. They preach about dedication - truth - trust - teamwork - open communication - respect. Not the case specially the respect part. Upper management level do not care about anything only numbers and are not good planners, we end up working weekends because of that. No labor union here so that is the main problem I think. This is a very busy job and can give you a lot of stress and can become very bad for your health. Production coworkers are nice like family and we find support in each other so we make it through the rough days. Production supervisors here are nice, but they are always stressed out too and pressured by directors and managers so the pressure come down to us. The people that work in the front offices, like marketing, purchasing and all the rest of the departments are also very stressed out, I know few people there. They always have openings here for different jobs because lot of people decide to quit. Not a good sign."
bad,"Used to be a great company until absorbed by Esterline! 20% turn over since lean transformation a year ago. Overworked, stressed out employees, overall tense atmosphere. Noisy factory with chemical or burning smells. Yes Man, kind of middle management, huge disconnect with upper management."
bad,"This not a company for a person that thinks for themselves. Management knows everything and is never wrong. Mid managers lie and get away with it, because upper management allows it. This company will fail because of the current leaders. You have to be in the click to survive. Accounting also runs the show and tells what and how production will run. You have people in accounting that have no idea what it takes to run a production company."
bad,"Management does not respect the employees. They over work you, when you’re only supposed to work 10 hours Monday through Thursday. They make Friday and Saturday mandatory, you’ll work 10 hours that Friday and Saturday it’s up to them how long they want to work you. There are times that the weather might get bad and then they’ll send you home, or they might just tell you to not come to work the following day. You can’t plan anything outside this job cause they’re constantly changing the work schedule and hours."
bad,"Management plays favorites, no advancement, low pays, stressful workplace. Poor management support to floor workers, indecision and complacent in problems not being rectified"
bad,Very stressful work environment replete with continuous upper management changes.  Very high turn over rate and poor morale.  Hard work and dedication to the company was not rewarded nearly as much as playing politics.  Favoritism is very prevalent throughout the company.
bad,"Cero apoyo para crecimiento profesional individual. "
bad,"Norwich Buena Park Esterline facility, I wouldn’t recommend anyone working there. Management has favorites on who she wants to move forward in the company. If your an agency working in this company, don’t waste your time."
bad,Hard workers have to work harder to make up for the slackers without compensation.
bad,"They had a contractor training me, who had no clearances to anything and was seen as a risk. The manager didn't know how to paint, had me looking at forms that didn't have anything to do with my work. Got mad at me for being on the computer working on training that he put me on and told me to complete because it was very important. Had me working on things that no one else had to do or knew what it was for. Others were mad that I was there."
bad,"it was great, loved working there. I will recommend this place to everyone. great culture, encourages growth and they invest in their employees. Great Management team."
bad,"If you are looking for employment, look somewhere else. My personal opinion Armtec in Coachella is not a good place to work. They preach about dedication - truth - trust - teamwork - open communication - respect. Not the case specially the respect part. Upper management level do not care about anything only numbers and are not good planners, we end up working weekends because of that. No labor union here so that is the main problem I think. This is a very busy job and can give you a lot of stress and can become very bad for your health. Production coworkers are nice like family and we find support in each other so we make it through the rough days. Production supervisors here are nice, but they are always stressed out too and pressured by directors and managers so the pressure come down to us. The people that work in the front offices, like marketing, purchasing and all the rest of the departments are also very stressed out, I know few people there. They always have openings here for different jobs because lot of people decide to quit. Not a good sign."
bad,"The management changes as often as the temperature in SoCal with no clear direction, which stops the work flow and there's no room for advancement unless you're part of the ""upper mgmt click"" and do what you are told.  Corporate is only concerned about the Shareholders not the customers or employees. They want high quality workers but is reluctant to pay for them.  The days are long and stressful with no end in sight.  The lack of daily accomplishments wears down even the most enthusiastic employee eventually."
bad,"The company is highly dysfunctional. Nepotism and favoritism are rampant. They have increased the job requirements, due to export compliance failures, continuously without the personnel to handle the workload. Too many meetings and little time to accomplish tasks. Regulatory and document control requirements have become overwhelming with little improvements. Few additional staff to handle it, so everything is done half baked and EXTREMELY SLOWLY. Systems and documents are desperately out of date."
bad,Everything goes smoothly unless there's a defect on the parts. The hardest part of the job most of the customers wants their parts and not enough time to complete them all. I learn quality is very important. The most enjoyable part of the job is recognition a job well done.  Work together to complete expedite jobs.
bad,"Alta rotacion de personal, ambiente laboral inestable, cultura laboral enfocada al negocio, poco interes por desarrollo del personal."
bad,"A typical day was a team meeting listing to a family member of the vp talk about irrelevant information"
bad,great pay but the work environment has gotten quite toxic in the past years.
bad,"Management is no support and are all ""yes"" people when asked to jump.  Regardless of how unreasonable a request may be,  they don't mind since they pawn things off on others."
bad,Does not have the leadership skills to run and or produce quality product.
bad,"Do not apply unless you just want a paycheck and be told what to do (as in hourly employees).  Middle managers will never get ahead.  They come and go constantly (quit or fired). The employees run the company (cry to HR over ANYTHING, whether right or wrong) and upper management will pressure you to do the impossible (work weekends all the time, fix the company culture).  Their quality is in the gutter (scrap rate is super high) and they can't get any products shipped on time (on time delivery is embarrassingly low).  Customers hate them!  I don't know how they're still in business."
bad,"Workload is very heavy and likely to get worse.  No feeling of job security.  Morale is extremely low.  Constant problems, things don't seem to get better."
bad,"did 10 hour shifts, a very big company and I had a fun manager. the smell in the warehouse was very strong from working with plastic and many other chemicals."
