rating,review
bad,Their is no respect at all. They dont appreciate ur work.in other words their is to many chiefs and not enough indians . they dont show you notheing and expect alot done
bad,"Expeditors does not have an HR, just an open door policy with managers. "
bad,"Brexit led to uncertainty and training given did not meet expectations, team leaders handled worker assignments poorly as too many people doing work in one department."
bad,"Management is horrible and not having knowledge about software development/QA.Supervisors are creating rules and different people have different rules. Lots of politics and favourisim.Micromanaging,No flexibility and poor environment.If Management dont like you they will terminate you immediately ."
bad,"Management is horrible  and not having knowledge about software development/QA .   Supervisors are creating rules and different people have different rules. lots of politics and favourisim. micromanaging , no flexibility and poor environment . Run away from here ."
bad,Horrible horrible horrible  horrible horrible horrible horrible  no life management did not care about you it was alot of favoritism and more going on and alot of racism in the building
bad,"they treat the employees like trash, only the undocumented Latinos can work in that filthy and dirty place, full of diseases and mediocre people. Nasty, dirty"
bad,"The company is not worth it, treats u like a number. You come in as temp and the actual company employees will treat you like your temp. Its like a hazing atmosphere here."
bad,I worked hard everday I got in and checked the trucks and then off loaded all trucks. then put them on the floor to be ready to be sent back out. I used A RF to check everthing in.
bad,"Management is horrible, the training is horrible, the environment is very unprofessional and unhealthy. I was working overtime to help with the backlog 3 weeks into my training."
bad,I had the most horrible experience working for this company. People quit and they would not replace them. Their work were distributed to the remaining people plus their own work. Makes me over worked and stressful. I worked as soon as I sit on my desk until I get off. They did not allowed overtime so off course my work was behind and not completed on time due to a stressful environment.
bad,They will find a way to make you look bad just because you don't do overtime. Even if you are doing everything else correctly. They only care about money and will treat you as a piece of meat. Toxic environment.
bad,The managers keep drama going and like to start and spread rumors. The trainers are just as confused as the new hires and they dont like for you to ask questions as a new hire.
bad,"This has been the worst work experience I ever had in my life!!!! In PR offices have the NO team work whatsoever. And a very unhealthy place to work in where doesn't let you prove your skills on the position instead of thousands of written tests and exams. Was a real waste of of my time and a stop in my professional life/career. There's no open, constant or professional supervision in the office."
bad,there is no way to advance at expeditors. your a temp until you either get fired or quit. there is no room for advancement. seen people be a temp for over six years.
bad,This is a horrible place to work at !!! They put you to do so much stuff for little money .. they think we are their slaves and treated us really bad ..
bad,"Because I was a temp, they kept on telling me that once my contract was up after it was up but never did, after my year was up and after i took my weeks vacation, I came back to work and I was laid off"
bad,"I worked a very short time for this company and let me tell you that they are one of the most fraudulent companies I have ever seen.  They ""cook the books,"" almost daily to meet inventory requirements by there distributor.  It was a complete joke, no computerized measurements taken to ensure proper inventory, everything done by prehistoric measurements.  This company should and will be reported for inventory fraud, as well as billing fraud."
bad,over works their employees for no pay and I would not advise anyone to work for this company. I am happy that I am no longer with them and not stressed out daily.
bad,it was a very stressful placel cause the supervisors only gave people they liked easy cans and most days they wouldnt give us the full 9 or 8 hour shifts the said they would
bad,"société très spéciale. la paye est minimale par rapport à l'engagement demandé. Cela ressemble à une secte. Tout le monte doit se fondre dans ""leur moule""."
bad,The hours for this position were not a good fit.  Swing shift that started at 3:00pm and didn't end until everything was done.  Sometimes that was 4:00 am.
bad,"The culture is very stiff, offering a very strict dress code with little flexibility in work schedule.  However, the environment is predictable and there are many opportunities to move around within the company."
bad,"over dit bedrijf ....  een heel apart bedrijf."
bad,Typical day at work would be getting into word logging in and starting data entry until the end of the shift which is 8 hours. I learned the data entry systems and export and import aspect of the company. Management was horrible and only favoritism works at the work place. Some of my co-workers were just stuck on the computer no communication skills.
bad,"Management doesn’t take ownership of their roles leaving workers on their own. Not in a good way. There is no support, they talk about supporting employees but fail to actually do so"
bad,"No respect, everybody has a name, Leads, Supervisors, and you can see who are good with the managers and who not. If you are not good with them, you are not good enough and you will not easy become a lead or supervisor or get a salary raise."
