rating,review
bad,"Attended an interview here, was the most unprofessional and odd interview I have ever attended. Was interviewed by two recruiters at their site, both giggled threw the interview and asked me inappropriate questions such as ""are you a dog or a cat person?"" and even  ""where did you meet your partner?"". The salary was not as advertised (much less!). To top it off I never heard back, I had already decided the company was not for me but to not receive a response after an interview is rude and very unprofessional. I would advise anyone to avoid this company, if the interview is this bad and unorganised, I can imagine the job would be a nightmare."
bad,Poor management.  Hostile work environment.  No growth opportunity. Pay is not good.  All of the good people are run off.  Insurance isn't the best.  You have to use PTO for paid holidays.  Staff is not appreciated.
bad,"Terrible place to work for!  Management is not supportive for promotion no matter how hard you work.  Place is run by ""good ole boys"" club by both males and females.  If they want you out they will find a reason!"
bad,"Have tool box meeting receive our work day schedule."
bad,"FMC was too political and your job security depended on who you know as well as who you were friends with. Ethics, accountability and business acumen did not exist here."
bad,"Was promised a position upgrade to go to the field at my my first year, i stated i didnt want to stay in shop. they kept me in shop even though i had the skills too go out."
bad,"Incompetent, self serving, discriminating management."
bad,"no recognition in assembly department, assignments given out daily with no organization, no leadership from supervisors or managers. Poor morale lots of favoritizm"
bad,"safety culture is trash, they preach about everything, too much favoritism at this company. they pick and choose who they want for leaders. while working there learn as much as you can."
bad,"FMC Technologies is an okay company, work life balance was minimal. Management was predominantly the old boy network. Co- workers were the best part. Hardest part was the commute, 90 mile commute from Katy to Generation Park."
bad,Mostly lip service from upper management.  They do not keep their word as promised.  Use you and drain your knowledge for their benefit.  Not a good company to work for.
bad,"Great company, stay way from the Tax Dept and the ""Crazy Mexican"" (consultants' terminology).   He doesn't have a clue and has had issues from the last companies he's worked."
bad,"Metas de trabalho abusivas com a realidade condizente da empresa."
bad,"Boa empresa, lugar de trabalho agradável e pessoas simpáticas."
bad,"Though an impressive MNC, internal structures of department and reporting duties are confusing, protocol given but not adhered by the highest management; hence leadership example is distorted for staff to follow, confusing. Employs contractual staff via agency hence benefits are minimised; organisation prefers to re-contract staff but not conversion to full time; job opportunities given to non-Singaporeans."
bad,"Long days in an office calling all his old customers two weeks before christmas and most of the customers were restaurants,              Sorry nothing good to say about it."
bad,Management only favors within the office after a time employees starts to feel hostile if you don`t get along.  They expect for employees to stop their personal life to be there till they say so even thought it announced that same day without a advanced time.Pl ease stay away at the end management is always right.!!!
bad,Management allowed staff to run over RN's and manipulate clinic rules and policy.
bad,Stay away from this company they are horrible.  Employees damage product and play with the freight contents and reseal it.  The equipment is not maintained and disgusting.  There is blatant favortism and even harassment from office employees.
bad,"I was hired as a full time employee.  In the first week, I realized corporate IT was a hostile environment. There is extreme brown-nosing within IT, there was no team solidarity. "
bad,poor management no structure and very long hours and no respect for employees.
bad,The management at this facility are not trained very well.  They focus on safety yet do not provide employees with key badges.  The bathroom door to the office is unlocked and all employees are in a meeting at 9:45 till 9:55 leaving the building accessible to anyone including bio terrorists.  The office especially the traffic clerk makes rude remarks to other employees and sexually harasses the younger male employees.  If you work here you will see that they go through an office person once a month or more. The warehouse is incredibly dirty and the equipment is unsafe.  The batteries in the lifts continually leak and spill battery acid on the floor.  This is a facility that ships food grade items and pharmaceutical precursors yet open exposes product to contaminants.
bad,They hired me on and after 2 months layed me off with no warnings along the way.  Bad company!
bad,"Employeurs dévalorisant et désagréable. Ne veut apprendre le métiers. Harcélement morale envers ses employés."
bad,Mid-Management are lacking knowledge and people skills in how to manage their staff.
bad,"The company has a facade of a great place to work with great pay and benefits. However, when looking behind the curtain, it is obvious that both the company, upper management and human resources are unorganized and dysfunctional."
bad,My short time there was filled with large doses of political posturing and back stabbing. The atmosphere was on of always looking over your shoulder and hoping you had a job the next day.
bad,"Go somewhere else, this is a job full of drama from mangmnt. They do not care anything about you and your family. Hard heavy work that will get you hurt. Go somewhere else if you can. Plant needs a union badly!!"
bad,"I did not enjoy my six years at FMC they view people as tools to be used hard until broken. at the first sign of illness or injury they will beetray you. if you aree young and strong and can work 1 hours a day to gin up some cash this is the place for you. if you are looking for a career, look elswhere."
bad,"Worked in 3 areas in 4 years, advanced at a great pace because i never said no. Lord help you if you did a job and didnt have it wrote down and signed by management or recorded. Favoritism  is key in surviving. This company preys on the little man who needs to feed there family, and then your they're property. Night shift is the safest play here, because there isnt alot of management stirring the pot.  99% of the time its all about quickness in producing something, hurry hurry hurry by the weekend ... AND THEN...WOAH... slowdown your rushing, you forgot the garbage at end of shift,  maybe you need to watch this video again on your break. Oh and the benefits...  Great for Larger Cities. NOT great for small town America. I left with a running script of anxiety meds an pain killers... becaude thats what you need to survive the daily mentality of managment."
bad,"Horrible management, unsatisfactory work conditions, blind shop management. High hypocritical work ethics. The shop technicians are smart but overlooked when decisions are to be made."
bad,"This company has managers without any qualification for the job, you better treat them well and not worry only about your work, there is nothing good to say about this company. Big amount of red tape and politics, but this is expected to be a big company."
bad,Fluid control struggles on every level from management to techs. It struggles with innovation within the division. The lack of innovation drives management to cut its number one cost the personal. They do so by undermining moral.  The lack of true management skill also contributes to the issue. They most have an excuse to why the shop is not performing therefore blame personal. It is a very toxic environment. The techs cannot help the shop perform better because they are structure so wrong.
bad,"Chaotic, not knowing which direction to go therefore, everybody has their own view. Not able to provide  clarity, horrible management and not honest in their approaches. I learned that I can accomplish tasks give above expectation but scare my boss because he could not figure out the solution that cost the company so much money. Yet I was used as punching bags. Technically I was very happy to solve their problem but it truly was the worse place I have ever worked and everyone was always scared."
bad,FMC is a good company when the wave of oil is up high and times are rolling.  Their process of laying off individuals was quite sneaky an unprofessional.
bad,"I cannot stress the the word micromanagement enough, my manager corrects the salutations on my emails and checks the grammar, incorrectly I may add."
bad,Would not recommend nor would I consider working here again. Very poor management who blames everyone else for problems. Lean? very far from it...OTD? very bad.
bad,Having key strengths as a proven problems solver and team player
bad,Good products but bad leadership at the top. Human Resources team one of the worst that you will ever work with.
bad,not good didnt like much at all they really sucked when it came too treating you with respect. you get hired for one thing they assign you to do other things. trash company
bad,"I enjoyed my work.  I worked with clients over the phone.  I worked with the field employees to input their field service tickets into the computer, I filed.  The most enjoyable part of the job was the people I worked with.  The most difficult part of the job was working with the base manager."
bad,"Worked for small company in Fullerton, CA.. 50 people.  GM was fresh out of Navy, little experience and an MBA...fighter pilot, so real arrogant..knew someone who made him a manager right from the Navy... terrible management skills on top of  the arrogant attitude was very bad combination.  He eventually got fired for screwing up a contract...my boss, also former Navy, was almost as bad... thought he knew more than people that had been in the industry years more than him...everyone ran to HR like we were in jr. high running to a teacher.. miserable environment..."
bad,I worked at FMC while attending school to gain my degree.  I started in the shop as a machinist and worked my way up into engineering due to my prior work experience.  I had an understanding to the products above and beyond that of the engineers.
bad,"When I started out, it seemed like a great company. It pays well and the benefits are good. However, it went downhill slowly from day one. The corporate management has no integrity. They lied to us and said that no one was losing their job over a recent corporate split (we lost our jobs a few weeks later). They said the split would create more jobs, yet I see few postings today, about half as many, as when I started. They also said that their is no risk of being acquired because of the split, which I also doubt. "
bad,fast paced position when the work is not in progress. Didn't care for this job or the management
bad,"Unorganized, horrible management, verbal screaming, no lunch breaks, working from 7am to 10pm at night. Very stressful."
bad,"If you are looking to work in a shop where those that do very little work get praised and allowed to change job positions on the fly, look no furthur."
bad,"The place is very dirty and machines are antique if you like bathing in chemicals you would love it ,they have the worst managemaent I have ever seen the plant manager was a safety person has no idea about production ,the floor supervisor was a janitor and the production supervisor is like a giant sloth they have no idea whats going on in the plant and DO NOT. Care about any of their employees all I can say is stay away"
bad,"Upper management not focused on vision of the company"
bad,"Managment wastes money- In general bringing in and out new temps instead of hiring temps that have been there a year or more and know what to do. So NO JOB SECURITY, Priorities about updating the ventilation systems, process machines, etc. are low and building new buildings, putting safety slogans throughout the plant, putting up employee suggestion boxes (that managment no longer looks at because the newness has wore off of them), having 3 new rules a week(because like i said plant managment has not a clue on what she is doing and is wandering aimlessly.), installing cameras and forklift alarms seem to be more important. Plant manager took away all of the worthy bonuses that the employees deserve and work hard to earn., Employees do not matter to this plant in Wyoming, IL weither you are a full time employee or temp. The employees give their all working all the time with hardly any family time and there is nothing rewarding for them. The employees there keep the place running not the plant manager."
bad,"- experiencia no campo de trabalho"
bad,Management very inexperienced. Lie to employees. Play favorites. Group is very clicky like high school. Company doesn’t adhere to its own policies. Flowback and wellhead in red deer would do very well to have a management change. This company has gone downhill extremely fast when Past management teams left. They also only have 2 major clients so if those shut down there is not enough work to go around. Grass is really greener elsewhere
bad,"Local estressante e mal gerenciado, setor abandonado e com péssima comunicação entre equipes."
bad,"Drama filled, Clique's, The hardest part of my job was lack of support from management"
bad,"A lot of work to do.  Nice people."
bad,"entry level positions with little training. CBT based training"
bad,mandatory overtime to the point of 84 hours for some of the employees in the course of a week.
bad,"Management in the Pennsylvania region is terrible. Just God awful. They lack honesty, and communication skills. They will try every thing in their power to take money out of your pocket."
bad,"Day one your rallied into a conference room and given the company history and then told how happy they are to have you there, hmm. Afterwards you are forgotten. Demands are placed upon your shoulders. No valued training provided no mentoring given. Software sucks and no one helps you to understand. The parking lot is huge without cover. To park close you have to donate a portion of your salary to the United Funds to park close (within 200 feet of the door). Bad area of town to travel for lunch. Salary is ridiculously low for any job classification.What makes FMC so great, still wondering."
bad,I would never recommend anyone to work for FMC. The culture there is very socialistic.  They have a huge Micromanaging style of management. The programs to work with there are way over kill NX.
bad,The management was very awful. FMC was a very disorganized company that had no control of the employees. Some employees talents and work effects were over looked due to the managements lack of care. No raises were given when asked for. The time between being at home and working was very unstable. 87% of the time you worked for FMC you were at work.
bad,"Observer work i found it very awesome work and i inlove with it,  i was working on a tuna vessel ""Albacora Seis"".  All west coast of afrika,    "
bad,"I worked as a temp for FMC and it was a waste of time. They gave you remedial work with the hardest part of your job was cleaning up after the Ph.D employees. The Biology team was the worst. The team was constantly back stabbing each other and arguing. Poor management, no advancement, and very rude people that sums up my two years experience with FMC."
bad,"Empresa passa por um período de transição. Anos de sucesso consecutivos no Brasil, colocaram-a distante da busca por melhorias no que diz respeito a gestão de pessoas, gestão da performance comercial e excelência operacional em geral."
bad,Many temp workers rather than permanent employees.  Not a very good training program.
bad,"Typical day would be assigned job tasks that were associated with subsea equipment. i learned a lot about hydraulics, pneumatics, HPU's, and subsea equipment. the hardest part of the job was understanding product."
bad,The place was every stressful to work at. But the place was a place were you can make living for you and your family.  Working there in the shop you can get all the hours you wanted with no problem.
bad,"I worked as a contract technical writer for a subsidiary of FMC. They were a great place to work, except for the fact that the right hand did not know what the left hand was doing. They were still having growing pains, but when they couldn't deliver their first article to a very large customer, who canceled the order, FMC management decided to cut costs by dumping all the contract workers. I worked till the six-months mark, and that was it. Too bad, it had many advantages for me; good rate, short commute, friendly but overworked personnel. The CTO was a great guy."
bad,"In efficient Management skills and consultant oriented. No body take responsibility for problem, they always blame for low level employees. Where as problem occurs in upper management."
bad,"FMC overall is a good place to work, however in the IT field my opportunities were very slow in coming. FMC supplies support and equipment for oil and gas operating companies"
bad,Cultivates and tolerates a management practice of mobbing. Many good people run off and even careers lost. Hope new proposed legislation will force the  corporation  to enact an environment of cooperation to replace destructive practices
bad,"its a job, my checks never bounced yet. they really need to clean house and remove some of the old way of thinking people"
bad,"Worked for the company for several years and met great people, however the advancement opportunities are slim to none. Several years of layoffs with no end in sight."
bad,Managers request that you work more than 40 hours per week. Most employees work beyond 50 hours per week to complete job assignments. Not a team oriented work environment.
bad,"I enjoyed my job and coworkers.  I love people!  However, the owner and the management wasn't ethical.  High turnovers! No benefits or paid holidays.  "
bad,The management was struggling to deal with the local Union.
bad,once you hire on its very difficult to move up into company you have to be hired out at one particular job or move off to move up you cant at your locale location
bad,good company but if your not friends are family your job is not secure. The trainning is great but if you dont follow under the bosses friends or fan list your days are numbered.
bad,none at this time started out great but went down hill when new management came in. was over looked for promotion when it was suggested that i was going to get it provided the best design review ever according to the project manger but the gave credit to some one else
bad,This job requires a lot of time at work. 12-16 hour days. The leads there feel like they can do whatever they want. It has been 2 years since I’ve worked there.
bad,I would not recommend you work for this company.  It is very haphazard and it's sort of a miracle it continues to run.  They are going through a major overhaul - hopefully for the better.
bad,"The company is constantly making changes to the structure, laying off high performers, and implementing strategies that make no sense. No raises have been given in the past 3 years but employees have been asked to take on more responsibility.  The company does not recognize employees that perform at a high level and has taken a passive aggressive approach in an attempt to get employees to leave.  There are no opportunities for advancement, instead any responsibilities are transferred to existing employees.  For example if a manager leaves they will not promote to replace they will just give another manager that responsibility."
bad,the management is terrible and the compensation is way low. the lack of schedule makes planning anything impossible. paycheck errors every time and no room for advancement.
bad,"they brought in the leftovers from a better company to run their office, huge mistake. They only care about numbers not employees. I worked there several years. This Odessa office is horrible. what a shame and kinda sad"
bad,"management totally has your back when things are good or when a job comes up that ""they don't want to go to go do or supposibly ""have no one else to go"". but other than that, they wont hesitate to throw you under the bus to save themselves or blame someone . coordinators constantly try to take your days off away from you while they go home every weekend! incompetent coordinators !"
bad,"If you're okay with a new boss every few months, you'll enjoy the pace at FMC. They hire wonderful people, but those are the ones that never stick around."
bad,"The current leadership lacks the full understanding of what the work force does on a day to day basis. They continually put managers in place that do not understand the product or processes, possess little or no working knowledge of the equipment and services they provide,  and have little or no hands on experience in managing others. "
bad,tied immediately to market fluctuations rather than on going development and caring for employees at all levels.  Core values are promoted but not at all supported.
bad,"Foi uma organização que me lançou no mercado, trabalhar nesta empresa foi uma boa experiencia pois foi minha primeira empresa que trabalhei e foi dentro da FMC empresa que me veria no futuro e me contratou como seu inspetor"
bad,Wyoming facility was a traditional facility where driving change was difficult.  Worked there 3 months and wasn't a good fit for the company.
bad,"FMC was a family type atmosphere that was focused on quality manufacturing and service with a strong emphasis on safety.  Once the market started to decline, this all went out the window.  It is all about making money at any cost."
bad,"While the benefits and salary are good, there are so many better places to work where they'd better appreciate talents and personality."
bad,Salary and benefits at FMC are competitive.  The Green River unit has multiple plants onsite.  The current culture is hamstrung by Managers more concerned about maintaining their power and control over their respective areas than doing what's best for the company as a whole.
bad,"The Company has good work for its employees in the new product development team. I've worked on lots of creative works during my work time and have gained good experience of product knowledge and work experience. Performed multiple qualification testing and also provided manufacturing support for the components i designed in the plant at Malaysia. The NPD Team work life always asks you to work a little more than you have too because your accountable for several designs and clarifications."
bad,"Rarely saw teammates.  Most all meetings done via Skype.  Rarely saw my manager.  The PM  had no experience in the field that was being managed and provided wrong guidance and decisions making a situation that could have been done well, done with 11th hour stress. The PM was more of a meeting coordinator and note taker and couldn't provide a project plan. There was a huge gap in communication of what was being told to the team from the PM vs. what was being reported to the manager from the PM.  There seemed to be a total 'shoot from the hip' attitude and no real structure. Issues reported to the PM were blown off until they became urgent and then reported to the manager."
bad,"Very stressful environment; a great deal of dissension with rank and file employees due to management neglect."
bad,The company was in survival mode for the last year and a half with thousands of lay offs.  Very chaotic with the constant title changes and organizational re-structures.  No one really knew what their job was anymore.
bad,"Constant changes in direction due to poor choices by management."
bad,Good Flowback Company with a good reputation in their perspective market. Management takes care of you for the most part. Was let go end of March due to the low market demand. Benefits start the first day you are hired. They aren't as good as they use to be but they aren't terrible. 401k is good. They match up to 5 percent and contribute an additional 4 percent but you have to be there for 3 years to be fully vested or they recoupe their contributions. If you have family this job is not for you. You will be out of town living out of hotels 21 days straight at a time and barely get to see or talk to them. The hotels aren't always the nicest either. You will live off of fast food and convenience store food for the most part. You will work in every element of weather. The pay is good but the opportunity for advancement during the downturn of the market makes its highly unlikely that you will get promoted or receive a pay raise. Also Management has their favorites so when there is limited amount of work those select individuals will be the ones working while the rest are sitting at home.
bad,"Poorly managed, core product was buggy, transition from buyout was poorly executed. Employees weren't managed well, some did drugs on the job, the rest had to do the work that the lazy drug users didn't do."
bad,"No longer room to advance, my management team sees no need to move or advance it's hard working employees."
bad,"I was given very little effective training and based on what the job description was and what I was actually asked to do, there was no real connection between the two."
bad,FMC was a great place to learn as a new graduate engineer. Industry economics have eliminated opportunity within the company and management decisions (or lack thereof) are driving out talent.
bad,"Management was changed several times. The corporation seemed undecided as to the direction they where going and made several changes to then change back to their previous way, It was a great company but seems unorganized with new leadership."
bad,"Management is hit and miss. Some bosses are excellent, others are dishonest, clueless, and poor communicators. I've dealt with both."
bad,The pay was ok but not enough base on cost of living in area. I work with so many different people at the location . I like the workers and the experience. I did not like the unpredictable schedule. Never knowing when I might get off became a problem.
bad,"FMC was a great place to work, the staff and management were very friendly and great to deal with, overall good place to work and an organized environment"
bad,"A very busy and fast-paced shipping/receiving position, but helped the day go by quickly.  Verified shipping/receiving paperwork.  Made sure that outbound drivers signed and dated the shipping paperwork.  Sealed the outbound truck for security purposes.  Helped with inventory counting one to two times per year."
bad,"A typical day started off with inspecting all of our equipment and performing daily logs and tests. Then it was hard labor and cleaning and rebuilding our customer's frac iron. The process started off with recieving the iron, via serial numbers for each piece, by inputting the numbers in our database. Then after creating a scope of work for the pieces, we can inspect, UT, MAG particle, rebuild, pressure test, paint, and final inspect the iron. I learned a lot about the frac industry and the major companies involved in it. I also learned a lot about hard work, dedication, and perserverence. My coworkers were easy to get along with, but not many like to work hard and earn a paycheck. The hardest part with my job was dissassembling trailers and units. Also dealing with the dissorganization of the shop, and the poor leadership at the shop. Our manager was never to be seen, and he had broken some of our companies policies that he was never dissaplined for. I think that lead to complacency of my coworkers and leadership. There aren't many things to enjoy about this job except the very rare barbeques we had. Most of the guys are jokers, so that made my days a little uplifted."
bad,"Hi, I am a productive person willing to learn and work as part of a team."
bad,I worked their for a long time.  Laid off and never called me back.  At the time that I was laid off I was the most tenured person there for my division.
bad,"Very fluid at this time. Changes taking place effectively leave some employees behind. Management like to play favorites. Supervisors and managers sometimes over task with too many responcibilities leaving no time to do a thorough job. Upper management always looking for infractions and someone to blame."
bad,"O trabalho era interessante , aprendi controlar emoções , manter a seriedade e a firmeza , independente da situação . Sobre a direção e a gerência era um pouco distante e infiel quanto as obrigações , porem sempre nos tratava com muita educação . Os colegas trabalhavam em comunhão , e não havia muitas atividades em grupo . A parte mais difícil era se destacar em meio a tantos bons profissionais , e a parte mais agradável era superar as metas propostas ."
bad,"As time progressed, the work days have become tiring, annoying, and sometimes just dreadful. I have learned a great deal of finding and troubleshooting problems, pressure testing, and finding safer ways to work. Management is very indecisive. The shop is poorly managed and it is reflecting upon the technicians. The most difficult part of the job is dealing with engineering that copy and paste procedures that have the same problems from previous projects that have yet to be corrected and presenting a problem and the solution to the problem to management and being told to do the opposite of the solution which clearly shows that nothing will get accomplished. The most enjoyable part of the job is when I first started working at the company."
bad,It was a great place to work but some management was undersirable because of not being honest with employees. Last minute jobs and lack of communication.
good,"Poor management. Benefits expensive for a big company. Long hours, lack of communication. No degree behind your name you didn't matter. Poor training, no job security or advancement. Did not work around school schedule."
good,Great Team to work with.  Co workers are a great bunch of guys. 21/7 Schedule can be pretty grueling. Managment is pretty good with the guys.
good,"Pay is super low.  DO was so bad.  He prefers the one he hired, not neutral at all.  They do not fire anybody.  They want to keep just warm bodies, and it makes good people go away."
good,"Management is very inexperienced, well educated (college degrees)in fields they don't work in, at the company, which leads to a lot of mistakes, slow growth to recovery, and compartmental structures. Their inability to openly communicate issues and track them through process monitors, is either arrogance or incompetence to understand they need training in their areas of concern and how to properly resolve complicated and changing issues. I have worked for a company that did many good things to keep themselves competitive, but this company makes money to spite themselves, they are in some aspects a jewelry department, with the additional mark up of the product. They are losing millions of dollars a year in wasted time, productivity, material mismanagement, and customer satisfaction. I have learned a lot in what not to do, through my observations and experience of working at this company. Due to the recent cuts in the last 2 years, people are shy of ""rocking the boat"" against the close nit mid-management that work with the Vice President and keeps him out of the loop."
good,"Lack of management involvement"
good,"non viene valorizzata la persona e tantomeno viene tenuto in considerazione l'esperienza e i miglioramenti che il singolo può dare."
good,"As a technician, a typical day includes many different tasks of assembly and testing of assembled items.  Most of the time other tasks are passed down that are not normally the responsibility of a technician to include Production Control and Quality Notification assignments.  All good things if you want to advance and learn how the entire department works. The problem that exists is you will not advance unless you are selected by the hiring manager before the job is posted.  Management doesn't always pay attention to the technicians and expects them to be technicians for their entire career at FMC.  The hardest part of the job is dealing with management and their lack of respect for what you do on a daily basis, even when you do more than is required of you and expect nothing in return."
good,I was a former lead mechanic. Typical day consisted of being harassed by US airways. Co-workers were the most enjoyable part of the job.
good,"typical day would be completions on a rig such as testing landing hangers and trees etc. management is not that great, co workers are ok. hardest part of job is dealing with management. most enjoyable part of job is direct deposit"
good,"wonderful people to work with. poor management. lack of opportunities for minorities. racism in the workday"
good,If you are a contract worker to become full time I wouldn't try hiring here. I mean they treated like an employee but they would drag their feet on advancement or full time position.
good,"for a large company they had very poor benefits.  They had several management changes.  Overall poor cross communication, and the Human Resource Department at my plant was horrible."
good,"You are treated completely different if you are a Technician       "
good,"Via this employment, I significantly improved my specialized and technical knowledge of automation processes and with control system discipline’s concepts, practices, and procedures. I was encouraged to use my experience, judgment and abilities to plan and accomplish project and technology goals."
good,"Not a place to spend a lot of time, you should move on as soon as possible. i do not know how much more I can say about how bad it is to work for this company."
