rating,review
bad,"Very little collaboration going on, micro managing and poor leadership skills drive this company. Engineers are treated like gold and if you are not an engineer you are not respected for what you bring to the table. My leader fabricated her departments accomplishments in a professional group's magazine."
bad,Little or no room for career advancement unless you are on the ‘favored list’.  Poor leadership.  Slow to respond to employee needs. HR is supportive of managers more so than employees.
bad,"There have been recent changes in the company that have left many people with low morale"
bad,Very hostile and toxic environment to the point I could not do my job. Management plays favorites with employees. Micromanaged. If you report a problem then your life is made miserable
bad,"Over almost 8 years, the workload for this position has gone from basic administrative assistance to client-faced. Daily workload includes timesheet review, expense report review, numerous reports, follow ups, workload management for a team of 10+ engineers to include planning and scheduling of workload."
bad,"Durch Einsatz im gesamten Bundesgebiet und Ausland kommt es zu einer hohen Belastung. 50 Stundenwochen sind eher die Ausnahme als die Regel und viel der Arbeit muss über das Wochenende erledigt werden. "
bad,"Hard to get to fired"
bad,"For many years I've worked alongside family and friends, enjoying the family mutal trends that a lot of my peers promoted to me when I first started.  I believe that our company does care about our clients and how we promote engineering and reduction of risk.  "
bad,"They will get you interested with the great benefits package, but this company is no longer secure or a very good environment to work in.  Management style is archaic, inept and the company is peppered with nepotism. They hired McKinsey to come in and get them ready for agile.  The outcome was to layoff many employee's, even though there was no need to at all.  Many were over 40 and are very good at what they do.  This has negatively affected morale and productivity greatly.  They put the entire IS department through a lot during the process.  They eliminated over 150 jobs and made everyone re-apply for their old job, knowing very well who they were planning on letting go, regardless of the outcome of the interview.  Yet, they kept nearly  all the managers, many of which are quite inept.  They laid off too many people for the work load and worse yet, they aren't ready for agile.  It is clear management made these decisions too quickly and with no real plan surrounding resources in place.  Managements expectations of IS are unrealistic. The open floor seating is horrible and makes it hard to concentrate.  Zero privacy.  No work from home policy.  Things seem to be getting worse, not better.  The pension isn't worth it.  Sad that this is no longer the company it used to be."
bad,"Overall I enjoyed the job until I received a new manager at the beginning of my second year. He had very poor interpersonal skills, and he had a hard time understanding me as a person. This led to him being somewhat ruthless in terms of the expectations of the job, and eventually forced me out when I could not keep up. Not that I wasn't where I needed to be, but rather he made sure to make it seem like I was not to give justification to fire me. "
