rating,review
bad,"Management does not communicate what they want you to do, then they get angry if it is not done exactly as they wanted. They make you use internal ""home-grown"" tools that often do NOT work and breakdown, then YOU get blamed for it not working."
bad,"Facebook hires people through 2 contractors. you first have to be with BC-forward, then Accenture. If you do not fit the mold then you'll never be Accenture. Once you are at Accenture long enough then you have a chance to be in Facebook's social groups."
bad,Contractor for FB and I'm just going to get straight to the point. FB will string you along and give you hope of being converted to full time employment. (FTE)
bad,"You will be paid a wage insufficient for the cost of living in the area and never even given an employee evaluation or a raise. I worked there for two years. Expect to have a ridiculous schedule (some days 12-8 AM, some days 8-4 PM and some days 4-12 AM). As a contractor, you will be viewed as a second-class citizen. Your contracting agency will have little contact with you and your Manager will be a full-time employee, but they are not working for the same company so they can't help you with anything. Your contracting agency doesn't care about you because all they care about is the bottom line. They need warm bodies in seats reviewing content. That's all. There's thousands of people lined up behind you to take this ""prestigious"" job, so any complaints will be disregarded. ""You should just be happy to work here."" Everybody wants the golden egg ""FTE"" role so they won't make any waves to solve any problems you have. All of the administration staff for your contracting agency just wants to get promoted to FTE so they don't fix anything for fear of being a ""problem"" and all of your Facebook Managers are at the lowest level of FTE and they just want to get promoted to a better role so THEY won't fix anything for you. Don't make the mistake of taking this job to move up the ladder, either. It won't happen. NOBODY AT THIS COMPANY CARES ABOUT YOU. If you can accept that fact and just want to say you work there and eat the free food, then go ahead and apply."
bad,"Originally I was so excited to get to work at this company, then once you see what it's really about and how the work experience is, you realize that these are the values that are ruining the world for the decent middle people."
bad,"Relocated for this position, was not worth it, cost of living out weights what I make, have a family to support so unable to do both my job and provide a balance at home, great job for people early in their HR career but not for someone that is mid-level and want to move up. You have too much experience to fight the battles that need to be fought. FB is about 10 years away from being a great company for all. Not ready to wait around to find out."
bad,"Project is overall interesting and giving you a lot of experience."
bad,Though the idea of work/life balance is spoken about often and the concept of 'Team' and 'Family' are often loudly lauded the truth is very different.
bad,"Management talked the talk of embracing diversity, but so authoritarian. Workers treated like livestock. Had no concept of disability rights whatsoever and did nothing to accommodate disabilities well documented before hiring and accommodated by other, far less resource-rich, employers. Loved my coworkers and really feel bad for them."
bad,"While we were able to accomplish a great deal the company culture is not focused on the physical security aspects and goals of the company."
bad,"Facebook is great! Flagship has a lot of things they can work on. The turn around for this company is high, the management support is quick to fire someone."
bad,"Firstly, 7 interviews, some of which are from untrained personnel. "
bad,It's a tough grind and you're pitted against the best of the best of the best.  You're reminded of this at every turn and told to stay in line.  The pressure to perform is up to you.
bad,"I had the worst experience of my working life during my short stay at Facebook in Dublin.  My boss basically told me that I was worse than useless after only 3 weeks in the role.  I ended up in counselling days later,  on the plus side my medical insurance covered the cost.  Maybe I just got unlucky with the line manager that I ended up with.  I would like to think this particular person has now had some training in people management skills.  I am finally back to the confident person that I used to be.  This should never happen,  I am absolutely gobsmacked that it was allowed to happen at Facebook."
bad,"On the phone and email allot helping with Facebook Marketing"
bad,"-Job growth was extremely limited"
bad,"organização e compromisso, fazem do profissional um funcionário eficiente em qualquer área"
bad,At Facebook most people working there is teenagers just graduated from High School who doesn't care about anything. No opportunity to grow and learn since you do the same every day. We I joined Facebook I expected do build my career there but that was impossible.
bad,"the day to day work is nice, the colleagues are the only thing that makes you want to stay working for longer there."
bad,"There are a lot of great things about being at Facebook. The work is rewarding, they give you lots of responsibility if you're driven, and you get to see your work change the platform."
bad,"It's a great place to learn about Facebook advertising but advancement is very minimal."
bad,Weird horrible management and no room for growth. Great job to do while figuring out your career! Flexible enough and easy workload
