rating,review
bad,If you need a job to pay your bills that’s ok but it is very unsafe place to work and if looking for a growing company family is not it and it don’t do any training you have to learn on your own
bad,"The location I worked for was terrible. After my first manager left, it went completely downhill. Getting robbed every few nights is not how I wanna work. I would never go back."
bad,The company its self was ok the people i worked with were horrible from bottom to top. They never cared about what employees complained about to make the customer service better.
bad,Worst company I ever worked for they do not support there employees they expect you do come in on days off I was scared to go pick up my check on my day off because I always ended up having to unload the truck or if I did not they would leave it for me for next shift store was always really messed up.
bad,"Just a trash environment that doesn't work with your real life no matter how much they claim they will. YOU WILL GET YOUR HOURS CUT HEAVILY WITHOUT WARNING. They also love if you suck up to them.  So if you enjoy awful pay,no hours, management that wants you to kiss their egos. You'll love this  job."
bad,"I don’t like it at all they will try to over work you, and try to find a way to fire you. Poor management, they don’t know how to have a decent conversation, with out an attitude."
bad,Very Terrible and unsafe work environment. They don't care about there employees AT ALL it's all about money with this greedy company. Their company is your life and that's ridiculous
bad,"I was not trained - just put on the sales floor by a manager that’s been apart of the Family Dollar team for 11 years. She pit employees against each other, never did work, and always had her drama follow her to work. She flirted with vendors instead of putting out product, or changing schematics. It was fast pace and we always had something to do which I loved but there was never any support."
bad,I hated working there. Horrible company. They dont care about there employees. Work you like a dog. Would rather be under staff and work everyone like crazy but yet not give out good enough hours. Made only 3 people work Saturdays while everyone else had them off.
bad,"It is truly an experience. You have to do a lot. since they don't have security the cashiers have to keep a lookout on everything even stop people at the door if they beep going out. Ring people up at the register and stock shelves. I would even have to do a mangers job and check vendors in as well as defuse a bad situation going on in the store between customers. I have to make sure the front is clean and no one is standing around, put carts and baskets back and do a lot sweep or shovel if its snowing bad. I have to run the whole front of the store by myself. to top everything off we do not get a discount."
bad,I would not recommend anyone to work for Family Dollar. It’s the worst company that I have ever been employed by. I was hired as an Assistant Manager and worked for three weeks 35+ hours a week & sometimes 40+ after assisting to get a store ready to open I was told that the store didn’t have the hours to give me the 30 hours that I was told I would get when I was hired. I was offered 5-10 hours a week.
bad,By far the worst company i have ever worked at have working off the clock law suit against them so be advised dont work for them the lie to u they dont train u can never reach hire up by far the worst place to work for.
bad,Run away from this job as fast as you can. They cut yours to 8 hours a week when winter comes as the tourist season slows down. They don’t care if you need hours to pay bills and keep a roof over your head. They only care about the company dollar not that their employee will be there for the next tourism season. No way to treat good employees.
bad,Family Dollar was a productive fast past job. Despite the fact that they had high turn over rate. Most people don't stay long at Family Dollar because of the theft. Its truly unbelievable how much people steal from Family Dollar. I don't see how the company makes a profit.
bad,"Management is shady, refuses to properly train employees, only badmouths their shortcomings. Also management is spineless, so if approached with ANY controversial input they will lie to absolve themselves of any responsibility. DO NOT APPLY!!"
bad,I was in management for 5 1/2yrs and only made 11.00hr I ever got a weekend off . The district managers are very hard to work with. I was fired when I found my dad dead and they fired me for no call no show because I forgot to call them. My dad was dead what more do they want
bad,I hate workin for family Dollar Miserable job with little pay Thieving horrible customers Corporate sucked they thought they was better than everybody
bad,"There is poor management in this company. They do not care for your health or what happens to you while you are clocked in, whether it's with customers, family or thieves. If things are not completely done they won't give you a chance and throw you out to be replaced like you never mattered. They will accuse you of things you've never done and make you sign papers you know nothing about to take you out of the company."
bad,Not a good company to work for. You can't bust your but and not get appreciated for it well family Dollar does. They don't care about there employee's.
bad,You work very hard and they don't care about you as an employee or customer.  You can talk with top management and things still dont get resolved. It's the honest ones that get smashed in the end.
bad,They want you to work for little to nothing manager give no encouragement support  makes the little guy do all the work for them to take the credit. No guidance no training
bad,"Garbage, bottom of the barrel retail work. No help, long hours, no work/life balance, and no support. Pass on it and find something more supportive of the workers and their morale."
bad,I have nothing nice to say about this company. They lie and get people fired they don't like to work with your family life. The manager I had was wonderful the asst managers were horrible
bad,"Poor management "
bad,They suck and I wouldn't not work there  they are racist and hypocritical. So they need to be put I  check. Have fun if you like to be a slave. Hahahahaha
bad,"if you want an entry level management position with little to no supervision, this is the job for you. hopefully you don't want to have a personal life!"
bad,"The management was terrible & very unfair. No one did what they were supposed to and when they did, it was mostly likely wrong and someone would have to go behind and pick up afterwards."
