rating,review
bad,"Always talking about someone behind their back while they sit and do nothing.have to come in to work phones for a power outage instead of having enough people to cover there already. Not a very good place to work, would not recommend."
bad,Expect you to work like you don't have a life outside of work. Child was hospitalized and they still expected me to be at work and told me I would not ever get on full time permanent from a contractor if I did not come.
bad,Working for FirstEnergy is not what it's all cut out to be. There is a BIG turn over for this company. I worked there for 1 year. You bid on the shifts that you want was not bad. But if you get up trained to do something else then you get up on the 930 to 6 shift. You have to volunteer 1 or 2 weeks a month to be on call. Work hours up to 16 hour shift is there are there are outages in the 5 states. Stressful. Coaching
bad,"Long hours, no time for family, friend's, always on call. No room for advancement unless you know someone in upper management. Racist culture, primarily caucasian employees."
bad,"The best company I have ever worked for, as most people I interact with are  very professional, sensitive to employee work/life balance, knowledgable employees with a focus on safety"
bad,The corporate culture was corrosive. The working environment was miserable and it showed in the work that was performed. There was no incentive to do anything better than minimum because you'd either get screamed at for doing too much or screamed at the next time when you weren't able to get it done as quickly as before. Eventually people stop caring...
bad,I worked as a contractor for First Energy. They like to bring in contractors to do their work while they do nothing let lay off the contractor. First Energy is continuously calls me every 3-6 months looking for someone to fill their contract position.
bad,"I wake up every morning pumped to walk into work... sounds cliché, but so true! The culture is unlike any company I've come to work for or interviewed for. Everyone in the Glassdoor community is truly genuine and extremely helpful in all aspects. Upper management will help you focus on your next career steps, in setting up mentorships and having one-on-ones to meet your goals. Since I've started as an OSR (only about 3 months ago) 3 of my teammates have been promoted so growth in the company can be fast and is expected."
bad,"Staff were rude, brash and were not friendly. managers were driven by what sales they could reap from new staff. Work environment was cluttered, with faulty machines, old chairs. broken desks."
bad,Those are more appropriate names for this company!!  I really don't know where to begin.  Unless you're willing to be miserable everyday you are better off working somewhere else.
bad,Ot is available and is mandatory at times it could be way too much and would not allow you to enjoy outside life because you could be on call and have to stop what you are doing and get to work with in 1 hour
bad,"required to be on call once a month with pager, and even when you did not have pager you could still be mandated to stay over up to 4 hours and be required to come in early up to 2 hours"
bad,I had never worked for a more racist place in my life. The co workers talk to you in a rude way and management doesn't stop the rude actions of the other workers.
bad,Was a contractor  for 2 years with this company. The boss is quick to throw you under the bus. Anything  that  happens  to you or your vehicle  whether  its your fault or not is your fault. No company  trucks you must use your own  vehicle. Poor milage  compensation . If your  vehicle  breaks down be prepared  to get in trouble  for not having a perfect  vehicle. This job really  beats up your vehicle. It will get to the point to where it feels like you can't afford  to  work there. No one cares about the contractors you are replaceable. I worked there for 2 years. I would not suggest  this job. I worked  my butt off did a good job but still got let go.
bad,There is nothing good to report when you are  a contractor working for this company. You are treated like second hand employees because they can fire you at any point in time for no reason.
bad,"Loved getting the chance to talk to so many different people on through out the day. "
bad,"Hired as a contractor.  Supervisor was awful and very unapproachable. Non-stop calls. Upper management was stuck-up.  Unexpected overtime (couldn't leave until calls were cleared). Unrealistic stats required, example; on pa power outage calls you have to ask are you satisfied, really?!? Wouldn't acknowledge doctors notes if you or your child was sick and you couldn't make it to work. Dont Ever Work Here!!!"
bad,typical workday for us at first energy is to take inbound calls to regarding first energy customers who have billing or collection issues on account. We take payments and offer payment plans to all customers depending on there need and offer financial assisted programs for those that qualify.hardest part of my job is making sure all account are documented correctly and making sure you are giving all correct information to ensure u are fallowing the previous notated information given.
bad,Was promoted to a position that in the end never existed per management. Was cheated out of two promotions that 3 years of grooming went to waste. Was lied about and was accused of misconstrude stories in my reviews after 6 years of hardwork in my department as well as across the corporation. Was put in a stressful work environment for 3 years on a daily basis until I was fired for false accusations by supervisor. Stress caused physical and emotional damage. Healtcare was very poor and employee benefits continue to be taken away from employees.
bad,"Unsafe to the public.  Do not believe in the bailout of nuclear power plants.  They pay people $100k to take smoke breaks, lie, and harass people. People with 30 years + experience cannot perform basic or simple tasks.  There is no ownership or accountability by management.  Unprofessional and arrogant culture."
bad,"I was a contractor for 10+ months as a meter reader for FirstEnergy.  It was the worst company I have ever worked for. Anything that happens, regardless if it is your fault or not, you are responsible for. H.R. does not care about employees.  You are replaceable in their eyes.I would not recommend this job to my worst enemy."
bad,"For unknown reasons, the company had shut down 3 out of 5 PA Plants, they're selling off the hydro plant too! A larger Ohio company, with cloudy reasoning has devasted it's work force in PA. Use extreme caution with this company!"
bad,This was the absolute worst place that I've ever worked. Everyone is miserable and they want you to be miserable too! I often heard from employees that they hated working there but have worked at FE forever and will retire in 5-10 years so they are just waiting it out. Everyone is always throwing others under the bus and then backing up on their team mate to make sure that they ran them over. They expect you to live at work and then get home and get back on your computer because you might miss something.
bad,"Lies, hooks, and more work than what you are paid for. The only pro is you have to TRY to lose the job, but there is little to no room for advancement."
bad,"I worked at first energy for about a year and a half. At first i didnt mind it, i worked in customer service since I've started working, i do not mind working with customers/people. i am a HUGE people person. As time went on, the job got more frustrating, working for this company got more frustrating. They put you into training for 8 weeks before you hit the floor and are on your own. Teach you what to say to customers, what the proper information is, what the companies guidelines are. All of a sudden, its like all of that went out the door, supervisors weren't following guidelines, just so they didn't need to take an escalated call, making us as repersentives look like we are incompetent doing our jobs.. i don't think realizing this is why customers so often ask ""well i believe a supervisor will give me a different answer"" They have no care or sympathy for their employees. You are expected to do SO MUCH for them (example: ALL the over time you are FORCED to do, as well as stopping your life 11 weeks + out of the year to be on call) You have no say, but god forbid you take a sick day, or would like a personal day. Its not all bad tho, i met some wonderful people with this company, and i will cherish their friendships. This place just needs to care about their employees a little bit more, then maybe the employees willl care about the customers as well, if they feel like they are actually being appreciate and seen for what they do by management, instead of only ever being told what you are doing wrong."
bad,This job was awful this was the worst place I have ever worked in my life and I would never go back.
bad,"it was a nice place to work until i got laid off. i started with the company as a temp contractor. throughout training they promoted ""if you do well, you'll get hired."" i believed them. until i found out all they do is hire temps for a year they lay off everyone and hire a new class of temps."
bad,Management holds you back from ever achieving goals. You will not succeed here until you kiss butt and keep your mouth shut. Never listen to suggestions or take advice if you don't have a degree.
bad,"I was a contracted Customer Service Representative for about 9 weeks.  Training is hard.  You are in classes for about 4 weeks, then you go to nesting, which is when your classwork is mated with using the software, and applying what you learned while handling inbound customer calls.  There are a lot of rules because the power utility industry is heavily regulated and First Energy owns 10 operating companies across 6 states.  "
bad,I have no comment to give. I am filling out this section because it is required. I don't know how much detail is required but I don't wish to elaborate other than to say I worked for this company for 13 years and believe the current management in my department has no understanding about how to manage people.
bad,"Don't work here unless you thrive on bad stress and mandatory overtime with no or minimal (a few hours) warning. The stress in overwhelming, and no matter how fast you answer calls, it isn't fast enough."
