rating,review
good,Well organized and fun place to work.  Good leadership.  Structured and process driven. work life balance.  work culture is open.  good benefits and onsite work out facilities.
bad,I can’t say anything good about this company. I saw very questionable behavior by management including shipping defective solar panels to avoid contract penalties.
bad,"Empresa no responsable con su personal"
bad,"This job is a joke since the layoff the supervisors are sketchy and will lie to your face about how the company is doing or going.The only way to get a promotion or a good raise is to be related or sleeping with your supervisor. No one is properly  trained on anything. They give jobs to people who aren't qualified for or have any knowledge of what the job is because someone in their family is hire"
bad,"My manager was a snotty rich white lady who looks 100 and is barely 50 I assume.  She took me off the project after I informed her I would be exploring opportunities elsewhere but I would give her my 2 week notice in advance, she terminated me the same day.  This was only after she would constantly call and check up on me which I didn't mind until she started talking to me like I was incompetent and always accused me of lying and not being in the office.  I shared an office with another employee who she was having an affair with, who was not my supervisor, yet she had him constantly checking on my whereabouts.  The world would be a better place without management being able to fire someone over her petty  power trips."
bad,It was ok did't like it so far good luck to everyone i think they don't have a clear vision nor a clear idea of what they are doing they should get rid of management
bad,spend more time at work then u do your family work hard no notice of what you do favorites picked amongest workers and bosses  people dont care their
bad,I really enjoyed working for First Solar Electric. I learned a lot of thing dealing with electricity while I was there and I worked with a lot of really nice and kind individuals.
bad,The job I performed for 8 years included testing and utilising equipment to determine product reliability. I found tah management lacked direction and the ability to organise their employees. Because of this it made for a very toxic work environment.
bad,"Do not waste your time. There is nothing positive about this company besides the fact that you get benefits pretty much right off the bat. There is no advancement,  just another boring line to be put on. The only people saying that this place is a good place to work are the liars that are making $150,000 a yr. And maybe some of the maintenance workers. This company doesn't care about you. They purposely open positions to favorites and yet post it for everyone. "
bad,"Repetitive work. Higher ups are not fit for their job, and only care about themselves.  Only a handful truly care about you as a worker. They will ask you to do “special projects”, but in reality it’s a bunch of hard back breaking labor for nothing in return besides getting to do something new. Would not recommend this company."
bad,Horrible communication and I repeat horrible communication. Long hours and overwork staff and training is more on you to learn than actually being trained by qualified individuals. A who you know and are friends/family too than actually care to hire qualified and motivated individuals.
bad,Slowed down and laid off employees than hired temps at a lower wage to replace them. I feel first solar could have gone about that in a totally different way.
bad,"Wrong policy for the company future. R&D is too empirical, not enough science. Solar market is tough and requires flexibility in manufacturing of solar panels particularly in terms of  size. No such adjustment in First Solar"
bad,"Ever since the ""mass layoff"" i have been struggling to find work! i wouldn't be in this position if i would have never gotten layed off thankyou!!!! Put in years just to get left to struggle!!"
bad,"Basically if you're lazy and just want to stand in one spot for 12 hours than this is the place for you. They don't really care for the general production employee they can easily find another body to watch glass roll down a conveyor. Awful forklift drivers and training program, witnessed at least a handful of accidents a week there. Maintenance team was average and would have you waiting forever before they showed up."
good,Well organized and fun place to work.  Good leadership.  Structured and process driven. work life balance.  work culture is open.  good benefits and onsite work out facilities.
bad,"I just recently been laid off from this company that I worked for, for 11 years. It didn't matter how long or how experienced you were on your job. The selection process was a joke!!"
