rating,review
bad,"I don't recommend ANYone to apply to this job. Management is new and everchanging, more chiefs than Indians, literally NO thought goes into the work process. One person makes a random decision, every one just falls in line. If it makes sense, it's not going to fly. No breaks for the shifts, they mess up ur check and make you wait a week even when it's THEIR fault. DO NOT APPLY!!!"
bad,Hours suck sometimes you get your hours sometimes you don’t. Manager don’t care the top people of the company doesn’t care about the workers only about the product. Management does not care so the employees don’t care either
bad,Unfair that i was told the day of i would be going from full time to part time the exact same day it was said. Being employed for 8+ years they take me from full time hours to 19. Company doesn't respect you as a employee since being under new management a year and a half ago.
bad,Awful company to work for management is in adequate. Would not suggest working for that company to anyone if you’re looking for a position in that industry avoid flowers bacon company there are other reputable companies that are hiring in the area
bad,The shift that I was working on was very under stat so there for it cause my shifty to have ton of work loads. Very unorganized and not professional. Need to hold everybody accountable for their actions
bad,This company is the worse place I have ever worked out. Management is never there. Corporate makes promises but when it’s time to settle the promises they come up with lies and when ask for prove they can’t provide it. You have no help. Now I see why this company is closing stores everyday. If you want a steady job for long term this is not the job because this company will not last much longer.
bad,"This is a sales driven job if you can’t get sales you’ll die trying. Everybody wants to be your friend but your better off not trusting anyone even the boss. Lots of backstabbing goes on in this job and if your a trusting person you shall be eaten alive by your coworkers and boss."
bad,You have to buy your bread route it is a 7 day a week job. They will tell you that you get Sunday and Wednesday off but you really don't you still have to go to every store twice a day
bad,In a nut shell...stay far far away from Flowers! They are contolling and love to gamble with your money. If you sell your route they take a big chunk of the sale amount. STAY AWAY!
bad,ABSOLUTE WORST PLACE TO WORK FOR!!!! THEY DON'T CARE ABOUT THE EMPLOYEES life nor family!!! LONG VERY LONG HOURS!!! The pay is great but if your ready to live for flowers bakery then this is the job for you.
bad,"Reviewed operations conferred with technical or administrative staff to resolve production processing problems."
bad,i would not recommend this job to anyone this place is unfair and unjust to all employees. work conditions are horrible.  this company has no compassion for the ones who are keeping this company afloat.  managers steel all the credit while the regular employees cant catch a single break.
bad,"I would give the management a zero if it were an option. Long hours with no commission. Typical day is managers lining their pockets. Other bread companies think they are a joke, which they are. I wouldn't recommend working here"
bad,"I was promised a raise every year....that was a lie, I was promised no less than 28 hours a week.....that was a lie. No benefits except for the ones hired in as an actual flowers employee. No paid vacation,  no sick days, no benefits at all. No paid breaks, you eat when you can. Absolutely no over time or you will get wrote up. No communication with management in Jamestown.  Always disorganized when it comes to maintenance of stores and signage."
bad,you can not believe any of the information you got for running your route and the salary you received. I was promised vacations and a salary that was ok for the first 3 years then they ended the vacation program and your salary went down.
bad,"Slave work for blood money. No days off. Unless you trick/pay someone to do it for you for however long they last untill they crack and can't take it anymore. I wouldn't wish this job upon my worst enemy... Wait. That's exactly who, if any , I would wish this job upon. A true enemy of my existence."
bad,"to anyone who is not willing to put in the time and effort that is required to build your business and relationships with customers."
bad,You get no time off for any reason. I was just let go to payroll cutbacks right before Christmas with no warning after 7 years of service. Work day was 12-14hours with no compensation. The management team was horrible.
bad,"Hired people at the spur of the moment to meet a safety inspection for three months and once they met inspection, we were released. Hands that were with company for years don't get moved up."
