rating,review
bad,"My boss and boss's boss condone so much illegal and unethical activity (unlicensed contractors, bypassing civil permitting. So much shady activity....all the way up the ladder. i'm about to blow the whistle. my turn....."
bad,as;ldj;laskdjfaslkdjasldkfjasd'ljkfasd'fas'f;sad'klfjsdlkfjsad'lkfjas'dkfjasdkfj'asdlkfj'asdklfj'alskdjf'lkasdfjlkdsajf'dsajf'asdfj'sadklfj'asdlkfj'lasdkfj'lasdkjf
bad,Would not recommend working at Allergan. Eleven years ago Allergan had a great culture one that encourage autonomy and personal growth.  the past few years that changed.
bad,"Forest Labs has excellent sales training and marketing of products. However, they did not follow pharma guidelines while I was there. I'm not sure if they do at this time."
bad,I was a former temporary associate working with the company and they only hire but kissers. I worked for them for two years and never got hired on. I was repeatively passed up by people who were there for three days ind i wad there way longer than them...
bad,"The work is very easy an 3rd grader can do it, but the work environment and management is extremely poor. One the worst company's I have ever worked for. If one manager doesn't likes you the rest doesn't either, you never get off at shift end time. The worker's most of them are lazy and they don't do anything about it. They just had two lay offs and the last year and a half if you have standards do not apply for this company. The hiring manager feed you a bunch of lies to make you think it's a great company to only be hired and find out it was all lies!  Only great thing this company has to offer is health insurance."
bad,"Not the same company, just the name remains.  No longer cares about the people, just the stock price and the C-Level stock options."
bad,This site is a joke. They sent me a fraud check to cash at my bank and which also got me in trouble. I will never apply to this company ever again.
bad,culture changed in last 10 months no longer a family oriented business
bad,"This was not a good territory and the management poor.  I would go on to something else.  Salary was low $50,000 and benefits not industry standards.  Very Cheap company car which was all the district manager talked about."
bad,"I was only paid 7.25 per hour for hard labor. most of the time the boss would take me on missions to get supplies with him put only paid me for working at the site. No compesation for time taken to gather supplies, which was daily"
bad,"My Manager is severely behind the curve. he/she has no management skills and covers it up by micromanagement, unprofessionalism and other hostile attitudes. "
bad,Constantly putting out fires and correcting errors that could have been avoided if better training was provided. The departments are all understaffed and we are each doing a job for 2+ people. No time in the day to do or excel at the most important part of a collector's job. Expectations are unrealistic. Management penalizes you for clocking in 1 minute late. If they paid more or made their employees feel appreciated I would overlook some of these things. Thankless job.
bad,"There is limited opportunity for advancement at Allergan.  They want a ""certain"" type to work there.  Not everyone fits the bill, regardless of one's educational background or work ethic."
bad,This company has gone downhill fast since Actavis took over 4 years ago.  The culture is just check the box and you feel no sense of purpose. Just a bunch of hanger onners.
bad,It's awful to see and hear from others how poor or non existent the culture is at this place.  Management (including Jr/Sr/Executive) is so poor due to the fact the CO only wants to save a buck by putting inexperienced and bewildered people in place just to follow orders like clowns and repeat their superiors like parrots.  It's a good place to stay away from!
bad,"I see all these reviews that are good...what they don't tell you is that it depends on what department you're in...sales is great, R&D great...Facilities is horrible, managers are not quailified to clean dog kennels, they have zero working knowledge of facilities nor people skills."
bad,"The best day of my life will be when I leave here. Management is a joke, especially on the SkinMedica side. The most MICRO-MANAGED job I have ever had. Steer clear, there is ZERO work life balance with this company, and they sell our products online on their own website! I wanted to work in pharmaceuticals...this is more like Avon."
bad,"Started as a consultant worked 15 hrs days. A very dog eat dog atmosphere very petty and insane amount of nepotism. When I was hired permanent my job did not change no growth, and it was encouraged to lack ethics in decisions. CEO flaunt his homes by showing pictures, and senior management makes leud race, gender and religious jokes. I felt totally robbed when I poored myself into this job. Wish I quit after a year but wanted stability for my family and all I received was stress and lack of respect from the leadership."
bad,This is an awful company that does not value their employees. Employees who were misusing company funds were kept on board while other ethical employees quit. Management is completely oblivious. No career advancement or training opportunities. RUN away very quickly!
bad,Empresa con crecimiento hasta 2019. Mucha rotación de personal. Los nuevos gerentes no tienen liderazgo y prácticamente nos hay comisiones pues las cuotas son inalcanzables.
bad,"Typically I am required to work 50 to 60 hours a week to ensure that all deadlines are met as per the requirements of the site senior leadership; with no overtime compensation.  "
bad,"Allergan is a company without a culture. There is no idea from upper management of what they want accomplished. They just know they want more from their employees while providing less for them. "
bad,"The culture at Allergan was not a positive one. Supervisors micro-manage, the department did not know what direction to head in, and overall morale was so low. The way sales reps communicated with us was poor. There is a very low chance of career advancement. I started with a team of 30, and by the time I left there were 11 left. The environment is depressing and the aesthetics, not much there. "
bad,"Nothing can ever go correctly."
bad,It's like working in a prison. Drab walls and stuck in a cubicle all day. Talking to you Co workers is discouraged. The management is poor and thier break policy a joke. If you like dealing with entitled people this is the job for you.
bad,Management needs a makover. Not enough people to do the job. Stressful days. Some employees were ridiculously nasty and impossible to work with. People moved along without a care. Job security also in the wind. Felt like high-school. And why no CEO? Glad im gone.
bad,"Since merging with Actavis, work life balance is non-existant.  Do not even apply to this company if you can't work 70 hours a week.  Management puts extreme pressure for more and more work to get done in less and less time with a smaller and smaller staff.  No one has time to assist or train new employees.  Now with the Forest merger top management committed to Wall Street that they would achieve a billion a year in synergies (salary reductions).  Thus, they are cutting to the bone.  If you join now you will be very likely to be cut within six months if you last that long.  If you interview ask why the incumbent left.  I recommend you avoid this company at all costs."
bad,"I have been working at Actavis  full-time"
bad,"A typical day is between 9-6 and the managers expect you to work more than normal working hours..........reason behind is US based company....horrible managers......very non-cooperative"
bad,Patient and Physician services Department is ran by someone that has very little educational background. The department has very poor communication and isn't organized very well. The people in the department aren't treated equally and I believe that people in a department like that should get the same treatment across the board. I would not recommend this department to work in.
bad,5 years at Actavis as a chemical processor. Horrible training. You will be discplined for doing something wrong even if it's the way you were trained.
bad,Management is horrible! Very poorly trained DM's that get promoted to early.
bad,"Forest believes it is a serious multinational drug company...and are sadly mistaken! They have too many processes, not enough resources and a phony superficial corporate culture. It always seemed like the company was trying to do things on the cheap by cutting corners. Basically it's not really a company that one could feel proud to work for."
bad,Worst unorganized facility I  ever worked in. Management spends too much time meeting and debating about doing work instead of actually working. Its like working for the government everything is politics.
bad,"Allergan honestly feels like a sinking ship. It is a company that is making billions of dollars a year in profits but when the share price dips below $165 they start ruining peoples lives by laying them off. They claim that it is because they are ""humble"" enough (their words) to accept that keeping share holders pockets extra fat is what is important. It is really sad. Just 3 years ago we were all proud to be a part of this company, but greed rules the day. I am still employed so this review is not out of revenge.It just an honest opinion"
bad,"- Good benefits"
bad,At interview  I was told it was an office that had banter. It was lifeless. I was micro managed. No one talked not only in my dept but in the open plan office generally. The job required two screens of which only one was available. They had over a month to get my work station in place. Many of the longer serving staff talked about wanting redundancy now Pfizer have taken over. Management did not engage in staff and was often out of office.  I lasted two weeks and was so miserable. Sitting at a screen for 7.5 hours a day is unhealthy.
bad,"There was a time when opinions mattered, when effort, ingenuity and looking at things from a different view mattered. That ended when Watson ""bought"" Actavis. Actavis management took over. European mentality that Americans were inferior and their opinions meant nothing was pervasive. To question was to put a target on your back. Only the sheep who were fed to political wolves remained. "
bad,"First shift works 10 to 12 hour days and the new ""supervisor"" acts like a child. I would not recomend this company to anyone. You will work pointless weekends. The raise that you will be givin isn't worth the one year wait. The co works are good people but severaly miss treated by management."
bad,They do not care about you as a person. You never know when you have to be at work. Management sucks!!!!!! Turn over rate is high. Not a good company.
