rating,review
bad,"A horrible place to work. This is a place where you see many consultants coming because they knew your managers and hence your job will also be in line to please the consultants. So you would wonder while ia ma working for the company, why my manager is favoring consultants - it is because they come through their family and friends circle."
bad,"had an eye opening experience, bad programming practices that pre date Y2K . My reporting manager had the view that one not being on H1 needs a write up so they are more servient. Making friends in other groups or presenting in business case along with other teams are absolutely shunned and ends up with a write up that effects future growth, bonus. My reporting manager who allegedly graduated from Purdue, had typos in the write up along with fabricated lies of not delivering a project that she herself was presen during hand off. The desperation to control US citizen is pittyful."
bad,"Lot of Politics and no scope for carrier advancement."
bad,"Overall, the company has great benefits, however, stale management and poor leadership is prevalent.  They tell employees they want them to be empowered but handcuff them when they try to make decisions based upon the expertise they hired them for in the first place.   They rarely ever listen to suggestions from employees and have a management in place that bullies their employees.   "
bad,"If you worked hard to obtain that PMP, don't waste it on Freddie Mac - you will receive no respect, have zero authority and be treated like dirt by upper management while your team members will be rewarded for undermining your credibility. It's a kiss-up / kick-down culture in a dysfunctional organization, and believe me, you don't want to go through that. Now, I get four to six calls a week from headhunters trying to get me to go back to work at Freddie Mac and it's not because the mortgage industry is expanding at an astronomical rate - it's because the turnover rate for project managers at Freddie Mac is so high. So skip this gulag and sign on somewhere your skills and talents will be appreciated."
bad,I worked on CSC SOW project. No one knows what is happening in the project. CSC never sits in the meetings and there is no productive system and requirement discussions. 2006 Freddie Mac is much better than 2013 Freddie Mac. It became a Market in stead of positive work culture.
bad,"The job itself was easy and the people for the most part were helpful, don't go in as contractor and you should have a good experiance. other than that yeah it's basic help desk work, lots of sitting and very specific breaks."
bad,"Unless you enjoy boredom - contractor culture is such that you are often invisible, treated a level below FTEs. Have to park miles away and take a shuttle bus in - minimum 30 mins to get to your desk AFTER you get to work. Nickel and dime attitude re timekeeping. Top-heavy, overthought processes fraught by layers of redundant management."
bad,"terrible, stay far away I would not want my worst enemy to have to work there or settle for a job there, use this place for money, time, but it was the worst IT job I've had in 20 yrs"
bad,"1)quick  Team meeting"
bad,"Responsible for specialized duties related to certification mortgage loan documentation."
bad,Hard work is not rewarded.  Office politics are in play.  Management is not fit to be management. Hard work is not appreciated or rewarded.  Office politics are.
bad,"I learned a lot ath FM on how not to."
bad,"Be ready to feel like a slave. FM has changed and not for the better. They hired a bunch of foreigner on visa's because they get 2 for the price of 1. They continuously apply tension, reminding you, that a foreigner can be replace you if you don't work ridiculous hours."
bad,There are a lot of wonderful people who deserve a lot better leadership.  10 years of conservator-ship have made leadership lazy and more focused on looking good rather than delivering on objectives.  Loyalty and leadership are two concepts that escape the senior leadership team and that lack of faith is felt across the enterprise.  Supposed leaders build fiefdoms and focus on themselves rather than collaborating with other divisions to be successful.
bad,"The single most nightmarish position I've ever held. Cut-throat, political and politically-correct, stifling bureaucracy. Managers allowed to lie and run amok and connected employees have free reign to bully and scheme."
bad,"Due to the outsourcing to a global staffing agency, the environment is overwhelmed with a sense of uncertainty, distrust and hostility. This seems to be the culture higher management wants. It's a stupid fatalistic performance enhancement strategy that subscribes to a ""survival of the fittest"" approach. In fact it's just laziness in leadership. Immediately after finally establishing stability and harmony in my team, the team was released."
bad,"Bad company and poor management.  Everyone is worried about the future of the company and only thinks about their survival.  No training.  One on one meeting with manager consisted of a hostile, one sided conversation. I will never apply to a Freddie Mac position for the rest of my career.  Its a sad place to work"
bad,"I would not suggest my worst enemy to work for Securitas. Securitas eventually lost that contract due to a project manager having inappropriate relations with a floating security officer, that should have been terminated several months earlier, in a conference room after hours."
bad,"No growth. Lack of leadership. Director of Business Initiatives group is highly unqualified, and is a task manager at best. No direction and no big picture mentality. Lack of people management skills or technical knowledge."
bad,"not a good place to work for, constant changes with management, all politics and real work is not appreciated, connections, useless goals and reviews, no bonus"
bad,The whole place is a magic show. They're shady. You will provide analysis and recommendations and if they don't like the results because of their own agenda they berate you and change it to fit their own needs regardless of whether or not it's accurate or ethical.
bad,"Segmented work force, company is constantly bogged down in corporate process.  Prides itself on hiring a diverse workforce, language barrier common."
bad,Very antiquated technology. Going back in time -- might as well roll in a typewriter and carbon paper. Acts very much like a typical government agency. Lots of red tape and bureaucracy -- hard to get anything done. You better conform to the culture which is also antiquated or you are out. Run not walk away from this place. The people are also very unprofessional and nasty to work with.
bad,Bait and switch on management.  Manager was terrible.  Ended up leaving after a few months.  I wish that there wasn't a character count because I'm done.
bad,"The management treats you like you are their property. They think they ""own"" you. Signing your time sheet means he is supposed to be God to you."
bad,"All levels of ""management"" in my field were incompetent, poor leadership qualities, micro-managed, very poor people skills. Lack of trust afforded to staff. Employees felt hampered to make decisions based on their knowledge. Fear of making mistakes"
bad,"A young, and blonde analyst from no-name college was promoted from an analyst in a year.  The head of group is a middle-aged white male with little knowledge of mortgage securitization.  Hired a consultant at $200 per hour to help him do his job. The middle-aged white male only talked to the young blonde like she was the only employee in the group, and constantly put other four employees at back burners.  Ridiculous sexiest environment. HR did nothing to prevent or stop this."
bad,"I was a temp here & became a victim of domestic violence. While that person was in jail, I didn’t have anyone to watch my children & shortly afterwards my car was also repoed but I still made it to work. My supervisor was my greatest friend when going through this & told me not to worry, I still had a job. I had to schedule with him coming in 2 hours late with his approval because of cour dates & he said .”it was fine but long story short, he laid me off two weeks later saying “I need you here"
bad,"The organization has an old school view of business and how it functions in the real world.  Leadership team has been in the company 20 plus years each and therefore appear to have been living in a vacuum."
bad,The company has good work life balance but lot of stress in day to day life.
bad,"Very Racist culture, and poor management.  They woo you to get in the door, but they are not geared toward giving your best.  "
bad,"One of the worst places I have ever worked as a contractor. Inept senior management. No sense of team or mission. Dog eat dog and survive the next re-org is the name of the game. Cronyism and attrition being the only means of advancement. I only met and worked with 2-3 solid middle managers who kept their heads above water. The rest were poison and very hard to work with. The ground troops who actually do the work are over worked and not supported very well. Cross team communication is a joke and again, senior management all the way up to the directors had to constantly crack the whip to get teams to align on missions/projects. I can go on but you all get the point now."
bad,"Higher management is more political and have very least technical knowledge, beside they are stubborn and force developers to implement their stupid ideas."
bad,Work at Freddie Mac was interesting. The work is done in teams. They key is to be sure you have a supervisor that knows how to lead.
bad,"Freddie Mac can afford to pay the contractors (Security) more than what they pay them. A typical day at Freddie Mac, starts with me getting to work at 0600 eating breakfast, signing in and then standing at the front door greeting and welcoming the employees and visitors to the building with a Big Good Morning or Good Afternoon, I've learned there computer system management is ok, there are different cultures that work there. The hardest part of the job is standing all day and the most enjoyable part of the job is making everyone who I come in contact with smile."
bad,"Freddie Mac makes homeownership and rental housing more accessible and affordable. Operating in the secondary mortgage market, we keep mortgage capital flowing by purchasing mortgage loans from lenders so they in turn can provide more loans to qualified borrowers. Our mission to provide liquidity, stability, and affordability to the U.S. housing market in all economic conditions extends to all communities from coast to coast."
bad,"If you just want to go to work, do your job and get a paycheck, this is a decent place to work for entry-level employees. If you expect to climb the corporate ladder quickly, though, it's not going to happen. Because nothing happens quickly at Freddie."
bad,"A typical day revolves around resolving important risk and control issues, which in turn, may affect the result of a home owner getting a workout; which always translates to them keeping their homes."
bad,"I was a contractor so my experience may not be representative of most peoples experiences, but it was by far the most difficult companies to work at. The team of 15 analysts had to squeeze into a small room, working 12-17 hour days, we also involuntarily worked weekends. My manager even went as far as to reprimand some coworkers for asking for time on Sundays to go to church. HORRIBLE experience."
bad,would not advise anyone to work here. They change the bonus plan mid month. No one has a clue whats going on
bad,"Bad work culture and there is no work life balance. They will call you anytime after office hours and expect you to be available.  "
bad,Typical day is full of meetings and good learning and management is good but stressful.Too many meetings and hence have to work overtime almost everyday.
bad,Freddie Mac employees were very difficult to work with on project and assignments. I would not recommend it to anyone b/c of the toxic work culture for young people.
bad,"I was a contractor for six months. I was not treated as part of the team, at all."
bad,"joined Freddie Mac about 3 months prior to the layoffs, fraudulent loads. Bad environment. Management lacked basic skills for day to day operations and no leadership / advancement. Favoritism"
bad,"The CTO group was excellent.Overall, I can't say the same thing for Freddie mac as a company. The atmosphere is now almost completely south east Asian and the salaries in general have plummeted."
bad,Opportunities for improving culture for being helpful and supportive in resolving project issues and risk mitigation plans when implementing new technology.
bad,"Contractors are treated like lower class, Bullpin seating, rows of tables lined up with people sit right next to and across from each other on one side of the floor and across the hall is the employees in offices and cubicles.  Micromanagement doesn't work especially when all the Employees are running around doing what ever they want and working from home most of the days."
bad,"It is hard to understand and comprehend business processes, training, deadlines and there are no operating procedures."
bad,Started working there in 2014. Things were going well until the talk of voluntary retirement starting with the age of 50. Started to feel discriminated against my age as well as being put into a position that I was not prepared for nor offered any guidance.
bad,"Poor management. The job description did not match the actual work, which was little more than data entry. The team I worked for was demoralized and was incompetently led."
bad,"Nepotism and cronyism abound!  My manager was non-technical user of the software he was managing; a software that he did not understand how to administer because he was only a user.  His manager was his friend, so he was not reprimanded for his poor performance."
bad,"Visa employees have more chance getting hired than skilled US citizen and more chance to keep the job .. also if you have family member."
bad,New CIO and CTO want the folks for CIT where they come from and are getting rid of the loyal company employees. Seems they have never managed this size of budget and company before.
bad,It has a buddy-buddy culture. CIT is the new IT for Freddie Mac where the new management wants to bring their own known people to run the company's IT.
bad,I have learned a lot in Freddie Mac but they don't like to Hire Military Veterans in fact they let me go with no reason!
bad,"I spent years floundering. It was my first IT job out of college, and there was zero in the way of mentorship or managerial guidance. I don't recommend it!"
bad,"Freddie Mac was my first job after leaving the Bank. I anticipated a great career with a large company, but the competition and the hiring protocols within this company was extremely strict."
bad,An average place to work. We can learn on Home mortgage secondary mortgage domain and there is a lot of scope to learn on home mortgage products. I would say work culture is ok.
bad,"Easy, low stress job. So many people work from home that the halls are empty. There is a gym on site. Very well paid job, but there are a lot of reorgs."
bad,"Poor work culture and improper work management and project planning."
bad,"Great people that I worked with when it came to me looking forward to coming to work. My team was very welcoming from the beginning. "
bad,Good place for full time but bad place for consultants. Wouldn't work here again as a consultant.
bad,Huge discrimination between temp contractors and full time staff
bad,Not happy with management. They have favorites and just try to promote them in incremental cycles. They decide performance ratings much before they request feedback from people you actually worked with and give good ratings/bonus to people they like.
bad,I was in charge of automation for a project and there were many problems with the framework and divisions to where months would pass by and nothing would be changed or implemented. Not that there werent solutions to these issues but either red tape or management would get in the way to find a solution
bad,"I you are young, have no family an ready to work endless hours this is the place for you. High pressure whatever it takes to get the job done environment."
bad,"Freddie Mac is broken down into several independent departments / divisions.  Each one works as a stand-alone entity.  They rarely talk to each other.  There is a lot of duplicate efforts happening within.  Senior Management does not seem to have the experience or control.  Plus, they will not listen to SMEs that have the experience they are trying to incorporate."
bad,Hard to get anything accomplished and too many people who has only known FM their entire career and they stop innovation or even bring in fun to work.
bad,Freddie Mac was created to ensure people had access to credit for the purpose of purchasing homes. The secondary mortgage market provides stability for lenders.
bad,"Management is very demanding, and don't motivate their employees."
bad,"Big corporate that feels more like a government agency. Does have a diverse workforce. However, you will notice people being hired in some areas with big titles are not living up to their titles. More that sometimes, it feels like the company has lowered its standard for hiring people with ability to articulate and communicate effectively."
bad,"Technology is too old. Still EJB 2. Not very good place for contractors. Parking lot is too far. Gym opens only to full-time employees, not contractors."
bad,"Work life balance is great, no doubt. Recently, there is big issue due to incompetent higher management that is causing great problem for career growth."
bad,The leadership is dysfunctional.  More politics than usual corporate environments.  The pay is good and work/life balance is excellent.  Don't go in there expecting to make a career of it.  They will toss you aside if you're a high performer.
bad,"Over all good but not easy.   The issue there (in general) is that underperforming departments must be tolerated by all the other departments.    Thus suck-it-up, that group will not be fixed for at least a year."
bad,"There are two cultures within the same organization.  Teams that male driven, racist, misogynist; and teams that are progressvie.  Managment sees it but it is not addressed. The only way to know it is to be on the inside. The organization has tools in place to combative the old culture; however they are not utilized.. They constently take surveys, but little is done to move those out that refuse to adapt to a inclusive work environment.  If you are so fortunate to get on a progressive team it can turn out to be a good experience.."
bad,Pay is good.  Work is stressful.  Managers are horrid. The only way up is to kiss up and that is no guarantee if you don't have a friend in management don't even think about moving up as it is far too cutthroat.
bad,The company is going through a lot of changes and layoffs so that means that your job could be gone tomorrow. Sometime management is kept in the dark.
bad,"If you can get fulltime employment, it is a great place to work for a while.  Good if you are starting out in your career or are happy to stay in one place indefinitely.  Constant ""reorganizing"" leaves morale fairly low.  Benefits are being cut left and right.  Take advantage of the training opportunities and other perks.  My experience with management was that ""transparency"" did not happen.  No respect given to longtime employees- discouraging.  Very disappointed with the way that management conducts themselves."
bad,Productive work environment.  Consulting practice is very mature. Good learning environment.
bad,It was a challenge to get information approved thru Sr. Management
bad,Freddie is an awesome place to work.  Successful staff have been with the firm for years and grown with the company.  Onsite gym and cafeterias are great!
bad,Big mistake working for them
bad,"Freddie is an ok job, but as a career, there's too much uncertainty about the future that it makes key jobs hard to handle: no investment in innovation or technology yet you are expected to monitor KPI's on a spreadsheet?"
good,"They pay well but do not stand by their employees.  If your position is eliminated, for example, they do not help you or give priority to you for other open positions within the firm."
good,"Depending upon the group you work for, it could an rewarding experience. Most people are dedicated to what they do, but sometimes not open to change, some groups are siloed and does not what other groups are doing resulting in duplication of effort."
good,The guy that I was working with Fred he was good people the owner of the company not so good but I like that flipping houses remodeling I enjoy seeing the end result
good,"Chaotic constantly changing environment . Long hours. Contractors are treated poorly. Dealing with management, "
good,"Management in the Business Rules area of Strategic Delivery demonstrates cronyism on a daily basis.  If you are not one of their 'favorites', they will go out of their way to withhold support and advancement opportunities.  Leadership is poor, at best.  The leadership team understands the technical side of the business but has little to no experience managing people."
good,"Peers seemed to have much less responsibility with more pay. Diversity initiatives are a joke!"
good,"Under NDA to not discuss details of my experience at Freddie Mac.  However, generally, front office employees are well treated; back office employees, much less so."
good,"I think that Freddie Mac is a great place to start a career or be a senior executive. It is not a great place to be in the middle of a career. The compensation for experienced professionals is not good enough to warrant the mountain of bureaucracy and nepotism that is taking place. In addition, there is not much contingent pay on the table for people with a track record of performance. It is not a good place to be a ""deal maker""."
good,"One of the biggest issues I had working at Freddie Mac was the culture shifts, there were a lot of managers that still view dependability from a young employee as overcommunication and being overtly visible...i.e. a brown nose. It is hard to advance in this company if you are viewed as different, your work can be supreme and you can be the best speaker but if people are not ready to receive you because you choose a different lifestyle it is an awful place."
good,"Gives most vacation days that I have seen at any company.  Sometimes a struggle to use before the end of the year. "
good,Great benefits.  Need to improve technology in order to reduce long working hours.  Hired too many consultants because some managers & directors are not as competent.
good,Lots of bureaucracy and hierarchy. Open plan has been adopted yet the organization is still not flat. Remote days allowed and benefits package is pretty good.
good,"Bad managers-  they say they want to improve the culture, but there's a backlash if you say anything negative.  Constantly changing direction but no strategy to move forward"
good,"Just time to move on  not sure what else to say, it’s big, cumbersome rules, but pays well. Not the place to be if you want a stabile IT job as they’re changing up everything again( 5 times in 8 years)"
good,"Freddie Mac is making progress to improve its internal employee culture. Much more open, honest and humble environment. They seem to be hiring a lot from the outside, so that can be good to bring in new people. It can take several tries to get promoted from within."
good,It is an ok place to work.  Several projects to choose from.  To pursue a career makes it a good place to work.  Lots of information available to employees to learn the business
good,"This is a great place to work, but unfortunately, is hindered by an excruciatingly complicated processes structure that contributes to an unnecessary stressful environment."
good,Does not allow for separation from work and family.  Your always on-call (24/7) Everyone wants to be in-charge and there is NOT enough people to support all the work that they want you to do.
good,"Great benefits (medical, dental, vision). Upper management needs thinning out. A lot of employees with not much to do. Needs to be more of a 'lean' company."
good,"Great people to work with, although there is quite a disconnect between management and the workers in the ""trenches"". .Getting laid off because of the supposed re-org was devastating and came as quite a shock.  "
good,"Management changes often"
good,Average company still experiencing management leadership changes.  Work life balance depends on the department vice president.
good,"review 12-15 appraisals, SFR, Condo, Multi-family, verify value of home."
good,"When I joined in 1993, Freddie was a great place with wonderful potential.  However, the culture began to change in 2004 / 2005 as the company went through the accounting restatement and the high level of senior management turnover.  A lot of subject matter expertise had left and was replaced with limited experience."
good,"An ex-contractor with Freddie Mac.  Software developer with the web/email systems.  The systems are complex, there is no help available most of the time and the task deadlines are unachievable.  If the pay wasn't good I'd have bailed out earlier and I'll never go back."
good,It was Fun place with Great team mates. They offered interesting work but required long hours during close time. Also currently the company is dealing with lots of changes and that is impacting the morale of workforce. I have acquired lots of skills during my work-life at this company.
good,Great people to work with and great benefits. Workplace culture is hit and miss depending on what part of the company you work in. Dynamic mortgage industry and great partners in the industry.
good,"I didnt enjoy my tenure at Freddie mac.  It was too stressful.  Managers are supported.  Processes are not well defined.  Work culture is toxic, I would not want to work there again if i can help it."
good,Very bad management.  The manager created a culture of intimidation and fear. Mean and nasty. Witnessed the manager speaking to employees in a very undignified hostile and mean way. The worst boss I ever worked for and one of the worst people il I've met.
good,"Lots of bureaucracy and politics.  Too many layers, culture was horrible but employees are great.  Don't expect too much from management or leadership"
good,Our department has been reorganized under five different officers in less than a year.  They take change to a new level.  Their attitude is that there is always someone on any given team that is below plan and this is not always the case.
good,"There are a lot of meetings and it takes times to get issues resolved to work on.  "
good,"Very large corporation, with multiple levels and various divisions."
good,The department I worked for uses very old technical knowledge. And people focus on following rules and having meetings to collaborate work. too much talking than working.
good,A SAS program development assignment for program conversion. Hardest part was to obtain clear cut requirements. Mid tier management was not familiar with SAS technology at all. A short commute was the enjoyable part.
good,N/A - Teleworking twice a week was a huge benefit and was a main reason for my stay. Too many hoops and politics to move up in the company especially if you are not in with the right people.
good,"I believe many areas of Freddie Mac are great and have good and supporting managers.  Unfortunately, my last manager was absolutely terrible.  No communication, did not provide tools or means to make you successful.  The manager only thought about herself and her success.  Many HR complaints have been made regarding her performance but nothing has been done."
good,It can be a challenging work environment due to the oversight by FHFA and the organization adapting to that oversight.  Most initiatives need approval.
good,"Over all its a good workplace to be a full timer not as a Contractor, lots of processes , controls ,   200% work load, nice cafeteria,  worst "
good,great people. multicultural. many buildings on the campus but they have a shuttle and are close together. The building has a parking for contractors may be improved as it may be 1/2 mile away from the building.
good,"Good culture. Productive company moving in great directions. Great co-workers, network opportunities.  The learning experience is an asset you carry with you to other career opportunities."
good,"Freddie Mac is a secured campus, with five buildings in row that reminds me of a college campus. Cafeteria was delightful and Tysons Corner mall was a five minute ride up the street."
good,"highly bureaucratic, huge cost cutting is going on, Contractors are let go when contract expires, Not a good place for contractors now ."
good,"Overall, a good company, good benefits good facility, good cafeteria, availability to training onsite.   On the downside, they need better managers who are good leaders and role models. Managers that treat everyone fairly and equally without being biased towards a certain group or person(s)."
good,"Pros:"
good,"In my opinion, there is no place for progression and or promotion.  There currently are workers there that have not had a raise in over 5 years.  There is no room for constructive criticism as the slightest bit of disapproval of what someone says  could result in personal vendettas set out by management.  Manager used obscenities  and through temper tantrums at times during team meetings and one on one meetings.  The overall experience there is, however, an amazing place.  The people there are very nice and open to engage in conversations, and will certainly try to help you get ahead, depending on what team you are on."
good,Average work environment. Less opportunity to move up the ladder.
good,"Freddie Mac is a challenging, safe company, but does not favor a technical career path. This culture of limiting the advancement potential of technical folks has only gotten more restrictive over the past 15 or so years.  Otherwise, it is a satisfying company to work for, and I have very fond memories and lifelong friends from my time there."
good,Okay company to work for. However they have a hard time assigning tasks based on skill. Management had no clue on how to match skill with project since they had no technical backgroud
good,Fast paced environment with overlapping deadlines. Great people to work with and many different benefits. There is a lot of room to grow and move around in the company so you don't get burnt out in the same role.
good,"Productive and good learning. Several methodologies and tools to learn and contribute. Great business knowledge, Amazing cafeteria and positive environment"
good,"Contractors are treated as second class citizens, but its a great place for the full time employees. No work from home allowed unless you are full time employees."
good,"I worked at Freddie Mac for about eleven years, in a number of different positions during the Great Recession.  CEO Office was a revolving door, so that made for a frustrating lack of direction at times."
good,"Freddie Mac is a wonderful company with many benefits, work/life balance and good compensation. However, I had a bad experience with my immediate supervisor -- I could not respect or feel good about myself while working for this person. My supervisor's supervisor and the one above that person were almost as bad, since they allowed my boss to behave that way. Plus, all three of them were constantly taking time off, so it was difficult to get anything done."
good,Willing to go with what currently work without process improvements. Typical day require handling two to three project of various sizes.  Many meeting with project manager fairly assertive in follow ups with project team and shareholders
good,"Good company to work  and grow."
good,I worked in ODM and java development.The work was good but overloaded. Other than that it was a good learning experience. I worked in Agile environment so the tasks were fast moving.
good,"Overall, the job culture at Freddie Mac is very relaxed, but at times stressful.  The company has started to have frequent layoffs.  The management staff needs more people skill training as well as knowledge about the specified products in their business areas."
good,"Clean, productive place to work, enjoyed my co-workers they were the most enjoyable part of the job. However advancement is hard and management is poorly trained."
good,"The company stands to make home-ownership affordable, create liquidity and stability in the market place. Which to some of us is very interesting and rewarding."
good,Absolutely a fantastic work environment with great team and management support.
good,"Freddie Mac is a great company to work at for work/life balance. Lots of flexibility in picking hours or teleworking (where it's feasible), gym and cafeteria on site, and overtime is rare. The work can be interesting and the pay is pretty decent."
good,Great place to work with good benefits and work/life balance as a priority.
good,"Learned to use tools on what the job was required. "
good,I got egg on my face for things that truly weren't my fault. I was pitched a certain type of role but when I got there it wasn't at all what I thought we discussed. It was also very cliquey.
good,Excellent place to work.  This company has strong work ethics and is very professional  throughout.  Freddie Mac keeps it’s employees in the know.  They reward their employees for going the extra mile.
good,"Freddie Mac is the favorite company I've worked for so far in my career. First and foremost, the company has an amazing company culture. People are really good to one another here. While people are smart and driven, they also care about making sure that everyone works together well."
good,"Lot to learn about various system"
good,"Working culture is good. But one needs to be self aggressive in grabbing new technology  or new projects  else company will make you  busy in legacy work ,"
good,Very collegial. My area though was awful as the manager was a narcissist. People claim the work of others as benchmarks for their annual goals. People are hired lacking essential skillsets.
good,"Good company overall, but has been slow to make large gains in technology until fairly recently.  Good company, overall good benefits.  Currently under conservatorship with FHFA government regulators, along with its counterpart, FNMA, after the 2008 financial debacle."
