rating,review
bad,Worked for gamestop for 4 years is was ok at start but then kept getting worse. Unrealistic targets and your hours get cut to minimum if not met. No job security and management are intimidating bully. Also found that the company is very sexsist and money hunger.
bad,"If you want a career, don’t work for GameStop. This place literally uses employees and customers to the maximum for their own benefit. You will not receive commissions on getting membership signups, however they will push you to keep selling the pro membership. Most people don’t want the new membership as it has less benefits and isn’t worth it. Seriously, go flip burgers."
bad,Dl was all about personal interest  not fair to women . Valued male employees over all others. Made me work after being robbed . Wrote me up for being clocked in while at police station filing report. Fired all of my key holders the week of the switch launch and wrote me up for going into overtime since other stores would not lend staff. Was a great job I always met or exceeded expectations. Even won customer service awards but still treated like garbage for being female
bad,"Since competitors are putting them out of business, those up top are afraid to lose their spot to new people so they do all they can to get results out of you and take the results for themselves and will go so far as to set you up and blame things on you that are their fault. Worst company ever."
bad,As a store manager you're overworked while your team gets maybe 15 hrs a week...maybe. They find reasons every year to not give raises or bonuses. They still hire at 7.25. If you arent harassin1g every xustomer with 50 thousnd things then they fire you
bad,Unwilling to accommodate family medical emergencies and other issues that may arise. Unable to revise schedules easily and offer no benefits and low pay
bad,"Low wages, poor management, senior management "
bad,"Gamestop sets unrealistic goals as the company scrambles to cover promises to investors and shareholders at the expense of customer satisfaction and that of its employees. It's all about their metrics."
bad,"It's cool to sell video games and what not but this company doesnt look at your hard work they are only focused on numbers $"
bad,"In an ever changing and growing market, the company has not, or ever, been able to create a sense of direction, sustainability or investment into the employees. "
bad,"Tenetevi lontano da questa multinazionale che sfrutta i lavoratori."
bad,Unfortunately a horrible experience and horrible company.  NO concern for employees or the effect the corporate office decisions have on others.  Would not recommend this company to anyone.
bad,The low pay rate and high expectations of sales with the threat of being fired daily isnt worth the stress. Calling HR never works when treated unfairly. The company is dying in the industry and you as an associate will get punished for it regardless of whether you make sales goal or not.
bad,I dont have anything nice to say. so i wish to say nothing. the rest of this will be random words to fill the required characters to move on. watermelon.
bad,"the corporate does not care for its emplyees and onl care about sales, the store that i worked at was great, but the higher ups were on a power trip, and that ws not good at all"
bad,If you want to enjoy this company stay as a GA. Once you get into SGA and above the amount of responsibilities that you have compared to the pay is awful. Been here 4 years. It use to be fun but now the company is deep in trying to save itself it forgot how to treat employees well.
bad,"This isn't a very good company to work for if you want a living wage. It is VERY rare to have good upper management. Corporate often tries to get people to stretch beyond their limits to achieve typically unrealistic goals. There are very rarely enough hours given to actually run a functional store, and more often than not, managers are corrupt and abuse the little power they are allowed."
