rating,review
bad,I worked for this company for years.. I worked in visual and inventory and it was like slave work ... With very little pay .. ok for a teen .. no flexibility in hours  . And your job isn't secure ... My hours were cut for being out on maternity leave... I went from 10 hour days to barely 5 a day at 3 days a week no real growth potential.
bad,cannot give a review was not employed long enough to form an opinion of the company or workplace seemed alright while I was there it is like mist other hire companies
bad,"Management is very poor in knowledge. Don't like when employees buy with discount. They like to hire employees all the time, so they decrease employees hours. If you look for a job, just drop your resume at the door that they will hire you, give hours for 2 weeks, and that's it!"
bad,This is why gap is going down.there is no support to the employee.customer would call that they did not receive there package.And maybe this customer has a history package is always missing.But because supervisor don't like to take escalated calls.they just tell you send them another package.people as quit .not a good place to work at all.the stress level is so high. Its not even funny
bad,Horrible work environment long hours  low pay  short breaks and excessive amounts of work with no resting periods the production has increased tremendously to the point that the average worker can't meet basic standards. Management is the worst telling the workers to work harder and faster with no compassion that some workers have health issues.
bad,"They never let you breathe. Even if there is no work, they will keep adding work and make you stay for longer hours without extra breaks. I had a ligament injury and my foot was recovering they didn’t give me any leave and asked me to come to shift when i tried to give it away to someone who was ready to work."
bad,I was hired at the end of the summer. They were starting  their holiday prep. I am a mother four and was going to school too. At first they gave me decent hours. And then for no reason at all they started giving me only 4 hrs here and there. When I started back to class I. January they had me off the schedule for 3 weeks with no communication then when they put me back on it was on school days
bad,"MANAGEMENT IS HORRIBLE! Almost all of the managers that work there act like 5 year old kids. They don’t respect anyone they expect the whole store to look fantastic but only scheduled 3 people to work?? And while expecting that, there sitting in the back stuffing there faces with food"
bad,The Gap could be a good place if the management didn't treat everyone like they were ex-felons.  A typical work day was standing on your feet for 3 hours with a 20 min break just to stand on your feet for another 3 hours.  Management was horrible.  They micromanaged all the time.  The job requires a lot of standing so it puts strain on your back.  The hardest part of the job is standing with no relief.  The management wants you to work like slaves.  The most enjoyable part of the job is you might meet someone who could be a life long friend.
bad,I'm going to keep this short my time working there was short but I have to say its terrible after awhile I start to see why people come and go here its not the customers its the managers and coworkers sure the coworkers are cool but the managers don't do anything and sit on their butt while the rest of us basically where rushing to finish our work its a lot of insults being thrown around.
bad,In GAP there is discrimination with Hispanics. The manager paid me less than other people even though I knew how to do many things. I went to ask for an increase because I was already 6 months old and I saw that new people who had no experience and were earning more.
bad,"I was a cashlead at Gap for a a year and previously a regular associate for another year. I spent 2 years of my life working at this horrible job, with horrible management. Managers did not give a  Kumquat  about their employees. I called out one day because my uncle was in the hospital and the manager’s response was that I would be written up bc he wasn’t immediate family. He passed away shortly after while I was actually at work. I started crying, packed my things, told them what happened and that I was leaving. I come in my next shift and they docked me for leaving early. There is no sympathy for anyone. I had never called out of that job and anytime I was called in, I would rush to work. I would work 57-60 hours some weeks. More than the managers themselves. It was horrible, I hope they go out of business in the Dolphin mall location. :)"
bad,"The scheduling is way too inconsistent. They force you to sign up for their membership program. (be it you shop there or not) When your shift has ended they don't release you until they want to, without notifying you.I recently was let go from the company without any formal notification. I knew of my position's elimination through the app. This was done after not being scheduled for three weeks."
bad,"Don't work at this location. management sucks, was always sick from the CHUNKS of dusk there was everywhere. nasty building, break room looks like garbage, very disgusting!! (feel sorry for some guest that have to go back there go to the restroom) I'm SUREE nothing is up to code in there. management is horrible, plays favorites. WORST JOB I EVER HAD. im glad i quit when i did. the bosses are nothing but rude and disrespectful. always on your cases to sell reward cards even for STOCK employees that work 5-10am. the store doesn't even open till 10. manager quotes,"" i will make all you apply for a credit care if we don't make sales."" HAHAH got me messed up, i could go on and on. JUST DONT WORK AT SAN MARCOS. you'll regret it."
bad,"You’ll have no life. You wont be able to ever call off in an emergency, and the management makes you stay 5 pr so hours after closing on holidays just to clean. You cant have any of your own style without being yelled at. Was told by management that younger people are stupid and not worth hiring."
bad,Worst management ever! Don't work at the Chinook location. You'll regret it! Management hides in the office most of their shift bossing everyone around.  Too lazy to go up the stairs.  Treat you like garbage!!
bad,"Sadly a typical day at Gap for Help desk is rushing thru calls so that the overall call queue can be lowered. There is no focus on IT support or attempting for first call resolution or even attempting to prevent call back for issues that remain unresolved due to lack of ability to perform basic IT support. The culture here is typical of call center, keep to yourself , dont talk to others and only communicate in IM and emails, the environment is bad as the management is more focus on their social life and interaction then managing the floor. Nearly half the employee that are currently engage dont even take any inbound support calls now a day and the queue that is suppose be maintained is slow fading away as calls grow and grow as the hold times near 10 to 15 minutes per user. Hardest part about this job is listening to the management constantly say  ""Limit your after call time, Grab that Emergency line""  like we dont know the basics of our job already, we just dont have the people to operate within the standard operating procedures but that goes right over their heads as they think 25 people over the course of 24 hours can manage a call center that gets 350 to 500 calls a day. The only enjoyable experience is the co-workers , we strive to survive the stress and  sour environment as we stay aboard the sinking ship."
bad,I was promised a promotion many times and the Gap continued to bring in outside people for me to train for the position i was promised.  Most of the management do not know the jobs they are given
bad,Management is unfair with shifts given to part-timers. They make different people work 3hour shifts only per day and swap out multiple employees so that the company saves money.  They switch around ppl's designated roles while working a shift. They have unrealistic and unfair expectations for how long it takes to clean up/ fold clothes on a certain table/display/department. Managers often are overstressed and have a tendency to speak with clipped tones or a bad attitude when talking to their inferiors. Promotions are given based on favouritism. Those not in the manager's favour are seldom praised on jobs well done and rarely promoted.
bad,"Dont work there if you have bills. They dont give enough hours to pay rent or cable bill! "
bad,not so great of a place to work. lie about payroll so they dont have to give you hours and the employees signup ppl up for Credit cards even if the person says no.
bad,"They will use and abuse you "
bad,Wrk hrs sucks. GM never closes. If you wrk 5 days out of the 5 you are closing 3-4days. Not flexible with hrs and they dont have your best interest. High turnover with staff and management.
bad,"Sad place to work, no professional managers they don't teach you the work they just expect you to know how to already, managers wanna make you do there work by offering you there hours and still hit you with the your only part time worst job in retail they should close all the stores and try again I would recommend macys retail over this trash box job anyday what happened to jobs and managers who really actually cares. Smh corporate should really get involved and not just for Tuesday morning meetings. Motto mention they are very racist can't run a business properly when employees feel like slaves smdh."
bad,They will promise you things that they can’t deliver. They will also racially profile most of the customers coming into the store. Management will also lie to your face.
bad,The management are useless and so is the pay and treated like a piece of rubbish make u work all hours and never any overtime if you do any they tell u it be time owed
bad,never get benefit and other more  i not interesting their the gap store  they give us cut off hours and dont care that why i leaving they never give extra hour to work.
bad,"Working at Gap, I felt under appreciated. It was like any other retail job, however, the management were not proactive about considering the needs of the employees."
bad,The company is not the problem. It's the people that work for the company. They run the store as if it has their name outside not making it a great place to work.
bad,"I worked for Gap store in Downtown Seattle for almost 3 years, I really enjoy working for the company, I had nice supervisors. Until recently got new manager and supervisor who always stress everyone at the store if you didn't get emails, get gap card and meet money goals. We got blame for everything. Enryone has quit at this place because of management. There're better places to work than here. I didn't like the environment anymore, its really stressful and disorganize. I never got lunch and breaks on time. Lack of management, leadership and ethics its missing at this location. "
bad,This place is horrible im talking about gap roofing if osha walked in there it would take about 10 seconds to be shut down if they did it without warning the place is barely held together
bad,"the management team was the worse! The hours were okay, but the job environment was toxic. mangers were super lazy. they Favorited certain people and mistreated some."
bad,"Management is Poor"
bad,It is not a job for adults with responsibilities...the pay is min wage and the hours are the leas than 20 a week. The only perks is you could get a discount but the prices are still.so high.
bad,"You will work your hardest and accomplish so much for the company, in return they will decline your annual pay raise and block any career advancement. I trained 5 leaders that made a lot more then i did and of those 5 all left once fully trained. I applied every time one left and was told i lacked the necessary skill set to lead. After helping the company close 10 stores out of hundreds closed i decided that the time had come to abandon ship. I haven't been happier with a single choice so in my life. Stay away!"
bad,"-immature management"
bad,"Retail is what you expect. Long hours and some tough customers here and there are a given. "
bad,"The gap is an awful place to work. No time for a life or anything. You work long hours for little pay and management treats you like garbage, No one cares about you they only care about themselves cant even use the bathroom without being questioned."
bad,"- άγνοια εκπαίδευσης προσωπικού"
bad,"Don't work if you want to live off wages. ="
bad,"The Gap in Fallen Timbers Ohio is such an incredible toxic environment. People constantly feel targeted and belittled  while working here. The money isn't bad, but the environment is so terrible that it isn't worth the money."
bad,"now, this job is extremely easy, pretty slow-paced (mostly). the problem is how employees are treated. "
bad,"GAP needs to work on not overcrowding their stores with product, as there was not enough room in our store to keep up with the shipments received. Their customer base is rude, and The GAP emboldens them to act in such a way. I would never search for employment there again, not even as a last resort — I’d almost rather be homeless."
bad,GAP does not value it's associates and does not have strong management. It also does NOT foster an environment that allows for customer connections. It is not a place to work if you enjoy talking to customers and building those connections to make them repeat customers and drive sales. This is also not somewhere to work if you want to enjoy coming to work.
