rating,review
bad,The job wasn’t that bad but the pay really sucked. A lot of inexperienced managers and supervisors. Had positions just to say they had a position. Really GHETTO
bad,They treat people like garbage and it’s the good ol boy system where it doesn’t matter what happens right or wrong they back up the supervisors regardless of anything.
bad,When I started this job it was under another company. Once General Dynamic took over it went down hill for me. They got so Hostile I could not work there anymore I had to resign after 6 years just could not take no more Harrassment.
bad,"No onsite management for IT. Other only IT employee does not care about the work. The work is a “Contract” / Project and there is NO sense of job security at all. No help from management which is not located onsite but in Albany, NY. Opinions are not valued and you are left with doing all of the “boots on the ground work” by yourself."
bad,This company does not support their people nor cares about them The salary was low and the level of support from leadership was nonexistent   Think twice before accepting a job here
bad,Under paid.  Phone hours no compensation worked on holidays should have given us some kind of appreciation.. this is all I can say in kind words for now about this company
bad,"Worse place to work in the NOVA area, I would not ask anyone I know to apply to GDIT. I knew after my first week I made a huge mistake by joining GDIT. I stuck it out for 4 months but finally had to throw in the towel, worse place I have ever worked in my 20 plus year in the government industry."
bad,hrs were based on previous cumulative performance. but no flexibility. not taken drive in terrible weather into account. drove in blizzard to get to work. was 5 minutes late and was docked.
bad,Management care nothing about being an agent. They care nothing of personal or emergent actions and care nothing but making themselves look good. If there is something wrong it’s everyone else’s fault no fault of management or corporate.
bad,I was hired by GD and reported to work at Fort Belvoir.  My supervisor never told me they were not going to rebid on my position and that I was only to be working for 2 years.  My supervisor also did not offer me any other positions within GD.  He told me I did a great job and it was nice knowing me.
bad,"After 30 years of service this what GDIT do to people. I could not give a good honest opinion about this company."
bad,"When I started with GDIT, this was a new account for them and new management. They were very unorganized and it took me over 3 months to get my credentials for my computer. The team managers didn't know anymore than the member employees. Also there was a lot of unprofessional people working there and bringing personal things to work causing interruptions almost everyday."
bad,Answer phone calls and helped with Insurnace questions. Management was horrible very un organized. Hardest part was having to deal with out rate customers who were not happy with the insurance plane they chose.
bad,"Horrible place to work for. Bad management."
bad,I was a CSR at General dynamics and it was so stressful and definitely not worth the money. calls were graded and people were so rude and irritating on the phone when you tried to explain to them their insurance got cancelled because THEY didn't pay the premium.
bad,"The company was so unethical, and took many questionable actions toward their employees and customers. Management was hard to reach out to, I personally had about 8 different supervisors and only 2 of them helped in improving my career within the company or make the job easier."
bad,"Despite the low salary, things were good and I was respected... then a new boss came in and screwed everything up... after he fired me senior management realized he was the problem... I already had a new job so I never looked back."
bad,"General Dynamics was not a great place to work.  There were too many restrictions, managers were not helpful, workers were not appreciated and the atmosphere was full of cliques."
bad,This is a very stressful strict job. They monitor all calls and you must make sure that you are following all the guidelines from the beginning of the call to the end.
bad,"This is not the place to work if you want effective leadership, engaging work and fair compensation. Due to poor and misdirected business development the entire local office shut down. The wrong people were placed in positions of responsibility and did little more than call wasteful meetings and set unrealistic goals."
bad,I worked for the first implementation of the Affordable Care Act. It was a nightmare. It was a temp job with no benefits. I was one of their top employees and my manager and his manager told me because of my work ethic that they would hire me as a full-time employee once the temporary job ended. I was laid off and never called back. They treat you like a piece of meat - a number.Just another #.
bad,Everything is robotic and cold. If you had a issue there was nobody in the building to resolve it everything had to be escalated to an office in another state.
bad,"When I was being hired/recruited, was told it was for an IT position, and that the job I was being offered would have me assisting less experienced or knowledgeable agents. When I started working, however, I was doing exactly the same work as the other, lower tier agents, for just a couple dollars more. Also, it was not an actual IT position, but a call center help desk, and we were essentially call routers, only able to assist with the most basic of tasks, like password resets."
bad,This job has to many chiefs and not enough indians. It is very disorganized and need more breaks taking calls back to back. U can't schedule ur breaks or take any time off the phone unless its in ur empower.
bad,i would not recommend this job to anyone. The lack of professionalism is definitely there. You are just a number. As long as you pass the calls you may make it for a while. The old buddy system is what goes there.
bad,The management department is awful. The work environment is awful. The job itself is awful. It's just an awful and miserable place to work. Dealing with rude people on the phone all day.
bad,"This job is absolutely just a paycheck, nothing more, nothing less. The company shows no regard for employees that are understaffed and trained. They expect employees to work hard with no incentive."
bad,I don't recognize this listing as a place that I have worked. The fact that I can not skip this section only frustrates me. This is definitely a section that ruins the site for me.
bad,"They will over work you and will not pay you. Work at your own risk. They micro manage, employees don't get along. They suck entirely. Pitiful company to  work for"
bad,"Terrible company to work for, managers do not get involved with major contracts, and they tend to hire anybody. General Dynamics is a body shop and they tend to hire people without skills."
bad,Working for this company was unless and inorganized efforts to get the career path going for each and every employee wanted to excel in the company couldn't and wouldn't for the efforts was not recognized
bad,"I wont say more than the title. Get a job somewhere, anywhere else. Somewhere where you wont be treated like dirt. Anywhere else in the USA. Dont work for them"
bad,"This is the worst place I have ever worked in my life, I am a loyal employee so I took every advantage to make this place workable and enjoyable but the management staff have no idea what they are doing"
bad,"One of the worst jobs I've ever had in my entire life. Pay is horrible, management has no clue. No direction from anyone ever. You get in more trouble the more you do."
bad,NYCBS truly cares about not only the patients they serve but the employees that work hard to render the best quality care. There is much focus and emphasis on making sure employees succeed in their respective roles.
bad,"low wages, poor management, poor employees attitude. Sweat shop business model. Little to no wage increases, poor break times. Poor HR staff. Poor everything."
bad,nightmare  is not the word its a horrible place  the management is trash  co workers are great and  hours are ok that about it  the pay in minimum  and they dont care about your safety
bad,"From the first time I heard from this company is wasn’t professional. You get an email at 10:30 the night before about setting interview for that morning. Training was a joke, didn’t learn anything. Nesting was joke you feel like you’re doing something wrong by asking questions. The work was terrible. When training told you one thing and than you get on the floor and your supervisor tells to do something else it doesn’t feel like everyone’s on the same page. I wasn’t told doing my application or interview it was a seasonal job. Had to wait a month and a half to receive my first paycheck. And on a Monday they call a meeting to tell everyone I started with we were being let go on Friday. I just found they’re posting on here for more people, keep in mind they posted this the day they let over 50 people go, didn’t matter if you had perfect scores on your calls, or attendance. This is probably ramping but I don’t want anyone else getting let down by this company like I did."
bad,"The company as a call center is very unorganized, poor leadership, chooses the most unqualified people to work for them, dress code non existent and very poor management as a call center."
bad,"Looking for competitive benefits, decent salary/promotion/adjustments? Don't bother here. This company is all about ""returning value to the shareholder"" - translation???  Means, the more the stock price goes up, the more money senior management makes through their executive compensation.  And it is at the expense of the employees who are doing the day to day work of this company."
bad,"This company, or specifically this job does not offer any pay, no work/life balance, no room for growth, no ability to move up, no training, there is no perk of working here."
bad,"I was the wrong color for this job, I am a white female who never got any help from Mgt the black employees get the promotions and get help from the staff."
bad,"General Dynamics Company is a very slow and stagnant place to work with the head quarters in Taunton, MA. This is a very ossified and beaurocratic organization. DO not expect a lot of vertical growth here."
bad,"They hire anyone off the street and the trashier, the better. This job is my biggest regret. I learned absolutely nothing from my Workforce role. No time off, no management on site, trashy employees with no respect for anyone. Racist employees."
bad,Company management was awful . didn't care for employees just calls. Tolerated fights. Disrespectful associates. Treated us like criminals by having a metal detector before we went in . bad attitudes
bad,It was not a good experience. The pay was not fair. The company picked and choose who they wanted. I was over looked for positions even though I have the experience and knowledge to complete the job
bad,"You will never get a raise and General Dynamics.  Training was poor, never kept the agent in the loop.  Advised they know that information was slow coming to the agent and they liked it that way."
bad,"Worked in an old building which was were dirty and dangerous.  Also, some of the other workers were not to be trusted for any reason.  This was not a very good place to work at."
bad,"The worst turnover rate in the world, all they care about is their ghetto company. They want you to do several lines of business when they barely pay you for one."
bad,"Management sucks here is not what you know is who you know. People use this company as a stepping stone to move a different company. You will be asked to do work that does not pertain to your job tittle but how you are a salary employ you have to do what they ask you to as stated on your contract ""as other duties assigned"" so if your supervisor does not want to his or her work they pawn it off on you to do it and you can't refused to do so. Most likely the supervisor is tasking you because they don't know how to do it them self."
bad,"Good ole boys.its ok for them to talk about making moonshine but any else like ,how you being teated is a crime."
bad,"Company couldn't care any less about their employees. Their goal is to have you on a contract, regardless of your skills, and if you are not on a contract then to get you off their books."
bad,"Scripts and info on what/how to do things constantly change making it hard to keep this straight. No advancement what so ever. If you are not taking calls for more than a minute for any reason (going to the bathroom), they act like you are not doing your job."
bad,I answered calls through medicare and marketplace. Reading scripts to callers. It was a lot of information with medicare. much more laid back and easy with Marketplace.
bad,"Treated terrible. Don't have anything else to say but the dept was very cliquish , contractors were treated differently at the Post Office I would never recommend going to General Dynamics via Raleigh Post Office"
bad,did not like this job at all.  I am not it was very wishy washy in the begining of operation at this site.  After a while that was all worked out but the unknown and little nit picky things that you can fail a call for is just to much.  Just wasnt the right fit for me.
bad,"Very stressful place of employment. Shift changes happen every 6 months, and there is no consideration for those that have children or have issues with daycare hours."
bad,One of the worst companies i have ever worked for. Unorganized and there was no form of structured what so ever. They hired felons every having you go through a background check.
bad,"unorganized, many fights, unprofessional, hired people just to fill positions, supervisors didn't know what they were doing would ask call agents, etc."
bad,working for the department of defense is such a treat. working in a call center is an even bigger treat. i think the current leadership leaves a little something to be desired though.
bad,It seems no one 2 people are on the same page. Supervisors are to busy with their own work so therefore they are unable to provide accurate support to their team members.
bad,"to be honest I really did not working for general dynamics. They like to show a lot of favoritizim toward people in the ""clicks"". They also don't like to train people when it comes to learning new things on the job...if you don't know it you won't learn about it"
bad,"General Dynamics is not a good company to work for; All they care about is paying their CEO, CFOs and all those other people who don't want to see you succeed. Such a waste of time; the company and everyone there only care about themselves. They don't consider your experience, education nor skills when determining your pay. GOOD LUCK during hurricane season, no accommodations or PAY!!!!!!"
bad,"There was unfair treatment of this job, when you explain your mental state, it did not matter to the company at all, whether you were depressed, issues with sleeping, or whatever the case, the supervisors did not care.  Also, the supervisors were always in a clique, and several occasion where I heard my supervisor was talking about me."
bad,Schedule was Monday-Friday would take inbound calls from medicare beneficiaries. Everything is scripted so you have to explain everything verbatim. The most stressful thing was if you failed two calls you would be fired. There was absolutely no job security at all.
bad,"Do not recommend this job to anyone, if you don't believe the other negative stuff people have said, go ahead and work there and find out first hand, but don't quit a decent job to go work here"
bad,It was a half a** company to work for. They have no loyalty to employees. You are just a number and thats all you will be. Its not enjoyable and went home crying everynight.
bad,"I was miserable at this job. I loved my job itself, as far as helping the customes. But this place is very inconsistent when it comes to Ethics, Policy and Procedures, Management, and Human Resources. You are required to sometimes work overtime, and never receive pay raises. General Dynamics has a big turnover rate when it comes to keeping employees due unfair practices."
bad,"Promised a $2000 sign-on bonus, and alluded to growth to management positions by recruiter.  After starting work, found out that ""sign-on"" bonus was a longevity bonus (after 6 months), and promotions were vacancy based, only as ""shift leads""."
bad,"This place is located out in Springboro.They had a lot of  favortisim there. They had just called a lot of people back to work, which I didn't know till after I started working there."
bad,I wouldn't work here again unless I had no other choice. They try to teach you too much too fast and you don't really have all the support that you need when heading out on the floor. You kind of feel like you've been thrown to the wolves.
bad,"If i had the chance to not give any stars, I would this place of employment was horrible. They always set expectations that were false provided last minute lay off's with little to no secondary job placement ."
bad,"stressful,  not a good place to work, if you don't make in sale  in the first hour you will be sent home. not enough pay , no vacation, no paid time off not a good environment."
bad,"Company sold to untied technologies I left for higher pay, better benefits and job security, company closed down office two weeks after I left, it was fortunate for me as I did not miss a paycheck made $7,00 more an hour and had a job that was excellent"
bad,Management Doesn’t Care About Your Life Outside Of Work Doesn’t Care That You Have Kids Or A Family Very Inconsidarate Of They Employees Allow Supervisor To get Away With A lot Just Isn’t A Good Place To Work
bad,Don't have to go to the bathroom unless it is your break. You will be penalized. Don't expect your supervisor to know your job or the answers to your questions.
bad,"A job that uses people to get more money from the government for false reasons. No real leadership or goals to be set for employees. The anniston army depot/ General Dynamics location is misleading in their vision that they show when you first start to work for them, but soon realize that there really is no vision or even to use the knowledge and experience of their employees."
bad,its only temporary. its a great job. but very boring. the same thing over and over again. has too much structure. but because of the sensitive information it has to be
bad,very stressful work place phone call after phone calls barely get a break the management was rude sometimes if u had a question about something that you didnt know it was hard to get an answer
bad,Stressful workplace with little care about workers personal lives. Not able to advance in the company as you wish. This job is recommended for a qualified high school student
bad,"Shifts bids available, but hard to get/switch. Very dirty. Stays on the floor and walls and overcrowded. Supervisors are rude. Are not flexible with your schedule. Give you certain amount of hours you can miss and if you miss more you're terminated. Trainers are nice but not the supervisors. old and cranky."
bad,This was a temporary position where it was paid well. But at the end of assignment they made it complicated to receive paycheck. There system that was supposed to make it easy.
bad,worked here for a year and it was the worst job ive ever had. I would not recommend this job to anyone. Daily you worry whether you will have a job. It is a scripted call center yet if you follow script and not what they tell you they will repeatedly fail your calls. The women are half naked dressed and the men are mostly homosexual. Very uncomfortable day to day environment. Stress level at this job is at a 10 or above. I began with a group of 200 worked my way to the top and by the time I left each and everyone that I worked with had left and said it was the worst company they've ever worked for.
bad,"I could not handle this job. Some people are cut out for call center work. If you have a drive to listen to people scream at you with barely any breaks, low hourly wage and low amount of days off. Then good for you."
bad,"The best job I ever had just to short. Loved my job duties and the people I worked with was very friendly. and our location worked great for me as well as the floor I worked on. it was a eight hour a day job and the pay was fantastic. I would return given the opportunity again. my HR person was a unique person and gave me direction as well as assistance. The training was hand on and I adapted to growth and to always give my best for my employer. Most enjoyable part of my job was the people that I work for. they was kind, caring and very professional."
bad,Supervisors are no help and the one's that do help get into trouble for helping trainibg classes are set to pass everyone if you fail its because you dont want a job
bad,This company needs improvement. The company lacks structure and sometimes could be confusing of what the real objective is for the company. It seems like you are just taking pointless calls after call for no reason.
bad,"I worked their for a month and my profile for taking calls was still messed up, they blamed me for their technical calls.  They ran you dry, the managers left me alone in the conference room for an hour when I needed to talk to them."
bad,"terrible place to work no advancements and no raises                        "
bad,I was not satisfied with company due to the fact that I was sent out for traveling jobs out of state with non acceptable pay and long working hours. The management did not appreciate the efforts done and ignored struggles of the daily job.
bad,Poor management practices. Constant threat of being fired. No respect from higher management. No respect from subordinate's. Only place I have worked where they set you up to fail on a daily bases. Benefits and pay do not compensate for the amount of stress and demands placed on the lower management employees. The work itself would be fun if not for the lack of support and failure rate of those appointed to make the job run smoothly.
bad,"I did not like working there because they only cared about whether you came to work to fulfill their needs, only few was friendly. They did not give out any raises no matter how long you were there."
bad,GDIT just herds people in like cattle. Dealing with insurance it would make sense to make sure that everyone is properly trained but manager hardly know what is going on most of the time.
bad,I do not have much to say about GDIT. The company did not provide the pay or benefits that the employee needed. The only reason I stayed as long as I did was because I needed to use the FMLA/Short-Term Disability benefits.
bad,"I went to work for the company because I thought it was a reputable company to work for. I was not told from the beginning what the job really truly entailed. Customer Service Representative only receive 2 weeks of training, Not to mention the 2nd week we had to take ATO without pay because of something they said about the security clearances not going thru. They said we would get 3 weeks of training in the beginning. The training was awful and the trainer did not know what they were doing. The staff was sloppily dressed jeans and t-shirts not professional at all. The pay was 11.63 an hour and got a generous penny raise before I quit. Management never came around much, even though the people who worked there was nice but you could tell it was far from a great job. The time limits they put on the calls were ridiculous, 5-6 minutes tops. The only enjoyable part of the job was at quitting time."
bad,sorry to say this was a terrible company to work for.  Answered questions of callers concerning their own passport application.  Used a scripted based system to answer the questions.  Limited in the information to provide the public by the Department of state.  Fielded question for other CSR seeking information to advise callers.
