rating,review
bad,"L’ambiance est horrible dans tous les services, on sent un mal être général et du coup les gens sont agressifs , je n’avais qu’une envie le matin en arrivant  c’était de repartir, de m’enfuir en courant."
bad,"Poor management and work environment. Vindictive security director that didn't know what security is all about, but would ask staff to do stuff that have not been thoroughly planned out!"
bad,"ilead is fast paced and busy workplace, everyone is expected to work hard and work lean. The first 3 years that i was there I was moved to 3 different bosses, 3 reorganization and 1 layoff. It's consistently changing and you need to be able to keep up. It gets really stressful when FDA is there which is true for other company that goes to the same process. As far as my department is concern, I like that even the lower level person can speak with higher management and they listen as they are open to ideas. You learn a lot and you can advance if you are eager and willing to follow the company culture, can play politics and go above and beyond your role, there is no balance in your work/life. When I wake up I find email sent late at night, way early in the morning, weekends and sometimes text messages even while on vacation asking me about work which can be communicated in work hours or when I get back, sometimes be given task with very little time to work on or late in the afternoon expected to be done on that day given no option but to stay late, when again this can wait until the next work day. If you are ready for this kind of work process then this place is for you."
bad,"The most discouraging place I ever worked, A company chock full of individuals that are not collaborating, and encourage a trickle down system of information."
bad,I have applied numerous times for positions within Gilead never to receive even a phone interview. I suspect discrimination.
bad,"Be prepared to be a yes person. If you do not agree with them, they will throw you under the bus at first chance to make themselves look good. I don't believe in making yourself look good by making someone else look lousy contractor or FTE. Your work will speak for itself. Quid Pro Quo is the key  (contractor) pays for a manager to fly to an event in India all expenses paid by the contractor which is still at present, working at Gilead working on the same projects and very close with the said manager (Hiking, hanging out, etc.). Then you have family working in the same department, maybe not with the same ""manager"" but under the same department umbrella. From what I understand, Gilead just revamped their compliance department. HR may want to take a look at this as it does upset the work environment, which puts a damper on the department. Employees are not able to be themselves or vent with one another for fear of relative, letting the other know who works for an executive in the same department; therefore, they could lose their job.  We are required to take a course from day one speaking about receiving gifts from both internal and external parties (including contractors) does this only apply to individual employees and contractors?  As for inclusiveness, it is a joke; it is all for show if you don't believe me pull the data on ethnicity, and you will see what for yourself. Managers do not work with you to help you achieve your goals to advance up the ladder, as stated in your one on one reviews. I can't say to work for them or not. But, if you have integrity, you may want to"
bad,"Engagé comme Responsable Transparence au sein du service juridique, j'ai été accueilli d'une manière déplorable par l'ensemble du service dont la manager. "
bad,"This company hires sales managers with no experience.  Some of them don’t even last a year or two.  Goals are unattainable "
bad,Good compensation and benefits but horrible culture and management. They don't care about the well-being of the employees. Nothing matters except that the work gets done - and fast. No flexible working or working from home policy. Very stressful place. Lots of burnout.
bad,"a bunch of bullies, liars, cheaters, thieves.  Very poor quality of people work here from the top to the bottom.  The mgmt is not willing to listen to employees. Do not support their staff."
bad,"The pay is decent here, however, there is a reason most people know someone who worked there. The culture is cut throat, hostile, and resistant to any change. The company has grown significantly over the last few years, but still operates as a small company, with little of the necessary technical infrastructure and minimal cross-departmental cooperation. "
bad,"The managers don't do anything so they expect the entry level workers to work 14-18 hour shifts, money is good but they abuse your hours forsure. Very overwhelming place to work."
bad,Gilead is run by the old timers and it has an horrible reputation and culture. They like to manage by fear and fire people as quickly as they hire them. Thank God the CEO changed recently and will hopefully change the culture by starting to remove the old timers who have no business running a billion dollar business.
bad,"- CYA culture and other atrocious behaviors by Senior and Executive Gilead IT personnel."
bad,Hostile negative workplace. For a company that does so much good it was difficult to reconcile the number of angry bitter employee's I encountered. That's usually a sign of poor leadership.
bad,"Bad Culture, not much support from management. "
bad,"No work life balance.  In my area management is not focused on Quality, just the ability to finish assigned task without looking to see if it is a quality product.  No customer focused, but focused on their checklist"
bad,"This was the best paid job I have had, but the worst working conditions I have ever experienced."
bad,"I would not recommend this place to anyone. Borderline abusive work culture. No room to grow. "
bad,"Gilead is run like a POW camp with leaders who have no respect for the rank and file. Unreasonable demands to cut corners and sharp, abusive treatment is in store for those who question management's orders."
bad,"I would not recommend working there. I found that my work environment was very toxic.  My direct manager would have happy hour in his office daily.  If you did not drink alcohol, you were not part of the 'circle of trust'."
bad,"The first week I worked at Gilead, one of the senior leadership team members, who was on stage at an all-employee event, described working at Gilead as being like climbing Mount Everest without an oxygen mask.  "
bad,"Gilead is an excellent place to make good money and feel good about your product - helping patients with life-threatening illnesses. However, all else (the culture) is toxic beyond what I can explain in the number of characters allotted here. Go in with eyes wide open and have an exit strategy in place from day 1. Don't plan to stay longer than 1-2 years."
bad,Management can never seem to get consensus and consistently changes directions.  They can never stick to the same decision.  With regards to systems people new consistently re-invent the wheel and projects that have been progressing changes again.  This often creates double the work with shorten timelines.
bad,I cannot recommend this company based on its culture and management team.
bad,"Full of politics, nepotism and back stabbing. They talk about culture and all but in reality nothing is followed. One cannot survive unless you have a godfather or godmother or play along with the management. You will have to be a part of a particular ""group"" to be successful. The top leadership is absolutely worthless and quality of people hired and promoted are below par. Hard work is never recognized or rewarded. Good people are leaving and more will follow unless they cleanse the top management."
bad,"+ Good salary and benefits"
bad,"Gilead Sciences does not encourage career mobility, if you stay in one division, you have little chance to move to other division, no matter you are good or not, no matter your skills fit in other division or not."
bad,"Gilead is a great company with great products. It is easy to be proud of what I do here. The working environment, however, is lacking. The pace is relentless. I check email first thing when I wake up and throughout the evening when I get home. My boss often emails me at 10-11 pm at night. There are so many meetings during the day that sometimes you have to work in the evening just to get things done. When problems arise, I do not feel I have the support of my management. I agree with the review that it is a toxic environment. I have been here 3 years and will not be here much longer."
bad,"GSI has a very noble objective; but worst management; "
bad,"Facilities were very old, process equipment was not up to date in terms of functionality or technology."
bad,Culture promotes competition among internal groups. There is lot of internal politics. Management favoritism is common. They prefer hiring externally than promoting employees. They treat their vendors as servants and ridicule them publicly.
bad,"I took this role as an inbetween with not much desire to stay on long term just because of my unique individual set up, but I learned a lot in the role while I was there.  Management was just less than ideal."
bad,"Very dog eat dog. Little to no mentorship is provided or encouraged.  Management has no time for you and pushes any items you may have off on your contract company when they should work with you to be aware of in depth project status."
bad,"Easy to get in and very easy to get fired. Management are not following the cGMP requirements and expecting you to follow it."
bad,"They just don't get it in terms of searching outside of company for fresh talent/skills.  NEPOTISM all the time, all they way!"
bad,Especially those with high skill sets such as myself. They are not going to hire me full time. So what is the use of wasting time on them.  They have long hours and it is a get it done yesterday type of culture.
bad,Contractors get used to do work most of the permanent associates don't want to do. Management doesn't step in to make sure work is balanced or contractors are treated professionally.
bad,Like working with some of the guys but management is cut throat and if your not on there team your job is on the line.  You start off at a certain rate and expect to stay there.
bad,"The company fosters managing up and squishing the workers.  Great products and scientists, but the management is terrible.  If you are not in the right clique, you are toast.  The work/life balance is not good as you are expected to be on 24hr call."
bad,"Very clicky environment, although each dept. and “team” has to work symbiotically with each other a clear line is drawn between departments and worse in the manager/employee dynamic."
bad,"The pay at this company is high but the requirement demanded of the number of hours is unacceptable. They expect you to be available on the phone for 24 hours and to show up whenever they need you to. The management system is terrible as well since they ""play politics"" with each other, and by that I mean that they favor people in a higher position above them. Yet, with regular co-workers, they are treated as if they have not been working alongside them for as long as they can remember. In this company, what they hire you for is what they need you for. No other knowledge is obtained from working at this company. Overall, the working environment is stressful and if you are looking for a friendly, peaceful, and optimistic workplace, this is not the company for you. However, if earning money is the goal, then go for it."
bad,"no mistakes,work like a robot"
bad,Depending on the division your in makes a difference in the job culture you are subjected to.  IHD is the red headed step child of the organization and is treated poorly.  Minimal support for Managed Care Contracting.
bad,"The company is stable with excellent products. Good benefits and  "
bad,"If you are a golden child you will climb quick and love working here- the good ole boys club is alive and well. However, if you aren't it will be like cycling through mud while towing a yack."
bad,"It's been six yrs since I worked there, however at the time the facilities department had the highest turnover rate than any other group.  I understand there has been a house cleaning since then."
bad,Employees watch each other. Will try to undermine each other. Do not feel managers are up to par for the job. Enjoyed some interactions but as a whole the experience was not very pleasant.
bad,"total lack of management. no communication. no roles and responsibilities. in a continuous improvement world, they rule with fear, and will not accept free thinkers. great place for a robot to work."
bad,The people and policies reflect a culture that is toxic to professionals. Asking questions is prohibited and career advancement is at the expense of personal dignity
bad,"Stable work environment, but the job scope diversity is not good. If you stay at Gilead for years, you will be adept at a scoped skill which only translates to working for another large pharma corporation. Moving to a smaller company, you may find that the narrow scope of skills learned at Gilead will have you ill prepared for working in an environment requiring a diversity of skills."
bad,"I have to assume it is because of the growth of the company that the Gilead has become disassociated with its employees and no longer takes care of them like they used too.  The culture has changed and many good people , with much experience, have left the company because of this.. management has also been up and down, in my many years of working at Gilead I have experienced very bad management who focuses more on your whereabouts than your work ethics and production.  It is truly sad to see what Gilead has become at least in my department, Gilead is a very big company.   So many people would excel in this company if they focused on merit rather than micromanaging other aspects of life not related to work."
bad,"All work, all the time. Ridiculous goals. No support resources to accomplish any of this. If you leave work at 7 at night and get back in at 5 the next morning, but didn't check your email while you were gone, be prepared to be berated because some VP needed some metric in the middle of the night (literally) and you didn't get it to him fast enough."
bad,Not a place to go to develop in a role. You are on your own. There is a very negative company culture that applauds over working until the point of burn out.
bad,"Gilead is so fast paced they are always chasing their tail. They are so lean to the point where it is hurting the business and the people keeping it afloat. At that point I say it is no longer lean but rather anorexic. Gilead will need to start investing inward if they want to turn the corner and become a more stable and well-balanced company. Until then there will continue to be burnout, high turnover, and complacency with ""good enough""."
bad,"Ok to work there if you just mind your own business.  But if you don't have a good manager on your side, you're going to be working your butt off for nothing."
