rating,review
bad,"miss this place wished they didn't relocated out of state. Alot of people lost their jobs, but they did a good job to make sure everyone was taken care of during the transition"
bad,"The company had promise when I first started there a year ago, but since then, they have expanded and become more corporate.  They have taken to applying policies and procedures that are common among all call centers.  They do not care if you leave, the company has become transient and overly strict.  If you like being treated like a child, than this is the job for you."
bad,"-Initiating broad based business opportunities."
bad,Challenging and fun work environment.  Company has constant opportunities for employees and has a wonderful giving and volutnteering program world wide.
bad,"This company gets rid of good long time employees to save money. "
bad,The days are very long and boring. The management in the building very bad. My co-workers are very nice to work with. The hardest part of the job is keeping you cool when the merchants are yelling and talking down to you. The management in the building do not take care of their employees. The benefits are not very good.
bad,"Many mergers later, the whole apple cart is turned over, they’re shifting operations and dropping their long time workers for multiyear contractors. Pay is low. You have to make demands for what you want and be prepared to be sent home packing if you don’t get it."
bad,"A typical day consist of work, work, and more work. I loved to stay busy."
bad,"They do not value their employees, managers show explicitly nepotism. No motivation to work and they do not accommodate scheduling. They give you really bad hours making it impossible to have a life outsi"
bad,"A empresa esta na mão de gestores muito ruins e corporativista, não sabem gestionar pessoas, tudo é terceirizado os funcionários internos não tem qualquer autonomia sobre o trabalho esta tudo na alçada de terceiros isso faz com que o quadro de funcionários e o crescimento da empresa fique reduzida a 0. Não há quase força de vendas e a empresa no geral não obtem lucro, não aconselho trabalhar lá."
bad,"Here I was, a high level IP NOC engineer, with years of experience in networking protocols, troubleshooting, etc."
bad,"Assisting merchants on the phone to resolve terminal problems (Troubleshooting and maintaining) and escalating to various departments if need be. Advising merchants on other available services and products relevant to their business."
bad,"Elaborei o projeto e avisei com antecedência sobre os riscos de falência em função do ponto de equilíbrio alto com despesas desnecessárias, mas não houve ação e nem foi dada a atenção básica exigida para esta situação."
good,They have their own daycare. They also have their own Cafe. They also have their own workout facility.Full outdoor basketball court. With all those perks one would stay for long time.
good,I felt that management was inconsistent and there was favoritism shown. I felt like I was under pressure to perform a certain way otherwise it would be reflected in my overall performance.
good,doesn't give time to grow and learn in the role.  no work life balance. expectations are not attainable.  Management not flexible in terms of working with you.
good,"Good people to work with, but wanted short-term results in an Industry that requires a long-term sale approach and industry presence."
good,Lack of leadership engagement creates lack of trust from employees.  Employees tend to feel overwhelmed and under appreciated while being underpaid.  Managers should be required to partake in yearly retraining
good,Work live balance is missing. Management communications is lacking when it exits at all. Due to lack of communication company strategy and direction is at times unclear to the regular employee.
good,"The corporate atmosphere is one of, if you want to succeed don't ask questions."
good,"Not a horrible company,monthly goals are easily obtained,very self serving company hard to switch schedules at necessary times sometimes,management likes to make things up on the fly and make the job more challenging than necessary. The advancement and job security is hard to obtain when necessary skills do not relate to your department."
good,Taking inbound and outbound calls to assist the merchants. Skiptracing for customers .Pulling credit reports  helping to change the  way of spending on multi-million dollar accounts. Talking with the owners and closing deals achieving above 100% quota.Selling products to merchants and  getting referrals as well. managing  your accounts and closing deals in a timely manner. The  enjoyable part is staying competitive and able to get the sale.You can also get your on leads and do outside sales.upgrade old equipment.
good,"The company is very interested in culture and the community, the industry is ever changing so you learn something new everyday.  Collaboration in my individual team is fantastic."
good,Most people are doing multiple jobs. The company runs very lean which puts a lot of stress on employees. Promotions don't come often unless you kiss up to the bosses
good,"People are good, compensation isn't.  co workers are the best part.  management is ok but limited.  not a stable job environment."
good,"I work graveyard shift for their call center. We service customers who participate in the check-cashing program provided by many casinos across the country. We will go over their check-cashing limits and available limits remaining; sometimes we try to resolve issues with cash advance errors either as a result of a system error on the machine or customer-user error not knowing the cash advance procedure. Potential fraudulent activity is always present so certain security measures are in place to verify customers. There are also times when kiosk machines we own go down and we are the first level of technical support to see if the problem can be resolved or if it needs to be escalated to our on-call technician. There is a shift-differential paid to third shift employee which is why I prefer third shift. I also work a second full time job during the day so the third-shift schedule works for me. Benefits are decent with health, dental and vision. Insurance and 401K is also available as an option. Tuition reimbursement is also available for field-related studies."
good,Global Payments is a fast moving environment with ever changing objectives. The employees are what makes this company run. They are a staff lean company.
good,A lot of employees benefit but no job security and very good working environment. Everything is spread out and it is very to hard find departments. So many departments.
good,"A wonderful place to work, friendly staff, frequent social events, there's always something fun going on around the office. Directors are always friendly, approachable and easy to communicate with. Great location, easy to get to via public transport, limited car parking, and a short walk away from various restaurants and snack bars. "
good,"Global Payments is fun place to work, staffs are friendly, but compensation and promotion is poor."
good,"Typical call center environment. Management, particularly my supervisor was not very pleasant or professional. He always seemed to have personal issues that he brought to work. Had an opportunity to train on other aspects of the job. After discussion among co-workers, found out that employees of a specific race, with no experience were paid more than other employees of another race...if you get what I am saying."
good,"Processing collections and risk account transactions and electronic funds, and submit wire. Processing and submitting ODE's debiting or crediting merchant reserves"
