rating,review
bad,"Bad management,,,,  no leadership .... no guidance ... impossible expectations. They expect a person to read the mind of the manager ... the manager needed to clone himself and do the job himself."
bad,Its fun to work there but remember you will lose the sense of your belongings outside of google. No work life balance.  Over all not recommended with people with family.
bad,"I do not work for Google, I work for Allied Universal. Google is Allied's client. Google chose security companies that they want to work in their building. Allied Universal was selected by Google. Allied Universal hires the security officers to work in the Google building."
bad,"The conditions were not safe management was a joke.  OSHA was call and they cut our hrs, and trying to get relocated for more hours they refused to even try to work with us"
bad,"Management at Google has very low regard for anyone who comes in as a contractor. Very low percentages of people will get converted into a direct position, regardless of the quality of your work. "
bad,"Hated working here. "
bad,"Dangles conversion promises in front of you to work you to the bone. Never follows through with conversion promise. A revolving door for temps, vendors and contractors."
bad,"It is amazing to me that a multi billion dollar company has zero control over its employees. They are rude, and act like they can treat consumers how ever they want - which is usually like a arrogant immature employee - or a hacker that could care less about others because they have never interacted with others in society - because they are so consumer with being on a computer, hacking, or playing video games. AKA no personality, no class, no soul. This is the world online and tech has grown. I cant imagine what will happen to the world in the years to come - when every employee that works at a tech company can treat consumers without respect."
bad,"Complete and utter bias, toxic, I would avoid, pays little, works you 60 hours a week with constant corporate propaganda. No respect for the individual, all about teh agenda."
bad,"don't care about the employees, only their numbers of reaching goals and what not. wouldn't recommend anyone to join google if you guys are interested."
bad,Workload wasn't that much but was pushed on the shoulders of few coworkers and the others sat around and did nothing. All the work and ideas that were given were credited to the wrong people.
bad,"Work anywhere but Google;"
bad,"There is no work life balance. The benefits were good, free food and insurance. They have shuttle buses and free  food. Managers show favoritism and co workers gossip and backstab"
bad,By far the worst company i ever worked for. I was employed through a sub contractor who just one night packed up and left state with all the money. They left 15 employees stranded in texas with no money no way home and without any reason.
bad,"Working in Same Day Delivery/Google Express was a nightmare. Employees and Managers were too rowdy, Too much independent work for 1 person, Not enough lunch breaks & the payroll will cut weekly pay most of the time."
bad,"Adecco doesn't look out for their employees. They don't treat their employees good. They don't care if you do a good job, but if you make one mistake they give you a warning."
bad,"Managers have full reign to steer you in one direction, then turn around and criticize you when they change course. Co-workers are competitive and cut throat and will also try to manipulate situations.  HR does not help you.  Managers are able to tell their employees to threaten their staff and HR and Senior managers do nothing. The company hires under work permits so they don't have to pay double tax. This means you're not entitled to unemployment and cobra health care.  Google is the new Microsoft and the technology is dead."
bad,Took a huge pay cut throughout company which made a lot of people leave the team. Call center was the worse. They would be from other states in the country so they wouldn't understand the traffic patterns around this area and would get frustrated with the couriers when we wouldn't get to certain places at certain times.
bad,A job I started working straight out of college. The job may be terminated. A great learning experience and fun atmosphere.
bad,Dont bother. they fire and raise people all the time and you will waste your time. Goolge tells them what to do and they have no control over anything.
bad,"It was a job, that is really all it was.  Low pay, next to no benefits."
bad,This could be a good job but the company is too busy chasing the contract
bad,Working for the manager was a little hit and miss I was called twice to hand put leaflets but never received payment the second time. I could hand out the leaflets in my own time but the pay was very poor
