rating,review
bad,Very un-professional place to work for.  Training was a joke and trying to find something in a SOP was a serious problem.  They were not updated correctly and old information was it them
bad,"Granite Construction was a very stressful work environment, unqualified HR rep.  I do not recommend it to anyone. Not a good work culture. sometimes unfair."
bad,"Granite is a terrible company to work for in the Bakersfield area. They have very poor management who lack needed job skills. The pay is far too low for what they ask of their employees. The turnover rate is through the roof and they do not care about individuals. It is a cut throat company, and everyone I know who has worked there and moved on agrees."
bad,"lays to many good employees off, they have their own groups of guys that they keep busy. Most apprentices don't stay busy after they become journeyman status."
bad,busy work schedule and long hours when there is work. Company is local which good for the local economy. Mostly residential not much infrastructure.
bad,while working there i was promised certifications on different things but was never certified.
bad,Trying to oversee a construction project that is behind schedule is difficult.  Limited resources in the area and working remotely has its challenges too.
bad,Good old boys network with poor upper management. Voted most ethical company this year must have payed somebody for that award. The hours you work based on your salary have you making minimum wage. Wouldn’t recommend this company to my worst enemy.
bad,"Granite preaches worklife balance but they load you down with so much work they make it impossible to have a life or hobbies. Personalities were tough and the safety culture wasn't one that incentivised employees to get involved, only do enough to not get fired."
bad,The all in all in picture was a learning curve to sharpen my skills. The job was only to take a year but we were done with most of it fairly quickly. At the end of the job there was no promise or garuntee for more work.  There is alot of talk about saftey but alot of corners got cut. Honestly I feel chewed up and spit out.
bad,"Change is slow and the culture makes it hard to get anything meaningful accomplished. Business units are disjointed.   There are many good people there, but overall the culture is negative."
bad,"they will want you to give your whole life to the company then complain because you didn't give enough. They do not care about your safety they will make you work a 12 shift then drive for 4 hrs and still work a minimum 10 hr day the next day. "
bad,okay  company to work for poor management in some areas that cause the job to get delayed and behind schedule. Management do not listen to employees opinions.
bad,they don't really communicate or give you any type of training. I'm here for one year or so that's what i was told but never know might not have a job the following week.
bad,"The people on the ground are great to work with, however the local management and corporate personnel have their own agendas. The good ole boy network is in full force and if you do not toe the line your out. Favoritism is rampant and the work-life balance is almost non-existent unless you are middle management or above."
bad,Great place to work if you're in management.  You'll have the respect of the crew and foreman but management will look down on you like they're better than you everybody is equal there but some are more equal than others.
bad,"Enjoyable part of the job was working with the locations out in the field."
bad,"I went to Granite from a very family oriented place. Where everyone cared about everyone. Granite management and non union employees are so incredibly self centered, to each is own, where everyone is replaceable. If managment makes an error where their superiors are questioning them, theyll be quit to pass the buck. Speak up, listen up...I spoke up, you listened, but then when it was time for them to get my back, they threw me to the wolves. I worked there for several years, obtained several positive evaluations, never a complaint from anyone, but was laid off because, I was ""the wrong person for the position"". This happening not even a week after yet, another positive eval. With all that said, benifits and pay were great, the main reason I stayed as long as I did. Corporate, and the man with the amazing mustache seem to be great people as well. If you want to give them a go, watch your back because no one else will. Just smile and nod, do your job and go home."
bad,"Granite  was a great company to work for when I started out. Good people,management, benefits and room for advancement. For the last 3 years it has been very very different. Good people were replaced with corporate goons.....many did not know the job they were doing. Benefits have went down hill. There is no job security let alone advancement. Management seems to do the exact opposite of what they should do. Many jobs lose a lot of money due to lack of detail. Job culture is ok because there is still some good people there. I have hope they may change back to a good company to work for. Let just say for now there has been many good people that worked for granite."
