rating,review
good,"- The people you work with are very kind and easy"
good,One of my all time favorite places to work. Very fun and team like work place. Very family oriented. No Drama and that is very important to me. I felt like I was working with friends and family so it didn’t feel like a job yet the compensation was more than I expected
good,"Great experience, professional atmosphere, set up the front desk area,"
good,This company gives their clients the best available tax knowledge and requires continuous training to remain certified as a tax professional to give the clients their return for their fees.
good,great place to work if you really enjoy numbers and working on computers. Hardest part of the job is remembering all the forms used to prepare taxes. also very flexible with your hours if needed
good,This team is a great stepping stone in providing tax professionals that assist individuals and businesses are educated in getting the right paths to receive return.
good,HR Block is a good company that trained you and guided you step by step; there are a lot of coworkers to help you out. Even you are a beginner; they are very patient and kind.
good,"Se aprende mucho sobre las leyes de impuestos, se interactua con los clientes y el ambiente dentro de la oficina es agradable."
good,"i learned a lot in the work place how to speak to costumers , how to be clam when it was really busy. the hardest part for me in then job was picking up calls and calling the costumers when they had appointment because i was really shy. overall i really did enjoy the jobb."
good,H&R block is a great company to work for you get to put what hours you can work. And if  you don't know the answer to a question the works are there to help you out they are a good team. You are not along this company your are a team.
good,The most enjoyable part of my job was helping people with their taxes. Finding them the most refund according to the laws and regulations. he refund they are entitled to get & lowering their taxable income by making them aware of the expenses they can add according their line of work.
good,Working for H&R Block you get to meet people from your community and help them with their taxes. Some people will get mad if they have to owe but there are a lot more people that are happy and thank you for doing their taxes. It leaves you feeling good when they leave happy.
good,This is a great place wish I would have stayed. They will work with your needs for time off. They will let you do your job as you see the need to do. They give you the freedom to get things done.
good,I prepare income tax for individual and small business during tax season.  I love helping and connecting with clients.  I like to learn new tax law and enjoy working with people.
good,"Excellent place to work , great team work experience, interaction with clients engaging and stimulating working with tax pros the same. Environment satisfying and comfortable."
good,I was a receptionist! I enjoyed it and the managers work with your schedule and anything you have planned. I do like the bonus of getting your taxes done free for working there!
good,I work at a franchise of H&R Block.  The manager and owner of the franchise are amazing.  They are always ready to lend a helping hand if someone is struggling to understand something.
good,"This was an amazing job, the company culture was great and encouraged the growth of its employees. I just wish the hours were more consistent outside of tax season."
good,Will return during the tax season and looking forward to helping taxpayers and giving them the best tax advantages and benefits.Will tell friends and family to work there as well.
