rating,review
good,HCA as a company is an over all caring and wonderful company to work with. I worked at several HCA hospitals and would gladly go back to one. The workplace culture at each facility was somewhat different at each one but overall is one of caring and wanting to do the right thing for the patient and the staff.
bad,The employer cheated breaks. Management did not care about unsafe work loud. The HCA well l known to terminate older employee. HCA management is very poorly manage they don't respect employees and treat them very bad it makes it clear the there just go to work for a paycheck I had a very bad experiences working there Good Sam. Knowledge is not valued in  the company. Just go . to work and keep quiet sense of atmosphere.
bad,Poor advancement opportunity. Hire outside rather than promoting from within. Poor pay. Poor management. No education to help gain knowledge to advance I  company.
bad,This is a for profit hospital and it showsl you never have supplies and other things you need to take care of your patients. The statf is rude and not helpful.
bad,"If you like cliques and being treated as if you are nothing then this is the place for you.  Lure you in with fake profession of being all about the Christian faith, God first, Family Second and Work third.  That's not the case whatsoever unless you are at the top of their food chain"
bad,its been a while since i was there but they dont care about you at all. lack of care for patients as well i enjoyee my co workers mostly and they patients.
bad,"Stressful, disorganized  and unsafe work environment .  They have absolutely no value to the safety of the staff .  Poor organization.  Major turn over."
bad,Struggle to make the management hear your day to day challenges. The leaders fail to demonstrate that they care to their employees. No Life and Work Balance exist!
bad,"Typical understaffed, overworked. No one cares about anything because they gave up a long time ago. You're not aloud to bring up problems or suggest improvements because that would mean there is a problem, and they don't acknowledge problems. I've seen the most determined, motivated people come in and soon enough, they look like a zombie."
bad,"Working for HCA is fine till they inform you, That you don't meet productions standards, You would think your fired! They promote you to fire those that do meet standards, but complained about lack of communication from management."
bad,"Expect long days, early mornings and lots of evening and weekend engagements. Do not expect any thank you's, accolades or encouragement. Be ready for unrealistic goals and high expectations. Be MORE than okay with an incentive bonus that sounds great on paper but NO ONE EVER HITS IT! You must love reporting to multiple people with little to no management skills. Feel free to request help, but do not anticipate being backed by anyone since this would be in opposition to their upward mobility and butt kissing. If you LOVE politics, i.e. 26 year olds with no work experience, newly minted Master's degrees and rich parents getting highly overpaid executive positions in lieu of experienced, tenured, mature and experienced co-workers than you will LOVE this place. Oh and let me rave on the benefits...2 weeks is it! Earn those PTO and don't expect a vacation for a minimum of a year."
bad,I would not reccomend working for this company. A lot of people have been layed off or leaving. Organization is not able to keep up with the changes. Unorganzied and dysfunctioal.
bad,"Unfortunately, the mission statement ""great place for employees to work"" is false.  ""A great place for physicians to practice medicine"" may be true, but making ""a great place for patient's to receive care"" is contradicting."
bad,It's a terrible place to work there you will not get any raise and you will barely get vacation. Plus they do not care about your employee health.....
bad,"Like a factory, not for everyone,if you like same thing, day in day out with no challenge,Boring,Unhealthy, uncreative, rigid, unrewarding place to work."
bad,"The culture in this company was very unwelcoming for a new nurse. They were constantly bashful, negative, and unfriendly. It made me very afraid of my future as a nurse and questioned my degree due this negative environment. There was no management, nurses were expected to take more than 6 patients at a time and even the charge nurse had 8 patients at a time, it was really a chaos and very unsafe for patient care."
bad,"Absolutely worst management and administration, its a wonder the place is still open. They hire underqualified directors that have absolutely no education to oversee educated doctors and nurses. HIPPA violations and infection control issues at nauseum. Directors publicly insult staff in the presence of peers and patients. Directors have no knowledge of HIPPA regulation or JACO regulations. They are only worried about image, not if patients are being cared for properly. Directors actually tell their nurses if they don't play by their rules they will go after your license. The only nurses that stay working there are the ignorant bottom feeders that no one else wants."
bad,HCA is the absolute worst employer for any social service positions. Pay is ridiculously low and not competitive with other companies. They do not value employees. No room for professional growth. They do not have any concern for your health or personal wellbeing.
bad,"I choose to not write a review as every employee has a very different experience , some days were harder than others some days you had over 20 patients others you had 7"
good,HCA as a company is an over all caring and wonderful company to work with. I worked at several HCA hospitals and would gladly go back to one. The workplace culture at each facility was somewhat different at each one but overall is one of caring and wanting to do the right thing for the patient and the staff.
bad,HCA Healthcare was a great experience for me. I appreciate them giving me the opportunity to work for their company. My coworkers and Doctors were amazing and very professional.
bad,"Only the popular people excelled in HCA Corp business office. The culture was one of 'Mean Girls"" and upper management let them continue down this path."
bad,"Typical day at work - no structure, nobody knows what to do"
bad,The  company had a very high turnover w/ managers and employees. there wasn't room for growth in my tenure there and the only way I could advance was to resign and work for another company.
bad,"EFD  Recruiters live in fear of losing their jobs. No work life balance. Constant calls, texts and IM with threats from Director and Mostly Manager. Which current manager was removed from st. Lucie and Mercy hospital location for the same reason. And still is employed. The constant calls are finding ways why you did this wrong or why you did that wrong. No work life balance and you must meet your number because your job is threatened. Your never praised for the good job, People are medications because of the level of anxiety there is. We have lost few really great seasoned recruiters because of these punitive ways. Most probably lose some more if they are no stopped. So don't work here unless you want to make your self sick."
bad,Terrible place to work.  Manager poorly trained and plays favorites.  Her best friend works for her.  The doctors yell at the patients and throw their RX bottles in the trash.
bad,management was not very nice nor helpful when we needed help. the company overall was an okay company to work for. I will recommend it to others who need a job.
bad,"The hospital closing down soon so there isn’t many cases booked here . Very poor management, half the staff left because of the manger / superviser. Over worked because there isn’t enough people that work there . I was here for 2 years and I saw people come and go . "
bad,"worst management. worst co-workers. never worked with more manipulative, back stabbing, gossiping co-workers. made the job unbearable on a daily basis. good bye."
bad,"HCA is a company that only cares about the bottom line. Management plays favorites as does HR.  They put people in charge that are vindictive and can't seam to take care of their own personal life. They take their miserable attitude out on their employees."
bad,"Poor management , poor wages. High turnover rates. Very few opportunities for career advancement. The pay is not competitive compared to other hospitals."
bad,"When you see the list of tasks and responsibilities assigned to the job, you can quickly see how it would be a full-time, 365 days per year Poor salary"
bad,I felt over worked and under appreciated. The management structure never focused on the day to day needs of the work force. The corporate structure doesn't represent cultural diversity.
bad,"A typical day at work would consist of gossiping more then production,  Favortism over performance, when you do not fit in the click then you are in constant fear of losing your job.  It is the equal to a high school bullying situation. These are suppose to be professional, working in a field that is to help people."
bad,They had unrealistic goals for their employees. Management bullied their employees and over worked them. There contract with the insurance companies were never update. Ceo was an egomaniac.
bad,Very poor company to work for. Would not recommend this company to anyone. They do not care about employees that work for them.  The pay is less than the normal.
bad,"Conditions were awful.  Staff was cold, hostile, aggressive and management couldn't be bothered to intervene in a professional manner.  "
bad,"Everything I have ever heard about HCA is true. They're all about the money. The radiology department is a club house and if you aren't in then you aren't going anywhere. It's not about hard work, diligence, or even common sense, it's a popularity contest. They don't give raises and they don't increase benefits. All for them and none for you. I wish I had never come to work here."
good,HCA as a company is an over all caring and wonderful company to work with. I worked at several HCA hospitals and would gladly go back to one. The workplace culture at each facility was somewhat different at each one but overall is one of caring and wanting to do the right thing for the patient and the staff.
bad,"the hardest part of the job was the lead nurse, hostile and power trip  Learned about children's triage.  director was excellent.  most enjoyable part of the job was triage,"
bad,"It was alarming at first regarding the high turnover.  Employees would go to lunch and wouldn't return.  The amount of work that was expected to be put out was unbelievable, there was so much work you wouldn't have time to go to the rest room. And very under paid."
bad,"They closed several locations; therefore , I lost faith in this company after working with the organization for over 6 years."
bad,"It is in my experience that the lack of training will be your downfall.  The manager that is tasked with obtaining new talent also is the person who is in charge of training new talent.  "
bad,"This place is a disaster. Not a great place to be long term. Although some of the co-workers are okay, others will stab you in the back over absolute jealousy."
bad,"I worked here and did an amazing job for 7 months in a position which needed a certification. They gave me a 10 cent raise after I passed my boards and acted like they were doing me a favor."
bad,"Understaffed, dangerous working conditions. Complete chaos. Patients are not treated well. Staff is treated worse. Needs to be condemned."
bad,"they will not pay"
bad,"This job gave me a lot of experience, but no chances for for advancement. The benfits are not competetive benefits or salary."
