rating,review
bad,"I was a scab working at Harley, they called me a casual worker, same thing. No benefits, no insurance, no time off, working next to people making $10.00 an hour more than me. Was treated horribly by coworkers and supervision. This was a bad idea!!"
bad,The frequent leadership changes and inexperience that came with that in the General Merchandise department was always concerning.  Coming from a retail and product development background it's a difficult environment as the leadership has no experience in apparel industry.  Every year I was there they had large layoffs and restructuring; not a stable environment.
bad,"GM and Owner could care less about the employees. Work you to death and do not appreciate anything that you do. Never know from one day to next if you have a job. GM can’t give you any answers because he is too stupid, himself, to know. Just a joke"
bad,"There had been hardly any communication. I ended up being a pawn that the marketing director could throw under a bus when I wouldn't lie for her. "
bad,"Wall street banker whom do not ride have ruined the motor co. Most of the parts are made in china and assembled by part time people. In 2010 harley laid off 1000s to give the big wigs more and boniness, the people whom helped turn the co. Around in the 90s got the shaft."
bad,"Unable to pay me on time. No scheduled breaks. No over time. Zero appreciation.  No incentives, empty promises, no room for advancement, harassment, 5 people quit this last month."
bad,"The place was a very hostile place to work, management did not care about quality nor the wellbeing of the employees. The place went downhill fast! The CEO's that came in cut our health benefits from Blue Cross to a horrible UnitedHealthCare and reduced our coverage and benefits!"
bad,"Unprofessional / Unethical Management, Blatant Discrimination, & Zero Management Training Support; if it is anything NOT computer based you're on your own. Complete waste of time for True Professional Sales People."
bad,"Nearly everyone in the building is a mean, insecure, vindictive, troglodyte. They are perpetually stuck in high-school bullying mentality. They think they are cool because they've been putting the same bolt in the same hole on the assembly line for the same 30 years. Most of them don't even ride a Harley, yet they think they are bikers. Everyone from top to bottom is an insecure sack of excrement who has found the perfect place to hide. If any of them acting the way they do inside that building on the street they would get their head caved in. The truth is they are all a bunch of sissies who will try to make your life miserable because they don't have one!"
bad,"if the boss doesnt like you they find false reason to fire you, "
bad,"Being a temp here is like being a Jew in 1943 Germany.  Don't do it unless you fit in to that type of culture.  Bullying is the number one skill that is their pride.  This is a rough neck company full of rough necks.  If you are a wimp, they will tear you apart like a pack of wolves.  It truly is a bad boy image company, and bad boys do bad things to little fish."
bad,My experience working at Harley Davidson was horrendous. I was abused physically and mentally in all my years of working in my life this place took the cake of the worst. Your paid only $9 and force you to do work outside of your job description. If another Porter comes in to get a job your 95% going to be terminated the next week or even day. Management is a joke There a new one every 4 months. The manager most likely never like you unless you know them personally. The only benefit is 5% off which everyone gets as a customer. They hate when you go on break and will try any possible way to fire you. This place is very abusive to its workers. Please STAY AWAY FROM THIS PLACE
bad,"Would not recommend this company to anyone. To many mind games played. "
bad,"I would strongly recommend that anyone considering going to work for Harley-Davidson re-consider. The company's senior management is a mess and is doing anything possible to hang onto their positions. It's a battle they're losing and the casualties in the war are the people working under them. Don't get me wrong -- the BRAND is strong and iconic -- the current senior MANAGEMENT is a train wreck and will likely soon be ousted by shareholders. So if you like stability, this is NOT the place to be."
bad,"You can make more at Mcdonalds! New management, only cares about selling bikes. Will lie to you just to get you to buy a bike. Manager will fire you for something dumb and charge your card taking everything you have and send you out the door after working hard for them."
bad,"Awfully ran by the dealer principles, the female that owns it is a bimbo in a sense, works very part time and just shops in the clothing department all day. You honestly can’t take this company seriously. Terrible pay and only receive benefits after a year. Don’t be fooled by the rating on here. "
bad,"I volunteered as a seasonal employee in the funding department and learned the following:  If you do now own a Harley or plan on riding you will be an outcast with the rest of the staff.  Two supervisors over us and a two week course covering a lot of information, but if you ask them any questions via private message they were rude to you and told you that you should already know this.  Several times I asked when they were letting us go from this assignment and they lied and said they were keeping us another year.  A month later they let us all go.  If you do want to work for this company be prepared to stare at the computer and review documents over and over again for 13 hours straight with zero mistakes.  BORING and temps are treated badly."
bad,"When I began in Jan 2000, I LOVED going to work. You were praised by co-workers and management for good working practices, management left you alone to do your job, friendly atmosphere, company cared about quality and safety, the company CARED about employees, great benefits, company cared about relationship with employees, recognized employees on birthdays and work anniversaries, DESIRED keeping a good relationship with employees thru/with union, more open to working with employees when they had hardships or health conditions"
bad,"This company is going down. Not only are they inept at creating products that appeal to millennials, they treat their associates with little to zero respect."
bad,The work is physically demanding.The employees are underappreciated. Not recommended. Dead end job. Declining work environment. Large turnover in management.
bad,Harley Davidson has become focused on its bottom line only. They are outsourcing and shipping jobs over seas at an alarming rate. They sacrifice quality and safety for production.
bad,A typical day would be to interact with customers. Creating sales and repeat business. There is much to know about the product and it is always a pleasure getting a customer set up for their bike experience ….safely
bad,"Hammond Harley Davidson sucks.. management is poor,l. & communication is poor.. The technicians aren’t qualified for the work & sales is lack luster. Micro manage is poor & untrained due to over seers not doing their job"
bad,"Worst manager I've ever had the unfortunate luck to work for. Quite frankly, I would have gladly retired from there but the Sales Manager made it quite impossible. "
bad,"Disregard to human ethics and basis safety, on a daily basis they divided the workforce into two shifts and said we were both equal yet they always played favorite the the mornings. Management was always proving they knew someone and that's how they gained their job. Safety was the biggest issue several times a week someone would be injured due to disregarding basic issues such as fire escape signs being blocked by overstocked parts. What I learned in my year and a half of working at harley-davidson's ""Crush Zone"", was that no matter how hard I worked, how much I had excelled at that job, the positions that I would apply for were taken by someone who I had to train personally. But the most enjoyable part was making friends in the workforce, not the team leads or managers, but other grunt workers like myself. We always had each other's backs when worst came to worst and finished the work day together as a team."
bad,treat workers poorly over worked under paid no time off no benefits for temp worker no profit sharing even though the are making millions. corporate greed at its finest. mandated overtime ALL the time temps get half the pay. no insurance.
bad,"This is an absolutely terrible place to work, they personally do not care about you, you're just a number to them and if you break they'll just replace you."
bad,Easily one of the worst companies I have ever worked for. They don't care at all about their employees and there is zero job security and terrible pay. Management has no idea how to treat and take care of employees.
bad,I worked as a detailer at Harley Davidson and did not enjoy working there. the pay was terrible for what the job required. i would not recommend it to a friend.
