rating,review
bad,"They treat people like trash. Disposable. Work you hard, burn you out, kick you to the curb. And produce a lousy product.  Take advantage of the h1 system to import slave like labor and treat them as such."
bad,"Management rewards employees not based on your work ethic or quality of your work but who they socialize with.  Employees that hang out with management get opportunities that should go to others.  Management doesn't address any issues whether it be with employees being late, not in the phone queue, or bullying done by others.  The atmosphere is toxic and never addressed by management.  Management has unfair hiring practices and unfair promotion practices.  Those who due the minimum or show up to work late get promoted.  Management lies to employees when plants close down"
bad,"Every thing is unordered in Harman."
bad,no management skills. work 7 days a week. they the do not care about the employees. this is so bad that even the lower management changed almost weekly
bad,Not organized and no leadership. Management are only worried about making their bonus. Management does not want to fix or hear about any issues and will not address it
bad,En la empresa no te dan oportunidad de crecimiento
bad,Harman is becoming a shell of itself by outsourcing its strategic competence and hiring low cost engineers and managers who are happy just to pick up a visa.  The worst of what the H1B program means for the USA.
bad,"There is no work/life balance when you work here. If you have a family that you love and want to spend time with do not apply to work for them."
bad,top heavy organization - too many directors with inflated egos who only think about self and not project or company ! Every one on top is a glorified ticket manager with no sense of project management !
bad,"NA management is bad. Very partial to their locals. "
bad,"They didn't care about family at all. Their main concern was the bottom dollar. I worked from 7a to 7p sometimes and other times I worked from 7a to 3:30p, 7 days a week with 1 day off every 3 weeks. I was a single mom, so I had to work but I never got to spend time with my son but once a month. The money doesn't compensate for the time missed with family."
bad,"Environment:"
bad,"A very engaging but sparsely productive set-up, that is constantly into transition modes."
bad,"Company prefers to hire H1b Visa employees over american workers.  They force these workers to work 80-90 hours a week and then try  to measure US workers to the h1b Visa  workers productivity.  "
bad,"3 műszakra kapnak az ott dolgozók 130000ftot.. Más részlegen lehet, hogy több a fizetés  ,sőt biztos.. Nevetséges. Azt se tudja a főnökség, hogy kinek hol kellene lennie.. Akit Pécsről küldenek fehérvárra, azokat Pécsen keresik.. A jelenlétit nem vezetik normálisan. A bérszámfejtők rendszeresen tévesen számolnak.. Nem korrekt a cég. Senkinek nem ajánlom.. A szállást állják kaja is van.. Talán ez a 2 a pozitívum. Nem értem ezt a sok jó véleményt"
bad,"Un dia tipico en el trabajo - es demasiado tenso, la administracion cambio y desafortunadamente los dias estan llenos de reportes que constantemente cambian. haciendo imposible la planeacion adelantada de el trabajo y una rutina saludable. "
bad,There are many people with nil technical knowledge and none leadership qualities at leadership roles. They are not able to build good teams and maintain quality of products. Sometimes they think money can buy anything. The HRs are toothless or inactive. Everything depends on the reporting managers.
bad,"No work life balanace, worst working condition. work culture pathetic, no matter how much effort you give , the only thins in the end is blasting, the management always appears to be in Alice in wonderland."
bad,"Do not work @ HARMAN!  No work/life balance, management is a bunch of overpaid little boys who need their a**es wiped by the secretaries, who run after them like little puppy dogs."
bad,Inability to push new technology and management was part of the good ole boys club. No perks such as stock options and constant threats of losing your job.
bad,"Pros :"
bad,Harman has closed down and will no longer be there. Management only cared about themselves and no one else in the building. Everyone was looked down on. They were right you were wrong even if they were wrong they were still right. They really did think they were better than everyone
bad,"Unfortunately the company has been through a lot, lost market share and a lot of the culture that made it great. There has been an exodus of executives and ""rank and file"" employees over the last 18 months or so."
bad,"- Very Good colleagues, Clean Place, Good Benefits"
bad,"Pay is not good."
bad,If you really want to join... keep another offer ready with you for atleast 3 months after joining harman... within a month you will understand what works within harman. If you have offer available you can easily jump.. but i would suggest anybody joining harman to consider harman as the last resort..
bad,"In a year, few months will be 16 hours a day and few months will be  less than 4 hours a day, lack of planning"
bad,"very irritating management. You will find managers everywhere - this is with respect to office in bangalore, India. Its becomming a worse comapny. Work pressure all the time. Every manager will ask you for the same reports."
bad,They don't pay great but the factory has air. tHEY have great pride in their Customer Service.
bad,"travail trop rapide malaise a repetition,infirmerie trop souvent demander tant de pieces avec ci peu experience .un malentendu avec le chef."
bad,"difficile dans les actions "
bad,"Trickle down lack of accountibility and competence. "
bad,Great people to work with at the lower levels but upper management(CEO) make a lot of bad choices and blames it on the bottom/working people. I really enjoyed what I did.
bad,good pay for the work.  lots of overtime and now company is going out of business soon. the work life balance is a negative since they have a tendency to wait until the last minute to let you know if you have to work because it is all based off their current demand
bad,Fue el mejor trabajo que tuve..pero debido a cambios en mis actividades no me fue posible continuar en el turno...pero lo que me desánimo mucho es que aplique para algunas vacantes durante mucho tiempo y no me llamaban...al final califique para entrenamiento y para área manager..pero nunca me dijeron nada...solo me mandaron un correo dicie dome que había Sido seleccionado como área manager y ya después de ahí no me volvieron a decir nada así dure medio año...esperando...
bad,"Documented culture is great, direction is actually different."
bad,"Es wird möglcihst alles in Best Cost Contries ausgelagert, Outsourcing wird anhand des Buget enschieden und nicht nach Qualität. "
bad,"- Very Good colleagues, Clean Place, Good salary & Benefits "
bad,"Interesting products, challenging work and problem solving. Diverse cross functional teams with open communication. Nice cafeteria with foosball and shuffle board tables for R&R"
bad,"La empresa cuenta con buenas prestaciones laborales, los horarios son flexibles y muy amigables. "
good,The job was not wat was advertised in the beginning. The training was all on the job training picking up from others. The work schedule was 7 days a week without time off for several weeks at a time. No promise of being hired on full time from the temp service I was through.
good,"Hay muy poco desarrollo ,no se toman el tiempo de apreciar tu trabajo"
good,"Buenas instalaciones"
good,"I have been working at HARMAN full-time (Less than a year)"
good,"Esta empresa fue adquirida por Samsung ,"
good,"This company sought me out and offered me a very good salary and promised benefits."
good,It wasn't the best place to work and the manager was a extremely selfish and rude to his employees.
good,"Currently safe with my position. Just found out yesterday that effective June 30th, that any temporary employee hired 1 yr or"
good,"On a typical workday you will see most employees walking around talking or sleeping on testers.  Management values and quality values change from shift to shift.  Some managers say that quality is not important, its all about the numbers.  They have been working 7 days a week for 4 years and tell employees they are not dedicated enough when they take points so they get days off.  Employees are treated as if they are stupid and are made to feel replaceable. "
good,"A lot of overtime, usually working 21 days with 1 day off is the typical schedule.  Have been a temp for over 9 months and there is no end in sight when they might hire full time again."
good,"A typical day at work starts at 12 pm and ends at 9 pm."
good,KFC is a nice place to work at until we got our new manager she’d talk to us like we were her kids and she’ try to disrespect us we barely got brakes and when we asked they’d get mad
good,"Poor IT support  impacts people ability to do their job.  Managers are getting training, but overall are not great when comes to developing their people"
good,"A good place to work in."
good,"most of my co-workers were high qualified and open to help everytime"
good,"Brand services was a great, hard working team of marketing professionals. Deadline driven department with an eye for accuracy and creativity."
good,No es lo que esperaba ya que económicamente hablando quedo corto para completar los gastos.
good,"Eleinte nagyon büszke voltam arra, hogy ennél a cégnél dolgozhatok. De idővel rájöttem, hogy ez is csak egy azok a multi közül akiknek az egyszerű operátorok nem jelentenek semmit. Számukra fogyó eszközök vagyunk akik közül bárki pótolható."
good,Harman was once a great fun place to work.  Management changed and everything went downhill from there. I spent many years working seven days a week. The company is closing down in Sept 2019.
