rating,review
good,"My area has a fast paced and challenging work environment.  My manager is excellent at encouraging work-life balance and avoiding burn out or over-allocation of work assignments.  There are times when working over 40 hours may be necessary, but those times are infrequent.  There are many opportunities within The Hartford, and employees are encouraged to develop their skills both to support their current role and position themselves to move into other roles or other areas of the company.  Recent changes have made the dress code more casual, with a ""dress for your day"" focus that allows more jeans and other casual wear in the office (within reason, i.e. no shorts and tanks/t-shirts).  The Hartford has a strong focus on work/life balance.  The new benefits for 2020 have increased benefits around family life including enhanced fertility coverage, adoption benefits, increased parental leave.  They are also concerned about the impact of student loan debt on an employee's life so the company is introducing a benefit to help defray some of an employee's student loan debt.  I am too old to make use of these benefits, but this is a good step to becoming a more attractive employer to the younger employee pool.  The employees I work with have a wide variety of backgrounds and The Hartford is a diverse and inclusive employer in all areas.  I have worked for The Hartford for nearly 30 years, and there have been times when I would not have strongly recommended the company as an employer of choice.  That has changed, and I am happier working for The Hartford now than I have ever been.  I would"
bad,"A lot of inconsistency as far as policies go. Managers need to get educated on the system more.when it came down to needing a manager on the phone , no one wanted to take the call and didn’t care then if customer was on hold long ."
bad,This place is a joke. They allow people to call out everyday and you have to pick up the slack. They have an employee who talks to stuffed animals at their desk. They had another employee who tried to attack other employees and fired those employees but kept the attacker. Mgmt is awful and they favor people who have issues. Good employees don't get rewarded. Mgmt talks about everyone ans are backstabbers. Good luck if you work here... Not worth it.
bad,They really don’t care about anything but your survey numbers. You can get a promotion if your leader likes you and I’d you join on of their frat clubs or like 4.
bad,It was not fun place very poitcal because I was not in boys and girl club I did not advance I would never want anyone deal with what I felt with crop America sucks
bad,"job barely pays livable wages, when eligible for commission they find reasons to not pay you. a lot if talk about growth but no actual change. good benefits a guess great lunch room"
bad,"Refused to train me for a position that I was asked to take. They are always looking for 3rd party liability so they can recoop the money that was paid to claimants. If you have a claim with them, please know your policy."
bad,I really don't have an opinion. At this point I work for The Hartford because I need a job. I really don't feel that there's room for advancement.  I don't want to sound negative at all.
bad,Over worked with hundreds of calls each day. Not enough reps on the phone. Claim handlers would take days to weeks to get to a member. They would call back upset and frustrated
bad,"I've been fortunate enough to have worked for some really great companies, companies that actually invested in my success.  The Hartford, IS NOT THAT TYPE OF COMPANY."
bad,"Very unrealistic expectationsof work load.  Not worth the stress. The volume of work is not realistic.  The pay is decent, but if you breakit down per hour it's less than minimum wage."
bad,"Some team leads are better than others. Depending on whose team you are on will make or break your career at The Hartford. The childish high school environment is created by team leaders that are childish and immature themselves all viying for a higher position that they will never be able to attain and our management team knows and sees all of this drama unfold and does nothing about it. It is a very catty environment with emotions balled up in office drama. Take The Office but instead of paper replace it with insurance and throw in a little Game Of Thrones with each team and each division of the Hartford as a different house. Some houses will support other houses or they will become life long enemies. All houses will eventually battle it out to find out who will sit on the Iron Throne. All of this will take place while a dragon is constantly killing everyone (the phone calls from claimants will never stop). ""Winter is coming."""
bad,Stay away from sales.   Customer service is highly scripted.  Sales leads are provided  in the call center AARP program but calls are routed  to the “best sellers “ and favoritism applies.  I had seen to many employees get married and the partner would get promoted into a different area but with better pay every time.
bad,"I would not refer this company there is no work life balance, the company under pay employees. It is a stressful work environment, This is a call center base job."
bad,"As a customer service inbound call center rep, you will have all the responsibility and expected to be perfect but have no support, horrible technology to deal with, and pay that is not commensurate."
bad,"Assist members with their auto insurance needs, and sales opportunities. I learned that I was not a good candidate for sales to members that could barely afford their insurance"
bad,I did not enjoy working at The Hartford. Expectations on sales were only attainable by intentionally ignoring set rules or by lying to customers. That is not the type of person I am.
