rating,review
bad,"Toxic, poor management, hourly fight salary. No trust, no teamwork, no support. People stay for decent pay only. Very toxic work environment. Don't expect any support or training. Managers yell at operators."
bad,We were put into pairs by race.  Temps worked  extremely hard while permanent people sat around and chit chat.  We were not allowed to talk at all even if we were discussing when a particular  part would be in. Very  Degrading place to work. When I was discussing a part that I need my Manager came up behind me and said Work! Work! Work!  No talking.   I can tell ya I was one of the best workers there and I was furious!
bad,I would not have anyone i like work at Honeywell it is a hostile work place. They care more about the share holders then the employees.. Would not recommend this company to anyone.
bad,"Cheap company, does not care about employees , is a show off company, benefits are treaky and get worse every year, management only care about themselves, employees in general have check on each other and it gets really bad even checking the way you drive and park your car, or when you go to the bathroom."
bad,"Will sell you a dream it’s all lies! They have an archaic management style, they think employees are expendable, they discriminate against women. Run!"
bad,"Honeywell is full of policies, but their management and staff do not follow these policies. Managers do not provide proper resources for projects to save money and when the client complains, the blame will be on the employee."
bad,The time I worked for Honeywell I did not see the concerns or respect for the employees from middle management. I was blackballed from ever gaining employment there because I voiced my concerns about it.
bad,"Management does not care about their employee.Even Internal Job opportunity is fixed before vacancy is created.No on job training,extended working hour,working environment not good full of conspiracy & department politics."
bad,"Discrimination is at all time high. Work values are horrible. Management doesn't have a clue. Hourly people have no job security. Unless your salary, you don't exist. Faulty machines. Dangerous work conditions."
bad,"While completing every task assigned to me on a daily basis, often stepping in and assisting others with their jobs until completion i was interviewed two seperate times and waited for a job offer. While they hired external and less qualified applicants than what they had working the job. I would not have wasted my time at this company knowing they were going to let me go a few days before Christmas."
bad,"Two thumbs down for management, company and work security. Benefits are the worst, pay is well under the national average,  they treat you like a skave"
bad,The management teams are the worst they have know clue what goes on in production. Can't keep H.R. people  .T.A don't know there jobs. They make to many  mistakes and we have to fix them.
bad,"I was very excited to join Honeywell, but that excitement quickly wore off. There is no work/life balance - even though they say there is with ""unlimited vacation days."" The workload is so great there's no way to take time off without killing yourself first. To say there's a micromanagement culture is an understatement. Every little thing is dictated by your managers. They hold ""brainstorming"" meetings, but really they want things done their way; your opinion means nothing, even when the project is derailing because of them. It's an abusive environment where it's typical for a manager to ""support"" something privately, but then in a broader meeting throw you under the bus as soon as someone outside the group has a different reaction."
bad,The last 5 years was hard working at Honeywell International Ottawa. I have been put in a position where I must take on new roles without discussing these new roles as part of my job at EMS and have done the best to learn them and execute them well.
bad,Ok to work with Honeywell. Management need to work on their employees concerns and issues. All benefits are for leadership and management. They should adhere to their policies which are already in place.
bad,"unfair, bias. the culture is very down beat. very few people do their jobs. training for jobs is some times inadaquate. supervisors never on floor or for very short time."
bad,"I was not at the company long enough to form an opinion on job work/life balance, compensation/benefits, job security/advancement, management, or job culture. I was a contract employee"
bad,"dont work here. this place is not a place for advancing in any career, not a place for people who are married and starting a family. not family oriented at all."
bad,Bought the company I worked for. Complete overhaul of management. Loss of major customers. A great company turned toxic. Cut us down to 4 days a week and tried to force us to use vacation for the fiffth
bad,Honeywell place is good to work environment. Work life balance is also available.  Salary is also good. Career growth is expected every year. Overall good.
bad,Place is nothing but drama and management fuels it. There's no confidentiality there so if you have to turn someone in for safety violations or harassment then management will just turn around and tell them what was said and then they go after you again as management turns a blind eye
bad,if immediate manager is a dummy then there is no room for growth or advance or even recognition. salary is way below average in industry. Salary will never grow more than 1% per year.
bad,"Almost work for 10 hours per day without much break time in between. And few more hours on weekend to complete the daily routine work , just daily operations work , not able to complete during working hours due to most of the working time are occupied by meetings. Every day meeting with direct manager to report issue status and work progress. Micro managed ... culture of Honeywell"
bad,"Siempre quieren ahorrar en todo, eso hace que la maquiladora parezca de bajos recursos"
bad,"Horrible health care benefits, better wages at many other places, push product for revenue and management  bonuses, expect  everyone to work weekends and holidays, The overall culture is repulsive."
bad,It the worst company to work for in the world to many bosser to work people not a good place to be no one wanterd to come to work long days and short nights
bad,The biggest problem is the benefits. $600 a month for insurance with 6000-9000 dollar deductable. This from a company that made 24 billion dollars last year.
bad,I would never nor would I ever suggest working for this toxic company. Please beware because they are racist and phony. They act like they care about you but they dont. It about the dollar.
bad,The culture here sucks They do not recognize the  Talents for within The supervisors feel like they picked him out of a jacker crack Box... Find ways not to give you a raise. But they will   Reward you with pizza for all your hard work...I understand u have bill to pay but  You won't be here long  People that be here for years ..leave
bad,"Honeywell’s goal is to move everything out of the US including design. By the time I retired it wasn’t a good place to work anymore."
bad,"I saw company that I was proud to be a part of go to a place that I am truly ashamed to be associated with. Advancement comes from cutting you coworkers throat and kissing up to your superiors. When I started in this job we were quality at all cost driven, now its all about meeting your metrics. Using non approved parts are the norm now where that would have gotten you fired years ago. I have hated working there for years but have stuck it out just to get to retirement. Now the company has relocated to Olathe and I am trying to find another job."
