rating,review
bad,"They have a culture of deception--probably top-down. Too many employees told me how they were enticed with promises that were never honored, and this was the case for me when I worked here.  "
bad,don't CARE about the employee management is terrible and they allow them to be. Management treat employee like a body like they are replaceable. gossiping is also a huge problem.
bad,A very fake bank w very lazy people that rewards lazy incompetent people as long as they are friends w Mgmt   Company doesn’t reward success they reward people who are yes men or women that kiss butt.  I have never seen more incompetent management in my life  I have no clue what they even do.   The only time I ever heard from the president of the bank was to notify us the windows were being washed
bad,Huntington Bank is not a good bank to work for.  They do not support men of color at all.  I could out sell and work any of them but was not treated fairly at all.
bad,"They dont seem to care about their employees or their customers"
bad,I worked at the corporate office (Easton) location for almost 2 years and was miserable every single day! The management was horrible! The culture was horrible! The expectations were unrealistic and the entire team wanted to quit!  I would NOT recommend anyone to work here unless you are very desperate to have a paycheck.
bad,terrible culture.  they tell new hires it is about helping do what is right for each customer - but sales of loans and high dollar products are pushed above the customer interest.
bad,"Huntington needs alot of improvement. They make up stuff as they go. They make you bank with them and the products needs to be upgrade, as well as the pay! We do so much to be under paid. Hopefully Huntington make some changes and when they do make sure you include the employees since they are the ones who deals with customers on the phone and in person"
bad,"The culture and upper management does not care about its employees.  When upper management visits the local branches all they are worried about is telling you what you are doing wrong. There is never a WOW, you are doing a great job. It would be nice to feel appreciated. No wonder Huntington has a high turnover rate. Stay away !"
bad,"An abusive situation where the higher-ups swear, name-call, demean employees,  and put that excessive pressure on employees that breaks their spirit and costs them mental and physical health issues. "
bad,The pay should be increased. it is hard to work for a company that does not pay according to other jobs within the industry. The company had a nice atmosphere but the pay is why I could not stay. Unable to take care of my family.
bad,"They do not care about their employees, only money. The first chance they get to severance people, they do. It doesn’t matter how long you have been there, they will get rid of you."
bad,this was a place that we would have to be friends with management to get any type of promotion. Management is terrible I would not advise this as a great employer
bad,"People are mean and rude. No one helps you learn new things. Just puts you in front of a computer and a customer and walk away. Only worried about sales"
bad,"They say they want to be “category of one” and they only target rich people to service. All upper management want to do is line their pockets with cash. Same as the managers. Online trainings never end, and the sales goals are only achievable if you believe in lying to someone instead of helping them. I understand now that this was not a company for the people. This isn’t to bash the company. This is simply me telling my honest opinion. If you can stay away from this bank as a customer or employee, I strongly advise you to do so."
bad,Unrealistic sales goals and stressful environment. Unable to focus on sales as a banker due to constant teller activity. Poor consistantly changing management and policies/procedures.
bad,The culture was very old school business.  They did not embrace the remote working the perception was if you were working remotely you weren't working.
bad,"overworked, crazy hours in the in stores. Advancement based on your manager recommendations and if your manager is not fair and playing politics you will not get advanced. upper management will get a totally wrong idea about your sales and skills. "
bad,Management would not work around my school schedule even though I was a part time employee. This establishment based your success on quotas and we were punished if they were not met.
bad,The management is dishonest. I would never work there again. Managers hire people they knew from  a prior job and they are hired  in with no experiance making more money than people that have been working there for years.
bad,At Huntington you are just a number no an employee.  The motto seems to be do more with less.  Work lots of hours and no opportunity for advancement.  Was there 16 years and let go do to departmental restructuring after I gave my all.  Giving up my life to put in 50 to 60 hours a week for the last 5 years.  It didn't matter.
bad,There is a good reason why this place was bought out.  The management of the company essentially sold us out.  We didn't event know what was happening until it was too late.
bad,Did not care for the corporate culture.  No concern for employees or ongoing efforts.  Management constantly misleads it;s people and does not give clear job guidence
bad,"NO work/life Balance"
bad,"Avoid if you can. Extremely low pay, management is shaky, you're encouraged to let people walk over you, people made more as contractors than full time employees."
bad,Sales was push on a daily basis and lack of training did not help either. Manager was very unprofessional when it to his daily requirement to meet and exceed our set sales goal.
bad,horrible work atmosphere. Upper management was dishonest about advancement opportunities and employees were allowed to be rude and belittle each other with no consequences
bad,FirstMerit merged with Huntington Bank and is no longer open for business.  Any review given is unnecessary as it is now apart of Huntington and I have never worked for them.
bad,They brought in a CEO from out of state and he expanded this bank until he could cash out.  Good luck replacing all the Ohio jobs that are being lost from the latest takeover.  Sell Out!
bad,"Worked their 11 yrs ago. Don""t know much about this company anymore. Was a stressful environment being a debt collector. "
bad,By far the absolute worst place to be employed!  The management is the most ridiculous group of people I have ever encountered.  They run these branches like some kind of a side show at the circus.  if I could assign a negative number to the ratings i would.  Definitely the absolute worst experience of my career.
