rating,review
bad,They don’t care about employees just number they want to fire you as soon as you walk through the gate! Your just a body to them and you better not have an opinion
bad,"Don’t come here to work, very bad place to work you gotta know someone here and don’t speak your mind about anyone cause you’ll be hated for it. Management is crooked and employees you cannot trust cause of management. And the pay sucks don’t let them fool you cause the navy is paying your wages and the shipyard only gives you a smidge of it."
bad,"typical day at work is climbing what seems to be a billion stairs about 100 times a day. ive learned alot of the job but cant explain . management is tricky to get along with, everybody works there with no problem , theres alot of stuff thats hard about the job, nothing enjoyable about it."
bad,"Terrible place to work, no time off without getting in a lot of trouble, even for doctor appointments or family emergencies, no career advancement, terrible management and overall terrible place to work"
bad,"Bad upper management, not organized, you get moved around a lot no room for advancement, you have to kiss butt to move up.Show too much favoritisms to lazy people"
bad,Huntington Ingalls does not respect their employees at all. Work/life balance needs major attention. Managers need to learn that they do not know everything. There is no diversity in the LPD Program Office or Intergration Program Office. Mangagers lack the ability to know how to lead. Employees need to learn how to respect other employees
bad,"The most cut-throat place I have ever worked. Unless you are related to someone or your skin color is not white, you have no chance of ever advancing here. It does not matter how educated you are, they promote the most uneducated, inexperienced, no leadership knowledge person they can find. They wave the old ""we love and respect our military veterans"". It is all a smoke screen to give their public image a boost. This place is awful. Save yourself the aggravation and headache and look elsewhere."
bad,"Highly stressful company to work for. You do a great job for them for years & as soon as you get hurt on the job, than your damage goods and no longer useful to them & they find every reason in the world to fire you."
bad,"tended to hire cheap labor who were not qualified for jobs they were hired for, treated contractors like dirt and did the same to foremen as well, only upper management and union members received fair treatment"
bad,Want a synopsis of management? My Basset Hound has a better understanding of management concepts than those mindless morons. Their egos cash checks that their actual intelligence and ability can't cover. Seek employment ANYWHERE but HII.
bad,i will never work there again. because i burnt my thumbs well working  on the line. I will never work at that kind of factory again. its to hard to work at.
bad,"i constantly wonder if today is the day they will pull the rug out from under me. i don't feel safe in the job, the work procedures change sometime daily, i cant learn to do my job well, and when ever i think i get the hang of what i'm doing the procedure changes and all my previously completely work is rejected for rework"
bad,"I will just say this is a place where the supervisors have all the power.  I will recommend this company, but just know that beware of the supervisors.  Whatever they say goes in this company."
bad,"did not like the atmosphere at all. management sucks, racist, low pay. i will not recommend this place to anyone. you can feed your family is the only good part"
bad,I was an apprentice and failed my first class by two points and was let go after 3 years of never failing. I do not recommend anyone to this company if you have a life or family. They are unfair to there employers and very unethical.
bad,Working with Huntington Ingalls was great at first but when the lay off came around and I was laid off without one second of notice. I was devastated.
bad,Huntington Ingalls Industries has old business practices that are keeping this company from maximizing its full potential. Demanding more work for less money is a come practice.
bad,Very unfair place to work. Management is poor and inexperienced. They put unequipped employees in authority positions. Foremans are power hungry and trying to make names for themselves. I've never worked somewhere that wanted to fire there employees so badly.
bad,"Absolutley horrible place to work.  I wouldnt wish this work on my worst enemy.  Filthy, dirty, extremely unsafe.   Plenty of people slacking off due to union job"
bad,"the job was great we worked hard and worked as a team player, and working on ships was a great job as we did what we had to do and working together with people who know we needed to get the job done."
bad,if you are not kind to someone are giving they something your out of luck. they have been in trouble for poor work and miss charging time. the work is like slave labor and you will end up doing 4 other peoples work that are kissing up to the boss.
bad,"company does not care about employees. good pay but horrible work conditions and environment. management sucks and so does the equipment,"
bad,relation management employees is non-existing . abuse and lack of interest in the employees needs. more interesting keeping contracts at all cost even sacrificing safety and employees needs
bad,Worked there for almost 4 years. Never felt as if my supervisors had my back. Never met the higher ups. No job advancement opportunities. This place is a joke.
bad,it was a place to have income i dont the its for the people that cant stand to work in cold and hot enviroments but you can makes lots of money if you can endure
bad,"no room for advancement in many departments.  only ""some"" people have to meet certain requirements in order to advance. Most job postings already have someone to fill the position before it's posted.  Often, making applying a moot point."
bad,"Company has a great variety of jobs and tasks. The problem is the good old boy network. Extreme favoritism.  "
bad,"Worked in various positions over a 30+ year period. In the early part of career, worked with some brilliant people (graduates of MIT, Rensalier,etc.) who understood shipbuilding and people and the results were amazing and very satisfying. Move ahead to the present..just an irrepairable mess. The current philosophy of this company is to hire as many ex-military personnel as possible to lower training expenses. All levels of management suffer from indifference toward workers' concerns, problems and general contentment needed for long-term success. Never have I seen as many minions constantly running into each other with no idea of which path to take next. In summary, LOOK ELSEWHERE!"
bad,"a welfare company, no continuous improvement, no understanding of human factors, and well below nuclear industry benchmark."
bad,"I found the ""Good Ole Boy"" network still inaffect even in 2015.  Company does not try to utilize employees where therre strengths are, just interested infilling a hole identified by Human Resources.  I have seen this inmy own work experience and those around me."
bad,"Stay Hourly unless you know higher up people, otherwise you will get taken advantage of. Hourly sucks in terms of vacation accrual but at least the union and management ""attempts"" to treat you fairly. Salary management seems under qualified and will let you hang yourself before offering any type of assistance. It's ridiculous"
bad,It is sadly great if you are liked. The company is filled with old ideas and processes and little improvements. If you are not liked you will be shunned and won’t get the opportunities your coworkers that are liked will get. There isn’t a lot of growth.
bad,Company has serious issues in promoting employees along with providing competitive salaries. If the company would improve on those factors of its business it would be a better place to work.
bad,"Over my career, I have worked for many organizations across many industries, and can confidently say that HII by far and quantity has the worse managers that I have ever seen and worked under. I truly believe most were promoted to management position not because they were most qualified or competent but due to attrition, time at HII, and cronyism. If you have any advanced skills and extensive experience gained outside of HII you will be a threat to existing long term staff. You will only be valued for taking your knowledge then eventually dumping you to the street. I seen this happen over and over, until I eventually departed."
bad,Work is boring and repetitive.  No advancement or raises after a point.  Culture is for young workers.  Manangement is short sighted and doesn't plan for parking or seating for employees.
bad,Higher up personnel are unwilling to train the new members of the company. Due to lack of training i felt i was unprepared for the tasks i was asked to perform. Management is mostly unwilling to work with you and dismisses problems easily.
bad,I do not recommend that anybody subject themselves to working for any Newport News Shipbuilding organization or any of their subsidiaries or divisions in Southern California.
bad,"All about the company and not the employees."
bad,"welding was joy for me, beside working you got to meet new people. some of these people you become best friends! workplace was work, and your lunch breaks was your fun times. Where you got together and talk about your day and what a time you are having on a weld or fitting a job!"
bad,"welding was a joy for me, when I put my shield down I was at peace with my surrounding. I learned so much there and I put my heart in every weld that I made. the main I wanted to do as a Pipe welder was to learn my job which I did, because if I every need to go anywhere else I could go and be the best Pipe Welder I can."
bad,"Good place to work.  Many experiences where new and challenging.  The job offered an array of job positions that challenged you and where very important, because it involved nuclear security."
bad,"I was a shipfitter helper apprentice. I was to be trained to be a shipfitter. Instead, because of my lack of experience in the field, I was never taught and more of a laborer. One month shy of a year, where I would have received vacation, I was fired for a misunderstanding. I was accused of theft and was told I had the right to fight their decision, which was a LIE. When I contacted my shop steward she stated my claim was denied, but did not sound sincere. Almost as if she was surprised that II called and made up a response. She claimed that she file an appeal. That was over a week ago and I have yet to hear back. For a company that claims to be ETHICAL and HONEST, they have sure proven to me otherwise, and turned my life upside down. I may lose everything. "
bad,Pay is very low. The running joke is you have to find a job at a different company for a raise. There are lots of times where there is little to no work. Employees are encouraged to use Paid Time Off during the slower times. Management is not concerned with growing employees. Constant restructuring
bad,HII is not a good place to work if you care about making the company money.  The manufacturing side has way too much upper management.  The Superintendents block-out any up and comers that dare challenge the status quo.
bad,Just poor management all across the board! You work hard to please your management and work your way up and then they just forget about you and leave you hanging out to dry. You become management and work people and then they pay people with less responsibility more........
bad,"This work environment is very poorly maintained.  Workers are not held at the accountability they should be.  Work ethic is always overlooked.  Instead of focusing on the quality of work, the company focuses on quantity.  This job lacks severely in the area of safety."
bad,The place is so large there is no interest in the individual and no way to get things done because there are so many management representatives in the way
bad,"This is a fantastic place to work, if you are into any sort of communism or like the idea of being an induentred servent. It's also really great if your into being treated like child and given no respect."
bad,"My career here started OK, then the truth began to reveal itself. Management is completely incompetent. Was promised job security for 10 years and was laid off in 9 months. "
bad,"Huntington Ingalls Industry as a company was a good company to work for however the Department I worked with, they are very unethical. They change the rules to suit their needs and have family members working directly for them. They are a very discriminative organization and like to intimidate and discriminate against women.If I were to have to work for this particular Department again, they would have to fire about 3/4 of their management staff and clerks because they were so horrible to work for and with. If you were not in their click, they harassed you. Advancement was unheard of amongst the women even if you could do the job better than the men"
bad,Of course Huntington Ingalls has great pay but from my experience it is not the best work place. The management sucks and they do not work with you.
bad,"if you enjoy being treated like you're 10 years old, dont mind walking miles to work, having to get to work an hour before you go into work just to find parking, then this is the job for you."
bad,White foreman’s will not train black people to advance their careers but will train  a white person to advance their career even if the black person has been there the longest and has shown great performance on their job. It seems that the older generation is use to it but the younger generation is calling it out. Insulator Department
bad,"Female s aren’t treated the same. There are numerous cases of harassment, sexual, verbal, or physical, from females and most of the reporting females end up fired or demoted in some fashion, while the male receives no reprimand for harassment."
bad,I had to get up at three o clock just to get to work at seven o clock. The parking is horrible and the heat on the carrier was terrible. I definitely would never ever go back.
bad,"And instructed how to use the file system. Then put to work modifying drawings, which was my job. But after a couple of months of doing this, and with no prior warning, was fired. Was later informed it was because I was too slow. And also learned I was one of three that had been released."
bad,"Company is terrible to work for, the only good thing about the company is that its somewhat stable with decent compensation."
bad,"After 6 years of dealing with a crazy supervisor who does not know what she is doing. She has started retaliation against me because I did not want to come in on my day off, on my already scheduled vacation or work 2 shifts on Friday for 26.5 hours for a class I had warned her was expiring 2 months in advance. She waits till 27 days prior of it expiring. I do not feel any of this my fault. General foreman is supporting her on her threats, retaliation & hostile environment she is creating towards me. This is the 3rd complaint against her on threatening & causing hostile work environment but they continue to leave her as a supervisor. I don't hear of too many complaints of  other departments just mine. It is just not the people who work under her that dread working with her. Other departments and support cringe when they hear she is coming to job site. She is yard wide known. Pretty sad..."
bad,"I guess I am a bigger noob when it comes to welding than I expected. I was hired by Ingalls right out of welding school (Tulsa) I passed a welding test and was told that I was hired. I moved from Palatka FL. to Gautier MS. I started on the 8th with orientation where I found that I would make my official start the following Monday at their training department. When I asked, all I was told is that I was starting at the training facility. They said nothing about what the training would involve. I was hired as a class 3 welder. When I arrived training facility I was informed that I had 120 hours to certify in one of many welding processes. I found out later that week that I had to pass a class 1 certification in 120 hours. With that said I believed I was on track. I followed my instructors orders to the letter. And believed that at the 80 hour mark I was ready to test. But to my surprise...I was FIRED. I was only told that my welding was not up to par and thats it. I am now stuck in a new town no where near any family or friends and I am unemployed. Ingalls says thats not their problem and they dont care. I have to say the Ingalls have have poor morals and no ethics. I doubt that they do this sort of thing to every employee but to do it to just one is really pathetic. I just wish they told me what I did wrong. I was there on time every day and I gave 100%. I seriously have no idea how I am going to survive now...."
bad,"This place loves to fire people over insignificant things, theyeven tellyou several times during orientation ""there is someone with their name for your job"". No place should be like that, pay is good though. people I worked with were alright. But the management and fire happy personnel is ridiculous."
bad,"The lazy people are protected by the union, the hard working get punished. If you miss time you get penalized, if you show up on time every day but do nothing while you are there you get rewarded. very backward system. Management is a joke. Everything is backwards. Motto is first time quality at a cost at a loss always good ships built right. But their way of doing things is to measure once cut twice. terrible place and am trying to get out as we speak."
bad,"Its like working at a prison that pays you decently well. If you like to work a job you hate and the people around you barely know how to speak, than this is the job for you."
bad,Great pay and benefits. Poor management poor and dangerous work conditions. Unreasonable productivity expectations no matter what you do it will never be enough.
bad,"Management varies, but mine is hands off and really doesn't do anything. Very much a place where people alienate eachother in groups. Nothing gets done all day. The processes and procedures are constantly changing for the worse while pressures from upper management keep increasing. The job description is always changing and tacking on new responsibilities, but the pay is still garbage."
bad,The people do not care about you or your health. The you can do your job right and will still not good enough for management. You can do your job to the best of your abilities and management will try to fire you.
bad,"Favoritism and, indeed, a sense of almost blackmail-like mistreatment if not doing exactly as management expects, which is far above and beyond 40 hours of work and a normal workload. And you will be targeted if you are not in line with these outrageous expectations. Retaliation is also common."
bad,"I have given this company nearly 10 years of my life an been injured twice on the job, now I have permanent work restrictions and they claim they have no work for me but they have signs up on the interstate saying they are hiring."
bad,"You go to work ready to do your job and as soon as your boss shows up they try to do anything to mess with you. They make up rules and tell you if you break them you will get a layoff, then get made at you for not doing somthing against the rules. The only way to get ahead is to have family that is a somebody or suck up all the time. They don't promote the ones that work hard just their friends."
bad,Is a good job but need to be careful. If you get injured they will do anything to get you out of the company. My advise always work safe. If is unsafe just don't do it. If you see anything that is not safe report it. If you manage to not get injured is a a great job with benefits.
bad,A company in which you must be aware of your surroundings and pay close attention to your work and the people around you. Safety is always a number one priority.
bad,I had a horrible time there!! They base everything off of who is already there opinion. If the person training u does not like you than you will be let go. No chance to improve one's skill at this company.
bad,Fast pace work with poor leadership. Upper management is just looking for their next advancement. Few skilled foremen to teach the trades. A foremen's job is the worst job in the shipyard.
bad,"The work is hard & dangerous. If your hurt or injured, from working hard. Not your fault, or even accident. Even if a Veteran. They WILL FIRE YOU!"
bad,"In following Federal laws and guidelines regarding a fair work place devoid of discrimination, this otherwise Fortune 500 Company is not a place for anyone from outside of the 'South' or Gulf States to work hard and expect career advancement. The HII is not a meritocracy. The accent alone not belonging to the immediate region appears to be hinderance to getting ahead."
bad,"Pay is fair considering most employees are in an apprenticeship. You are just a number here, and the employee turnover rate reveals. That being said, if you can make friends with your crew, it isn't a bad place to work."
bad,The working conditions were very dirty as one would expect. After time people feel dehumanized due to the size of the company and the old school nature of that company.
bad,Basically they violated my reemployment rights long enough until I made a mistake and was fired. Essentially they just wanted any excuse to get rid of me after my second deployment.
bad,I would recommend anyone to work here.  I worked as a contractor for a short time and I was treated as a regular employee by the crew I worked with.
bad,this company was ok too work for until they put a foreman over us that clearly had anger issues i had 21 years n got fired cause i was physical tired n needed to sit down so since i did that on occasion i got fired but what about all the sleeping n sitting i witness i mean sleeping out n the open but u want to fire me n i wasn’t sleeping just tired alone with a lot of other people if u was going to punish me what about a lay off r warning. i’m done huntington ingalls need to get better people n management oh n by the way i didn’t have any warning slips n wasn’t missing time n told i can’t ever reapply don’t know what’s that about. It was just wrong
bad,"A typical day at work involves scheduling testing for hourly candidates, responding to email requests from sourcing team and recruiters via Outlook , answering phone, scheduling hourly interviews and assisting with other assignments as needed. What I've learned is how to be a team player working toward one common goal. In addition, working with management in taking on additional assignments when needed to make the higher ups look good when objectives are met! I love my admin team--we work hard and at the same time we find time to laugh. We respect each other (team of seven women) highly. The hardest part of my job is being hard on myself when I make a mistake simply because I've set such high standards for myself. I've come to realize that when a mistake is made, it's fixable and not the end of the world. The most enjoyable part of my job is working with such a great bunch of people!"
bad,"This is by far the worst job I have ever had in a 38-year career.Managers where terrible, no insurance for contractors, no paid holidays, treated contracts like trash"
bad,"It pays the bills. There's no real opportunity for advancement, and the compensation is definitely sub-par. But it's a guaranteed paycheck every 2 weeks."
bad,"""This is the way we've always done it"". No innovation. No understanding of what job would entail. Management does not know how to manage as managers come from the ranks of Engineering."
bad,the company is not well managed and is not at the least fair or ethical to its hourly employees. It is a great place to learn how to weld at the highest level
bad,"Nothing to say here. The management, not at HII but rather the customer, is hideous.  Very untrustworthy.  Pay is below standards. There was some job satisfaction but no job recognition."
bad,Personnel within the company are easy and wonderful to work with.  Created an environment to work issues out when possible.  Not in agreement with most things being conducted but will be part of the team when working issues for the safety of personnel.
bad,Its an okay place to work ... just don't get hurt... Clinic staff is a joke they misdiagnose workers on purpose so they do not have to pay for medical claims.. if you get hurt see an outside Dr. and get a lawyer... protect yourself...
bad,While working we had higher ups try to force their foremen to threaten us with write ups because we weren't showing up for work due to weather conditions. Some people actually got in trouble because they couldn't show up to work due it icy roads and snow pile ups.
bad,"Every day was a challenge. While working with management, I've learned that its many trades working one project at the time. My co-workers are all team players. Every day as we have many challenges, my team always help one another"
bad,"Almost everyone that works here is frustrated and bitter.  A major source of frustration is just getting to/from work.  Everyone complains about the parking and the company never addresses it.  Even official company documents describing guidelines for parking and traffic refer to the parking lots as incomplete, and also states that parking is considered a privilege (whatever that means).  Upper management only cares about the stock price. Period. Last year they delayed our merit increases and took away a paid holiday trying to reach a 9% operating cost.  We get flex time, but its very limited.  We can't work through lunch and leave early on Friday for example.  Speaking of lunch, we only get 30 minutes, and if you aren't in a department with a mule or company vehicle it's practically impossible to make it to the cafeteria, eat, and back to your location in time.  The time is very strict also.  For example, lunch is from 11:00 to 11:30, but if I go through the gate before 11:04, I will get in trouble because it should take me at least 4 minutes to walk to the gate from where I am.  The same applies to start and end of shift.  The shift ends at 2:30, but if you leave before 2:34 you get in trouble.  Everyone ends up standing around in front of the gate until 2:34, or whatever the limit is for their location.  We get PTO, but it doesn't do any good to save it up.  The yard shuts down for two weeks in the winter and we only get paid for one.  The other week has to come out of your PTO if you need the money.  So that pretty much eliminates any possibility of vacation.  The pay is"
bad,"10 years there. Ever changing management expectations, management has no clue. Typical defense contractor, do more with less."
bad,"There doesn't seem to be enough work to go around, most days we sit around pretending to work until a big issue comes about. "
bad,Its like prison. From 6-330 they own you. You constantly fear lay off management doesn't appreciate anything. Its unionized so the lazyiest sorriest people get to keep jobs. The hard working people have to work harder while the dead weight gets heavier. I would recommend never working there if you have the opportunity to avoid it.
bad,If this company wasn't closing down it would be the biggest waste of money I've ever seen.
bad,"Company did not ensure that the Customer identified the positions role and responsibilities prior to vetting for employees.  Unprofessionalism, harassment, and bullying were not only allowed, but encouraged during my year within this position.  Manpower hours did not match up with position requirements."
bad,Job is great and friendly people.  It’s a pity that upper management is only worried bout getting their bonus.  The union is not worth joining as they worry more about keeping their role and staying out of work.  Wish I could have investigated this company before hand.
bad,The upper management in 27 paint department has a lack of experience and unrealistic goals and budgets. Kris Taylor only has a job there because he didn’t pay attention one day. Terry knight has a very unprofessional attitude and loves playing games while putting the workers in stressful situations. Blasting off of ladders in blastha lol an the pits instead of scaffolding is dangerous but they make the rules as they go
bad,"I started working there in one trade, and switched after 4 years in hopes things would get better. They didn't. You are just a number there. They seem to work harder trying to fire you than anything else. They management only cares about themselves."
bad,"Great money for doing little work. Management is terrible and constantly being harassed for minor issues. Job scared constantly, worrying about getting laid off. I believe the union is the biggest problem for a big company like this. They are there to protect the lazy that don't want to work.  Otherwise, pretty much weak and useless. I do believe it could be a great place to work if it was a more positive environment.  Too many people have negative attitudes."
bad,"This company is poorly managed. There are other, better experienced employees that make a difference in this company, but the opportunities are not available. "
bad,"The management and culture was terrible. People were moved and reorganized on a regular basis with no logical reasoning, departments and positions were created just to be scapegoats and deleted later on. There was no system of honest performance evaluation, the union made it impossible to develop a workforce that was competent and efficient because it was impossible for the company to let go of unsatisfactory workers. Therefore no internal promotions were given for competent employees who could not be replaced and outside people with no experience were hired for the hire ranking positions which further deteriorated employee morale."
bad,There is no need to apply for this company if you are not part of the local clique because you will go nowhere. If your father or grandfather didn't work here you will not advance. It is a good ole boy company that is not interested in anything ever changing or improving. Waste and abuse is the actual company motto.
bad,"Poor management , unsafe work environment.  Parking is unbelievable.  Give company at least eleven hours per day and are only paid for eight due to parking situation."
bad,"Overall its an ok place to work . Reall out in the elements, have to be able to adatp. Salary is ok could be a lot better. Management decision makimg is poor."
bad,"Work on emergent problems to support construction schedule. Acquired self-reliance do to work force being too thin in my area.  Management gives ""lip-service"" to employees but conditions do not change.  Upper management more interested in Carrier Program than Submarine Program.  Have seen personnel from different programs transferred into other program groups to ""save them"" when contracts are thin only to see competent personnel that provide significant value to the other project get laid off.  Human Resources has no concept of what is needed in the technical areas, just interested in plugging a body into a slot or reducing numbers in departments with no idea what the individual contributes.  Management solely interested in investment returns for share holders and not as much in the ""average employee"" actually doing the work.  Co-workers are great, everyone feels the same about management but happy to have a job during this time of ""streamlining"" and RIFs.  Hardest part of the job, getting management to listen when you have a real issue that impacts programs.  Most enjoyable part of the job is the people and the paycheck."
bad,"Tenure of service, education, apprentice program, and experience mean nothing during work force reductions. Working environment created is hostile. There is a lack of respect for tenured employees and those close to retirement. There is a desire to get rid of elderly employees displayed by younger management."
