rating,review
good,•	Accomplished domestic and international billing in finance department
good,"Typical days is filled by about morning daily huddles, meetings and work."
good,I am very lucky to be a part of IBM at my initial stages of work carrer
good,I is really great being part of IBM family. Employee friendly and flexible.
good,IBM is a very good company to work. Company is very employ friendly and co-workers also very helpful.
good,"during the client visit "
good,"Good chance to learn a lot of new things"
good,A learning place where i learnt organisational skills.with proven abilities in planning.
good,"Uma empresa dinâmica, está a frente em todos os assuntos referentes a tecnologia e bem estar do ser humano e do planeta."
good,"Have around 4 years of experience in TSM backup and recovery"
good,Working is the activity of everyday learning. Its nice to learn new things.
good,"Empresa que ajuda no desenvolvimento e aprendizado, cobrança forte, salário baixo."
good,Excellent company with flex time to enable employees to be diverse.
good,"Telecommuted to 3 sites.  IBM is an enjoyable place to work.  I enjoyed problem solving and helping IBM achieve it's place as a mortgage subservicer through obtaining licensing, analyzing areas in need of improvement or expansion."
good,"Un sitio con muchas posibilidades para aprender, buen ambiente laboral (bastante americano). Buena cultura laboral."
good,Its a very good MNC. Good place to work. Learned many things and enhanced my skills as well.
good,"Have 12 years of IT experience in the field of Project Management and System  Administration and IT infrastructure( Windows, AIX, VIO, Power HA, NIM and Networking)."
good,"Good learning experience for freshers"
good,"Great place work and learn."
good,"Incredible Experience"
good,Very good company to work with. Supports a lot in all aspects.
good,"a typical day at work"
good,IBM Corporation is a great and fun place to work.  There are many diversities within the office that I work out of.  It is a place where I have learned and grown with over the years.  The business industry has taken many directions in the last few years.
good,I have learned a lot from this company. I have worked there for last five years.
good,"SAP Security and User Administration, Assigning Roles, User Mass changes, PFCG."
good,"trust, customer value , customer satisfaction , collaborative working"
good,"SD SKILLS"
good,"Good atmosphere, some time work pressure. Good management,"
good,It was a good work experience. have gained great technical exposure.
good,"•	Tested Aspera Products, such as: Aspera Drive, Aspera Shares, Aspera Connect, Faspex, Aspera ES"
good,This is an excellent place to work.  Despite the budget cut's that IBM goes through this job is really challenging. If you enjoy a challenge and enjoy not doing the same thing everyday or at least not knowing what to expect this is for you.
good,"My day to day responsibility is to help clients over the phone, e-mail and through messaging systems. I analyze the problems and try to find the solutions and send incident tickets to next level if it is out of my scope. I troubleshoot different applications, servers and mainframes to resolve the issues of the end users. I also check the status of the account of end users and edit it or reset the password if needed. I enjoy to find the solutions for others to resolve the issues."
good,higher learning about todays world in computers and how their software works makes it easier for us to control everything in such short notice
good,"2 years of customer service experience."
good,"I've really enjoyed consulting, now I'm looking to see what else is out there."
good,We use to work on different issues and resolve them ASAP so that there wont be an outage to the client
good,"•	Documented and executed Functional Test Cases to ensure quality based on functional requirements specification and business scenarios."
good,•	Worked extensively in a position that involves design and development of information systems using Object Oriented Methodologies
good,Many education available and the opportunities are endless.
good,"Empresa muito boa para se trabalhar, com grande potencial para crescimento do profissional"
good,"The job involved financial planning and analysis for revenues of IBM. Learned how to managed time, prioritize task, solve problem, and work with cross functional teams."
good,"Fun at work, Loads of Personal Development."
good,"Interesting workplace"
good,"same as IBM Global Process Services."
good,I was hired as a project manager right out of college due to my previous management experiences. I worked as a project manager in the Global Services department
good,Very good company. Worked there in a friendly environment. Co-workers were very nice. We were all very experienced job related no any hard task. But the hard part is to travel from home to office takes me more than 2 hours.
good,"Good,"
good,IBM has been one of the best places I have worked.  People were smart and nice.  Great benefits and great flexibility provided to every employee.  I would highly recommend IBM to anyone looking for a career change.
good,This work is very special to me - This job happened when I really need to work.
good,"I’ve more than 7 years experience in Software development."
good,"I loved working at IBM, it was the best experience I had ever had."
good,"Work Life balance excellent"
good,"great place to work.I was able to take over 60 courses for anything from Project management to consulting, excellent!"
good,"•Handling Induction of all the Top Management employees from the point of view of Payables."
good,"I have worked for IBM for 15 years. I love working for this company as it promoted job growth. However, when they decided to start sending jobs off shore a lot of families in the US was affected by the lay-offs. Unfortunately, I was one of them and now I am seeking new employment for a great forth coming company."
good,"Worked with the talented people, and contributed the best to the team!"
good,"Great place to work and learn many different aspects of business and how to work across functions.  It allowed you how to learn to focus on different levels of success from the employee, the department, the division and overall company."
good,This was a fun office to work in and a very good company.  The benefits were great.  I had to leave since they sold my division to another company.  Otherwise I might still be working for IBM.
good,great place to work with excellent benefits. the hours are reasonable except when you are asked to work on the weekend last minute
good,"Provide analysis of S&D Revenue - own PV, actuals reporting, set quota and budgets for the sellers."
good,"A day to day at IBM cannot be monotonous. Every day brings different customers and queries to deal with. This brings along innumerable opportunities to learn and expand one's knowledge. "
good,"Working as an IPC Manager. Work with the Account Managers including DPE's and SDM's in identifying improvement areas & implementing measures to maximize customer satisfaction levels."
good,Learnt a great deal of professionalism and how to be a winner. Great supportive team and management. Work life balance.
good,"Proud to be an IBMer. Ongoing education, digital training and networking helps upgrade skills and refine capabilities."
good,was nice place to work and very nice team in IBM.my coworkers were excellent and i loved it. most enjoyable part was dealing with the defects.
good,One of the nice and recommended company to work with.Everyday you get to learn new stuffs and fix the new challenges.
good,"Sound soft skills are a must for this role as leader. As are project management, event planning, people and organisation skills."
good,It is good to work with IBM. One can learn a lot from this Company.
good,"Ò	Dynamic, creative and skilled problem identifier and troubleshooter comfortable managing systems, projects and teams in a range of IT environments."
good,"In the capacity of “Sr. Manager HR” - Managing 4 portfolios (Transitions, Transformations, Learning and Custodian for Recruitment Policies & Process) at IBM India Pvt. Ltd for ASEAN,ANZ & JAPAC Countries."
good,"Every day is a typical day. Supported all Loblaw related companies globally 24/7 for various sectors like corporate offices, warehouses, all the stores globally, all gas stations, pharmacies and different departments like Joe fresh, Photo studios/labs, optical section."
good,it is a good company. good environment and good management.
good,"•	IT/Rollout Desk - Man and receive calls, troubleshot, dispatch, ensure issue resolution for:(But not limited to:) IBM Self Checkout Registers, Debit Card Readers, Point of Sale Registers, Wireless Scanners, Managers Workbench, Smart Systems, DDS Servers, Avocent KVM, and ATEB IVR."
good,I work for the consulting branch of IBM.  I do not have an office in IBM since I work at client's offices.  It can be exhausting sometimes since most of the projects require traveling.  The biggest challenge is I have to constantly look for the next assignment in order to stay employed.
good,"Worked closely with application teams, business analysts, data designers/architects, database   administrators and reporting teams to ensure solutions met business requirements"
good,"Great place to build a career, collaborative, long-term focus on everything"
good,Long contract was most welcome financiall and career-wise.
good,"Ability to work independently or with a team "
good,"Work culture was very good. "
good,We can get the good experience to learn the latest technologies
good,"A good place to work."
good,I like working at this place as it is employee friendly and have some high standards in working.
good,Very nice workstation.  Working with fun andenjoyment.  Speical attention to the employees.  If we have any problem company use to take extra care and trying sove it
good,It is really nice place to work. the most enjoyable part of the job is working.
