rating,review
bad,"The management style in my role was do as I say, not as I do. Also, the work atmosphere was more of a dog eat dog environment. Not much support from management and many inconsistencies with the team rules and regulations. Seemed to be based on the mood the manager was in on that day. Scary to say the least."
bad,Terrible company on a downward slide. They hired me on a 6 month contract and told me 5 months in that I would be receiving a permanent position. on the final day of my 6 months I received a phone call from  a third party company letting my know my contract was expired.
bad,"Outside of the people, the job is simple and doesn't really push your skill set at all. Once on a project if you are asked to move its not a request. you will be moved even if you have an issue with the management in that department. they talk down to you and treat you like a child. they belittle, yell and call you names if you are even the slightest off from what they want. And that is just their NRC repairs lab."
bad,"This company is a phone sweat shop.  They have high turn over because the ""culture"" is oppressive.  They don't train well, don't treat their employees with respect and constantly ride you for unrealistic high production numbers.  The pay isn't the lowest I've heard of, but it's in the bottom 10%.  If you're into BDSM (Non sexual) at the workplace this place is for you!"
bad,Do not work here! Insight enterprise only care about their contract not the employees. Service technicians working for sap is the most stressful job know to man. This is your warning. Do not work here overall bad work environment. I would give this place no stars if I could.
bad,"i worked their on a casual basis, and then the company changed their business name to something else, the job was not that great, however i managed to reach my targets"
bad,the structure of this company is a joke. Not much goes on here that is beneficial or helpful to anybody and it has many flaws in the hierarchy with promoting failed employees.
bad,"Unrealistic expectations selling in an environment that is toxic, trying to sell a product that nobody wants to purchase. More chiefs than Indians/ Every move is watched."
bad,"I was a lead technician, went to the training and worked the project, and after the job was done, they didn't pay me. I played email tag and phone tag, no one would answer me or talk to me, I would not recommend this company to anyone, they will cheat you and then forget you exist. One of the techs mentioned that he had not been paid for the last job he worked for them, I should have caught on then."
bad,Do not work for this company. They will only hire friends and layoff employees with no warning at all even with nothing but positive performance reviews throughout.
