rating,review
bad,"Through my tenure with IGT, I interviewed for 21 separate positions at various times, sometimes, receiving second interviews."
bad,"IGT was purchased in 2015 by GTECH.  Since then the company has done nothing but go down hill financially and culturally.  Employees in Reno, NV are treated like just numbers and leadership is awful.  Leadership cannot seem to make a decision about anything and are too worried about trivial stuff.  Materiality is a thing of the past.  Leadership does not hold employees accountable and have allowed ignorance and playing stupid to take over how business is run."
bad,"Company started out great and was a fantastic place to work until about 5 years ago. Now it is a company with low morale, poor culture, poor management not being held accountable, and very little regard for it's employees.  Low wages are supplemented by worthless stock offerings.  Not given tools to complete jobs."
bad,"Used to be an incredible place to work. However, in the last 5 years IGT has become a very oppressive place to be due to constant layoffs and poor management. No job security with a ""do more with less"" mentality. Management is very poor as there is no direction or career paths. IGT is no longer a place that values it's employees. Benefits have decreased and bonuses are no longer given."
bad,"The daily work is easy. Not busy most of the time, but can get hectic with large projects. Most of the time you are working remotely so have little to no contact with a supervisor or manager. "
bad,"I learned a lot during my time with IGT so for that reason I am glad to have worked there. "
bad,"I like most people was very excited to join this company 6 years ago. It took care of it's people as well as it's customers. As the case with a lot of market leaders IGT relaxed in it glory years. The surrounding competitors became more and more innovative. In short IGT lost it's completive edge. When I married into this company after retiring form the US Navy I felt I made a great choice. This was a very stable company that had long term employees. The company treat the people very well, cash sharing, holiday parties etc to show the hard worker they cared. As the world market took a hit upper management decided to reduce forces change CEO and upper management staff. In my option this was the start of some not so well thought out business move to save money. I am a firm believer in getting input form the process owner. At the 50,000 mile view we can't make sound decision to adjust a process the we just don't know. As a market manager I was never once asked my option on how I would improve my market to save overhead cost. If I would have been asked, I would have recommended, a work from home staff. The building in this market was not needed. The cost of maintaining the building is not needed. The Tech sent less than 2% of there time in the building and the admin could have a much better work life balance working from home. Techs are leaving for other jobs due to lack of trust in company and job security."
bad,"IGT was an amazing place to work, once upon a time. Managers were supportive and up-lifting. Employees were treated very well with cash sharing and flexibility. That has all changed. It has become extremely political, so much so that creativity has been stifled. People in management only want their voice to be the loudest and good ideas cannot come from anywhere. You very much have to stay in your lane. Good work is not rewarded, instaed it is seen as a threat by people who are not as talented as you are. Women are not supportive and men are placed into positions of power rather than interviewing."
bad,Management seems to not care about its employees. I have to travel all the time. Instead of replacing employees that have left they have just shifted there jobs to other departments that put a strain on the current employees and has cause massive burnout throughout the company.
bad,Good stepping stone for a career but limited growth and good performance and accomplishments don't translate to increased compensation. Management depends on your department.
bad,"The employees at IGT are what makes this place a family work environment. Unfortunately, over the past few years managements focus has changed from career development and advancement of existing dedicated loyal employees to outside hiring of the majority of open positions creating an environment of limited development and advancement options. The experience that can be gained from working at IGT is phenomenal and there is always a challenge, there is always continual change, which is wonderful. Everyday I learn something new and create and/or strengthen the remarkable work relationships that I have built over the past two decades. I will forever be grateful for the amazing opportunities that I have been given and know this experience will only make me a stronger asset to the next opportunity that I am fortunate to accept."
