rating,review
good,"Mainly worked on recovering the floor with a team of 4."
good,I worked with a great group of people. I enjoyed the mgmt staff. Coworkers were friendly and very supportive of each other. Great learning experience and decent employee discount.
good,This is my first job by the high school so I didn't know how to take it work 12 hours and it was a hundred Plus so work hard moved up and end up moving to a different County
good,Great Company to work for. Amazing opportunity fast pace and fun. Great Managers very flexible to ensure you are successful. Team function feels more like a Family then work.
good,"Loved working at JCPenney’s! Great work enviroment, happy attitudes, employee benefits, compensation and appreciation is awesome. Had to leave because I was moving away for college."
good,"The job is pretty easy. You fold clothes, talk to customers, check them out, and its a overall good environment. Would recommend if you're looking for a temporary or part time position."
good,"I worked at J. C. Penney part-time (More than a year)"
good,It was a slow paced at times fast paced job. There was a lot of help and support. I enjoyed seeing everyone. I had fun interacting with people of different backgrounds.
good,fine learning experience. i had many responsibilities and got to learn with different people in different levels of management experiences to gain experience
good,I really enjoyed working for J.C.Penney . I won different awards on selling catalogs and credit cards.  Great team and management.
good,"This job was a good start into understanding the workings of a Retail Store. Merchandise would arrive and unloaded ans then "
good,"My co workers are amazing to work with and the mangement are great as well, We do have daily goals and it can feel like a little pressure but everyone works together to get it done. Theres nothing better than having a customer thank you for your friendlyness there."
good,Enjoy my time at JC Penney is where highly recommend if you know I would like to work  AJC penney's the out going place in high demand friendly people nice customers
good,"Great company to work for "
good,there would be slow times but most of the time there is work to be done. everyone is really friendly. they have a family like atmosphere. always room to grow within company.
good,Great coworkers and high paced environment but once you understand the system it becomes easier. I learned how to work the register and how to have great customer service.
good,JCP shows positive values it also has a relaxed and productive atmosphere. JCP is like a home away from home. I use to love coming in to interact with the customers and my peers. Best thing they offer is an open and honest communication.
good,"I enjoyed working in the salon, but when I decided to work out on the sales floor I really enjoyed talking to customers helping them pick out their clothes to purchase."
good,I really loved working in retail. It was really fun and I learned how to deal with many different kinds of customers. Associate tend to deal with tough customers during the seasonal but I was always happy to help and I always had a smile on my face.
good,Tuve la Oportunidad de desarrollar las habilidades q habia aprendido en otros lugares sobre la calidad del producto.
good,It was my first job. I learn so much about myself. I learn how to handle customers. Management was very great. I love it. And the people I work with. Just great.
good,"Out of all the places I have worked if you like fast pace, and a people person this is a job made for you. It is a job that keeps you moving and interacting."
good,"JcPenney was an amazing company to work for, work , coworkers and management were all very well balanced, with support and teammanship. The most enjoyable part of the job was the superior training that was given for me to complete my duties to my highest potential."
good,"JCPenny was the best job that I ever had the people there were so warm, kind friendly loving and caring they had a passion for helping everyone I did not want to leave pennys but I live two hours away and the transportation was a hassle"
