rating,review
good,"JP Morgan Chase is an excellent employer, great benefits, good locations, great pay, excellent training.  I appreciate the bank giving back to the community and providing diversity groups for all associates."
good,"Working as a contractor allowed you to work on a great deal of equipment and on shift hours. "
good,"work starts off with new updates on investor guidelines"
good,Chase provided a great working environment with competitive pay and benefits. I enjoyed the job and interaction with the customer and providing excellent customer service.
good,"A good company to work for, it would have better if they can provide chairs fort he teller,  Chase has very good health insurance and other great benefits, positive and fun workplace."
good,JP is a wonderful place to work and advance your career.  It is an hard working environment so if you are not up for that then forget it.  Good paying job.
good,"Review of the company is overall a 5 star. The work environment assists in building character, teambuilding, career advancement & offers on the job training."
good,"I started off my career with JPMorgan Chase 18 years ago, it is a very friendly and diverse work place, the manager(s) have been good to me I can say. I learn a lot from my manager. I always give my all- all exceed expectations and pay attention to details. I spent some good time at JPMorgan Chase."
good,"Allowed me to learn the banking system better than I already had knowledge of.  Interact with great teammates and leaders.  Fast paced work environment, but fun."
good,JPMC is a great place to work with tons of opportunity to advance your career. JPMC offers tons of benefits that are beneficial to the employee and the employee family
good,"The environment was very fast paced, but everyday you learn something new by helping customers reach their financial goals. The opportunities for advancement are endless."
good,"meeting different customers"
good,i worked at Chase a mortgage collector and an underwriter. each position was different. as a collector my position was fun and relaxing. as an underwriter my position continued to be fun but had more expectations.
good,"Served as assumption filer in the event of head of household change as a result of divorce, death or income."
good,"Very productive day particularly in sales. Honestly, for me I wasn't looking for personal financial enrichment at the cost of selling a customer a product or service they didn't need."
good,Chase is a great company to work for. Great benefits. The work place culture was great. My managers who I had worked in the past had created an environment for me to learn and grow.
good,Great company with excellent benefits and positive work culture. I would recommend this company to others. I regret leaving this company but had to do so because I was l;aid off.
good,Great environment with a calm pace of transactions. staff were awesome and professional. management were friendly and encouraging. great opportunity to grow.
good,"Working at Chase was wonderful. Great company to work for, i enjoy the customs the most. A typical day is really laid back not to busy or slow. Only during that first week of the months."
good,"Working for Chase can be stressful at times, after all it is a call center environment where you receive inbound call and have to deal with a very sensitive topic (if you ask me) ""Money'' Some days could be better than other. My colleagues are great, if it wasn't for them, sometimes I will not make it throughout the day.  Benefits and pay is great and the opportunity for advancement is awesome!"
good,"Really enjoyed my time with the company and hope to work for them again. Fast paced, a lot of knowledge gained. Excellent training. Got to know clientele really well/"
good,Opportunities everywhere if you are looking for them.  Many people that will assist you in your mentoring and spending time in other departments.  Great volunteer opportunities.
good,"Great company to work for with excellent workplace culture! Learned a lot about the financial industry.  The high standards Chase set, has allowed me to be even more confident within the financial industry regardless where I decide to work."
good,Great fast paced employment and alot of room for advancement. Awesome benefit package and friendly co workers. Very professional atmosphere. You become knowledgeable about alot of different areas of banking that you can take with you for years to come!
good,"•	Preparation of statutory accounts in accordance with LPA's, including being contact point for Fund auditors"
good,"Working at JPMorgan Chase is a great opportunity and great experience, love working there and meeting different people everyday and learning something new everyday."
good,"No complaints really.  Naturally you deal with some issues with a big bureaucracy but other than that I enjoy the company, love my boss, and love the benefits as a JPMChase employee."
good,"1.	Sort, compile and organize incoming mail in a high-security environment."
good,"Challenging and rewarding experience, with the ability to grow both personally and professionally.  Working with and able to learn from world-class people."
good,love my job the pay is great the people are nice the weekly paycheck is amazing I learned a lot and got lots of experience also got my typing skills up
good,"Productive work environment, nicest financial company with gym facilities. Very organized with GRC. Promotes employee training and career building within."
good,"I love working for JP Morgan Chase, they made me the Woman, Mother, Wife and Friend I am today. It was a great company to work for. It was a close Family Company. They care for all their employees well being and Promoted within."
good,my co workers made the experience all the more fun and made everyday easier. My manager is great to talk to and also open to opinions. The atmosphere is overall great.
good,"A typical day was always busy, engaging on client's issues and resolving them asap.  Work environment was great, managers, my colleagues we were all like a family.  We all worked together to get the job done, which made all of us work smarter, not harder.  Great place to work!!!"
good,"The bosses were very helpful, accommodating, considerate and kind. They helped me focus a lot on tasks at hand specially since my family was undergoing a difficult time losing my mother at that time to cancer."
good,"Constantly working with customer service. Learned how to work with the customer and work well with team members. The management worked hard to make sure employees got what they needed and were happy in their work space. Hardest part of the job was customers, but they usually were easy problems to fix or language barrier. The most enjoyable part of the job was being a team with all the co workers."
good,"Great career startup. After awhile you'll get bored. Different management styles. Some lazy, some hands on, some not very bright, some bright but lazy. ""Customer obsessed"" culture. Yet, they want to run a lean operation, not give raises, and and minimize the employees pay."
good,"This was the beginning of my career in Financial Services.  I am grateful to every manager and every team member I ever worked with. I have learned and grew a lot here.  They supported my education, my goals, and appreciated what I have contributed.  It is one of the employers I would love to return and work for and with."
good,Part time worker with lots of flexibility. Great pay and freedom in helping out other banks. Great benefits and perks for being a part of the company.
good,"Best Diversity policy of any company I know, Dedicated to employee upward mobility if the employee chooses to take advantage. Keep in mind Chase has strict security and attendance policies."
good,I thoroughly enjoyed my time at JPMorgan Chase and would go back if the opportunity ever arises.  The opportunities to grow your career were boundless.  The people are great to work with.
good,"JPMC is lead by a CEO who believes and acts upon the ideal that everyone deserves an equal chance to prove themselves. The culture at JPMC truly comes from the top down and not only includes an emphasis on making and keeping JPMC the gold standard in US Banking, but also includes an impressive emphasis on work/life balance, employee satisfaction, and opportunities for movement and advancement."
good,"My time in JPMorgan helped me understand some of the deepest intricacies of development, testing, and production. It challenged me to step outside my comfort zone and learn new languages and concepts, such as MySQL and PHP."
good,love the benefits and my co workers. the managers are ver flexible with employees going to school. A very good place to make connections. so many things to learn
good,Amazing mentors and talents work together to achieve organisational goals. Career advancement is always possible for aspiring leaders. Can make your dream come true.
good,"JP Morgan Chase is an extremely beneficial company to work for. Not only did I feel like my own coworkers and manager cared about the company, my district manager was also always able to be reached out to. Chase felt more like a family and less like a high pressure sales role."
good,"Great company to work with, love my team , worked there for 2 years, and i got all my support from my management and coworker, and i love my 3 weeks vocations"
good,"Great company that fostered growth and advancement, was dedicated to contributing in local communities, had a culture that supported challenging norms and making bold moves, sometimes too bold."
good,JP Morgan Chase it's a great company to work for.  I'd recommend to any one. If you like to work in a fast pace environment this is the place. If you have a positive flexible attitude this is the right place to work.
good,"Pretty big firm but nice people, profitable, treats employees well.  I don't know that I have that much more to say about JP Morgan Chase.  If you are thinking of working at a big bank, you've found one in JPM"
good,"One of the best places I have ever worked.  Daily workload was fairly distributed and everyone was always helping each other out.  Management is kind, compassionate and supportive of employees in all facets of their lives.  There are ample opportunities for learning new tasks and promotion. Work-life balance is some of the best I've every encountered."
good,Jpmorgan helped me to learn how to do collections fairly.  it gave me extensive training.  I was ale to advance to Supervisor.  I really loved going to work. I got along well with my supervisors and my co-workers.
