rating,review
bad,"Stresszes munkakornyezet, rossz szervezeti felepites, munka/maganelet egyensuly nagyon nem kiegyenlitett- rossz arany, munkatarsak tulterheltek, magas fluktuacio."
bad,"A typically day at this job is 4-10s mon-thurs and 2-8s fri-sat. The management literally care about no one or nothing, so if you sick or you have little ones or take care of another human being... this is NOT the place for you!!! You will NOT be able to have a LIFE because they want all of your TIME!!! The working people here are awesome folks and very kind and hard working, but yet they all are so TIRED from working 6 days a week since Feb this year and BARLEY makes $11 an hour... mind you more than half the plant only got a 26cent raise!! That just disgusting and a slap in the face, when you work 2 EXTRA WEEKS within one month because of the constance ""Mandatory Overtime""!!The mass majority are only here because of the health benefits. The turn over rate here is crazy cause there is no balance of home and work. Try this place if you must, but you will be out before you know it!!!"
bad,Full of lies and false promises. You will always work. For 3 months of the year you will work 12 hour shifts for 13 days straight. They will promise it will stop and then hound you to get the work out.
bad,"I learned a lot of things from Jabil. My typical day would include but not limited to the following things: work with engineers and process techs, make and create labels upon request, change and test routes to make sure product will pass all steps."
bad,"muy malo, no me agrado mucho la forma en que tratan a sus empleados"
bad,"Poor management. Lack of advancement opportunities. Politically tiered and toxic work environment. Managers unwilling to spend money to change the processes on the floor and protect MFG employees."
bad,Diz que zela pela saúde do funcionário mas é mentira
bad,"This place is a sweat shop.  My first day I had 885 emails to sift through.  My manager was one of the most unprofessional managers I ever had.  After ""eliminating"" my position to Mexico, she left the company.  Rumor had it she slept her way into the position.  Unless  you want to be stressed, degraded, worked to the bone DO NOT WORK THERE!!!!!"
bad,"Work was low and I was given the option to come in when informed or collect unemployment for the time off, I agreed to come in. Sad to say, I was laid off and to make matters worst, my supervisor spread a false statement around the job about me. Work and life balance is not balanced. This place won't be open for long and I'll never recommend no one to work there."
bad,"Management is a joke at this place. They are barely staying afloat. People come and go easily. There is a huge lack of direction and miscomunication. They dont hire people for jabil. They go thru a staffing company and then if they dont like you they just get rid of you with no prior notification. No benefits. No sick time until after a year! Management spends hours there, most of them say they leave at 9 or 10 at night but still things always seem to be a mess. Managers have no time to train you and they expect you to just know things. They get mad when you ask questions mostly because they dont even know the answers to these questions. This place is a circus. Stay away"
bad,"Plant leadership is lacking in major way. No one knows what they are doing. The working conditions for accounitng are very cold and bad. Salaries are not competitve. Management is not easy to work with. The plant is new and is in absolute chaos. They will require that you work every weekend. You will work 55-65 hours per week. This is not a fun company to work with. They systems are not setup correctly, so trying to do accounting is very difficult. My professional recommendation is that if you are looking for a controller's position, that you keep on looking!"
bad,"Would not recommend this job, it is fast paced hard work in an uncomfortable environment. No paid leave/vacations/sick days and are inconsiderate when you have responsibilities a outside of the job."
bad,"They have you come in at 7am for work for the first few months then demand you come in at 5am and work 10 hours a day for 50 hours a week, regardless of what you have going on with your personal life, they didn't care at all."
bad,A typical day at work is not so fun and loving. Its kind of meshed up environment around us. I haven't learned anything since long time.Hardest part is you don't get enough opportunities.
bad,"This job was the worst.  The environment was terrible.  There was not cohesion, cut throat organization.  Work life balance there is none and the moral is a all time low."
bad,Great place to work. Good pay and excellent benefits. Working conditions were excellent. Highly recommend it to any prospective applicants...............
bad,Management is absolutely terrible. The way supervisors talk to employees is absolutely absurd. They tell you to speak up and when you do you get talked down to. If there's an issue it is not resolved. I was laughed at and mocked while management stood over me watching me clean wheels on the desks. When I brought it to a hire up I just so happen to get let go 2 weeks after. This place is a joke. Pay is a joke. Mandatory overtime. This place expects work to be first and family 2nd. I wouldn't dare recommend anyone to this establishment.
bad,"When I first start this company back in 1999, I really like working her but so much has change at this place . Its like they don't care about the people and their health. If someone leave company you should hire someone to replace them in stead of putting more work on other people.  I think that is why they have high rate of people leaving."
bad,"Very good working also facility is better for employee."
bad,"I worked for jabil for about 6 months and was able to see a lot of things. "
bad,"Muito grata foi nesta empresa que pude ter conhecimento na aréa da industria.Foi uma escola na minha vida,se tivesse oportunidade gostária de está fazendo parte do quadro de colaboradores novamente."
bad,"I worked here for more than two years and saw two job cuts and this company has history of doing job cuts within six months. This is not a company to join where your performance would not be criteria to judge you. No matter what you do only top management who even don't know what you do would pick you for job cut. This company has very bad history of job cuts so you are never secured. All management says after job cut is ""Lets move forward"". There is no work life balance and forget about any appreciation. They would never pay you good and forget about any increment. People in top management are poorly skilled and they judge you so you never get good rating no matter how good you perform and then finally on fine morning they would cut you in very insulting way. They would spend millions of dollars on useless things but they would cut jobs rather than waste full activities to cut cost. I would never every recommend this company to anyone as you never know they may cut even within 15 days of joining without any notice. Anyone can check facts about this company before joining this company."
bad,"I was only a temp at Jail so i really Can't say anything about Jabil other than it was pretty organized, fair work environment. I did not like how far the bathrooms were away from everything."
bad,I began my career because a friend got me hired in Jabil. I had no experience working on software contracts or licensing but soon found that it did not matter. The hardest part of the job is trying to figure out what my responsibilities are for my 3 person department. My manager is never present but allows us more freedom to do our work and take our time.
bad,This was the second worse job I ever had in my life. Unprofessional people. Back stabbing. All having affairs with subordinates. Unbelievable poison company.
bad,"Jabil is a good company to work for. A typical work day is busy with"
bad,"It was a great workplace that took all work , and production serious. I worked with great people. Everyone was nice and helpful."
bad,"This company is learning very good and discipline is good "
bad,Was pushed without appropriate compensation. It didn't feel like a friendly work environment. . Grateful I moved on
bad,"Support service industry"
bad,"they advertised my job on several job boards while i was still working there. i confronted HR about it and they told me that they were not advertising my job, but a corporate position at the location in San Jose.  then they let me go. that should tell you about their HR and management practices."
bad,"what  a horrific job, would be the last job that I EVER apply for again"
bad,I would not consider Jabil for a career. People are more concerned about the shorts they wear than the work they  do     No one takes pride in what they do their.
bad,A typical day at work includes me wondering if I'll have a job at the end of the day.I learned how to operate a few more machines.Management literally walks around joking and laughing during massive layoffs.For the most part my co-workers are decent hard working people.The hardest part of my job is knowing I'll never get advanced.The most enjoyable part of my job is coming home to my family.
bad,"Jabil is one of the worst companies that I have ever worked for, unless of course you just want to get a paycheck. I have worked in various IT places but this place is worst. Nothing ever gets done and one has to go through many layers to get any work done. In addition you have managers who have no clue what they are doing. Their compensation is competitive but if you are a professional and a career minded person who wants to grow in your field then stay away from this place. However, this it is the best place to work if you are lazy and only do as you are told, even if it is ridiculous "
bad,Did not recieve any other training so that I could grow in the establishment.
bad,"Mala Empresa,no se puede crecer profesionalmente, en 8 años solo ajuste salarial minimo cada año, esclavizante de inicio a fin de semana,juntas de trabajo programadas a las 7 pm hasta 9 pm, incluyendo fines de semana,aplicaciones a posiciones de negocios BUC sin oportunidad de crecer ya que las posiciones solo se mencionan pero el candidato ya estaba asignado,muchos viajes al extranjero,en lo personal mi ingles 90% con Maestria, titulado y no se dio ningun crecimiento"
bad,This plant runs in a constant state of chaos. Majority of the management is inexperienced; promoted on the golf course and/or during happy hour and rarely succeeds at even faking that their able to do their jobs.
bad,Unfair point system. Shows favoritism to certain employees. unorganized. Make up rules as they go. Unfair pay scale. No benefits not even paid holidays. No free lunch. Nothin to benefit the employees.
bad,HR personal very disappointing the communication is weak act like they listen but just tolarate you but dont value people.
bad,This job makes you stress out often like on a weekly basis. The hardest part about this job was making myself stay at it for so long. The easiest part was my last day.
bad,La peor experiencia que he tenido en todos mis empleos ...mal manejo de personal y demasiada presión
bad,"This place has one of the fastest revolving doors I have ever seen in my life. They had no intention of hiring anybody on despite the lies to the contrary that were told everyday. Each day, we would see at least two people being walked out with never a reason given other than they were getting too close to higher on date. The management has even flat-out stated that they wanted a bare minimum of actual hirees with everyone else being attempt. They even change policy while I was there so the temps could not apply for other positions. This left a very tight-knit click it was running the show and nobody else was permitted an opportunity to move up."
bad,"A túlórát elvárják, ki nem fizetik, de ha lecsúsztatod, akkor rossz szemmel néznek rád. Előrelépés csak akkor, ha te vagy a főnök kedvence. Juttatás semmi, ami van, azt is folyamatosan leépítik. Nagy a fluktuáció, nem véletlenül. A vezetőség nem figyel az alkalmazottak mondanivalójára."
bad,"Do not apply if you have a family, in a relationship or life. It's long hours the machines always go down one guy was left at a machine by himself all night complaining about stomach pain he was found hours later passed out had to be rushed to the hospital his appendix burst they expect you to drive on icy streets to work or get fired a few machines caught on fire the ones that deserve to be leads or supervisors are over looked"
bad,"Everyday u did the same job, very slow pace. A lot of computer work, management didn't really no what was going on,the area I worked in called ulthera was so behind, every week we worked Monday through Friday 10 hour days and 8 hours on Saturday, made it very hard to take care of everyday things."
bad,"Too much work less pay & no benefits, sick time or PTO"
bad,Jabil Fremont is a mom and pop company.  Management consist of old TTC and their family members who lack the experience or qualification to be in management.
bad,there was no room for advancement and very poor management. they looked out for their friends who were hired and mistreated most of the other workers.
bad,"Alacsony bérezés"
bad,manager would press worker to take sort cut for production sake them when they got in trouble they blamed workers for not following
bad,"JABIL Circuit in Chula Vista overworks and underpays their employees. Period. "
bad,"Not a good place to work for at all. Nepotism is the game they play there. Even if a person is steeling money form the company, as long as they know someone in high places, you can get away with murder."
bad,People are great to work with but managemnt does not care about employees or subcontractors
bad,"Management is not equal with punishment and advancement. People that deserve promotions are treated like crapand lazy people that make lots of mistakes, does a little butt kissing and gets promoted."
bad,The management here is a group of good old boys that pulled each other up through the ranks. None of them have any leadership or business training. The operations manager is under investigation by OSHA and the NC labor board for knowingly forcing people to perform life threatening acts. Management puts production over peoples lives routinely. STAY AWAY!
bad,Never have work. Will not hire you unless you are one of the favourites who suck up or flirt with management or have family that works in the office. They try to keep everything a secret from you. All they do is lie. Its the worst company i have ever worked for and don't see them staying open long.
bad,They suck they give you false promises and pay you great. Yet production is never consistent and you can walk in tomorrow with a new supervisor who doesn't know anything but can fire you at the drop of a dime with no reason why. If you have kids and bills dont work for Jabil
bad,"Favoritism by management. The IT guy's sister dated the Operations Manager's son. Went hunting together regularly."
bad,"Stressful environment that has gotten even worse and provides no support from the new company!  Every Department is massively understaffed and lacks the basic tools to be able to perform your job, then they blame you for not performing.  Management is constantly changing direction everyday due to a new crisis.  Corporate and Upper Management completely disconnected from people who are actually performing the work.  Employee turnover is extremely high, over 60% for both office staff and manufacturing staff each year."
bad,i did kitting stocking and receiving for this company i also expedited parts to the floor  but ended up leaving due to no raises and found a higher paying job
bad,"Title says it all, if you are thinking of working there, don't. No structure, commitment to making deadlines, or paying vendors. Worked employees until they were literally injured. Just goggle Jabil human rights violations, it will tell you more than you need to know about Jabil."
bad,"The only way to advance in the company is through friendships, not merit. Managers will hold you back and make sure you do not get exposed to anything new ensuring that you do not grow in your skill set."
bad,"Many long hour, sometimes 10 to 12 hour days 7 days a week. Very high output ecpecancy. Lot of employee turn over. Very poor employee moral and management only threatened, never built up employees."
bad,"I was only a temp at this company. I could not give much information on anything about this company, also was to long ago to remember how it was working here"
bad,Management is awful they do not like people in the office to socialize with hourly workers. lots of rude people who do not want to help.They love to pile on work and expect you to work a minimum of 10 hours a day or they get mad.
bad,Typical day - receive functional spec - add technical details - get spec approved - start coding.
bad,In my short time there I knew of at least 10 people that were escorted by security because they lost their jobs. I was told not go out on sick leave because I wouldn't have a job upon returning. This seemed to be true because I knew of two people this happened to while I was there. It's a very unstable company that terminates and lays people off often. The pay was decent but they are definitely on a lower pay scale than other companies. If you are a foreigner (Mexican) to be exact you may have a better work experience there. There is a lot if nepotism going on there.
